date,open,high,low,close,volume
1594022400000,0.1,0.1001,0.0995,0.0996,18054.39
1594018800000,0.0999,0.1003,0.0996,0.1001,70798.62
1594015200000,0.0993,0.1,0.0989,0.0999,107988.6
1594011600000,0.0993,0.0998,0.099,0.0993,97189.51
1594008000000,0.0995,0.1,0.0987,0.0993,91979.59
1594004400000,0.0994,0.0997,0.0994,0.0995,136420.46
1594000800000,0.0991,0.0997,0.0988,0.0994,57383.85
1593997200000,0.0983,0.0996,0.0983,0.0987,67445.21
1593993600000,0.0981,0.0986,0.0981,0.0984,215485.88
1593990000000,0.0981,0.0983,0.098,0.0981,72392.23
1593986400000,0.0972,0.0982,0.0969,0.0982,361148.42
1593982800000,0.0977,0.0977,0.0953,0.0971,351868.33
1593979200000,0.0982,0.0982,0.0977,0.0977,61995.12
1593975600000,0.0983,0.0992,0.0978,0.0978,125517.74
1593972000000,0.0981,0.0983,0.0977,0.0983,83762.5
1593968400000,0.0984,0.0985,0.0981,0.0981,70368.0
1593964800000,0.0985,0.0987,0.098,0.0984,100565.61
1593961200000,0.1008,0.1012,0.0982,0.0985,118672.74
1593957600000,0.0997,0.1018,0.0996,0.1012,338042.08
1593954000000,0.1,0.1003,0.0991,0.0998,228351.43
1593950400000,0.0985,0.1018,0.0984,0.0999,413903.67
1593946800000,0.0988,0.099,0.0983,0.0985,65840.82
1593943200000,0.0983,0.0992,0.098,0.0989,274514.97
1593939600000,0.0987,0.0995,0.0983,0.0987,207891.89
1593936000000,0.0977,0.099,0.0975,0.0985,73937.65
1593932400000,0.0976,0.098,0.0975,0.0979,42766.8
1593928800000,0.0986,0.0988,0.0973,0.0976,126650.82
1593925200000,0.0996,0.0997,0.0987,0.099,46217.76
1593921600000,0.0993,0.0998,0.0992,0.0995,45767.1
1593918000000,0.0995,0.0997,0.0992,0.0997,28494.98
1593914400000,0.0997,0.0998,0.0994,0.0995,22449.39
1593910800000,0.1001,0.103,0.0995,0.1001,280460.02
1593907200000,0.0997,0.1002,0.0995,0.1001,73227.71
1593903600000,0.099,0.0998,0.099,0.0994,228604.95
1593900000000,0.0985,0.0992,0.0985,0.0991,206198.09
1593896400000,0.0992,0.0994,0.0982,0.0984,229130.99
1593892800000,0.099,0.0994,0.0988,0.0993,154391.33
1593889200000,0.0994,0.0995,0.0985,0.0985,54206.39
1593885600000,0.0994,0.1005,0.0992,0.0994,131454.56
1593882000000,0.0992,0.0997,0.097,0.0994,466932.06
1593878400000,0.0993,0.0995,0.099,0.0991,239961.85
1593874800000,0.0998,0.1001,0.0989,0.099,198060.55
1593871200000,0.0992,0.1004,0.0989,0.0998,311682.06
1593867600000,0.0988,0.099,0.0985,0.099,91562.14
1593864000000,0.0995,0.0995,0.0983,0.0987,201749.79
1593860400000,0.0996,0.0998,0.0994,0.0994,126741.15
1593856800000,0.1005,0.1007,0.099,0.0997,252604.65
1593853200000,0.1002,0.1011,0.1,0.1004,127450.71
1593849600000,0.1015,0.1043,0.0998,0.1006,443200.76
1593846000000,0.0997,0.1018,0.0995,0.1016,447686.69
1593842400000,0.0997,0.1,0.0993,0.0997,149408.54
1593838800000,0.0983,0.0997,0.0983,0.0995,171505.82
1593835200000,0.0987,0.0989,0.0982,0.0983,53950.6
1593831600000,0.0985,0.0992,0.0983,0.0985,86299.1
1593828000000,0.0983,0.0987,0.098,0.0987,80683.9
