date,open,high,low,close,volume
1593993600000,0.2154,0.2313,0.2154,0.2272,5529397.19
1593907200000,0.2172,0.2192,0.2079,0.2154,8135332.58
1593820800000,0.2034,0.2178,0.2031,0.2177,6387656.29
1593734400000,0.2049,0.2084,0.202,0.2034,6320267.12
1593648000000,0.2142,0.2181,0.2007,0.2046,10897456.18
1593561600000,0.2083,0.2197,0.2077,0.2142,7560818.1
1593475200000,0.2141,0.2146,0.2076,0.2082,3779620.52
1593388800000,0.208,0.2153,0.2065,0.214,6821192.98
1593302400000,0.2054,0.2121,0.1992,0.208,7106049.64
1593216000000,0.2229,0.2229,0.1958,0.2052,14419668.21
1593129600000,0.2344,0.2347,0.2207,0.2227,10385337.16
1593043200000,0.2384,0.2402,0.225,0.2343,12342058.24
1592956800000,0.25,0.257,0.2312,0.2391,24011599.61
1592870400000,0.2415,0.2513,0.2357,0.25,11782124.1
1592784000000,0.232,0.2415,0.232,0.2415,8466924.76
1592697600000,0.231,0.2404,0.231,0.2321,7461323.88
1592611200000,0.2318,0.2349,0.2262,0.2306,6554298.17
1592524800000,0.2403,0.2403,0.2311,0.2317,8412977.84
1592438400000,0.2446,0.2515,0.2381,0.2403,14665208.33
1592352000000,0.2358,0.247,0.2305,0.2446,16173724.94
1592265600000,0.2272,0.2409,0.2255,0.2357,11870845.23
1592179200000,0.2328,0.2328,0.2101,0.2267,16013310.5
1592092800000,0.2348,0.2465,0.2294,0.2329,12353797.27
1592006400000,0.2317,0.2358,0.2288,0.2347,3408568.54
1591920000000,0.2308,0.235,0.2262,0.2317,7163352.47
1591833600000,0.2472,0.2507,0.2261,0.2305,12719021.7
1591747200000,0.2421,0.2488,0.2402,0.247,7398278.39
1591660800000,0.2345,0.2434,0.2302,0.2423,6334799.47
1591574400000,0.232,0.236,0.2292,0.2339,5463652.89
1591488000000,0.2372,0.2375,0.2245,0.232,4719561.37
1591401600000,0.2321,0.2391,0.2289,0.2373,5386184.43
1591315200000,0.2418,0.2427,0.2317,0.2321,6911155.41
1591228800000,0.242,0.2494,0.2375,0.2421,9748947.75
1591142400000,0.2458,0.2468,0.2371,0.2421,5962145.05
1591056000000,0.2499,0.2589,0.2343,0.2458,11342971.8
1590969600000,0.2338,0.262,0.2319,0.2499,23684090.88
1590883200000,0.2433,0.26,0.2286,0.2332,26140488.31
1590796800000,0.2284,0.244,0.2248,0.2438,15952172.22
1590710400000,0.2272,0.2351,0.2223,0.2281,11225746.76
1590624000000,0.2206,0.2275,0.2131,0.227,10683175.84
1590537600000,0.2187,0.2263,0.2147,0.22,13652384.85
1590451200000,0.2116,0.2227,0.2057,0.2186,22094449.59
1590364800000,0.1971,0.2126,0.1937,0.2118,13618986.0
1590278400000,0.2014,0.2112,0.1944,0.1972,17639428.17
1590192000000,0.2046,0.2123,0.1995,0.2014,10281559.19
1590105600000,0.1909,0.2087,0.1881,0.2044,13490618.74
1590019200000,0.209,0.2099,0.1836,0.1915,17531368.23
1589932800000,0.2005,0.2146,0.1981,0.2091,19012203.6
1589846400000,0.201,0.2018,0.1956,0.2008,10533934.29
1589760000000,0.1979,0.2042,0.1977,0.2014,8767019.77
1589673600000,0.1981,0.204,0.1967,0.1979,9953920.0
1589587200000,0.1918,0.2003,0.1906,0.198,8855077.61
1589500800000,0.197,0.202,0.189,0.192,12734513.1
1589414400000,0.1954,0.205,0.1925,0.197,18259028.55
1589328000000,0.1934,0.1976,0.1894,0.1954,9404045.33
1589241600000,0.1865,0.1991,0.1859,0.1933,9090225.23
1589155200000,0.192,0.1996,0.1742,0.1865,15551619.04
1589068800000,0.2137,0.2139,0.1742,0.1919,19680064.7
1588982400000,0.2181,0.2247,0.2108,0.2136,13242090.49
1588896000000,0.2037,0.2236,0.2013,0.2181,16283198.47
1588809600000,0.1972,0.2051,0.1936,0.204,12202765.24
1588723200000,0.2084,0.2105,0.1948,0.1976,12864689.07
1588636800000,0.2057,0.2118,0.2021,0.2085,16019931.15
1588550400000,0.2058,0.2115,0.1892,0.2055,16679698.48
1588464000000,0.2186,0.222,0.2014,0.2055,26028751.53
1588377600000,0.2137,0.222,0.2125,0.2188,9810019.4
1588291200000,0.2094,0.2224,0.2094,0.2139,11387032.63
1588204800000,0.2302,0.2334,0.2011,0.2093,30634064.27
1588118400000,0.2158,0.2312,0.2146,0.2302,18811445.74
1588032000000,0.2168,0.2244,0.2087,0.2154,10165453.52
1587945600000,0.2254,0.2275,0.2055,0.2168,13455045.25
1587859200000,0.2109,0.2353,0.2108,0.2257,23617881.45
1587772800000,0.209,0.2229,0.2024,0.2108,14012319.94
1587686400000,0.1952,0.2153,0.1932,0.209,20376480.84
1587600000000,0.1872,0.2,0.1807,0.1952,11916550.59
1587513600000,0.178,0.1878,0.1761,0.1872,6741691.19
1587427200000,0.1763,0.1811,0.1736,0.1776,7541121.16
1587340800000,0.1878,0.1941,0.1732,0.1765,14510302.79
1587254400000,0.1987,0.1992,0.1854,0.1875,10400412.05
1587168000000,0.1878,0.2014,0.1873,0.1987,11139797.87
1587081600000,0.1858,0.1932,0.183,0.1878,11532369.5
1586995200000,0.1681,0.19,0.1641,0.1857,19031855.38
1586908800000,0.1782,0.1829,0.159,0.1687,13709954.16
1586822400000,0.1754,0.1826,0.1705,0.1783,11111729.98
1586736000000,0.1773,0.1789,0.1679,0.1755,15504369.6
1586649600000,0.1794,0.189,0.1742,0.1773,12089660.91
1586563200000,0.1786,0.186,0.1729,0.1795,9801469.71
1586476800000,0.2,0.2004,0.1703,0.1786,21617333.73
1586390400000,0.2034,0.2108,0.195,0.2,16280431.2
1586304000000,0.1854,0.2059,0.1843,0.2039,12255075.81
1586217600000,0.1879,0.1993,0.1801,0.1856,18048051.77
1586131200000,0.1718,0.1888,0.1692,0.1876,15404014.9
1586044800000,0.1776,0.1844,0.1668,0.1718,21611656.05
1585958400000,0.1585,0.1792,0.1582,0.1772,20035325.6
1585872000000,0.1578,0.1621,0.1546,0.1586,9609555.69
1585785600000,0.1541,0.1638,0.1532,0.158,17532120.91
1585699200000,0.1538,0.1558,0.1483,0.154,11855432.55
1585612800000,0.1545,0.1578,0.1512,0.154,8735708.38
1585526400000,0.1441,0.1567,0.1433,0.1547,14694142.7
1585440000000,0.1499,0.1524,0.1422,0.1441,7506172.51
1585353600000,0.1538,0.1539,0.143,0.1499,10771529.11
1585267200000,0.1586,0.1688,0.1524,0.1538,17855259.62
1585180800000,0.1539,0.1598,0.1503,0.159,11839876.87
1585094400000,0.1594,0.1619,0.1503,0.1536,12742393.56
1585008000000,0.16,0.164,0.1521,0.1598,15665049.17
1584921600000,0.1452,0.1629,0.1412,0.1595,11756142.91
1584835200000,0.1524,0.1695,0.1434,0.1455,25032633.22
1584748800000,0.158,0.1649,0.1441,0.153,13003799.31
1584662400000,0.1574,0.1863,0.1438,0.1578,21916848.64
1584576000000,0.1407,0.1696,0.1391,0.1574,17997764.15
1584489600000,0.139,0.1452,0.127,0.1409,13351560.29
1584403200000,0.1265,0.1498,0.1238,0.139,17648324.44
1584316800000,0.1471,0.1473,0.115,0.1266,20956613.16
1584230400000,0.1475,0.162,0.1417,0.1471,18030700.63
1584144000000,0.1517,0.167,0.1439,0.1473,12749848.62
1584057600000,0.1348,0.1784,0.0958,0.1527,37202685.57
1583971200000,0.271,0.2714,0.13,0.1343,30353476.3
1583884800000,0.2828,0.2887,0.2489,0.2706,9841617.78
