date,open,high,low,close,volume
1594022400000,0.228,0.2283,0.2269,0.2272,102361.8
1594018800000,0.23,0.2313,0.2262,0.228,1466629.07
1594015200000,0.2254,0.2299,0.2254,0.2299,1108853.23
1594011600000,0.2223,0.2255,0.2215,0.2254,823803.18
1594008000000,0.2177,0.2231,0.2176,0.222,1076874.08
1594004400000,0.2171,0.2178,0.2162,0.2176,197913.45
1594000800000,0.2166,0.2183,0.2163,0.2172,220021.38
1593997200000,0.216,0.2177,0.2158,0.2163,240878.12
1593993600000,0.2154,0.2168,0.2154,0.2161,279908.3
1593990000000,0.2143,0.2159,0.2137,0.2154,127619.38
1593986400000,0.2127,0.2154,0.2115,0.2141,385752.02
1593982800000,0.2128,0.2151,0.2079,0.2127,1043257.7
1593979200000,0.2139,0.215,0.2125,0.2125,224037.12
1593975600000,0.2127,0.2142,0.2127,0.2138,280561.33
1593972000000,0.2124,0.2129,0.2112,0.2127,171693.6
1593968400000,0.2115,0.2125,0.2109,0.2123,170245.53
1593964800000,0.2118,0.2128,0.2113,0.2117,179923.9
1593961200000,0.2122,0.2131,0.2115,0.2115,149884.23
1593957600000,0.2108,0.2125,0.2101,0.2121,296312.26
1593954000000,0.2136,0.214,0.2106,0.2108,454334.35
1593950400000,0.2134,0.2141,0.2109,0.214,404148.29
1593946800000,0.2123,0.2145,0.2121,0.2131,326363.43
1593943200000,0.2111,0.213,0.2104,0.2124,393597.87
1593939600000,0.2135,0.2138,0.2101,0.2113,557708.62
1593936000000,0.2136,0.214,0.2132,0.2132,115610.78
1593932400000,0.2134,0.215,0.2132,0.2137,152122.24
1593928800000,0.2128,0.2149,0.2122,0.2135,657117.82
1593925200000,0.2169,0.217,0.212,0.2128,893196.37
1593921600000,0.2166,0.217,0.2157,0.2169,104473.6
1593918000000,0.2163,0.2165,0.2151,0.2161,179565.7
1593914400000,0.2155,0.2167,0.2154,0.216,222501.84
1593910800000,0.219,0.2191,0.2146,0.2154,265855.45
1593907200000,0.2172,0.2192,0.2172,0.219,379449.15
1593903600000,0.2159,0.2178,0.2153,0.2177,179029.79
1593900000000,0.2158,0.216,0.2152,0.2158,113355.04
1593896400000,0.2168,0.2176,0.2152,0.2154,405298.52
1593892800000,0.2143,0.2173,0.2142,0.2171,308961.33
1593889200000,0.2143,0.2149,0.2127,0.2143,187558.62
1593885600000,0.2138,0.2158,0.2136,0.2144,551360.28
1593882000000,0.211,0.2153,0.2106,0.2134,614799.28
1593878400000,0.21,0.2114,0.2094,0.2113,289307.53
1593874800000,0.2116,0.2119,0.2092,0.21,356700.83
1593871200000,0.2127,0.213,0.2108,0.2116,170658.02
1593867600000,0.213,0.2132,0.2126,0.2126,156721.73
1593864000000,0.2097,0.213,0.2088,0.213,300965.42
1593860400000,0.2096,0.2122,0.2094,0.2099,420234.0
1593856800000,0.2105,0.2118,0.2097,0.21,246554.46
1593853200000,0.2067,0.2121,0.2064,0.2107,741799.96
1593849600000,0.206,0.2067,0.2056,0.2067,188093.79
1593846000000,0.2065,0.2065,0.2053,0.2061,287965.72
1593842400000,0.2054,0.2069,0.2051,0.2067,135296.43
1593838800000,0.205,0.2058,0.205,0.2057,127702.87
1593835200000,0.2049,0.2053,0.2041,0.2048,95804.82
1593831600000,0.2052,0.2057,0.2046,0.2049,170255.88
1593828000000,0.2042,0.206,0.2039,0.2052,175139.18
1593824400000,0.2047,0.2049,0.2037,0.2044,66137.48
1593820800000,0.2034,0.2052,0.2031,0.2047,97955.31
1593817200000,0.2067,0.2068,0.2022,0.2034,1053618.7
1593813600000,0.2069,0.2072,0.2064,0.2067,42284.89
1593810000000,0.2072,0.2072,0.2065,0.2068,97189.45
1593806400000,0.2069,0.2072,0.2065,0.2072,36256.19
1593802800000,0.2069,0.2071,0.2064,0.2069,114067.78
1593799200000,0.2078,0.2084,0.2068,0.2069,196493.68
1593795600000,0.2067,0.2084,0.2064,0.2079,344723.32
1593792000000,0.2057,0.2075,0.2052,0.2067,201092.71
1593788400000,0.2055,0.2065,0.2052,0.2055,212036.32
1593784800000,0.2067,0.2077,0.2042,0.2058,396020.78
1593781200000,0.2044,0.2072,0.2041,0.2067,589482.74
1593777600000,0.2042,0.2046,0.2039,0.2041,85169.97
1593774000000,0.2038,0.2042,0.2031,0.2042,279805.83
1593770400000,0.2044,0.2046,0.203,0.2038,273908.25
1593766800000,0.2051,0.206,0.202,0.2044,549981.16
1593763200000,0.2053,0.2075,0.2049,0.2051,491076.66
1593759600000,0.2049,0.2057,0.2046,0.2057,135961.69
1593756000000,0.2062,0.2063,0.2046,0.2046,94000.5
1593752400000,0.2043,0.2061,0.204,0.2058,360286.02
1593748800000,0.2041,0.206,0.2034,0.2045,169950.64
1593745200000,0.2042,0.2047,0.2038,0.2041,119052.74
1593741600000,0.2051,0.2064,0.2037,0.204,193734.88
1593738000000,0.2044,0.2054,0.204,0.2052,88874.39
1593734400000,0.2049,0.2049,0.2031,0.2039,195197.83
1593730800000,0.2044,0.205,0.2041,0.2046,127340.69
1593727200000,0.205,0.2063,0.2039,0.2046,406574.12
1593723600000,0.2045,0.2064,0.2041,0.205,156567.68
1593720000000,0.2041,0.205,0.2038,0.2045,126566.79
1593716400000,0.2067,0.2067,0.2036,0.2041,1031282.84
1593712800000,0.2067,0.2071,0.204,0.2067,308340.83
1593709200000,0.2044,0.2071,0.2035,0.207,302969.11
1593705600000,0.2045,0.2069,0.2007,0.2045,1258659.99
1593702000000,0.2127,0.2128,0.2007,0.2041,3267877.7
