date,open,high,low,close,volume
1593993600000,2.933,3.107,2.921,3.101,1303111.72
1593907200000,2.781,2.988,2.746,2.93,3219511.271
1593820800000,2.688,2.789,2.68,2.779,1307381.195
1593734400000,2.661,2.809,2.642,2.69,2003578.045
1593648000000,2.659,2.79,2.6,2.659,1831861.133
1593561600000,2.592,2.68,2.573,2.659,869063.742
1593475200000,2.644,2.675,2.573,2.595,791009.633
1593388800000,2.507,2.681,2.472,2.646,2523948.55
1593302400000,2.429,2.557,2.391,2.504,966662.616
1593216000000,2.623,2.718,2.288,2.429,3296009.93
1593129600000,2.624,2.655,2.515,2.622,1446848.928
1593043200000,2.684,2.694,2.55,2.624,1034585.142
1592956800000,2.776,2.881,2.64,2.685,2540884.312
1592870400000,2.688,2.843,2.656,2.774,2033665.056
1592784000000,2.599,2.72,2.599,2.688,1008443.217
1592697600000,2.623,2.636,2.578,2.599,657318.515
1592611200000,2.6,2.626,2.542,2.62,610034.686
1592524800000,2.642,2.653,2.574,2.597,633416.807
1592438400000,2.703,2.703,2.611,2.643,660869.122
1592352000000,2.729,2.743,2.648,2.703,730865.884
1592265600000,2.705,2.765,2.674,2.729,731936.875
1592179200000,2.756,2.781,2.54,2.705,1211364.998
1592092800000,2.874,2.878,2.718,2.756,694350.26
1592006400000,2.862,2.901,2.816,2.873,656336.142
1591920000000,2.765,2.925,2.735,2.862,746692.22
1591833600000,3.117,3.138,2.72,2.763,1755330.371
1591747200000,3.117,3.13,2.955,3.114,1154464.749
1591660800000,3.157,3.186,3.074,3.117,973545.69
1591574400000,3.022,3.163,2.994,3.155,890067.444
1591488000000,3.056,3.111,2.865,3.02,1278663.145
1591401600000,3.092,3.155,3.039,3.056,923471.786
1591315200000,3.109,3.2,3.037,3.093,2036787.03
1591228800000,2.908,3.159,2.892,3.11,2661551.413
1591142400000,2.758,2.917,2.733,2.906,1149177.327
1591056000000,2.862,2.963,2.64,2.761,2015909.066
1590969600000,2.728,2.865,2.712,2.862,1159916.32
1590883200000,2.817,2.888,2.7,2.728,1482193.036
1590796800000,2.678,2.834,2.643,2.817,1221691.364
1590710400000,2.671,2.7,2.624,2.677,880704.857
1590624000000,2.606,2.678,2.568,2.671,907546.421
1590537600000,2.583,2.705,2.573,2.601,1236695.088
1590451200000,2.612,2.629,2.537,2.583,1084247.576
1590364800000,2.492,2.64,2.458,2.612,989497.243
1590278400000,2.592,2.651,2.49,2.495,627848.611
1590192000000,2.65,2.673,2.573,2.592,692468.157
1590105600000,2.513,2.684,2.487,2.65,951768.616
1590019200000,2.705,2.734,2.446,2.513,1984287.406
1589932800000,2.617,2.71,2.52,2.705,2142782.554
1589846400000,2.6,2.625,2.523,2.617,1100180.163
1589760000000,2.544,2.662,2.54,2.6,805416.458
1589673600000,2.555,2.64,2.532,2.544,650551.645
1589587200000,2.473,2.573,2.447,2.555,622360.82
1589500800000,2.531,2.578,2.421,2.473,941081.977
1589414400000,2.54,2.569,2.457,2.528,1600397.861
1589328000000,2.485,2.587,2.437,2.54,784589.719
1589241600000,2.393,2.529,2.381,2.486,991948.004
1589155200000,2.508,2.558,2.267,2.394,1617563.41
1589068800000,2.75,2.75,2.324,2.514,1734408.862
1588982400000,2.805,2.855,2.715,2.75,1435602.667
1588896000000,2.728,2.855,2.675,2.806,1439678.066
1588809600000,2.627,2.8,2.6,2.725,1564125.166
1588723200000,2.708,2.764,2.614,2.619,1136978.735
1588636800000,2.761,2.787,2.655,2.707,1111698.388
1588550400000,2.777,2.803,2.57,2.761,1413991.785
1588464000000,2.873,2.909,2.73,2.774,849094.587
1588377600000,2.828,2.897,2.797,2.873,612877.751
1588291200000,2.733,2.933,2.732,2.828,1182842.253
1588204800000,2.93,3.077,2.695,2.734,2694763.707
1588118400000,2.795,2.986,2.783,2.929,1832404.184
1588032000000,2.767,2.85,2.706,2.793,1155468.96
1587945600000,2.808,2.834,2.651,2.767,962849.631
1587859200000,2.869,2.902,2.757,2.808,1513843.948
1587772800000,2.748,2.962,2.668,2.871,3190424.065
1587686400000,2.424,2.805,2.42,2.748,3714015.167
1587600000000,2.39,2.498,2.33,2.427,1216592.335
1587513600000,2.27,2.413,2.26,2.388,628679.019
1587427200000,2.271,2.325,2.254,2.271,867054.997
1587340800000,2.381,2.443,2.259,2.271,1743734.575
1587254400000,2.51,2.543,2.373,2.382,1245748.836
1587168000000,2.369,2.523,2.367,2.509,979325.051
1587081600000,2.419,2.431,2.351,2.367,699747.219
1586995200000,2.27,2.45,2.19,2.422,1364579.868
1586908800000,2.358,2.435,2.265,2.27,1237217.262
1586822400000,2.26,2.446,2.22,2.361,2021415.0
1586736000000,2.296,2.296,2.171,2.259,1120169.309
1586649600000,2.303,2.401,2.247,2.299,969889.462
