date,open,high,low,close,volume
1594022400000,3.1,3.107,3.06,3.093,61193.167
1594018800000,3.063,3.106,3.028,3.104,145133.015
1594015200000,3.073,3.089,3.036,3.062,148689.616
1594011600000,3.031,3.075,3.012,3.072,228072.639
1594008000000,2.998,3.033,2.994,3.03,108485.88
1594004400000,2.989,3.0,2.955,2.997,150654.753
1594000800000,2.989,3.029,2.986,2.986,173437.602
1593997200000,2.976,2.999,2.961,2.992,169989.802
1593993600000,2.933,2.98,2.921,2.973,90949.805
1593990000000,2.907,2.944,2.904,2.93,61831.186
1593986400000,2.886,2.913,2.868,2.905,109515.635
1593982800000,2.892,2.925,2.807,2.886,266462.844
1593979200000,2.936,2.941,2.888,2.892,119955.805
1593975600000,2.954,2.97,2.925,2.935,87895.332
1593972000000,2.93,2.988,2.912,2.954,218086.62
1593968400000,2.905,2.947,2.89,2.93,286023.811
1593964800000,2.828,2.921,2.826,2.906,471181.723
1593961200000,2.806,2.835,2.805,2.828,102868.716
1593957600000,2.775,2.812,2.765,2.804,117547.125
1593954000000,2.818,2.819,2.775,2.78,107339.776
1593950400000,2.807,2.823,2.774,2.816,81606.684
1593946800000,2.793,2.84,2.791,2.805,109218.466
1593943200000,2.779,2.8,2.765,2.793,86264.923
1593939600000,2.832,2.834,2.768,2.779,111771.195
1593936000000,2.827,2.84,2.814,2.832,44553.58
1593932400000,2.825,2.833,2.804,2.828,37218.826
1593928800000,2.811,2.855,2.806,2.827,119756.421
1593925200000,2.865,2.87,2.796,2.813,154377.424
1593921600000,2.785,2.867,2.781,2.866,329450.091
1593918000000,2.758,2.795,2.752,2.788,36887.075
1593914400000,2.777,2.783,2.746,2.758,64610.62
1593910800000,2.78,2.781,2.764,2.781,13936.876
1593907200000,2.781,2.805,2.775,2.781,81150.517
1593903600000,2.743,2.789,2.734,2.779,106963.296
1593900000000,2.742,2.755,2.733,2.743,37699.405
1593896400000,2.751,2.759,2.731,2.74,36224.374
1593892800000,2.752,2.762,2.745,2.749,25687.445
1593889200000,2.745,2.754,2.729,2.749,14204.807
1593885600000,2.749,2.753,2.73,2.746,29015.789
1593882000000,2.724,2.76,2.713,2.746,104217.898
1593878400000,2.728,2.75,2.704,2.723,121175.253
1593874800000,2.746,2.748,2.71,2.729,48187.757
1593871200000,2.744,2.75,2.739,2.744,15027.595
1593867600000,2.738,2.758,2.722,2.744,65752.694
1593864000000,2.723,2.754,2.711,2.737,74207.293
1593860400000,2.734,2.747,2.723,2.727,63328.902
1593856800000,2.754,2.755,2.724,2.734,50001.61
1593853200000,2.757,2.766,2.746,2.752,47959.091
1593849600000,2.746,2.763,2.74,2.759,61124.793
1593846000000,2.748,2.772,2.742,2.748,30468.927
1593842400000,2.746,2.77,2.743,2.751,66711.311
1593838800000,2.733,2.752,2.724,2.747,43494.98
1593835200000,2.733,2.74,2.724,2.734,24120.328
1593831600000,2.757,2.766,2.717,2.732,77837.477
1593828000000,2.722,2.77,2.72,2.756,61135.457
1593824400000,2.709,2.727,2.704,2.722,29892.764
1593820800000,2.688,2.715,2.68,2.708,72941.949
1593817200000,2.719,2.719,2.669,2.69,85917.499
1593813600000,2.725,2.732,2.704,2.718,32594.395
1593810000000,2.709,2.726,2.708,2.723,23668.576
1593806400000,2.704,2.708,2.698,2.708,20287.717
1593802800000,2.702,2.708,2.689,2.704,26848.379
1593799200000,2.711,2.713,2.7,2.701,39456.612
1593795600000,2.711,2.728,2.711,2.711,17182.799
1593792000000,2.744,2.761,2.689,2.711,170042.433
1593788400000,2.745,2.762,2.729,2.748,158517.053
1593784800000,2.77,2.784,2.729,2.742,181552.119
1593781200000,2.782,2.809,2.761,2.769,172998.213
1593777600000,2.753,2.782,2.753,2.782,111009.446
1593774000000,2.698,2.769,2.693,2.755,188950.979
1593770400000,2.717,2.729,2.691,2.7,46479.036
1593766800000,2.739,2.749,2.692,2.719,70511.887
1593763200000,2.754,2.778,2.736,2.739,97584.402
1593759600000,2.74,2.763,2.725,2.754,33380.649
1593756000000,2.741,2.77,2.728,2.74,75877.626
1593752400000,2.708,2.745,2.683,2.745,89929.852
1593748800000,2.683,2.71,2.681,2.706,28241.337
1593745200000,2.695,2.698,2.678,2.683,61922.643
1593741600000,2.7,2.749,2.694,2.695,194910.791
1593738000000,2.67,2.7,2.67,2.7,29224.32
1593734400000,2.661,2.679,2.642,2.668,46489.282
1593730800000,2.66,2.674,2.647,2.659,47108.91
1593727200000,2.66,2.675,2.647,2.661,47606.937
1593723600000,2.654,2.686,2.647,2.66,19432.145
1593720000000,2.64,2.662,2.627,2.653,24304.487
1593716400000,2.65,2.669,2.625,2.64,64073.189
1593712800000,2.648,2.656,2.61,2.649,51900.006
1593709200000,2.641,2.654,2.624,2.651,59726.716
1593705600000,2.657,2.675,2.6,2.643,161251.491
1593702000000,2.726,2.728,2.649,2.657,259020.485
1593698400000,2.77,2.77,2.726,2.726,55846.065
1593694800000,2.769,2.79,2.765,2.771,92495.561
1593691200000,2.736,2.777,2.736,2.768,162172.764
1593687600000,2.716,2.739,2.687,2.739,189150.185
1593684000000,2.707,2.717,2.681,2.715,139716.948
1593680400000,2.686,2.711,2.682,2.703,44571.487
1593676800000,2.693,2.696,2.658,2.684,66285.343
1593673200000,2.654,2.697,2.653,2.693,69510.561
1593669600000,2.656,2.663,2.641,2.653,38227.199
1593666000000,2.691,2.708,2.657,2.658,47276.562
1593662400000,2.692,2.712,2.683,2.687,26985.804
1593658800000,2.687,2.719,2.682,2.692,70774.488
1593655200000,2.659,2.693,2.659,2.688,61569.054
1593651600000,2.65,2.661,2.643,2.659,14854.251
1593648000000,2.659,2.673,2.645,2.652,18000.495
1593644400000,2.668,2.668,2.653,2.659,10172.517
1593640800000,2.665,2.674,2.651,2.665,34874.156
1593637200000,2.663,2.68,2.663,2.666,12132.15
1593633600000,2.637,2.665,2.637,2.665,42614.162
1593630000000,2.665,2.678,2.63,2.637,59387.138
1593626400000,2.679,2.679,2.665,2.667,28855.2
1593622800000,2.659,2.68,2.656,2.677,51860.261
1593619200000,2.636,2.659,2.631,2.659,44481.744
1593615600000,2.623,2.636,2.621,2.636,21998.446
1593612000000,2.63,2.639,2.619,2.62,65912.607
1593608400000,2.61,2.634,2.597,2.625,84892.738
1593604800000,2.61,2.615,2.601,2.61,19440.947
1593601200000,2.617,2.617,2.6,2.607,20498.797
1593597600000,2.618,2.626,2.616,2.617,12231.584
1593594000000,2.621,2.627,2.616,2.621,10293.466
1593590400000,2.6,2.631,2.596,2.618,42600.434
1593586800000,2.605,2.613,2.597,2.6,14503.014
1593583200000,2.621,2.623,2.591,2.605,74948.481
1593579600000,2.638,2.639,2.62,2.622,23884.337
1593576000000,2.649,2.663,2.637,2.639,45860.105
1593572400000,2.586,2.65,2.579,2.645,108108.752
1593568800000,2.587,2.596,2.582,2.586,7493.015
1593565200000,2.585,2.587,2.579,2.587,6798.595
1593561600000,2.592,2.592,2.573,2.587,25221.096
1593558000000,2.596,2.604,2.595,2.595,21704.637
1593554400000,2.596,2.597,2.592,2.595,12066.578
1593550800000,2.596,2.606,2.595,2.599,21310.959
1593547200000,2.588,2.601,2.588,2.596,13457.385
1593543600000,2.579,2.594,2.576,2.588,13166.028
1593540000000,2.584,2.587,2.578,2.579,15078.316
1593536400000,2.607,2.607,2.576,2.586,44246.952
1593532800000,2.607,2.611,2.602,2.608,15633.464
1593529200000,2.611,2.623,2.601,2.607,32961.202
1593525600000,2.604,2.614,2.603,2.611,9146.089
1593522000000,2.609,2.612,2.573,2.607,101513.658
1593518400000,2.645,2.647,2.593,2.61,57945.428
1593514800000,2.655,2.655,2.637,2.648,7601.372
1593511200000,2.646,2.658,2.627,2.655,48977.439
1593507600000,2.635,2.656,2.634,2.649,21493.516
1593504000000,2.646,2.647,2.63,2.635,28418.222
1593500400000,2.649,2.65,2.641,2.646,6559.691
1593496800000,2.63,2.65,2.63,2.649,22483.959
1593493200000,2.609,2.66,2.602,2.632,75576.998
1593489600000,2.611,2.634,2.61,2.61,50370.768
1593486000000,2.631,2.632,2.601,2.612,74178.569
1593482400000,2.654,2.654,2.627,2.627,22642.767
1593478800000,2.659,2.659,2.639,2.655,26994.183
1593475200000,2.644,2.675,2.644,2.659,47481.453
1593471600000,2.649,2.649,2.637,2.646,13550.05
1593468000000,2.662,2.678,2.63,2.643,62796.575
1593464400000,2.668,2.676,2.653,2.658,24526.775
1593460800000,2.623,2.681,2.623,2.668,129688.609
1593457200000,2.608,2.624,2.605,2.622,38581.253
1593453600000,2.632,2.634,2.596,2.603,50903.426
1593450000000,2.618,2.631,2.608,2.631,47038.2
1593446400000,2.61,2.625,2.594,2.617,57833.482
1593442800000,2.579,2.626,2.576,2.612,50448.177
1593439200000,2.576,2.602,2.575,2.581,63863.4
1593435600000,2.609,2.612,2.564,2.572,82210.347
1593432000000,2.598,2.635,2.587,2.605,136719.226
1593428400000,2.57,2.621,2.531,2.599,540391.839
1593424800000,2.582,2.582,2.57,2.57,13517.077
1593421200000,2.576,2.595,2.555,2.582,55444.619
1593417600000,2.526,2.604,2.516,2.575,431566.116
1593414000000,2.52,2.541,2.502,2.527,57713.459
1593410400000,2.571,2.572,2.492,2.52,103935.659
1593406800000,2.477,2.59,2.477,2.57,453862.735
1593403200000,2.479,2.484,2.472,2.479,24638.082
1593399600000,2.49,2.49,2.476,2.481,11305.877
1593396000000,2.514,2.517,2.488,2.49,30029.13
1593392400000,2.503,2.518,2.499,2.513,24352.64
1593388800000,2.507,2.511,2.495,2.501,19031.797
1593385200000,2.5,2.513,2.5,2.504,23363.305
1593381600000,2.498,2.5,2.484,2.496,33586.727
1593378000000,2.501,2.506,2.489,2.498,19207.729
1593374400000,2.479,2.52,2.472,2.498,49843.742
1593370800000,2.53,2.534,2.475,2.479,61318.492
1593367200000,2.524,2.541,2.522,2.53,15920.069
1593363600000,2.533,2.533,2.51,2.525,28574.62
1593360000000,2.539,2.557,2.529,2.537,65663.914
1593356400000,2.522,2.54,2.511,2.539,61350.225
1593352800000,2.48,2.529,2.48,2.519,63955.099
1593349200000,2.487,2.488,2.477,2.48,11511.478
1593345600000,2.503,2.507,2.454,2.485,49434.29
1593342000000,2.509,2.525,2.498,2.499,19608.214
1593338400000,2.519,2.522,2.5,2.508,67230.715
1593334800000,2.485,2.523,2.483,2.52,27601.465
1593331200000,2.477,2.491,2.458,2.484,74330.088
1593327600000,2.466,2.479,2.461,2.475,42879.051
1593324000000,2.428,2.465,2.426,2.465,34357.006
1593320400000,2.406,2.444,2.406,2.429,33542.461
1593306000000,2.407,2.422,2.396,2.401,50320.209
1593302400000,2.429,2.429,2.391,2.406,133063.717
1593298800000,2.399,2.437,2.385,2.429,77896.734
1593295200000,2.404,2.414,2.39,2.395,267243.176
1593291600000,2.42,2.446,2.288,2.404,985825.204
1593288000000,2.443,2.483,2.398,2.418,484292.658
1593284400000,2.574,2.58,2.35,2.446,265019.619
1593280800000,2.592,2.592,2.557,2.576,83462.027
1593277200000,2.63,2.655,2.586,2.593,81811.511
1593273600000,2.683,2.688,2.607,2.633,151674.171
1593270000000,2.668,2.718,2.668,2.679,179511.21
1593266400000,2.667,2.681,2.643,2.668,132141.094
1593262800000,2.633,2.668,2.632,2.665,83990.794
1593259200000,2.627,2.64,2.625,2.632,47355.984
1593255600000,2.623,2.632,2.602,2.627,64041.226
1593252000000,2.616,2.633,2.607,2.621,101480.852
1593248400000,2.633,2.635,2.616,2.616,29735.094
1593244800000,2.616,2.637,2.614,2.632,49438.514
1593241200000,2.61,2.622,2.596,2.616,72155.75
1593237600000,2.597,2.612,2.594,2.61,11855.957
1593234000000,2.602,2.603,2.592,2.595,24928.383
1593230400000,2.6,2.602,2.592,2.598,5706.78
1593226800000,2.594,2.605,2.579,2.6,53434.334
1593223200000,2.61,2.611,2.584,2.591,12417.617
1593219600000,2.611,2.614,2.593,2.61,12705.704
1593216000000,2.623,2.625,2.608,2.608,17885.537
1593212400000,2.629,2.631,2.619,2.622,25409.824
1593208800000,2.64,2.645,2.629,2.629,25056.519
1593205200000,2.639,2.645,2.635,2.642,12628.832
1593201600000,2.65,2.655,2.638,2.638,45058.169
1593198000000,2.635,2.654,2.63,2.65,52957.402
1593194400000,2.628,2.643,2.622,2.631,54951.095
1593190800000,2.597,2.63,2.595,2.63,45829.607
1593187200000,2.561,2.602,2.56,2.597,121733.562
1593183600000,2.559,2.592,2.559,2.561,20327.693
1593180000000,2.584,2.584,2.533,2.556,90265.381
1593176400000,2.594,2.604,2.585,2.585,36192.929
1593172800000,2.583,2.598,2.567,2.593,49923.791
1593169200000,2.562,2.585,2.549,2.585,60173.657
1593165600000,2.555,2.569,2.552,2.558,41791.909
