date,open,high,low,close,volume
1594022400000,1.1232,1.1246,1.1148,1.1164,16167.23
1594018800000,1.1182,1.1439,1.1151,1.1238,147962.8
1594015200000,1.0962,1.122,1.0958,1.1174,51462.94
1594011600000,1.0862,1.098,1.0801,1.0962,70135.04
1594008000000,1.0832,1.0887,1.08,1.0862,28175.23
1594004400000,1.0798,1.0845,1.077,1.0832,15000.79
1594000800000,1.079,1.0846,1.0761,1.0796,18444.83
1593997200000,1.0817,1.086,1.076,1.079,16849.77
1593993600000,1.0935,1.097,1.0683,1.0817,42975.0
1593990000000,1.0907,1.1035,1.0899,1.0932,14452.53
1593986400000,1.0869,1.095,1.0868,1.0922,8102.58
1593982800000,1.0878,1.0949,1.0767,1.0879,30714.89
1593979200000,1.0896,1.0924,1.0876,1.0878,3389.11
1593975600000,1.0903,1.0952,1.0896,1.0896,6825.38
1593972000000,1.0885,1.0953,1.0884,1.0904,5148.58
1593968400000,1.095,1.1,1.0883,1.0886,15673.06
1593964800000,1.0923,1.0983,1.0921,1.095,6429.79
1593961200000,1.0866,1.1068,1.0866,1.0921,11087.79
1593957600000,1.0864,1.0915,1.085,1.086,18614.07
1593954000000,1.0924,1.0934,1.0861,1.0864,11560.72
1593950400000,1.0903,1.0934,1.0861,1.0924,23324.56
1593946800000,1.0877,1.0937,1.0877,1.089,5797.14
1593943200000,1.1072,1.1086,1.0821,1.0879,42122.16
1593939600000,1.1039,1.13,1.1022,1.1053,35568.43
1593936000000,1.1101,1.1127,1.1035,1.1042,35519.73
1593932400000,1.1215,1.1294,1.1066,1.1101,23911.99
1593928800000,1.1151,1.1389,1.1102,1.1214,75754.69
1593925200000,1.1219,1.1257,1.1148,1.116,22701.59
1593921600000,1.12,1.1362,1.1178,1.1237,21772.06
1593918000000,1.1165,1.1274,1.1165,1.1201,15213.67
1593914400000,1.1168,1.122,1.1152,1.1165,9664.46
1593910800000,1.1151,1.1191,1.1112,1.1168,7215.33
1593907200000,1.1073,1.1191,1.1062,1.115,14737.05
1593903600000,1.1052,1.1101,1.1035,1.1073,4189.86
1593900000000,1.102,1.1068,1.102,1.1035,6886.0
1593896400000,1.107,1.107,1.1013,1.1043,9010.53
1593892800000,1.1072,1.109,1.104,1.107,6697.3
1593889200000,1.1084,1.1113,1.1036,1.1072,5920.26
1593885600000,1.1106,1.1131,1.1017,1.1084,11716.85
1593882000000,1.0979,1.1126,1.0974,1.1106,20172.54
1593878400000,1.0979,1.1021,1.0972,1.0979,9089.68
1593874800000,1.1187,1.121,1.0954,1.0998,41228.16
1593871200000,1.1082,1.125,1.1082,1.1185,41547.97
1593867600000,1.0979,1.1108,1.0979,1.1082,19093.14
1593864000000,1.095,1.0979,1.0901,1.0961,24555.53
1593860400000,1.114,1.115,1.0943,1.095,38839.38
1593856800000,1.1331,1.145,1.114,1.114,93571.3
1593853200000,1.1143,1.14,1.1143,1.1331,56663.2
1593849600000,1.0942,1.1201,1.0942,1.1143,52649.64
1593846000000,1.0961,1.11,1.0917,1.0942,23853.91
1593842400000,1.0912,1.1032,1.0909,1.0983,26975.76
1593838800000,1.0887,1.0961,1.0879,1.0911,9747.46
1593835200000,1.0741,1.0921,1.0741,1.0878,34962.99
1593831600000,1.0758,1.0796,1.0716,1.0741,10566.78
1593828000000,1.074,1.0808,1.0727,1.0758,8616.19
1593824400000,1.0724,1.0782,1.0722,1.0743,6812.14
1593820800000,1.0777,1.0802,1.0717,1.0753,6297.5
1593817200000,1.0877,1.0882,1.0766,1.0795,8482.02
1593813600000,1.0893,1.091,1.0842,1.0877,7058.33
1593810000000,1.085,1.0904,1.085,1.0893,11318.65
1593806400000,1.0806,1.0875,1.0775,1.085,5026.69
1593802800000,1.0774,1.0838,1.0774,1.0806,16391.42
1593799200000,1.074,1.08,1.0739,1.0774,8953.73
1593795600000,1.0763,1.0811,1.073,1.0774,19450.26
1593792000000,1.075,1.0787,1.073,1.0764,19567.21
1593788400000,1.0741,1.0777,1.072,1.075,21950.04
1593784800000,1.0777,1.0821,1.074,1.077,15148.72
1593781200000,1.0722,1.0833,1.0722,1.0795,28449.2
1593777600000,1.0723,1.076,1.0668,1.0721,17977.74
1593774000000,1.063,1.0763,1.061,1.0723,10459.43
1593770400000,1.0614,1.0647,1.06,1.063,34362.38
1593766800000,1.063,1.0752,1.06,1.0612,39030.47
1593763200000,1.0703,1.0761,1.0607,1.0633,39311.1
1593759600000,1.0824,1.086,1.0679,1.0679,32467.66
1593756000000,1.0725,1.0864,1.0725,1.0824,17964.53
1593752400000,1.0695,1.0786,1.0647,1.0722,47040.84
1593748800000,1.0743,1.0751,1.0586,1.0667,64346.46
1593745200000,1.0899,1.0919,1.0611,1.0725,76939.24
1593741600000,1.0921,1.0965,1.0864,1.0899,31608.71
1593738000000,1.1008,1.1027,1.07,1.0939,162642.24
1593734400000,1.1005,1.1066,1.097,1.1008,12647.95
1593730800000,1.102,1.1108,1.095,1.1006,17224.84
1593727200000,1.1277,1.14,1.1,1.1039,77519.09
1593723600000,1.1289,1.1319,1.1182,1.1275,26422.71
1593720000000,1.1208,1.1296,1.1142,1.1289,32439.16
1593716400000,1.1223,1.131,1.12,1.1208,15933.84
1593712800000,1.1296,1.1297,1.1186,1.1223,15242.92
1593709200000,1.1239,1.1326,1.1129,1.1296,30599.56
1593705600000,1.1356,1.1391,1.1,1.1229,120982.72
1593702000000,1.166,1.166,1.129,1.1356,94317.86
1593698400000,1.1668,1.1902,1.165,1.165,101494.49
1593694800000,1.1973,1.2296,1.1628,1.1648,193184.1
1593691200000,1.1328,1.1987,1.1303,1.1982,183615.49
1593687600000,1.1441,1.1495,1.1328,1.1328,39321.38
1593684000000,1.1243,1.1496,1.1212,1.1441,51469.44
1593680400000,1.1223,1.1268,1.1198,1.1268,10146.15
1593676800000,1.1196,1.13,1.1196,1.1243,19466.17
1593673200000,1.1224,1.1274,1.1183,1.1196,11914.68
1593669600000,1.1185,1.1279,1.1179,1.1224,8770.11
1593666000000,1.1087,1.1232,1.1087,1.1185,27946.83
1593662400000,1.1146,1.1146,1.1073,1.1087,9657.94
1593658800000,1.126,1.1263,1.1124,1.1143,18062.21
1593655200000,1.1026,1.1355,1.1026,1.1224,44726.58
1593651600000,1.0867,1.1048,1.0867,1.1048,6981.61
1593648000000,1.0861,1.0931,1.0861,1.0867,6664.99
1593644400000,1.091,1.0957,1.085,1.0861,35095.7
1593640800000,1.102,1.1093,1.0904,1.091,7435.98
1593637200000,1.0852,1.12,1.0851,1.102,31048.79
1593633600000,1.0875,1.0885,1.085,1.0852,9975.07
1593630000000,1.0863,1.0895,1.0849,1.085,12271.29
1593626400000,1.0852,1.0901,1.085,1.0862,6279.23
1593622800000,1.098,1.098,1.0849,1.0852,16633.55
1593619200000,1.0978,1.0994,1.085,1.0957,20303.51
1593615600000,1.0986,1.0997,1.0948,1.095,12710.79
1593612000000,1.0959,1.1029,1.0929,1.0985,14572.29
1593608400000,1.0933,1.13,1.092,1.0921,89982.85
1593604800000,1.1043,1.1046,1.0843,1.0924,42571.67
1593601200000,1.1098,1.1118,1.1041,1.1056,3618.56
1593597600000,1.1038,1.1119,1.1038,1.1098,6376.28
1593594000000,1.102,1.1081,1.102,1.1038,6445.89
1593590400000,1.1034,1.107,1.102,1.102,11140.93
1593586800000,1.112,1.112,1.1033,1.1033,7998.34
1593583200000,1.11,1.1139,1.1041,1.112,7064.17
1593579600000,1.1031,1.1138,1.1028,1.11,15897.09
1593576000000,1.0959,1.1081,1.0959,1.1032,13932.47
1593572400000,1.0899,1.0952,1.0849,1.093,19092.2
1593568800000,1.09,1.0955,1.0899,1.0899,5704.87
1593565200000,1.0923,1.0956,1.09,1.0901,10634.18
1593561600000,1.0962,1.0978,1.0921,1.0923,7255.74
1593558000000,1.0954,1.101,1.0935,1.0959,8478.03
1593554400000,1.1001,1.102,1.0943,1.0943,6072.99
1593550800000,1.0982,1.1032,1.0982,1.1001,9549.38
1593547200000,1.0943,1.1018,1.0943,1.0982,6524.11
1593543600000,1.0971,1.102,1.0936,1.0943,14387.31
1593540000000,1.0962,1.0998,1.0929,1.0971,10513.66
1593536400000,1.1135,1.114,1.0939,1.0962,32878.86
1593532800000,1.1131,1.116,1.1105,1.1135,7389.66
1593529200000,1.1252,1.1278,1.1105,1.1105,27103.44
1593525600000,1.1176,1.1292,1.1155,1.125,17928.13
1593522000000,1.1208,1.1253,1.1066,1.1176,45841.94
1593518400000,1.1346,1.1425,1.12,1.1213,59398.78
1593514800000,1.1144,1.1357,1.1134,1.1342,26186.08
1593511200000,1.1073,1.1185,1.1063,1.1144,17012.42
1593507600000,1.1231,1.1231,1.1018,1.1079,39296.97
1593504000000,1.125,1.128,1.1211,1.1231,16861.7
1593500400000,1.1367,1.1399,1.125,1.125,25075.7
1593496800000,1.1475,1.148,1.133,1.1367,20693.5
1593493200000,1.1703,1.171,1.1464,1.1464,24819.66
1593489600000,1.1678,1.1777,1.1676,1.1704,17108.99
1593486000000,1.1631,1.1703,1.1587,1.1678,19696.46
1593482400000,1.1658,1.1686,1.16,1.1668,11849.39
1593478800000,1.152,1.1699,1.1504,1.1658,26703.01
1593475200000,1.1508,1.156,1.1503,1.1505,3795.93
1593471600000,1.1542,1.156,1.1443,1.1506,16248.02
1593468000000,1.1542,1.1617,1.144,1.1521,33842.87
1593464400000,1.1382,1.1567,1.1382,1.1542,32434.88
1593460800000,1.132,1.1411,1.1298,1.1411,9388.41
1593457200000,1.1459,1.1459,1.1305,1.132,21303.16
1593453600000,1.1332,1.1448,1.1315,1.1436,31814.34
1593450000000,1.1184,1.1348,1.1183,1.1304,25232.77
1593446400000,1.1231,1.1294,1.1154,1.1184,36359.22
1593442800000,1.1122,1.1244,1.1079,1.1231,8337.54
1593439200000,1.1007,1.1203,1.0996,1.1147,25893.24
1593435600000,1.131,1.1317,1.0971,1.098,37630.95
1593432000000,1.1065,1.1376,1.1065,1.131,40216.65
1593428400000,1.1071,1.1097,1.1024,1.1062,2627.69
1593424800000,1.1073,1.1129,1.0987,1.1047,9176.31
1593421200000,1.0835,1.1095,1.0826,1.1072,10618.88
1593417600000,1.0773,1.0838,1.0763,1.0819,9944.15
1593414000000,1.0797,1.0874,1.0766,1.0771,21850.72
1593410400000,1.0907,1.0931,1.0787,1.0796,24897.93
1593406800000,1.0914,1.0958,1.0878,1.0907,14277.0
1593403200000,1.0987,1.1011,1.0914,1.0931,11829.12
1593399600000,1.1051,1.1109,1.0989,1.0994,20806.38
1593396000000,1.106,1.1198,1.1016,1.1051,28237.69
1593392400000,1.106,1.1097,1.1054,1.106,6113.39
1593388800000,1.1058,1.1097,1.1035,1.106,3402.18
1593385200000,1.1071,1.1099,1.1044,1.1071,2941.22
1593381600000,1.1135,1.1147,1.1043,1.1045,14527.78
1593378000000,1.1221,1.125,1.1126,1.1147,13032.45
1593374400000,1.1129,1.125,1.1129,1.1221,35100.3
1593370800000,1.1036,1.1192,1.1036,1.1165,29276.55
1593367200000,1.1015,1.1075,1.101,1.1036,7103.61
1593363600000,1.105,1.109,1.1007,1.1016,25207.15
1593360000000,1.1021,1.125,1.1016,1.105,37212.31
1593356400000,1.1297,1.1297,1.1021,1.1021,41310.5
