date,open,high,low,close,volume
1593993600000,0.2464,0.2513,0.2439,0.2502,4806750.38
1593907200000,0.2496,0.2501,0.2412,0.2462,16257056.77
1593820800000,0.2417,0.2548,0.2409,0.2497,17124527.65
1593734400000,0.2422,0.2488,0.2401,0.2416,23186863.85
1593648000000,0.2564,0.2599,0.2417,0.2421,27285461.05
1593561600000,0.2514,0.2636,0.2501,0.2564,16821191.4
1593475200000,0.2621,0.2642,0.2501,0.2514,13674837.83
1593388800000,0.2641,0.269,0.2531,0.2617,25791471.39
1593302400000,0.271,0.2734,0.257,0.2635,45766044.14
1593216000000,0.272,0.2989,0.266,0.2709,81472206.21
1593129600000,0.2704,0.2737,0.2558,0.272,18847932.68
1593043200000,0.2495,0.2708,0.2402,0.2705,25318867.96
1592956800000,0.2583,0.2655,0.2421,0.2491,21737382.02
1592870400000,0.2448,0.263,0.2425,0.2582,25275961.13
1592784000000,0.2423,0.2509,0.2403,0.2444,25927489.32
1592697600000,0.2309,0.2503,0.23,0.2423,29464548.86
1592611200000,0.2176,0.2334,0.2161,0.2308,24284851.33
1592524800000,0.218,0.223,0.2139,0.2177,7109626.25
1592438400000,0.2236,0.2246,0.2145,0.2178,6891603.04
1592352000000,0.2254,0.2274,0.2167,0.2237,9094164.66
1592265600000,0.222,0.2283,0.2198,0.225,6000275.75
1592179200000,0.2237,0.2255,0.2067,0.2222,18261381.16
1592092800000,0.2327,0.239,0.2231,0.2236,12056975.18
1592006400000,0.2293,0.2342,0.2239,0.2324,7820621.67
1591920000000,0.2224,0.2355,0.2071,0.2295,17826449.78
1591833600000,0.2503,0.2553,0.219,0.222,22575571.25
1591747200000,0.2515,0.2524,0.2445,0.2502,17237531.84
1591660800000,0.2575,0.2596,0.248,0.2512,24096984.1
1591574400000,0.2346,0.2581,0.2327,0.2574,29395421.05
1591488000000,0.2368,0.24,0.2267,0.2346,10520395.97
1591401600000,0.2441,0.2452,0.235,0.237,11850969.19
1591315200000,0.2416,0.248,0.237,0.2443,24392610.95
1591228800000,0.2246,0.245,0.222,0.2414,31084926.18
1591142400000,0.2152,0.2252,0.21,0.2244,10086631.64
1591056000000,0.2245,0.2304,0.2012,0.2153,18516470.17
1590969600000,0.211,0.2255,0.2096,0.2239,13817043.38
1590883200000,0.2205,0.23,0.208,0.2113,21476692.42
1590796800000,0.2093,0.2213,0.2067,0.2204,15587510.82
1590710400000,0.2129,0.2153,0.2075,0.2092,11923532.16
1590624000000,0.2073,0.2141,0.2045,0.2128,15334993.75
1590537600000,0.2034,0.2078,0.2004,0.2074,12283348.69
1590451200000,0.2051,0.2092,0.1999,0.2035,16204008.29
1590364800000,0.1929,0.2061,0.1915,0.205,14662477.44
