date,open,high,low,close,volume
1594022400000,0.25,0.251,0.2499,0.2509,143832.99
1594018800000,0.2497,0.2502,0.2481,0.2501,595846.81
1594015200000,0.247,0.2498,0.2466,0.2497,1563064.24
1594011600000,0.2453,0.2472,0.2453,0.247,360385.0
1594008000000,0.245,0.2457,0.2443,0.2451,253489.04
1594004400000,0.2471,0.2471,0.2439,0.2453,604252.86
1594000800000,0.247,0.248,0.2464,0.2473,543965.09
1593997200000,0.2458,0.2479,0.2457,0.2473,296117.4
1593993600000,0.2464,0.2471,0.2449,0.2454,299791.32
1593990000000,0.2476,0.248,0.245,0.2462,622490.03
1593986400000,0.2451,0.2479,0.2442,0.2479,704415.56
1593982800000,0.2441,0.2454,0.2412,0.2449,987945.2
1593979200000,0.2479,0.248,0.2435,0.2442,1064274.99
1593975600000,0.2467,0.2479,0.2465,0.2479,596485.41
1593972000000,0.2465,0.2471,0.2459,0.2465,173528.07
1593968400000,0.2466,0.2476,0.2457,0.2468,407101.63
1593964800000,0.2451,0.2479,0.2448,0.2462,366011.98
1593961200000,0.2461,0.2471,0.2446,0.2448,310001.05
1593957600000,0.2437,0.2464,0.2434,0.2461,574114.75
1593954000000,0.245,0.2452,0.2428,0.2439,383872.51
1593950400000,0.2438,0.2453,0.2419,0.2452,731624.98
1593946800000,0.2439,0.2451,0.2427,0.2438,673063.44
1593943200000,0.2437,0.2459,0.2427,0.2439,706149.23
1593939600000,0.2476,0.2482,0.2427,0.244,1104603.86
1593936000000,0.2468,0.2487,0.246,0.2472,703758.13
1593932400000,0.2464,0.2477,0.2458,0.2469,264260.03
1593928800000,0.2445,0.2475,0.2442,0.2464,1164743.59
1593925200000,0.2458,0.2467,0.2432,0.245,1020137.31
1593921600000,0.2455,0.2465,0.2444,0.2461,563034.96
1593918000000,0.2464,0.2474,0.2441,0.2455,1578570.71
1593914400000,0.2481,0.2491,0.2455,0.2464,714852.69
1593910800000,0.248,0.2489,0.2476,0.2481,195958.45
1593907200000,0.2496,0.2501,0.2478,0.248,646058.21
1593903600000,0.2488,0.2503,0.2483,0.2497,297848.64
1593900000000,0.2491,0.2498,0.2477,0.2484,640473.97
1593896400000,0.2508,0.2512,0.2476,0.249,849922.84
1593892800000,0.2512,0.2519,0.25,0.2508,425933.82
1593889200000,0.2517,0.2518,0.2499,0.2506,317571.24
1593885600000,0.2518,0.2529,0.2508,0.2517,580554.79
1593882000000,0.2503,0.253,0.2491,0.2514,879348.36
1593878400000,0.2505,0.2513,0.2491,0.2505,408273.56
1593874800000,0.2513,0.2516,0.2487,0.2502,1118351.99
1593871200000,0.2517,0.2525,0.2503,0.251,353767.58
1593867600000,0.2503,0.253,0.2499,0.2516,821503.75
1593864000000,0.251,0.2535,0.2499,0.2506,634196.4
1593860400000,0.2504,0.2545,0.2504,0.251,816635.64
1593856800000,0.2516,0.2525,0.2499,0.2507,524725.28
1593853200000,0.2543,0.2548,0.2513,0.2518,737104.89
1593849600000,0.25,0.2547,0.25,0.2539,1744221.53
1593846000000,0.2482,0.2511,0.2478,0.2499,732693.56
1593842400000,0.2487,0.2494,0.247,0.2481,668470.96
1593838800000,0.2458,0.2495,0.2455,0.2489,1628903.12
1593835200000,0.2454,0.2463,0.2454,0.2462,219949.27
1593831600000,0.2455,0.246,0.2454,0.2457,263294.72
1593828000000,0.2423,0.2466,0.2422,0.2457,1189048.26
1593824400000,0.2426,0.244,0.2415,0.2422,958657.7
1593820800000,0.2417,0.2434,0.2409,0.2427,313075.78
1593817200000,0.2427,0.2429,0.2404,0.2416,824519.9
1593813600000,0.2441,0.2441,0.2422,0.2427,351450.91
1593810000000,0.2437,0.2442,0.2423,0.2442,573501.39
1593806400000,0.2435,0.2443,0.2422,0.2437,544729.28
1593802800000,0.2453,0.2453,0.2427,0.2435,757335.16
