date,open,high,low,close,volume
1542679200000,448.7,448.7,448.7,448.7,0.0
1542297600000,432.95,464.0,427.96,448.7,11568.7745
1542294000000,400.24,440.0,399.58,433.11,11425.73927
1542290400000,433.98,434.98,389.0,400.8,11462.67283
1542286800000,441.92,446.21,432.28,433.88,3285.92216
1542283200000,446.96,451.41,437.35,442.1,4201.8104
1542279600000,448.23,455.0,443.06,446.98,3950.6636
1542276000000,459.24,459.86,433.51,448.23,6861.78213
1542272400000,450.49,462.0,449.23,459.24,3087.96039
1542268800000,464.13,468.99,447.44,450.49,7557.12864
1542265200000,441.35,468.0,440.8,464.13,10697.43831
1542261600000,438.14,441.46,434.0,441.35,3020.36464
1542258000000,432.54,439.5,430.25,438.52,3879.03468
1542254400000,435.43,435.99,422.9,432.48,3919.50058
1542250800000,427.03,438.1,427.03,435.94,3208.27133
1542247200000,444.49,444.92,421.08,427.02,7578.59329
1542243600000,449.05,450.37,442.99,444.38,3156.84842
1542240000000,452.54,454.8,446.02,449.05,5118.39966
1542236400000,441.85,453.79,441.04,452.74,4136.8758
1542232800000,445.78,451.06,440.27,441.83,3290.48259
1542229200000,442.29,451.95,437.37,445.78,6280.83517
1542225600000,446.88,446.99,430.1,442.0,5284.83154
1542222000000,442.02,448.0,426.88,446.94,6638.48526
1542218400000,454.23,454.73,440.0,442.14,6902.92979
1542214800000,443.37,464.99,433.22,454.79,12512.97927
1542211200000,474.21,481.89,420.0,443.65,21234.27602
1542207600000,484.07,487.49,469.22,475.0,10288.38049
1542204000000,489.85,493.63,481.69,484.63,7089.06329
1542200400000,489.0,494.39,484.82,490.0,3448.17686
1542196800000,490.16,493.89,485.0,489.0,3869.79878
1542193200000,488.15,493.46,478.94,490.15,7922.31938
1542189600000,496.77,506.91,486.1,487.93,9170.26179
1542186000000,529.42,529.42,488.0,496.2,12048.17005
1542157200000,524.42,532.49,522.34,530.68,2642.4639
1542153600000,519.51,526.3,518.52,524.34,2101.03453
1542150000000,521.0,523.74,516.58,519.51,2356.84164
1542146400000,528.42,529.2,520.0,521.0,1654.22134
1542142800000,531.03,531.09,523.17,528.42,1872.65961
1542139200000,529.04,532.9,528.39,531.36,4618.83332
1542135600000,526.17,530.05,522.0,529.66,2936.38025
1542132000000,544.03,544.03,524.0,526.86,6756.8897
1542128400000,542.87,552.26,539.55,543.84,6259.41042
1542124800000,531.48,544.97,530.25,542.56,4801.48799
1542121200000,530.7,543.0,528.6,531.48,4382.28788
1542117600000,534.97,537.25,526.0,530.87,4946.09285
1542114000000,543.8,546.26,532.09,534.57,5194.09682
1542110400000,549.88,553.99,538.7,543.37,7691.36682
1542106800000,515.62,553.5,514.09,549.53,17447.50897
1542103200000,514.13,516.49,513.48,515.43,2205.08369
1542099600000,512.95,516.73,511.21,514.19,1937.61525
1542096000000,517.45,518.85,511.15,513.35,2588.36658
1542092400000,516.3,519.0,511.33,517.2,3351.85336
1542088800000,518.07,518.87,515.23,516.46,2020.81192
1542085200000,518.79,519.51,516.33,518.05,2065.05962
1542081600000,513.84,521.5,513.1,518.86,2534.81681
1542078000000,513.83,516.93,510.18,513.79,2588.25266
1542074400000,513.16,516.51,508.0,513.69,4324.16137
1542070800000,518.2,518.57,511.0,513.17,3863.04201
1542067200000,520.87,522.5,512.54,518.21,3371.31332
1542063600000,525.65,526.13,520.62,521.07,1648.66887
1542060000000,522.27,526.24,518.1,525.77,1626.06577
1542056400000,522.12,523.04,517.0,522.15,1795.53962
1542052800000,525.41,525.54,519.48,522.42,1591.57061
1542049200000,523.12,526.5,518.94,525.66,2175.59096
1542045600000,525.45,528.82,522.01,523.19,2316.63786
1542042000000,531.8,532.86,521.39,525.67,3203.38937
1542038400000,534.51,538.38,530.24,531.94,2085.64733
1542034800000,534.9,537.61,530.0,534.1,2993.87491
1542031200000,537.86,543.6,529.0,534.9,5046.51378
1542027600000,536.69,539.72,527.81,538.19,4941.98091
1542024000000,518.44,539.81,517.58,536.16,7797.05127
1542020400000,522.11,525.0,515.0,518.17,7595.4418
1542016800000,526.68,529.26,521.08,522.26,2708.48468
1542013200000,523.09,530.84,521.98,526.48,4593.42448
1542009600000,504.88,524.74,503.98,523.03,8423.05303
1542006000000,513.31,516.47,503.22,504.52,4438.79342
1542002400000,519.59,519.91,510.0,513.33,4188.3189
1541998800000,522.37,524.13,517.49,519.48,2375.41528
1541995200000,524.35,527.14,520.55,522.25,3066.08738
1541991600000,533.5,533.9,521.28,523.71,2533.80123
1541988000000,534.46,534.46,529.0,533.5,1290.12175
1541984400000,536.49,537.62,532.46,534.75,1151.29711
1541980800000,535.34,539.99,531.07,536.57,2301.10224
1541977200000,528.9,539.1,523.5,535.36,2578.22547
1541973600000,526.18,530.16,522.75,528.9,1078.49832
1541970000000,534.33,534.35,525.96,526.23,1118.74503
1541966400000,531.05,534.98,530.0,534.33,1085.511
1541962800000,526.83,535.88,526.49,531.3,2457.68213
1541959200000,525.2,529.44,517.49,526.9,4829.2469
1541955600000,529.19,532.66,523.49,525.4,2776.47266
1541952000000,527.42,532.64,519.15,529.37,5996.61328
1541948400000,544.94,545.18,524.0,527.16,6159.87182
1541944800000,544.09,547.45,541.24,544.83,1638.656
1541941200000,545.35,548.29,541.61,544.06,1856.93708
1541937600000,544.19,545.91,539.88,545.35,2642.86723
1541934000000,548.36,550.0,534.17,544.35,3321.50444
1541930400000,547.65,551.52,543.94,548.44,1756.99493
1541926800000,551.55,552.1,546.38,547.57,1670.26422
1541923200000,552.89,554.74,549.06,551.6,1605.14201
1541919600000,555.4,556.0,549.0,553.1,1848.73933
1541916000000,549.87,556.76,548.45,555.16,1528.11246
1541912400000,548.32,552.0,546.04,549.99,2191.90329
1541908800000,550.83,550.98,547.57,548.3,2632.07288
1541905200000,546.1,551.0,542.0,550.83,2847.91991
1541901600000,552.51,553.27,544.29,546.2,2767.90821
1541898000000,552.16,556.51,549.81,552.57,1557.68303
1541894400000,559.1,563.92,549.41,552.16,3156.35789
1541890800000,564.97,580.0,553.0,559.02,6174.05673
1541887200000,561.23,566.57,560.87,565.21,1439.63382
1541883600000,561.91,562.72,558.44,561.14,1159.70352
1541880000000,558.03,564.26,556.72,561.93,1513.66465
1541876400000,565.5,566.81,555.0,558.03,3169.31222
1541872800000,563.53,568.98,561.52,565.52,2648.12501
1541869200000,560.38,568.05,559.0,563.8,3400.90696
1541865600000,548.31,569.16,548.15,560.48,7494.89112
1541862000000,549.68,552.61,546.82,548.35,1407.93492
1541858400000,549.83,551.0,545.45,549.63,2079.21212
1541854800000,551.2,554.14,549.0,549.89,2696.14612
1541851200000,546.38,552.77,546.03,550.99,2391.30242
1541847600000,542.0,547.73,542.0,546.57,2267.93595
1541844000000,542.24,544.08,533.81,541.77,4041.47999
1541840400000,541.94,545.0,540.46,542.37,1634.46031
1541836800000,548.55,552.85,540.15,541.98,2530.67219
1541833200000,548.19,549.58,546.0,548.21,2801.94209
1541829600000,554.47,557.96,547.23,547.71,3070.20032
1541826000000,554.03,555.34,550.0,554.0,1604.33753
1541822400000,548.26,554.8,547.37,554.03,983.51607
1541818800000,548.13,551.12,545.4,548.3,1028.14327
1541815200000,546.42,551.54,543.69,548.13,1463.44948
1541811600000,548.68,549.26,536.59,546.31,3124.31147
1541808000000,546.7,550.79,541.94,548.85,1664.56362
1541804400000,540.72,550.0,539.6,546.54,2635.76478
1541800800000,544.0,546.0,530.0,540.66,5177.67836
1541797200000,563.65,563.93,539.0,543.71,18727.3714
1541793600000,565.39,568.0,562.33,563.63,1253.03158
1541790000000,567.47,568.98,563.0,565.39,1959.86299
1541786400000,572.29,574.38,567.06,567.56,1161.97083
1541782800000,572.9,572.99,566.35,572.19,2250.37286
1541779200000,570.66,576.59,567.78,572.86,2183.3748
1541775600000,567.98,573.77,567.65,570.7,2000.60005
