date,open,high,low,close,volume
1594022400000,228.31,228.69,228.17,228.32,694.89633
1594018800000,228.89,229.85,227.07,228.31,5998.75552
1594015200000,224.9,229.39,224.68,228.88,17016.04649
1594011600000,223.63,224.91,223.4,224.91,3186.79729
1594008000000,223.06,223.77,223.02,223.63,1167.47697
1594004400000,223.23,223.5,222.59,223.01,1550.94308
1594000800000,223.66,224.55,223.05,223.23,3461.54308
1593997200000,221.87,223.69,221.87,223.66,3228.85521
1593993600000,222.24,222.76,221.7,221.88,2378.07231
1593990000000,222.29,222.82,222.0,222.23,4379.85284
1593986400000,219.61,222.74,219.58,222.28,6033.32636
1593982800000,220.06,220.19,214.52,219.57,7749.72835
1593979200000,220.41,221.07,219.98,220.07,2683.39157
1593975600000,220.44,221.0,220.27,220.41,903.18809
1593972000000,219.83,220.52,219.71,220.41,1378.07127
1593968400000,219.54,220.16,219.25,219.83,882.41978
1593964800000,219.66,220.45,219.2,219.52,1810.44622
1593961200000,220.03,220.95,219.52,219.69,2003.55562
1593957600000,219.5,220.1,219.08,220.04,1642.47082
1593954000000,220.34,220.35,219.17,219.59,2310.61279
1593950400000,221.1,221.25,217.69,220.34,6538.88833
1593946800000,221.09,221.61,220.98,221.04,1215.63808
1593943200000,221.03,221.72,220.33,221.09,3838.74705
1593939600000,222.78,222.93,220.21,221.02,4284.24808
1593936000000,222.38,223.09,222.06,222.76,2416.31894
1593932400000,222.23,222.75,222.0,222.44,1219.15656
1593928800000,222.22,222.95,221.84,222.27,2280.65569
1593925200000,224.35,224.35,221.6,222.26,6792.03442
1593921600000,224.47,224.65,223.89,224.38,1290.54121
1593918000000,224.31,224.71,223.79,224.46,2154.77972
1593914400000,224.86,225.21,223.87,224.28,1689.21261
1593910800000,224.91,225.27,224.4,224.86,1383.97349
1593907200000,225.26,225.87,224.81,224.96,2865.06186
1593903600000,225.21,225.4,224.79,225.26,1261.37174
1593900000000,224.82,225.46,224.5,225.2,1051.1442
1593896400000,225.47,225.6,224.51,224.82,828.18179
1593892800000,225.76,226.46,225.3,225.53,1325.88464
1593889200000,225.36,225.88,224.76,225.71,2111.66268
1593885600000,225.98,226.58,224.75,225.34,4954.78731
1593882000000,221.43,226.86,221.31,225.96,15454.31204
1593878400000,221.04,221.69,220.97,221.43,1317.51309
1593874800000,221.8,222.03,220.43,221.04,3140.57712
1593871200000,222.42,222.57,221.78,221.82,1183.31723
1593867600000,222.18,222.65,221.83,222.42,1615.70705
1593864000000,221.7,222.57,221.22,222.16,2192.09985
1593860400000,221.45,222.33,221.21,221.71,1727.02222
1593856800000,222.39,222.42,221.28,221.44,1206.30536
1593853200000,222.43,222.64,222.2,222.38,815.62753
1593849600000,222.31,222.61,222.21,222.45,869.10991
1593846000000,222.21,222.8,222.2,222.33,1286.62835
1593842400000,222.65,222.67,222.0,222.21,916.17611
1593838800000,222.66,223.01,222.24,222.65,1309.80125
1593835200000,222.76,223.15,222.42,222.67,1166.07663
1593831600000,223.01,223.2,222.47,222.79,957.80207
1593828000000,221.58,223.63,221.33,223.03,7336.88357
1593824400000,221.66,221.99,221.06,221.57,3375.51746
1593820800000,220.71,221.96,220.19,221.65,3478.78074
1593817200000,221.61,221.63,219.56,220.73,4380.41055
1593813600000,222.35,222.37,221.55,221.61,971.91834
1593810000000,222.5,222.63,222.09,222.35,502.99767
1593806400000,222.4,222.71,221.89,222.51,1072.39942
1593802800000,221.68,222.44,221.4,222.41,1726.78308
1593799200000,221.81,222.26,221.36,221.68,1909.18506
1593795600000,222.43,222.9,221.81,221.83,1542.46226
1593792000000,222.51,223.8,222.14,222.46,3100.33117
1593788400000,222.04,222.87,221.88,222.53,2698.38721
1593784800000,222.73,223.11,221.56,222.04,2177.76188
1593781200000,222.15,223.2,221.78,222.68,1842.39092
1593777600000,222.26,223.0,221.75,222.18,1981.55528
1593774000000,221.85,222.38,221.5,222.19,1377.21782
1593770400000,221.56,222.33,221.13,221.85,1650.96861
1593766800000,222.17,222.98,220.6,221.55,3233.52014
1593763200000,221.72,223.31,221.72,222.17,3863.62596
1593759600000,221.26,222.43,221.0,221.69,2624.15457
1593756000000,220.54,223.21,220.54,221.3,6902.5983
1593752400000,220.07,220.86,219.52,220.52,4891.69547
1593748800000,220.05,220.19,219.52,220.07,817.9348
1593745200000,219.93,220.41,219.78,220.01,991.18763
1593741600000,220.41,220.69,219.87,219.91,807.23667
1593738000000,219.79,220.92,219.52,220.38,1789.33722
1593734400000,219.63,220.2,218.96,219.74,2612.76886
1593730800000,220.18,220.29,218.98,219.65,4215.46459
1593727200000,220.83,221.69,219.66,220.18,5074.60874
1593723600000,219.4,222.19,219.32,220.88,2763.60328
1593720000000,218.96,219.72,218.38,219.36,1153.222
1593716400000,219.39,220.07,218.27,218.92,2696.4083
1593712800000,219.6,219.8,217.57,219.39,3618.74251
1593709200000,219.64,219.86,219.01,219.6,2129.06465
1593705600000,219.83,220.47,217.11,219.69,10401.78825
1593702000000,223.28,223.38,218.63,219.85,17705.172
1593698400000,224.62,225.14,223.26,223.41,2507.91462
1593694800000,224.23,225.83,223.73,224.6,5314.1154
1593691200000,223.44,224.89,222.94,224.21,4063.53137
1593687600000,223.47,223.51,222.53,223.45,2521.08451
1593684000000,223.87,223.93,222.79,223.48,2019.5099
1593680400000,224.21,224.48,223.52,223.85,2254.35156
1593676800000,223.88,224.4,223.11,224.21,2665.93693
1593673200000,223.53,224.35,223.36,223.93,1819.56607
1593669600000,223.32,223.86,222.91,223.53,3163.08173
1593666000000,223.74,224.39,223.01,223.35,3043.88852
1593662400000,223.72,224.23,223.58,223.74,1618.87754
1593658800000,223.61,224.09,223.5,223.72,933.38507
1593655200000,223.95,224.19,223.45,223.62,1824.68241
1593651600000,222.95,223.94,222.79,223.92,1924.0543
1593648000000,223.77,224.22,222.5,222.95,3100.90653
1593644400000,223.87,224.18,223.53,223.78,942.28557
1593640800000,224.22,224.24,223.28,223.87,1944.13797
1593637200000,224.06,224.92,223.87,224.23,2271.41483
1593633600000,223.13,225.34,222.89,224.06,3511.61846
1593630000000,225.61,225.69,222.43,223.18,8706.01418
1593626400000,226.06,226.21,225.56,225.61,2076.44476
1593622800000,225.99,226.42,225.71,225.98,1594.71019
1593619200000,225.54,226.76,224.8,225.94,4181.75564
1593615600000,224.93,225.54,224.79,225.53,3283.33555
1593612000000,224.71,225.73,224.71,224.9,1792.91507
1593608400000,223.7,226.49,223.01,224.77,6738.58547
