date,open,high,low,close,volume
1594022400000,0.381,0.3831,0.381,0.3831,3316.94
1594018800000,0.3793,0.383,0.3778,0.381,34946.14
1594015200000,0.3696,0.3804,0.3696,0.3792,84091.2
1594011600000,0.367,0.3723,0.3668,0.3692,62913.52
1594008000000,0.369,0.3696,0.3668,0.3686,20483.72
1594004400000,0.367,0.3688,0.3668,0.3688,9608.02
1594000800000,0.3667,0.3687,0.3667,0.3679,19305.32
1593997200000,0.3644,0.368,0.3644,0.3676,25948.95
1593993600000,0.3634,0.3664,0.3631,0.3663,12062.84
1593990000000,0.3648,0.3661,0.3617,0.3635,30238.57
1593986400000,0.3654,0.367,0.3639,0.3647,28422.55
1593982800000,0.3686,0.3687,0.3516,0.3653,261148.3
1593979200000,0.3714,0.3714,0.3681,0.3685,15908.8
1593975600000,0.3727,0.3727,0.3692,0.37,26060.55
1593972000000,0.3696,0.3728,0.3695,0.37,13283.07
1593968400000,0.3724,0.3728,0.3691,0.3696,7895.75
1593964800000,0.3707,0.3749,0.3682,0.3704,44469.22
1593961200000,0.3707,0.3711,0.3683,0.3699,6995.28
1593957600000,0.3696,0.3704,0.3667,0.3698,24167.71
1593954000000,0.3715,0.3741,0.3688,0.3697,21372.1
1593950400000,0.3737,0.3737,0.3705,0.372,14147.56
1593946800000,0.3729,0.3748,0.3724,0.3737,17055.39
1593943200000,0.3725,0.375,0.3672,0.3749,98740.35
1593939600000,0.3743,0.3789,0.3725,0.3725,41778.06
1593936000000,0.3755,0.3761,0.3737,0.3743,12805.36
1593932400000,0.3778,0.3793,0.3725,0.3755,55399.93
1593928800000,0.3812,0.3826,0.3778,0.3779,85519.86
1593925200000,0.3815,0.383,0.381,0.3822,36448.96
1593921600000,0.3832,0.3842,0.3815,0.3815,7062.26
1593918000000,0.3814,0.3843,0.3813,0.3832,20518.62
1593914400000,0.3835,0.3835,0.3811,0.3814,7322.33
1593910800000,0.3812,0.3835,0.381,0.3835,28457.24
1593907200000,0.3802,0.3838,0.3781,0.3827,21059.56
1593903600000,0.3792,0.3802,0.3774,0.3802,19349.31
1593900000000,0.3783,0.3801,0.377,0.3793,24835.5
1593896400000,0.3775,0.3783,0.3771,0.3776,10488.24
1593892800000,0.3767,0.378,0.3764,0.378,8340.03
1593889200000,0.3784,0.3802,0.3756,0.3756,70546.13
1593885600000,0.3803,0.3817,0.3768,0.3793,74105.12
1593882000000,0.378,0.3828,0.3748,0.3803,76490.28
1593878400000,0.379,0.3814,0.3766,0.3799,74175.35
1593874800000,0.3794,0.3833,0.3767,0.3792,76216.78
1593871200000,0.3817,0.3825,0.379,0.3815,39972.16
1593867600000,0.3793,0.3819,0.3793,0.381,52888.02
1593864000000,0.3814,0.3814,0.3755,0.3794,251585.07
1593860400000,0.3863,0.3872,0.38,0.3816,55439.03
1593856800000,0.393,0.3936,0.3845,0.3851,57979.09
1593853200000,0.3901,0.394,0.3851,0.394,303017.85
1593849600000,0.3807,0.3912,0.378,0.3881,116768.88
1593846000000,0.38,0.3819,0.3784,0.3795,41276.58
1593842400000,0.38,0.3821,0.376,0.3793,50482.06
1593838800000,0.3749,0.3829,0.3742,0.3812,78189.76
1593835200000,0.3755,0.3755,0.3734,0.3746,23073.27
1593831600000,0.3745,0.3775,0.3735,0.3774,27309.77
1593828000000,0.3702,0.3745,0.3702,0.3745,12292.66
1593824400000,0.3725,0.3725,0.369,0.3711,23872.99
1593820800000,0.3713,0.3745,0.3693,0.3725,17020.16
1593817200000,0.3727,0.3745,0.369,0.3705,49692.06
1593813600000,0.3721,0.3752,0.3721,0.3752,30817.04
1593810000000,0.3769,0.3769,0.3719,0.3727,22079.16
1593806400000,0.3714,0.3772,0.371,0.3772,16294.61
1593802800000,0.3708,0.3725,0.3693,0.3714,43537.52
1593799200000,0.3751,0.3773,0.3707,0.3707,26631.74
1593795600000,0.3739,0.3773,0.3704,0.3772,36055.4
1593792000000,0.3712,0.376,0.3702,0.3722,65128.98
1593788400000,0.3714,0.3729,0.3702,0.3724,51142.98
1593784800000,0.3725,0.3768,0.3717,0.3719,43031.05
1593781200000,0.3742,0.3756,0.372,0.3725,39879.71
1593777600000,0.3727,0.3742,0.3716,0.3742,22320.62
1593774000000,0.3755,0.3761,0.37,0.3712,47066.3
1593770400000,0.374,0.3766,0.3728,0.3762,38082.08
1593766800000,0.3744,0.3763,0.3726,0.3742,68189.54
1593763200000,0.372,0.3759,0.3701,0.3735,43956.0
1593759600000,0.3714,0.3734,0.368,0.3731,64391.51
1593756000000,0.3716,0.3754,0.3711,0.3732,35396.43
1593752400000,0.3733,0.3752,0.3706,0.3716,35032.92
1593748800000,0.3787,0.3816,0.3733,0.3737,72104.75
1593745200000,0.3826,0.3826,0.3786,0.3812,18085.75
1593741600000,0.3843,0.3846,0.3814,0.3817,4755.37
1593738000000,0.3824,0.3849,0.38,0.3818,27921.59
1593734400000,0.3844,0.3863,0.3825,0.3825,18445.25
1593730800000,0.3846,0.3866,0.3839,0.3844,27473.4
1593727200000,0.3806,0.3861,0.3805,0.3822,140312.51
1593723600000,0.3801,0.3828,0.3785,0.3828,23812.09
1593720000000,0.3785,0.3808,0.3785,0.3786,28722.35
1593716400000,0.3786,0.381,0.3785,0.3786,20579.9
1593712800000,0.3767,0.381,0.3752,0.3796,47785.82
1593709200000,0.3745,0.3796,0.3716,0.3794,42001.62
1593705600000,0.3729,0.3771,0.3656,0.3745,196071.45
1593702000000,0.3898,0.3903,0.367,0.3736,494079.95
1593698400000,0.3924,0.3927,0.3884,0.391,66240.94
1593694800000,0.3897,0.3941,0.3885,0.3914,110757.26
1593691200000,0.387,0.3907,0.3855,0.3905,49242.62
1593687600000,0.391,0.391,0.3831,0.3856,126624.06
1593684000000,0.3919,0.3928,0.3869,0.39,82020.99
