date,open,high,low,close,volume
1585645200000,10.99,11.29,10.91,11.16,102108.52762
1585641600000,11.21,11.23,10.9,10.97,54912.98557
1585638000000,11.13,11.3,11.13,11.22,63611.45857
1585634400000,11.37,11.55,11.12,11.15,74314.74651
1585630800000,11.37,11.5,11.13,11.37,71327.3535
1585627200000,11.25,11.5,11.16,11.37,64325.88782
1585623600000,11.26,11.38,11.0,11.24,75247.92131
1585620000000,10.92,11.28,10.86,11.25,61818.32575
1585616400000,11.26,11.26,10.91,10.91,62789.85696
1585612800000,11.56,11.6,11.06,11.25,112387.90099
1585609200000,11.06,11.58,10.84,11.56,136123.87659
1585605600000,10.67,11.12,10.18,11.06,215305.81685
1585602000000,11.1,11.1,10.48,10.67,230967.61364
1585598400000,11.65,11.67,11.0,11.11,199329.8191
1585594800000,11.69,11.78,11.5,11.66,50565.16342
1585591200000,11.75,11.93,11.64,11.69,48248.71424
1585587600000,11.65,11.87,11.61,11.72,76036.48351
1585584000000,11.84,12.0,11.61,11.64,121128.85808
1585580400000,11.88,11.97,11.2,11.84,222931.77402
1585576800000,12.0,12.22,11.81,11.88,94573.79624
1585573200000,11.96,12.0,11.78,12.0,76984.24709
1585569600000,11.69,12.08,11.64,11.96,98679.45319
1585566000000,12.22,12.27,11.5,11.7,142968.41951
1585562400000,12.37,12.41,12.0,12.22,81234.6023
1585558800000,12.27,12.44,12.2,12.37,58877.48169
1585555200000,12.45,12.49,12.03,12.29,103075.3187
1585551600000,12.77,12.77,11.83,12.45,184643.42942
1585548000000,12.93,13.1,12.45,12.75,111040.26156
1585544400000,14.2,14.22,12.42,12.96,266838.0512
1585540800000,14.54,14.65,14.1,14.22,59606.96148
1585537200000,14.69,14.73,14.52,14.55,49424.44782
1585533600000,14.97,15.0,14.0,14.67,131909.8915
1585530000000,15.38,15.43,14.73,15.01,77365.65606
1585526400000,15.6,15.62,15.19,15.38,76083.81132
1585522800000,15.35,15.6,15.22,15.58,48965.95103
1585519200000,15.38,15.55,15.11,15.36,90010.9034
1585515600000,15.15,15.41,15.1,15.38,57904.43957
1585512000000,15.39,15.68,15.05,15.14,201279.29223
1585508400000,14.4,15.49,14.23,15.36,262862.88276
1585504800000,14.17,14.4,14.16,14.4,39693.80192
1585501200000,14.27,14.4,14.06,14.18,66720.20675
1585497600000,13.98,14.37,13.82,14.27,115375.05338
1585494000000,13.9,14.05,13.88,13.98,27448.98924
1585490400000,14.03,14.1,13.85,13.91,38643.0807
1585486800000,13.95,14.21,13.91,14.0,60278.13643
1585483200000,13.89,14.35,13.75,13.95,129934.20606
1585479600000,13.7,13.93,13.59,13.88,65133.91206
1585476000000,14.25,14.29,13.09,13.69,138093.96944
1585472400000,13.94,14.27,13.91,14.25,47589.18201
1585468800000,13.81,14.18,13.81,13.94,99124.01036
1585465200000,13.82,14.04,13.64,13.82,74713.41779
1585461600000,13.8,13.91,13.69,13.81,59324.92701
1585458000000,13.44,13.83,13.44,13.83,44424.93826
1585454400000,13.46,13.54,13.4,13.43,27516.10857
1585450800000,13.45,13.67,13.37,13.43,79580.79684
1585447200000,13.35,13.46,13.28,13.44,52909.44445
1585443600000,13.4,13.6,13.27,13.35,74890.57375
1585440000000,13.32,13.54,13.16,13.39,65435.13581
1585436400000,13.46,13.59,13.06,13.31,74977.26714
1585432800000,13.32,13.6,13.17,13.46,96536.17622
1585429200000,13.25,13.73,13.1,13.33,83377.29391
1585425600000,13.39,13.41,12.93,13.25,172728.87608
1585422000000,13.74,13.75,13.28,13.4,89268.51729
1585418400000,14.58,14.62,13.18,13.74,354867.03639
1585414800000,13.28,14.58,13.24,14.58,259426.47494
1585411200000,13.39,13.5,13.23,13.28,72423.57908
1585407600000,13.1,13.39,12.91,13.39,201706.45796
1585404000000,13.38,13.4,12.93,13.12,330548.59329
1585400400000,13.29,13.78,13.26,13.4,129605.01534
1585396800000,13.33,13.52,13.18,13.29,88546.45267
1585393200000,13.17,13.4,12.82,13.32,164680.44047
1585389600000,13.2,13.38,13.06,13.17,89436.05403
1585386000000,13.16,13.27,13.02,13.21,87377.90385
1585382400000,13.62,13.75,13.03,13.15,179975.17303
1585378800000,13.76,13.79,13.36,13.62,90546.22372
1585375200000,13.84,14.09,13.72,13.78,81482.57837
1585371600000,13.76,13.93,13.63,13.84,100585.9189
1585368000000,14.06,14.28,13.53,13.75,196247.54565
1585364400000,13.24,14.4,13.17,14.05,309265.70111
1585360800000,13.1,13.41,12.99,13.22,133595.03631
1585357200000,12.89,13.22,12.84,13.11,124976.43579
1585353600000,12.7,13.48,12.66,12.89,432017.72292
1585350000000,11.25,12.94,11.25,12.7,398338.50467
1585346400000,11.18,11.35,11.17,11.28,33121.30375
1585342800000,11.19,11.27,11.1,11.18,34718.36266
1585339200000,11.26,11.37,11.19,11.2,36937.18332
1585335600000,11.33,11.36,11.12,11.26,111320.34797
1585332000000,11.37,11.42,11.24,11.3,49072.59798
1585328400000,11.35,11.49,11.29,11.39,81329.06516
1585324800000,11.4,11.61,11.24,11.34,109373.13153
1585321200000,11.47,11.49,11.15,11.44,153739.54703
1585317600000,11.61,11.65,11.42,11.45,102454.34353
1585314000000,11.38,11.65,11.29,11.6,199744.24538
1585310400000,11.45,11.6,11.21,11.35,100286.22431
1585306800000,11.31,11.48,11.1,11.45,119609.13295
1585303200000,11.28,11.52,11.16,11.31,171536.82595
1585299600000,11.12,11.3,11.1,11.28,67304.59185
1585296000000,11.04,11.19,11.0,11.14,78326.59956
1585292400000,11.16,11.18,10.9,11.06,101035.18214
1585288800000,11.23,11.33,11.04,11.16,127071.68473
1585285200000,10.82,11.42,10.79,11.22,261529.59266
1585281600000,10.56,10.85,10.39,10.82,155010.42298
1585278000000,10.6,10.64,10.51,10.56,62022.4456
1585274400000,10.51,10.78,10.49,10.59,89869.54597
1585270800000,10.47,10.7,10.39,10.5,104121.04074
1585267200000,10.83,10.83,10.27,10.46,258336.75337
1585263600000,11.05,11.06,10.72,10.82,173641.92278
1585260000000,10.95,11.17,10.91,11.05,98826.39685
1585256400000,10.93,11.08,10.76,10.95,131914.65016
1585252800000,11.24,11.28,10.83,10.93,182379.2872
1585249200000,11.3,11.34,11.15,11.24,68202.10777
1585245600000,11.39,11.4,11.24,11.29,63513.39547
1585242000000,11.35,11.51,11.03,11.38,145964.42535
1585238400000,11.48,11.6,11.24,11.33,116992.46787
1585234800000,11.57,11.73,11.45,11.48,101344.26698
1585231200000,11.43,11.64,11.39,11.56,131021.22523
1585227600000,11.46,12.0,11.01,11.45,256028.09961
1585224000000,11.52,11.71,11.39,11.47,107783.5484
1585220400000,11.48,11.63,11.23,11.53,141753.01644
1585216800000,11.47,11.63,11.37,11.48,84083.93888
1585213200000,11.47,11.59,11.33,11.48,107409.39453
1585209600000,11.61,11.73,11.4,11.48,117553.33964
1585206000000,11.38,11.75,11.38,11.61,141281.16362
1585202400000,11.4,11.63,11.16,11.35,122631.39916
1585198800000,11.11,11.49,10.96,11.4,94318.22784
1585195200000,10.91,11.15,10.73,11.1,78630.07076
1585191600000,11.15,11.19,10.8,10.96,112817.25643
1585188000000,11.1,11.29,11.02,11.15,82008.21035
1585184400000,10.87,11.2,10.8,11.1,94486.35744
1585180800000,11.2,11.2,10.64,10.87,224935.71668
1585177200000,11.15,11.39,11.06,11.2,117726.85063
1585173600000,11.65,11.65,11.11,11.17,229784.3453
1585170000000,11.66,11.9,11.53,11.66,92604.14778
1585166400000,11.52,11.72,11.39,11.66,90214.69474
1585162800000,11.38,11.6,11.27,11.52,94415.97427
1585159200000,11.4,11.72,11.31,11.39,148399.22073
1585155600000,11.31,11.44,11.2,11.41,103509.45595
1585152000000,11.52,11.59,11.01,11.31,165728.0668
1585148400000,11.51,11.66,11.28,11.51,136838.96989
1585144800000,11.74,12.0,11.37,11.48,244557.12444
1585141200000,11.62,11.81,10.55,11.74,431102.86099
1585137600000,12.0,12.14,11.47,11.63,239617.87521
1585134000000,11.62,12.4,11.34,12.0,421894.8605
1585130400000,10.2,11.94,10.04,11.65,519452.34838
1585126800000,10.7,10.77,9.68,10.2,486661.09231
1585123200000,11.21,11.41,10.55,10.7,174414.44104
1585119600000,11.2,11.47,11.06,11.21,110235.79786
1585116000000,11.12,11.33,11.03,11.17,107646.72596
1585112400000,11.54,11.65,11.06,11.12,169998.27919
1585108800000,11.84,11.99,11.54,11.54,109144.85024
1585105200000,11.66,12.0,11.56,11.84,133138.9828
1585101600000,11.64,12.0,11.37,11.64,174257.74944
1585098000000,11.14,11.67,11.02,11.67,129670.52402
