date,open,high,low,close,volume
1585645200000,56.83,58.79,56.27,58.61,1602.90712
1585641600000,58.42,58.99,55.74,56.83,1872.91445
1585638000000,62.8,62.8,57.02,58.41,1840.64129
1585634400000,63.85,64.48,62.79,62.88,3682.92432
1585630800000,64.86,64.89,63.28,64.35,712.56165
1585627200000,63.57,64.86,63.5,64.86,699.5403
1585623600000,63.63,64.13,62.45,63.26,676.03861
1585620000000,62.31,63.6,62.31,63.53,89.2962
1585616400000,63.58,63.58,62.34,62.34,160.52954
1585612800000,65.22,65.22,63.23,63.74,1015.89456
1585609200000,63.8,65.44,63.52,65.22,229.94282
1585605600000,61.75,64.46,60.78,64.2,371.75994
1585602000000,63.26,63.33,60.85,61.96,1009.10524
1585598400000,65.48,65.69,62.18,63.3,715.35
1585594800000,65.56,66.06,64.94,65.48,254.98454
1585591200000,65.69,66.49,65.3,65.56,274.46281
1585587600000,64.9,66.19,64.8,65.57,490.51489
1585584000000,65.89,66.83,63.65,64.95,1512.10927
1585580400000,66.33,66.33,62.58,65.9,1761.78925
1585576800000,67.52,68.32,65.97,66.61,2879.36731
1585573200000,66.55,67.52,66.08,67.52,3486.69203
1585569600000,65.22,67.21,64.59,66.89,6597.79328
1585566000000,67.11,67.51,64.29,65.42,7402.56662
1585562400000,68.14,68.5,66.26,66.95,1897.91365
1585558800000,67.5,68.89,66.75,68.51,879.67062
1585555200000,69.59,69.59,67.34,67.56,760.7592
1585551600000,71.31,71.31,66.27,69.98,1621.87521
1585548000000,71.79,74.42,70.47,71.5,1453.19684
1585544400000,76.2,76.2,69.0,72.15,2259.44122
1585540800000,78.62,79.07,76.21,77.16,860.92364
1585537200000,79.03,79.99,77.7,78.95,679.59662
1585533600000,81.8,81.81,76.82,79.03,1942.18575
1585530000000,85.42,85.45,81.76,82.42,1080.84204
1585526400000,86.05,87.96,83.55,85.0,532.47358
1585522800000,85.0,86.52,84.21,85.98,1287.62345
1585519200000,84.15,85.28,83.67,85.24,476.17539
1585515600000,83.0,84.2,82.18,83.85,355.96711
1585512000000,83.52,85.28,81.57,83.2,1702.88472
1585508400000,78.46,84.18,77.9,83.15,2180.14524
1585504800000,77.0,78.5,76.77,78.5,234.79601
1585501200000,77.77,78.27,76.54,76.58,266.99691
1585497600000,75.99,78.27,75.31,77.77,764.75013
1585494000000,75.52,76.87,75.32,75.88,450.74997
1585490400000,76.02,77.03,75.15,75.52,498.08713
1585486800000,77.14,77.66,75.78,76.02,343.80473
1585483200000,76.61,78.63,76.61,77.45,1150.85248
1585479600000,75.0,76.6,74.64,76.6,680.82967
1585476000000,77.98,78.0,74.5,75.0,886.60203
1585472400000,76.6,78.0,76.12,77.82,461.57686
1585468800000,75.42,78.06,75.42,76.18,797.56118
1585465200000,74.9,76.13,74.55,75.29,274.92055
1585461600000,75.37,76.0,74.5,74.83,180.6618
1585458000000,73.37,75.2,73.37,75.2,211.70052
1585454400000,73.25,73.38,73.06,73.06,35.31198
1585450800000,73.14,73.67,72.82,72.82,250.03421
1585447200000,72.63,73.65,72.43,73.3,109.39341
1585443600000,72.03,73.95,72.03,72.57,231.37471
1585440000000,71.07,72.37,70.57,72.37,212.8448
1585436400000,71.89,72.65,70.2,71.16,412.39894
1585432800000,71.42,72.65,70.42,71.89,442.72769
1585429200000,72.03,73.97,71.15,71.42,332.27987
1585425600000,73.27,73.41,70.01,72.3,1841.16083
1585422000000,75.35,75.35,73.0,73.62,836.34553
1585418400000,81.06,81.34,72.0,75.6,3083.6219
1585414800000,72.01,81.06,71.43,81.06,3119.36058
1585411200000,72.47,73.38,71.64,72.02,711.56629
1585407600000,71.44,73.46,69.73,72.47,1402.19122
1585404000000,73.29,73.29,71.1,71.43,926.76491
1585400400000,71.93,74.82,71.9,73.29,821.16236
