date,open,high,low,close,volume
1585645200000,59.74,59.89,57.19,57.21,1622.48507
1585641600000,58.5,60.84,58.07,59.74,2254.56981
1585638000000,55.02,59.6,54.74,58.09,2351.86044
1585634400000,53.83,55.0,53.33,55.0,367.28947
1585630800000,52.68,54.59,52.6,53.81,690.0641
1585627200000,53.73,54.07,52.65,52.68,696.39603
1585623600000,54.2,54.69,53.4,53.73,728.18088
1585620000000,55.28,55.28,54.2,54.2,311.41896
1585616400000,54.12,55.23,54.12,55.12,467.47657
1585612800000,52.59,54.35,52.58,54.12,707.00188
1585609200000,53.59,54.0,52.9,52.96,742.40983
1585605600000,55.36,56.01,53.36,53.59,1510.68904
1585602000000,54.4,55.9,54.25,55.21,1231.84319
1585598400000,52.89,54.44,52.89,54.11,1169.10668
1585594800000,52.8,53.33,52.63,52.89,272.67775
1585591200000,52.65,53.0,52.0,53.0,4741.96624
1585587600000,53.0,53.06,52.4,52.65,505.55293
1585584000000,52.23,53.48,51.86,53.0,703.31676
1585580400000,51.77,54.74,51.77,52.77,2354.58773
1585576800000,51.07,52.22,50.4,51.77,1318.64982
1585573200000,51.55,52.23,51.06,51.06,809.37481
1585569600000,52.7,52.9,51.0,51.55,1650.25824
1585566000000,51.63,53.28,51.38,52.43,2882.13224
1585562400000,50.4,52.05,50.4,51.64,1163.81892
1585558800000,51.62,51.62,50.4,50.4,2617.18148
1585555200000,49.86,51.51,49.86,51.51,1413.82606
1585551600000,49.2,51.8,49.2,49.57,6383.89156
1585548000000,49.2,49.8,47.94,49.27,3471.56444
1585544400000,46.75,49.81,46.75,49.2,2342.87297
1585540800000,46.22,46.91,45.55,46.7,2489.23743
1585537200000,45.76,46.54,45.47,46.21,1330.41349
1585533600000,44.72,46.35,44.72,45.75,6189.53197
1585530000000,43.07,44.6,42.85,44.58,5274.48434
1585526400000,42.71,43.54,41.89,43.06,2724.42276
1585522800000,43.28,43.92,42.44,42.71,5503.75519
1585519200000,43.99,44.44,42.71,43.51,2445.71552
1585515600000,45.15,45.15,43.74,44.0,819.39564
1585512000000,44.56,45.63,42.98,45.2,3724.37685
1585508400000,48.55,49.06,44.08,44.56,8051.39287
1585504800000,49.67,49.79,48.52,48.65,463.25581
1585501200000,49.29,49.99,48.71,49.96,788.33599
1585497600000,50.28,51.29,48.63,49.29,3663.60465
1585494000000,50.9,50.92,49.86,50.28,1942.06516
1585490400000,50.25,51.21,50.01,50.95,1861.56115
1585486800000,49.66,50.41,49.45,50.3,884.66932
1585483200000,50.12,50.34,48.22,49.66,3784.15475
1585479600000,51.0,51.51,49.8,50.11,3883.58148
1585476000000,48.95,51.94,48.88,51.05,2381.62662
1585472400000,50.27,50.41,48.95,48.96,2323.2807
1585468800000,50.93,50.95,49.27,50.28,1782.39331
1585465200000,51.22,51.51,50.0,51.02,2189.10331
1585461600000,50.82,51.61,50.49,51.22,2873.28434
1585458000000,52.79,52.79,50.73,50.82,2469.177
1585454400000,52.83,52.83,52.32,52.79,546.93223
1585450800000,52.53,52.99,52.04,52.83,597.74688
1585447200000,52.98,53.23,52.58,52.58,359.34299
1585443600000,53.38,53.44,51.97,52.98,1537.50145
1585440000000,54.73,55.0,53.06,53.38,1367.07758
1585436400000,54.0,55.0,53.23,54.73,4005.20532
1585432800000,54.13,54.76,53.06,54.0,3154.87317
1585429200000,53.65,54.33,51.72,54.13,7889.7606
1585425600000,52.5,54.72,52.5,53.54,5669.27345
1585422000000,51.29,52.88,51.29,52.5,2812.55876
1585418400000,47.48,53.04,46.97,51.29,7176.80188
1585414800000,53.63,53.82,47.5,47.53,10461.63124
1585411200000,53.24,53.95,52.5,53.63,2628.88892
1585407600000,53.62,54.5,52.5,53.29,4497.22916
1585404000000,53.16,53.88,52.65,53.62,6986.80263
1585400400000,53.87,54.09,51.43,53.14,3826.59737
1585396800000,54.2,54.3,53.3,53.71,986.80261
1585393200000,55.78,56.87,53.91,54.29,4262.19239
1585389600000,55.78,56.41,54.82,55.81,696.78818
1585386000000,56.25,56.87,55.51,56.01,2045.02123
1585382400000,53.88,56.52,53.45,56.25,3143.05298
1585378800000,53.34,53.9,53.13,53.88,726.74793
1585375200000,53.62,53.65,52.0,53.13,971.18395
1585371600000,53.7,54.34,52.9,53.44,1893.20065
1585368000000,52.15,54.52,51.41,53.58,3716.22409
1585364400000,55.38,55.48,49.82,52.3,10899.04168
1585360800000,54.14,56.43,53.32,55.29,3727.78333
1585357200000,55.15,55.15,53.38,54.13,5806.12021
1585353600000,56.33,56.33,51.29,55.17,12269.3617
1585350000000,65.69,65.69,53.24,56.47,7549.67475
1585346400000,65.61,65.69,64.65,65.69,2089.71683
1585342800000,65.65,66.1,64.39,65.62,1134.18889
1585339200000,64.7,65.67,63.77,65.67,1960.91119
