date,open,high,low,close,volume
1594022400000,1.4591,1.4795,1.4532,1.4792,32152.69
1594018800000,1.4402,1.4733,1.4308,1.4591,80776.11
1594015200000,1.3711,1.4469,1.3711,1.4402,130349.22
1594011600000,1.361,1.3744,1.361,1.371,21082.01
1594008000000,1.366,1.3676,1.355,1.3571,26576.66
1594004400000,1.3701,1.3713,1.3602,1.3655,15044.99
1594000800000,1.3699,1.3772,1.3665,1.37,25102.65
1593997200000,1.3604,1.37,1.3604,1.3667,16977.91
1593993600000,1.3583,1.3604,1.358,1.3604,10022.39
1593990000000,1.355,1.3587,1.3501,1.3551,7069.87
1593986400000,1.3466,1.36,1.3441,1.3528,18880.42
1593982800000,1.3481,1.3481,1.3153,1.3466,77718.13
1593979200000,1.3442,1.3506,1.3357,1.3466,7822.28
1593975600000,1.3447,1.3556,1.3375,1.3507,15900.45
1593972000000,1.346,1.3495,1.3311,1.3381,30487.3
1593968400000,1.3602,1.3627,1.34,1.346,44825.8
1593964800000,1.3859,1.3859,1.3601,1.3685,26749.96
1593961200000,1.3743,1.401,1.3707,1.3863,39658.43
1593957600000,1.3893,1.4097,1.3681,1.3762,70457.13
1593954000000,1.4066,1.4143,1.3864,1.3899,27964.08
1593950400000,1.4047,1.4084,1.3804,1.4072,48482.76
1593946800000,1.3795,1.4079,1.3795,1.4058,48261.82
1593943200000,1.3749,1.3863,1.352,1.3796,63907.03
1593939600000,1.3898,1.401,1.3734,1.3749,55526.79
1593936000000,1.3683,1.397,1.3521,1.3897,73175.98
1593932400000,1.3642,1.377,1.361,1.3643,31716.69
1593928800000,1.3575,1.3801,1.3552,1.3642,30019.94
1593925200000,1.3922,1.3922,1.3519,1.3567,65997.84
1593921600000,1.4217,1.4263,1.3818,1.3922,100811.86
1593918000000,1.4427,1.4427,1.417,1.4258,36286.55
1593914400000,1.4168,1.442,1.4121,1.4357,31907.8
1593910800000,1.4311,1.4404,1.4135,1.4147,73753.64
1593907200000,1.4547,1.463,1.428,1.4313,75589.22
1593903600000,1.4658,1.4866,1.4458,1.4547,110223.13
1593900000000,1.4374,1.4688,1.4354,1.466,65625.71
1593896400000,1.4212,1.4407,1.417,1.4374,47927.12
1593892800000,1.436,1.4448,1.4011,1.4177,111458.03
