date,open,high,low,close,volume
1555923600000,57.87,59.46,56.41,58.9,7882.99139
1555920000000,55.26,57.93,55.08,57.84,2906.53809
1555916400000,55.19,55.43,55.13,55.24,657.1536
1555912800000,55.51,55.58,55.0,55.12,1084.97576
1555909200000,55.62,55.74,55.34,55.57,769.85771
1555905600000,55.7,55.8,55.47,55.63,1131.33693
1555902000000,55.78,55.95,55.6,55.66,772.97828
1555898400000,55.76,55.97,55.69,55.79,619.87867
1555894800000,55.97,56.07,55.75,55.8,619.39328
1555891200000,56.1,56.13,55.9,55.9,430.92321
1555887600000,56.19,56.38,55.99,56.02,703.64022
1555884000000,55.89,56.33,55.87,56.19,533.8176
1555880400000,55.87,56.0,55.79,56.0,119.76798
1555876800000,55.99,56.1,55.78,55.85,193.93749
1555873200000,55.86,56.03,55.72,55.98,492.55994
1555869600000,55.93,56.11,55.77,55.89,921.15941
1555866000000,56.31,56.31,55.74,55.9,454.14539
1555862400000,55.28,56.59,55.14,56.34,1714.36142
1555858800000,55.67,55.78,55.17,55.28,868.8679
1555855200000,55.67,56.25,55.53,55.75,1315.20248
1555851600000,54.91,55.77,54.77,55.66,1470.12191
1555848000000,54.63,55.38,54.51,54.86,3644.8792
1555844400000,56.8,56.83,53.98,54.66,4870.12195
1555840800000,57.03,57.1,56.53,56.84,1928.29028
1555837200000,57.76,57.78,56.67,57.03,3172.3259
1555833600000,57.84,57.95,57.48,57.75,3864.52379
1555830000000,58.07,58.08,57.69,57.85,3482.65518
1555826400000,57.92,58.07,57.77,58.03,1327.38425
1555822800000,58.03,58.12,57.79,57.86,1069.42981
1555819200000,58.36,58.36,58.05,58.06,500.05815
1555815600000,58.36,58.43,58.28,58.43,323.06267
1555812000000,58.21,58.36,58.08,58.36,841.94762
1555808400000,58.31,58.38,58.18,58.21,559.9653
1555804800000,58.26,58.47,58.19,58.31,392.72275
1555801200000,58.07,58.43,58.0,58.32,1156.65211
1555797600000,58.11,58.27,58.03,58.06,279.71314
1555794000000,58.36,58.49,57.92,58.04,824.75962
1555790400000,59.18,59.18,58.22,58.36,1135.0222
1555786800000,58.41,59.27,58.4,59.18,1720.18602
1555783200000,58.36,58.43,58.33,58.41,334.26392
1555779600000,58.58,58.6,58.36,58.36,867.69666
1555776000000,58.37,58.59,58.35,58.58,620.45771
1555772400000,58.56,58.75,58.36,58.44,690.75951
1555768800000,58.52,58.66,58.4,58.56,396.33737
1555765200000,58.4,58.56,58.4,58.52,147.76675
1555761600000,58.52,58.65,58.29,58.36,519.33315
1555758000000,58.48,58.68,58.4,58.44,248.21479
1555754400000,58.72,58.72,58.35,58.48,835.59065
1555750800000,59.01,59.05,58.71,58.77,508.40845
1555747200000,58.68,59.23,58.64,59.0,1214.56326
1555743600000,58.88,58.99,58.54,58.68,907.90669
1555740000000,58.96,59.11,58.8,58.84,791.84321
1555736400000,58.89,59.07,58.8,59.03,980.67119
1555732800000,58.7,58.92,58.64,58.85,551.29296
1555729200000,58.84,58.97,58.74,58.76,689.95685
1555725600000,58.83,59.08,58.77,58.85,1424.17846
1555722000000,58.8,58.85,58.5,58.83,847.11506
1555718400000,59.0,59.04,58.72,58.84,380.67658
1555714800000,58.71,59.19,58.63,58.95,483.87528
1555711200000,58.68,58.85,58.48,58.74,990.03069
1555707600000,58.86,59.0,58.72,58.76,619.29804
1555704000000,59.31,59.35,58.8,58.86,690.10599
1555700400000,59.34,59.52,58.98,59.31,715.9265
1555696800000,59.13,59.43,58.8,59.35,1226.90008
1555693200000,59.08,59.29,58.94,59.2,1045.97594
1555689600000,59.47,60.0,59.06,59.08,1720.43947
1555686000000,59.23,59.79,59.23,59.48,1202.99835
1555682400000,59.66,59.87,59.14,59.27,3129.03475
1555678800000,59.13,59.73,59.0,59.64,1333.52386
1555675200000,59.32,59.4,58.96,59.12,1513.14693
1555671600000,59.26,59.35,59.21,59.25,784.28833
1555668000000,59.2,59.34,59.06,59.25,859.09855
1555664400000,59.27,59.63,59.01,59.26,2935.50209
1555660800000,59.78,59.9,59.0,59.23,3679.44554
1555657200000,58.8,60.72,58.8,59.86,8146.82431
1555653600000,57.85,58.9,57.85,58.85,677.56504
1555650000000,58.06,58.11,57.8,57.82,1359.11244
1555646400000,57.83,58.1,57.8,58.1,1324.12085
1555642800000,57.73,57.93,57.47,57.87,1506.79193
1555639200000,58.64,58.83,57.7,57.76,2340.80593
1555635600000,58.88,59.6,58.5,58.64,2486.75744
1555632000000,59.12,60.0,58.91,58.96,1329.75189
1555628400000,58.94,59.2,58.84,59.13,685.43039
1555624800000,59.35,59.65,58.88,58.97,1078.70729
1555621200000,59.2,59.57,59.0,59.31,348.07655
1555617600000,59.96,60.16,58.91,59.26,1566.43924
1555614000000,59.5,60.28,59.49,60.0,1385.18623
1555610400000,59.41,59.57,59.27,59.42,1133.35837
1555606800000,58.63,60.23,58.62,59.34,2693.58547
1555603200000,58.54,59.15,58.39,58.55,2866.98087
1555599600000,58.87,58.87,58.3,58.54,1247.2171
1555596000000,58.39,58.95,58.15,58.89,1897.47887
1555592400000,58.4,59.13,58.14,58.39,3829.78617
1555588800000,57.74,60.8,57.66,58.41,12010.25385
1555585200000,58.19,58.22,57.5,57.7,2528.19058
1555581600000,58.55,58.8,58.13,58.24,4227.15363
1555578000000,59.43,59.43,57.91,58.54,10089.48328
1555574400000,59.77,59.95,59.3,59.43,4047.04089
1555570800000,58.68,62.47,58.41,59.73,33378.69264
1555567200000,54.7,58.69,54.66,58.69,14668.64064
1555563600000,54.99,54.99,54.5,54.7,2686.70224
1555560000000,55.09,55.2,54.92,54.99,1973.55823
1555556400000,55.1,55.23,55.0,55.07,1054.78692
1555552800000,54.96,55.25,54.8,55.04,813.52351
1555549200000,54.95,55.24,54.46,54.95,1336.2455
1555545600000,54.94,55.5,54.94,54.97,976.49092
1555542000000,55.38,55.38,54.87,55.0,1021.74936
1555538400000,54.69,55.38,54.67,55.37,1176.726
1555534800000,54.6,54.77,54.56,54.73,384.05747
1555531200000,54.85,54.87,54.46,54.6,2035.95075
1555527600000,54.99,55.24,54.69,54.81,1323.51101
1555524000000,55.31,55.36,54.08,54.99,4440.97988
1555520400000,55.71,55.77,55.3,55.3,1016.35415
1555516800000,55.7,55.82,55.56,55.71,899.05227
1555513200000,55.89,56.14,55.68,55.68,1258.85136
1555509600000,55.69,55.97,55.35,55.88,1147.8261
1555506000000,55.58,55.98,55.5,55.69,1244.33259
1555502400000,55.85,56.02,55.36,55.55,2250.08619
1555498800000,56.16,56.16,55.78,55.85,755.85762
1555495200000,55.87,56.48,55.53,56.24,1541.11256
1555491600000,55.48,55.92,55.08,55.89,935.62112
1555488000000,55.8,55.91,55.38,55.43,1242.1853
1555484400000,55.56,55.84,55.43,55.78,2518.18964
1555480800000,56.58,56.6,55.51,55.53,1752.42779
1555477200000,56.62,57.0,55.77,56.58,2959.86469
1555473600000,55.64,56.66,55.37,56.62,3613.033
1555470000000,56.23,56.23,55.37,55.63,1535.2677
1555466400000,55.22,56.88,55.21,56.21,3842.2043
1555462800000,55.03,55.8,54.73,55.22,3130.72778
1555459200000,56.7,56.71,54.94,55.06,5524.55815
1555455600000,54.58,57.74,54.58,56.68,8684.63498
1555452000000,54.4,54.69,54.26,54.52,1417.77142
1555448400000,54.07,55.1,54.03,54.43,3408.98261
1555444800000,54.36,54.52,53.9,54.07,1902.06182
1555441200000,54.49,54.74,54.26,54.41,1960.15742
1555437600000,54.53,54.84,54.49,54.51,1528.40595
1555434000000,54.52,54.84,53.82,54.55,6461.84983
1555430400000,55.17,55.2,54.29,54.48,2761.04476
1555426800000,55.02,55.43,54.85,55.17,2492.7915
1555423200000,55.29,55.51,54.9,55.02,3177.93132
1555419600000,55.07,55.88,54.86,55.3,3586.17212
1555416000000,54.77,55.87,54.71,55.09,3528.70112
1555412400000,55.7,55.9,54.65,54.81,3203.10482
1555408800000,55.93,56.1,55.49,55.71,3166.85454
1555405200000,56.11,56.28,55.61,55.89,4702.79607
1555401600000,56.24,56.39,55.8,56.11,7922.73548
1555398000000,55.82,56.92,55.68,56.24,4554.88961
1555394400000,57.64,57.76,55.68,55.82,4826.26407
1555390800000,56.61,58.0,56.2,57.64,5672.05231
1555387200000,55.85,56.93,54.94,56.62,10023.14682
1555383600000,54.39,56.61,54.39,55.88,11867.64103
1555380000000,58.68,58.7,53.78,54.39,32574.27715
1555376400000,59.29,60.0,58.32,58.68,7658.01293
1555372800000,58.9,61.4,58.86,59.27,18149.6452
1555369200000,58.81,59.14,58.11,58.96,14829.29491
