date,open,high,low,close,volume
1594022400000,8.75,8.75,8.71,8.72,235.42
1594018800000,8.79,8.83,8.67,8.72,4067.75
1594015200000,8.52,8.79,8.52,8.79,23482.59
1594011600000,8.48,8.51,8.44,8.51,2413.21
1594008000000,8.45,8.47,8.45,8.46,5366.22
1594004400000,8.46,8.46,8.42,8.43,12279.72
1594000800000,8.47,8.53,8.44,8.47,3462.88
1593997200000,8.4,8.45,8.4,8.45,234.13
1593993600000,8.43,8.43,8.38,8.39,718.79
1593990000000,8.44,8.45,8.39,8.45,872.44
1593986400000,8.31,8.48,8.31,8.43,6624.26
1593982800000,8.29,8.4,8.01,8.33,22419.82
1593979200000,8.32,8.33,8.3,8.3,2095.44
1593975600000,8.36,8.36,8.34,8.36,262.04
1593972000000,8.31,8.35,8.31,8.35,1677.78
1593968400000,8.32,8.36,8.31,8.34,600.54
1593964800000,8.33,8.35,8.31,8.31,5683.05
1593961200000,8.33,8.41,8.3,8.31,9946.48
1593957600000,8.27,8.32,8.23,8.3,3565.77
1593954000000,8.32,8.34,8.3,8.3,3026.49
1593950400000,8.33,8.35,8.28,8.35,3906.57
1593946800000,8.35,8.36,8.32,8.34,1159.56
1593943200000,8.28,8.34,8.25,8.33,4867.69
1593939600000,8.43,8.43,8.22,8.28,5917.58
1593936000000,8.41,8.43,8.39,8.43,1923.79
1593932400000,8.38,8.42,8.33,8.4,3643.3
1593928800000,8.41,8.46,8.38,8.39,4765.2
1593925200000,8.55,8.55,8.4,8.42,5594.51
1593921600000,8.56,8.56,8.52,8.52,931.73
1593918000000,8.56,8.56,8.56,8.56,3.67
1593914400000,8.55,8.55,8.53,8.53,4910.68
1593910800000,8.56,8.57,8.55,8.57,244.79
1593907200000,8.6,8.61,8.56,8.56,7095.56
1593903600000,8.57,8.59,8.57,8.59,934.82
1593900000000,8.55,8.55,8.53,8.55,692.67
1593896400000,8.57,8.57,8.55,8.55,584.65
1593892800000,8.58,8.6,8.55,8.57,4204.91
1593889200000,8.56,8.59,8.5,8.55,2679.92
1593885600000,8.66,8.71,8.55,8.6,12840.64
1593882000000,8.4,8.72,8.4,8.64,20205.42
1593878400000,8.4,8.44,8.4,8.4,1222.35
1593874800000,8.4,8.41,8.38,8.38,3736.96
1593871200000,8.42,8.45,8.41,8.44,367.9
1593867600000,8.4,8.43,8.4,8.41,419.74
1593864000000,8.4,8.43,8.37,8.4,2555.89
1593860400000,8.41,8.43,8.4,8.4,1260.94
1593856800000,8.42,8.43,8.4,8.4,1759.1
1593853200000,8.44,8.44,8.43,8.44,193.86
1593849600000,8.42,8.44,8.42,8.42,25.7
1593846000000,8.42,8.42,8.42,8.42,2.77
1593842400000,8.44,8.44,8.42,8.42,699.88
1593838800000,8.44,8.45,8.44,8.45,65.87
1593835200000,8.44,8.46,8.44,8.44,752.91
1593831600000,8.46,8.46,8.44,8.46,299.7
1593828000000,8.41,8.47,8.41,8.44,112.33
1593824400000,8.41,8.41,8.36,8.41,74.23
1593820800000,8.4,8.42,8.38,8.4,252.58
1593817200000,8.45,8.45,8.35,8.39,799.8
1593813600000,8.48,8.48,8.44,8.44,340.44
1593810000000,8.48,8.48,8.42,8.45,896.44
1593806400000,8.44,8.46,8.41,8.45,3011.53
1593802800000,8.42,8.45,8.42,8.42,1699.47
1593799200000,8.47,8.48,8.42,8.43,946.15
1593795600000,8.47,8.47,8.45,8.45,705.79
1593792000000,8.49,8.52,8.45,8.48,4223.5
1593788400000,8.49,8.49,8.47,8.48,715.38
1593784800000,8.47,8.5,8.44,8.45,1103.43
1593781200000,8.52,8.54,8.47,8.47,1081.27
1593777600000,8.47,8.52,8.45,8.52,8667.19
1593774000000,8.42,8.46,8.41,8.46,1293.37
1593770400000,8.4,8.42,8.39,8.42,2717.08
1593766800000,8.48,8.52,8.34,8.45,13250.25
1593763200000,8.5,8.54,8.48,8.48,8990.27
1593759600000,8.46,8.51,8.46,8.5,289.58
1593756000000,8.5,8.51,8.49,8.49,1350.51
1593752400000,8.49,8.5,8.47,8.5,4208.65
1593748800000,8.46,8.46,8.45,8.45,346.51
1593745200000,8.49,8.49,8.46,8.46,17.09
1593741600000,8.52,8.52,8.45,8.45,10444.01
1593738000000,8.46,8.53,8.46,8.52,710.7
1593734400000,8.45,8.47,8.41,8.47,4389.82
1593730800000,8.45,8.49,8.45,8.47,401.0
1593727200000,8.58,8.59,8.45,8.5,6414.93
1593723600000,8.45,8.6,8.4,8.56,7747.83
1593720000000,8.36,8.44,8.34,8.44,2604.4
1593716400000,8.39,8.42,8.33,8.37,1481.1
1593712800000,8.42,8.44,8.33,8.4,1090.21
1593709200000,8.33,8.44,8.3,8.42,3516.66
1593705600000,8.38,8.42,8.12,8.36,31894.29
1593702000000,8.72,8.72,8.28,8.35,30985.7
1593698400000,8.83,8.83,8.72,8.72,2407.39
1593694800000,8.8,8.84,8.77,8.83,6452.85
1593691200000,8.7,8.83,8.7,8.81,3902.37
1593687600000,8.7,8.7,8.68,8.7,1402.42
1593684000000,8.76,8.76,8.71,8.71,2360.87
1593680400000,8.74,8.77,8.73,8.76,111.24
1593676800000,8.76,8.76,8.67,8.74,1228.63
1593673200000,8.72,8.76,8.72,8.76,453.8
1593669600000,8.76,8.76,8.68,8.73,5874.23
1593666000000,8.81,8.85,8.73,8.73,12375.75
1593662400000,8.81,8.81,8.8,8.8,615.93
1593658800000,8.81,8.81,8.81,8.81,61.56
1593655200000,8.82,8.85,8.81,8.81,1800.06
1593651600000,8.77,8.81,8.77,8.81,205.17
1593648000000,8.81,8.81,8.76,8.76,1863.2
1593644400000,8.81,8.83,8.78,8.78,1078.14
1593640800000,8.79,8.81,8.76,8.81,2396.09
1593637200000,8.81,8.82,8.78,8.79,2796.38
1593633600000,8.82,8.86,8.8,8.83,6598.21
1593630000000,8.85,8.89,8.83,8.84,2933.62
1593626400000,8.91,8.91,8.83,8.83,1396.92
1593622800000,8.9,8.91,8.86,8.91,3822.45
1593619200000,8.87,8.93,8.81,8.9,8356.49
1593615600000,8.78,8.86,8.78,8.86,4617.5
1593612000000,8.76,8.82,8.75,8.79,5212.57
1593608400000,8.64,8.83,8.62,8.72,40576.37
1593604800000,8.62,8.64,8.6,8.64,724.49
1593601200000,8.61,8.61,8.61,8.61,117.69
1593597600000,8.66,8.68,8.6,8.62,1014.07
1593594000000,8.67,8.7,8.63,8.63,1989.82
1593590400000,8.58,8.72,8.58,8.67,3941.97
1593586800000,8.57,8.61,8.57,8.59,3858.21
1593583200000,8.61,8.61,8.58,8.58,1095.26
1593579600000,8.62,8.62,8.59,8.59,450.09
1593576000000,8.58,8.64,8.58,8.63,2126.03
1593572400000,8.59,8.59,8.55,8.58,436.88
1593568800000,8.55,8.6,8.55,8.6,409.93
1593565200000,8.58,8.58,8.52,8.52,198.55
1593561600000,8.58,8.59,8.49,8.58,6625.79
1593558000000,8.58,8.63,8.58,8.6,381.06
1593554400000,8.65,8.65,8.57,8.57,1284.21
1593550800000,8.62,8.65,8.62,8.65,1187.34
1593547200000,8.58,8.63,8.57,8.62,1165.47
1593543600000,8.58,8.61,8.5,8.59,2060.29
1593540000000,8.59,8.6,8.59,8.59,382.2
1593536400000,8.65,8.65,8.57,8.59,2097.02
1593532800000,8.64,8.68,8.63,8.64,2248.19
1593529200000,8.67,8.71,8.65,8.67,7811.93
1593525600000,8.59,8.67,8.59,8.67,3179.12
1593522000000,8.54,8.62,8.41,8.58,15048.32
1593518400000,8.63,8.63,8.54,8.57,18354.07
1593514800000,8.63,8.64,8.6,8.64,2410.89
1593511200000,8.64,8.65,8.6,8.65,564.29
1593507600000,8.61,8.66,8.6,8.63,2725.14
1593504000000,8.62,8.62,8.58,8.59,376.61
1593500400000,8.61,8.61,8.6,8.61,383.52
1593496800000,8.59,8.63,8.54,8.6,2389.95
1593493200000,8.62,8.66,8.57,8.58,4700.31
1593489600000,8.66,8.69,8.63,8.65,4668.98
1593486000000,8.7,8.7,8.64,8.64,1680.26
1593482400000,8.71,8.72,8.7,8.71,830.48
1593478800000,8.66,8.74,8.64,8.73,2255.78
1593475200000,8.73,8.74,8.66,8.69,2041.54
1593471600000,8.73,8.73,8.65,8.72,3399.56
1593468000000,8.81,8.81,8.68,8.71,6424.35
1593464400000,8.71,8.83,8.71,8.78,15699.54
1593460800000,8.64,8.71,8.62,8.7,3038.75
1593457200000,8.61,8.63,8.58,8.62,748.1
1593453600000,8.64,8.69,8.6,8.61,4583.42
1593450000000,8.53,8.63,8.53,8.63,1296.91
1593446400000,8.58,8.63,8.51,8.56,6750.83
1593442800000,8.41,8.59,8.41,8.57,5748.91
1593439200000,8.4,8.47,8.36,8.44,1969.6
1593435600000,8.5,8.5,8.33,8.35,3873.6
1593432000000,8.48,8.53,8.47,8.52,1887.69
1593428400000,8.55,8.55,8.44,8.5,3326.34
1593424800000,8.58,8.58,8.51,8.56,714.76
1593421200000,8.48,8.59,8.45,8.59,4386.24
1593417600000,8.47,8.49,8.42,8.49,2829.53
1593414000000,8.46,8.51,8.4,8.49,1728.05
1593410400000,8.54,8.54,8.47,8.48,3966.49
1593406800000,8.52,8.57,8.52,8.55,1146.54
1593403200000,8.47,8.52,8.47,8.52,1173.77
1593399600000,8.56,8.56,8.48,8.5,1275.43
1593396000000,8.6,8.6,8.58,8.58,84.32
1593392400000,8.56,8.59,8.55,8.58,76.96
1593388800000,8.53,8.56,8.5,8.55,1258.43
1593385200000,8.49,8.57,8.46,8.57,1136.97
1593381600000,8.52,8.52,8.44,8.49,3049.65
1593378000000,8.53,8.55,8.5,8.55,150.39
1593374400000,8.51,8.58,8.48,8.53,994.71
1593370800000,8.62,8.65,8.5,8.51,5498.97
1593367200000,8.61,8.65,8.6,8.61,945.89
1593363600000,8.6,8.63,8.55,8.6,3927.69
1593360000000,8.62,8.7,8.58,8.58,5590.44
1593356400000,8.64,8.64,8.54,8.63,10761.05
1593352800000,8.41,8.65,8.41,8.61,10906.39
1593349200000,8.4,8.4,8.37,8.4,1365.72
1593345600000,8.41,8.41,8.34,8.38,1672.12
1593342000000,8.41,8.44,8.38,8.38,7950.36
1593338400000,8.44,8.45,8.4,8.4,2805.54
1593334800000,8.4,8.45,8.37,8.45,1111.72
1593331200000,8.35,8.46,8.29,8.43,4166.64
1593327600000,8.35,8.37,8.26,8.35,2441.57
1593324000000,8.22,8.32,8.22,8.3,3487.93
1593320400000,8.24,8.24,8.21,8.21,3882.86
1593306000000,8.26,8.27,8.2,8.24,758.72
1593302400000,8.32,8.32,8.22,8.22,938.5
1593298800000,8.24,8.39,8.18,8.32,12239.15
1593295200000,8.42,8.47,8.22,8.22,5877.94
1593291600000,8.22,8.5,8.18,8.45,16588.59
1593288000000,8.15,8.27,8.09,8.21,12314.27
1593284400000,8.53,8.53,7.9,8.18,32162.7
1593280800000,8.47,8.54,8.46,8.54,2361.13
1593277200000,8.52,8.62,8.41,8.5,7042.73
1593273600000,8.59,8.61,8.45,8.54,18405.43
1593270000000,8.64,8.66,8.56,8.6,3307.78
1593266400000,8.63,8.65,8.61,8.65,1182.67
1593262800000,8.68,8.7,8.64,8.64,4344.3
1593259200000,8.67,8.67,8.62,8.66,987.19
1593255600000,8.62,8.71,8.6,8.65,1588.98
1593252000000,8.64,8.67,8.63,8.64,1081.84
1593248400000,8.67,8.67,8.61,8.61,2810.7
1593244800000,8.67,8.73,8.67,8.67,8839.0
1593241200000,8.71,8.71,8.67,8.69,1548.5
1593237600000,8.66,8.75,8.66,8.68,911.83
1593234000000,8.66,8.69,8.63,8.66,1835.45
1593230400000,8.68,8.69,8.63,8.66,869.5
1593226800000,8.61,8.72,8.61,8.68,28968.23
1593223200000,8.64,8.64,8.56,8.61,1715.41
1593219600000,8.62,8.63,8.54,8.63,986.18
1593216000000,8.67,8.67,8.57,8.61,1838.94
1593212400000,8.7,8.7,8.65,8.65,704.0
1593208800000,8.75,8.75,8.68,8.69,402.51
1593205200000,8.76,8.79,8.71,8.72,968.0
1593201600000,8.69,8.78,8.68,8.73,5947.47
1593198000000,8.63,8.66,8.61,8.66,1046.16
1593194400000,8.61,8.7,8.61,8.61,1757.33
1593190800000,8.63,8.68,8.63,8.64,1799.0
