date,open,high,low,close,volume
1594022400000,1.0002,1.0003,1.0,1.0001,682233.78
1594018800000,1.0002,1.0003,1.0002,1.0003,1891935.7
1594015200000,1.0,1.0003,0.9999,1.0003,2472869.63
1594011600000,1.0,1.0,0.9999,1.0,618596.81
1594008000000,0.9999,1.0,0.9998,0.9999,962715.7
1594004400000,0.9999,0.9999,0.9998,0.9999,592061.26
1594000800000,0.9999,0.9999,0.9998,0.9999,708406.63
1593997200000,0.9998,0.9999,0.9997,0.9999,754124.35
1593993600000,0.9998,0.9999,0.9997,0.9998,797721.56
1593990000000,0.9999,0.9999,0.9997,0.9999,921275.64
1593986400000,1.0,1.0,0.9998,0.9999,1320211.77
1593982800000,0.9999,1.0,0.9999,1.0,1659220.47
1593979200000,1.0,1.0001,0.9999,1.0,442238.89
1593975600000,0.9999,1.0,0.9999,0.9999,260483.93
1593972000000,0.9999,1.0,0.9999,1.0,296851.46
1593968400000,1.0,1.0,0.9999,0.9999,384865.93
1593964800000,0.9999,1.0,0.9999,0.9999,586074.38
1593961200000,0.9999,1.0001,0.9999,0.9999,781209.85
1593957600000,1.0,1.0001,0.9999,1.0,661237.54
1593954000000,1.0,1.0001,0.9999,1.0,757656.56
1593950400000,1.0,1.0001,1.0,1.0,740097.5
1593946800000,1.0001,1.0002,1.0,1.0,798556.99
1593943200000,1.0002,1.0002,1.0001,1.0001,806486.07
1593939600000,0.9999,1.0002,0.9999,1.0001,775396.95
1593936000000,1.0,1.0001,0.9999,0.9999,528023.8
1593932400000,1.0,1.0001,0.9999,1.0,822760.95
1593928800000,1.0001,1.0002,0.9999,1.0,859350.89
1593925200000,0.9998,1.0002,0.9998,1.0001,1604994.54
1593921600000,0.9998,1.0,0.9998,0.9998,567937.77
1593918000000,0.9998,0.9999,0.9998,0.9998,711951.56
1593914400000,1.0,1.0,0.9998,0.9998,522496.76
1593910800000,0.9999,1.0,0.9999,0.9999,332770.44
1593907200000,0.9999,1.0,0.9999,1.0,833735.83
1593903600000,0.9999,1.0,0.9999,0.9999,347396.3
1593900000000,0.9999,1.0,0.9998,1.0,293809.88
1593896400000,0.9998,1.0,0.9998,0.9999,536282.33
1593892800000,0.9998,0.9999,0.9998,0.9999,727423.3
1593889200000,0.9998,0.9999,0.9997,0.9999,873030.95
1593885600000,1.0,1.0,0.9997,0.9998,2207805.4
1593882000000,1.0,1.0,0.9999,0.9999,1660943.1
1593878400000,0.9999,1.0,0.9999,1.0,488359.01
1593874800000,1.0,1.0,0.9999,0.9999,651241.9
1593871200000,1.0,1.0,0.9999,1.0,374923.51
1593867600000,1.0,1.0,0.9999,0.9999,551830.03
1593864000000,1.0,1.0,0.9999,0.9999,773159.99
1593860400000,1.0,1.0001,0.9999,0.9999,406040.38
1593856800000,0.9999,1.0001,0.9999,1.0,658146.87
1593853200000,1.0001,1.0002,0.9999,0.9999,481170.65
1593849600000,1.0002,1.0002,1.0001,1.0001,446716.12
1593846000000,1.0003,1.0003,1.0001,1.0001,404958.74
1593842400000,1.0002,1.0003,1.0001,1.0002,255349.53
1593838800000,1.0001,1.0002,1.0001,1.0002,289059.29
1593835200000,1.0001,1.0002,1.0001,1.0001,356278.67
1593831600000,1.0003,1.0003,1.0001,1.0001,526866.11
1593828000000,1.0002,1.0003,1.0001,1.0003,796633.86
1593824400000,1.0001,1.0002,1.0,1.0002,607617.44
1593820800000,1.0,1.0001,0.9999,1.0,1109453.36
1593817200000,0.9999,1.0001,0.9999,1.0,1163014.53
1593813600000,1.0,1.0,0.9999,1.0,513879.72
1593810000000,1.0001,1.0002,0.9999,1.0,864106.17
1593806400000,1.0001,1.0002,1.0001,1.0001,617769.21
1593802800000,0.9999,1.0002,0.9999,1.0001,1258682.46
1593799200000,0.9999,1.0,0.9999,0.9999,694738.18
1593795600000,0.9999,1.0,0.9998,1.0,988380.03
1593792000000,1.0001,1.0001,0.9999,1.0,805048.0
1593788400000,1.0001,1.0001,0.9999,1.0001,996141.67
1593784800000,1.0,1.0001,1.0,1.0001,1358384.65
1593781200000,1.0,1.0001,1.0,1.0001,341063.63
1593777600000,0.9999,1.0001,0.9999,1.0,708690.71
1593774000000,1.0002,1.0003,0.9999,1.0,979655.38
1593770400000,1.0001,1.0003,1.0,1.0002,1299134.32
1593766800000,1.0003,1.0003,1.0,1.0001,1184212.36
1593763200000,1.0001,1.0003,1.0,1.0002,1180385.55
1593759600000,1.0002,1.0002,1.0001,1.0001,518545.02
1593756000000,1.0002,1.0002,1.0001,1.0002,454147.36
1593752400000,1.0002,1.0002,1.0001,1.0001,627128.42
1593748800000,1.0002,1.0002,1.0001,1.0001,416612.38
1593745200000,1.0002,1.0003,1.0001,1.0002,440012.96
1593741600000,1.0002,1.0004,1.0002,1.0002,573813.37
1593738000000,1.0003,1.0004,1.0001,1.0003,669249.44
1593734400000,0.9999,1.0004,0.9999,1.0003,825656.71
1593730800000,0.9999,1.0,0.9999,1.0,920339.27
1593727200000,1.0001,1.0002,0.9999,0.9999,1233815.1
1593723600000,1.0002,1.0003,1.0,1.0001,1295788.45
1593720000000,1.0003,1.0004,1.0001,1.0002,781170.0
1593716400000,1.0002,1.0003,1.0001,1.0003,1049633.8
1593712800000,1.0004,1.0005,1.0002,1.0002,1071591.12
1593709200000,1.0005,1.0007,1.0004,1.0004,1454869.58
1593705600000,1.0006,1.0007,1.0003,1.0005,2592503.56
1593702000000,1.0004,1.0008,1.0004,1.0006,3065126.27
1593698400000,1.0004,1.0005,1.0004,1.0004,1475225.35
1593694800000,1.0004,1.0005,1.0004,1.0004,1377458.52
1593691200000,1.0004,1.0005,1.0004,1.0004,1642340.48
1593687600000,1.0003,1.0005,1.0003,1.0004,926618.7
1593684000000,1.0003,1.0004,1.0003,1.0004,529738.64
1593680400000,1.0003,1.0004,1.0003,1.0003,785357.33
1593676800000,1.0003,1.0004,1.0003,1.0003,883869.56
1593673200000,1.0004,1.0004,1.0003,1.0003,827259.42
1593669600000,0.9998,1.0004,0.9998,1.0004,1357104.51
1593666000000,0.9998,0.9999,0.9998,0.9998,836256.03
1593662400000,0.9997,0.9999,0.9997,0.9998,330144.58
1593658800000,0.9998,0.9998,0.9997,0.9998,402718.35
1593655200000,0.9998,0.9998,0.9997,0.9998,354246.98
1593651600000,0.9997,0.9998,0.9997,0.9997,585495.83
1593648000000,0.9998,0.9999,0.9997,0.9998,785751.65
1593644400000,0.9997,0.9999,0.9997,0.9998,1056683.86
1593640800000,0.9997,0.9998,0.9997,0.9997,676483.35
1593637200000,0.9998,0.9998,0.9997,0.9998,580597.49
1593633600000,0.9997,0.9998,0.9997,0.9998,537642.3
1593630000000,0.9997,0.9999,0.9997,0.9997,836785.42
1593626400000,0.9997,0.9998,0.9997,0.9997,608574.64
1593622800000,0.9999,0.9999,0.9997,0.9998,1973345.59
1593619200000,0.9998,0.9999,0.9997,0.9998,2254377.0
1593615600000,0.9999,1.0,0.9998,0.9998,2271334.33
1593612000000,1.0001,1.0002,0.9998,0.9998,2385961.66
1593608400000,1.0003,1.0004,1.0001,1.0001,2457594.68
1593604800000,1.0004,1.0004,1.0003,1.0003,1095056.23
1593601200000,1.0003,1.0004,1.0003,1.0004,574372.96
1593597600000,1.0003,1.0004,1.0003,1.0004,690071.73
1593594000000,1.0004,1.0004,1.0003,1.0004,496997.13
1593590400000,1.0004,1.0004,1.0003,1.0004,1273153.76
1593586800000,1.0003,1.0004,1.0003,1.0004,616314.15
1593583200000,1.0004,1.0004,1.0003,1.0003,644592.31
1593579600000,1.0004,1.0004,1.0003,1.0003,705952.51
1593576000000,1.0004,1.0005,1.0003,1.0004,1797149.04
1593572400000,1.0004,1.0005,1.0004,1.0004,421475.14
1593568800000,1.0006,1.0006,1.0004,1.0004,707822.93
1593565200000,1.0005,1.0006,1.0004,1.0006,554343.43
1593561600000,1.0004,1.0006,1.0004,1.0004,947817.96
1593558000000,1.0005,1.0006,1.0004,1.0005,532376.59
1593554400000,1.0004,1.0006,1.0004,1.0005,506031.61
1593550800000,1.0004,1.0006,1.0002,1.0004,1246342.08
1593547200000,1.0004,1.0005,1.0004,1.0005,299350.87
1593543600000,1.0005,1.0006,1.0003,1.0004,949292.64
1593540000000,1.0005,1.0005,1.0004,1.0005,525365.45
1593536400000,1.0004,1.0005,1.0003,1.0005,986380.24
1593532800000,1.0002,1.0004,1.0002,1.0004,794682.98
1593529200000,1.0006,1.0006,1.0002,1.0003,1399330.75
1593525600000,1.0008,1.0008,1.0005,1.0005,1042412.72
1593522000000,1.0006,1.0008,1.0006,1.0008,1979918.8
1593518400000,1.0006,1.0007,1.0006,1.0006,905305.93
1593514800000,1.0006,1.0007,1.0005,1.0006,667213.64
1593511200000,1.0007,1.0008,1.0006,1.0006,1018758.07
1593507600000,1.0008,1.0009,1.0007,1.0007,582707.38
1593504000000,1.0009,1.0009,1.0008,1.0009,663303.52
1593500400000,1.0007,1.0009,1.0007,1.0009,560941.01
1593496800000,1.0007,1.0009,1.0007,1.0008,802726.69
1593493200000,1.0005,1.0008,1.0004,1.0007,928187.04
1593489600000,1.0004,1.0005,1.0004,1.0005,293990.6
1593486000000,1.0004,1.0005,1.0004,1.0004,210535.78
1593482400000,1.0004,1.0005,1.0003,1.0005,353520.65
1593478800000,1.0006,1.0006,1.0004,1.0005,889804.88
1593475200000,1.0005,1.0006,1.0005,1.0006,489425.01
1593471600000,1.0005,1.0007,1.0004,1.0006,749537.33
1593468000000,1.0004,1.0005,1.0004,1.0004,709790.38
1593464400000,1.0005,1.0006,1.0003,1.0004,1487909.14
1593460800000,1.0007,1.0007,1.0004,1.0005,1070465.59
1593457200000,1.0007,1.0008,1.0005,1.0006,884321.46
1593453600000,1.0008,1.0009,1.0006,1.0007,976165.39
1593450000000,1.001,1.0011,1.0008,1.0008,1101754.97
1593446400000,1.001,1.001,1.0008,1.0009,1659251.03
1593442800000,1.0011,1.0012,1.0009,1.001,1251518.03
1593439200000,1.0014,1.0014,1.0011,1.0011,953709.08
1593435600000,1.0012,1.0014,1.0011,1.0014,1146498.77
1593432000000,1.0015,1.0016,1.0012,1.0013,1410506.32
1593428400000,1.0013,1.0016,1.0012,1.0016,1879163.43
1593424800000,1.0011,1.0013,1.0011,1.0013,808347.06
1593421200000,1.0011,1.0013,1.0011,1.0012,926391.45
1593417600000,1.0011,1.0012,1.0011,1.0012,562771.06
1593414000000,1.001,1.0013,1.0009,1.0012,1430957.61
1593410400000,1.0011,1.0011,1.0009,1.001,888179.94
1593406800000,1.0009,1.0011,1.0009,1.0011,836321.01
1593403200000,1.0009,1.0011,1.0009,1.0009,583982.0
1593399600000,1.001,1.001,1.0008,1.0009,645195.1
1593396000000,1.001,1.001,1.0008,1.001,608654.83
1593392400000,1.0008,1.0011,1.0007,1.001,707366.86
1593388800000,1.0005,1.0008,1.0004,1.0008,832974.57
1593385200000,1.0008,1.0008,1.0004,1.0005,1205104.66
1593381600000,1.0008,1.0008,1.0007,1.0007,716936.76
1593378000000,1.0007,1.0008,1.0006,1.0008,432105.23
1593374400000,1.0007,1.0008,1.0006,1.0006,762399.51
1593370800000,1.0006,1.0008,1.0005,1.0008,1066790.96
1593367200000,1.0005,1.0007,1.0005,1.0006,422531.69
1593363600000,1.0006,1.0007,1.0005,1.0005,785255.28
1593360000000,1.0005,1.0006,1.0004,1.0006,884821.23
1593356400000,1.0005,1.0006,1.0004,1.0005,809187.47
1593352800000,1.0008,1.0008,1.0004,1.0005,1406031.35
1593349200000,1.0009,1.0009,1.0007,1.0007,620748.73
1593345600000,1.0009,1.001,1.0008,1.0008,733974.45
1593342000000,1.0012,1.0012,1.0009,1.0009,644794.81
1593338400000,1.0011,1.0012,1.001,1.0011,821033.52
1593334800000,1.0011,1.0011,1.001,1.001,948635.2
1593331200000,1.0011,1.0013,1.001,1.0011,1106122.87
1593327600000,1.0012,1.0012,1.0011,1.0012,471646.46
1593324000000,1.0009,1.0012,1.0009,1.0012,865045.95
1593320400000,1.001,1.0011,1.0009,1.0009,413775.47
1593306000000,1.001,1.0011,1.001,1.001,609136.35
1593302400000,1.0011,1.0012,1.001,1.001,705840.2
