date,open,high,low,close,volume
1594022400000,0.02505,0.02509,0.02505,0.02509,40861.3
1594018800000,0.025,0.02508,0.02487,0.02491,574939.1
1594015200000,0.02465,0.025,0.0246,0.025,924343.6
1594011600000,0.02466,0.02479,0.02451,0.02465,1414088.9
1594008000000,0.02504,0.02521,0.02458,0.02462,2862085.3
1594004400000,0.02515,0.02554,0.02478,0.02506,1435456.2
1594000800000,0.02522,0.02526,0.02513,0.02521,158827.2
1593997200000,0.02521,0.02537,0.02511,0.02521,191210.8
1593993600000,0.02515,0.02523,0.02511,0.02511,301649.5
1593990000000,0.02505,0.02597,0.02496,0.02514,617342.2
1593986400000,0.02484,0.02505,0.02484,0.02505,101217.4
1593982800000,0.02468,0.02494,0.02426,0.02493,2025838.1
1593979200000,0.0251,0.0251,0.02454,0.02479,578406.9
1593975600000,0.02504,0.02512,0.02496,0.0251,87639.9
1593972000000,0.02521,0.02521,0.025,0.02505,108413.8
1593968400000,0.02514,0.02522,0.025,0.02522,160373.0
1593964800000,0.02511,0.02521,0.025,0.02514,243698.3
1593961200000,0.0252,0.02523,0.02498,0.02512,249690.7
1593957600000,0.02519,0.02537,0.02483,0.0252,1278352.7
1593954000000,0.02573,0.02574,0.025,0.02519,869650.5
1593950400000,0.02566,0.0258,0.02543,0.02554,152791.9
1593946800000,0.02564,0.02566,0.02554,0.02565,70332.9
1593943200000,0.02544,0.0257,0.02543,0.02544,172644.0
1593939600000,0.02583,0.02588,0.02543,0.02555,147091.2
1593936000000,0.02555,0.02588,0.02554,0.02574,203649.7
1593932400000,0.02556,0.02582,0.02543,0.02556,602098.7
1593928800000,0.02555,0.02563,0.02543,0.02554,337185.0
1593925200000,0.02601,0.02601,0.0254,0.02559,1461066.1
1593921600000,0.02614,0.02618,0.026,0.02601,50315.0
1593918000000,0.02602,0.02619,0.02599,0.02614,156826.0
1593914400000,0.02618,0.02622,0.02599,0.02602,212918.7
1593910800000,0.02625,0.02633,0.0262,0.02623,48060.1
1593907200000,0.02624,0.02638,0.02614,0.02615,34650.1
1593903600000,0.02602,0.02625,0.02601,0.02624,108619.0
1593900000000,0.02614,0.02621,0.02601,0.02602,77986.6
1593896400000,0.02595,0.02614,0.02591,0.02614,82851.8
1593892800000,0.02607,0.02608,0.02588,0.02608,142501.1
1593889200000,0.02604,0.02612,0.02592,0.02606,60489.2
1593885600000,0.02613,0.02622,0.02604,0.02604,81395.1
1593882000000,0.02598,0.0262,0.02587,0.02612,302241.7
1593878400000,0.02594,0.02596,0.02581,0.02596,180151.5
1593874800000,0.02596,0.02596,0.02585,0.02586,110836.9
1593871200000,0.02594,0.02596,0.02582,0.02588,25135.1
1593867600000,0.02582,0.02597,0.0258,0.02597,69948.0
1593864000000,0.02614,0.02614,0.0258,0.02585,229190.5
1593860400000,0.026,0.02614,0.02581,0.02614,461027.6
1593856800000,0.02597,0.02613,0.02583,0.02611,457067.9
1593853200000,0.02595,0.0265,0.02595,0.02596,1395944.9
1593849600000,0.02588,0.02607,0.02572,0.02606,603424.8
1593846000000,0.026,0.02614,0.02586,0.02586,313943.3
1593842400000,0.02623,0.02623,0.02589,0.026,219272.4
1593838800000,0.02628,0.02634,0.02597,0.02623,507514.2
1593835200000,0.0264,0.02644,0.02621,0.02628,111562.4
1593831600000,0.02591,0.02644,0.02591,0.0264,322552.4
1593828000000,0.02611,0.02624,0.02572,0.02591,559701.9
1593824400000,0.02607,0.02627,0.026,0.02621,255902.9
1593820800000,0.02636,0.02644,0.02592,0.02601,834770.9
1593817200000,0.0266,0.02692,0.02631,0.02648,778316.4
1593813600000,0.02649,0.0268,0.02618,0.02674,822542.6
1593810000000,0.02614,0.02654,0.02614,0.02649,1212805.1
1593806400000,0.02583,0.02627,0.0258,0.02614,224221.7
1593802800000,0.02593,0.02605,0.02558,0.02583,561530.2
1593799200000,0.02558,0.02594,0.02546,0.02593,493909.8
1593795600000,0.02576,0.02594,0.02544,0.02557,575259.2
