date,open,high,low,close,volume
1594022400000,0.1081,0.1081,0.1078,0.1081,5674.09
1594018800000,0.108,0.1086,0.1071,0.1081,122887.75
1594015200000,0.107,0.1081,0.1069,0.1076,107390.0
1594011600000,0.1064,0.1072,0.1063,0.1072,30125.72
1594008000000,0.1061,0.1068,0.1061,0.1064,26804.02
1594004400000,0.1058,0.1064,0.1058,0.1062,7566.21
1594000800000,0.1059,0.1064,0.1059,0.1059,29087.94
1593997200000,0.1049,0.106,0.1049,0.1057,46208.09
1593993600000,0.1053,0.1056,0.1048,0.1048,105470.17
1593990000000,0.1056,0.1058,0.1051,0.1055,90489.41
1593986400000,0.105,0.1054,0.105,0.1053,4033.73
1593982800000,0.1051,0.1052,0.1037,0.105,58089.91
1593979200000,0.1056,0.1056,0.1051,0.1051,13944.6
1593975600000,0.1055,0.1057,0.1052,0.1056,23499.25
1593972000000,0.1061,0.1062,0.1052,0.1059,17730.83
1593968400000,0.1053,0.1061,0.1053,0.1059,11971.84
1593964800000,0.1054,0.1054,0.1046,0.1051,15885.58
1593961200000,0.1052,0.1057,0.1046,0.1046,36375.84
1593957600000,0.1056,0.1058,0.1045,0.1048,102498.81
1593954000000,0.1057,0.1061,0.1054,0.1058,26765.2
1593950400000,0.1055,0.1062,0.1051,0.1056,21286.22
1593946800000,0.105,0.1058,0.1046,0.1054,51546.68
1593943200000,0.1048,0.1051,0.1044,0.1044,50558.64
1593939600000,0.1053,0.1057,0.1049,0.105,13340.23
1593936000000,0.1052,0.1054,0.1051,0.1054,22272.46
1593932400000,0.1053,0.1055,0.105,0.1052,27677.49
1593928800000,0.1054,0.1059,0.1048,0.1052,41429.03
1593925200000,0.1066,0.107,0.105,0.1053,56817.17
1593921600000,0.1075,0.108,0.1061,0.1061,76301.69
1593918000000,0.1077,0.108,0.1073,0.1079,13905.88
1593914400000,0.1075,0.1079,0.1068,0.1076,26894.45
1593910800000,0.1072,0.1074,0.1066,0.1074,113337.44
1593907200000,0.1082,0.1082,0.1071,0.1073,124233.73
1593903600000,0.1085,0.1085,0.1077,0.1083,5585.04
1593900000000,0.1085,0.1087,0.1077,0.1082,158369.56
1593896400000,0.1094,0.1129,0.108,0.108,156358.87
1593892800000,0.1089,0.1098,0.1088,0.109,49505.98
1593889200000,0.1084,0.1091,0.108,0.1091,29879.94
1593885600000,0.109,0.1096,0.1078,0.1084,50911.73
1593882000000,0.108,0.1097,0.1067,0.1089,235526.39
1593878400000,0.1049,0.108,0.1044,0.108,203878.23
1593874800000,0.105,0.1055,0.1045,0.1055,24583.81
1593871200000,0.105,0.1053,0.1048,0.1049,22495.12
1593867600000,0.1048,0.1053,0.1046,0.105,11260.95
1593864000000,0.1046,0.1051,0.1045,0.1049,6631.31
1593860400000,0.1047,0.1049,0.1044,0.1047,15469.0
1593856800000,0.1047,0.1051,0.1044,0.1046,28266.91
1593853200000,0.1046,0.1049,0.1045,0.1048,98444.92
1593849600000,0.1048,0.1052,0.1045,0.1052,12730.63
1593846000000,0.1049,0.1052,0.1044,0.1044,15015.56
1593842400000,0.1051,0.1053,0.1046,0.1049,13020.7
1593838800000,0.105,0.1052,0.1047,0.1051,17542.63
1593835200000,0.1051,0.1051,0.1046,0.1049,14136.54
1593831600000,0.105,0.1051,0.1047,0.1051,24731.26
1593828000000,0.1042,0.105,0.1042,0.1048,11348.48
1593824400000,0.1045,0.1045,0.1039,0.104,16337.58
1593820800000,0.1042,0.105,0.104,0.1047,35648.42
1593817200000,0.1048,0.1049,0.1041,0.1043,32107.25
1593813600000,0.105,0.1052,0.1046,0.1049,52995.61
1593810000000,0.105,0.105,0.1044,0.1048,11161.25
1593806400000,0.1045,0.1048,0.1044,0.1048,24186.58
1593802800000,0.1048,0.1051,0.1044,0.1049,31877.7
1593799200000,0.1048,0.1052,0.1045,0.1052,125154.16
1593795600000,0.1047,0.1054,0.1045,0.1048,107550.14
1593792000000,0.1045,0.1052,0.1043,0.1048,26716.4
1593788400000,0.105,0.1053,0.1046,0.1046,53426.52
1593784800000,0.1052,0.1053,0.1047,0.1049,9852.99
1593781200000,0.1053,0.1059,0.1049,0.1052,45260.85
1593777600000,0.1056,0.1057,0.1049,0.1052,16442.92
1593774000000,0.1047,0.1069,0.1046,0.1055,103949.91
1593770400000,0.105,0.1054,0.1043,0.1049,35181.14
1593766800000,0.1052,0.1057,0.1045,0.1048,60712.03
1593763200000,0.1052,0.1059,0.105,0.1053,36390.09
1593759600000,0.1049,0.1056,0.1048,0.1051,37239.78
1593756000000,0.1047,0.1059,0.1045,0.1049,131943.89
1593752400000,0.1046,0.1054,0.1045,0.1049,49955.95
1593748800000,0.1042,0.1048,0.104,0.1046,73450.01
1593745200000,0.1041,0.1047,0.1037,0.1041,45354.88
1593741600000,0.1033,0.1045,0.103,0.1041,34526.33
1593738000000,0.1024,0.1033,0.1023,0.1032,26221.76
1593734400000,0.1025,0.1026,0.1019,0.1025,28204.8
1593730800000,0.1022,0.1026,0.1018,0.1022,51789.97
1593727200000,0.1027,0.1031,0.1018,0.1024,66778.68
1593723600000,0.102,0.1027,0.1016,0.1027,67818.76
1593720000000,0.1015,0.1023,0.101,0.102,20019.76
1593716400000,0.1019,0.1025,0.1012,0.1018,48142.83
1593712800000,0.1019,0.1023,0.1009,0.102,23790.02
1593709200000,0.101,0.102,0.101,0.1018,138117.79
1593705600000,0.1014,0.1025,0.0994,0.1007,640036.95
1593702000000,0.1058,0.1058,0.1014,0.1014,340520.97
1593698400000,0.1055,0.1063,0.1052,0.1058,63580.0
1593694800000,0.105,0.1057,0.1049,0.1055,35928.39
1593691200000,0.1047,0.1058,0.1043,0.1048,49927.69
1593687600000,0.1047,0.1051,0.1042,0.1045,34087.29
1593684000000,0.1051,0.1056,0.1045,0.1052,12430.03
1593680400000,0.1047,0.1056,0.1046,0.1049,46420.19
1593676800000,0.1052,0.1053,0.104,0.1049,58621.18
1593673200000,0.1049,0.1056,0.1044,0.1053,39618.76
1593669600000,0.1055,0.1057,0.1041,0.1053,96242.44
1593666000000,0.1052,0.1058,0.105,0.1054,22312.15
1593662400000,0.1051,0.1054,0.1048,0.1053,28888.42
1593658800000,0.1052,0.106,0.1049,0.1054,41572.83
1593655200000,0.1046,0.1056,0.104,0.1054,159121.05
1593651600000,0.1052,0.1055,0.1047,0.1053,30873.99
1593648000000,0.1053,0.106,0.1044,0.1049,143040.65
1593644400000,0.1058,0.1062,0.1052,0.1055,40195.15
1593640800000,0.1067,0.107,0.1045,0.1061,232000.01
1593637200000,0.1068,0.1072,0.1063,0.1065,77810.96
1593633600000,0.1073,0.1078,0.1067,0.107,8790.93
1593630000000,0.1067,0.1076,0.1067,0.1073,13341.28
1593626400000,0.1064,0.1072,0.1061,0.1072,10291.33
1593622800000,0.1076,0.1076,0.1059,0.1064,124553.04
1593619200000,0.1078,0.108,0.1069,0.1072,40822.26
1593615600000,0.1078,0.1081,0.1071,0.1078,62268.69
1593612000000,0.1074,0.1081,0.107,0.1078,48653.45
1593608400000,0.1078,0.1081,0.1066,0.1074,120357.03
1593604800000,0.1082,0.1082,0.1075,0.108,33080.84
1593601200000,0.1084,0.1087,0.1076,0.1082,64977.96
1593597600000,0.1068,0.1084,0.1068,0.1084,116125.72
1593594000000,0.1068,0.1072,0.1064,0.1064,129669.13
1593590400000,0.1058,0.1076,0.1057,0.1071,45169.07
1593586800000,0.1057,0.1065,0.105,0.106,92388.83
1593583200000,0.1064,0.1064,0.1055,0.1058,24655.51
1593579600000,0.1064,0.1066,0.106,0.106,15820.06
1593576000000,0.1066,0.1069,0.106,0.1064,78841.04
1593572400000,0.1066,0.1067,0.1058,0.1064,75012.97
1593568800000,0.1068,0.1074,0.1062,0.1067,50125.76
1593565200000,0.1068,0.1069,0.1063,0.1068,23150.15
1593561600000,0.1069,0.1075,0.1066,0.1068,137525.6
1593558000000,0.1074,0.108,0.107,0.1071,109917.81
1593554400000,0.108,0.1086,0.1066,0.1077,87808.09
1593550800000,0.1086,0.1091,0.108,0.1084,47706.28
1593547200000,0.1085,0.1088,0.1079,0.1086,36848.51
1593543600000,0.1089,0.1091,0.1081,0.1086,96983.62
1593540000000,0.1088,0.1093,0.1079,0.1088,90919.98
1593536400000,0.1088,0.1094,0.1085,0.1088,47841.65
1593532800000,0.1097,0.11,0.1082,0.1087,175450.24
1593529200000,0.1083,0.11,0.1079,0.1094,122978.66
1593525600000,0.1066,0.1086,0.1066,0.1085,128906.16
1593522000000,0.1072,0.1077,0.1059,0.107,238705.27
1593518400000,0.1072,0.1079,0.1067,0.1072,129680.5
1593514800000,0.1072,0.1077,0.1067,0.1072,125454.26
1593511200000,0.108,0.1081,0.107,0.1072,60729.14
1593507600000,0.1085,0.1089,0.1078,0.108,231163.19
1593504000000,0.1078,0.1089,0.1069,0.1085,145172.81
1593500400000,0.1076,0.1079,0.1071,0.1077,135482.61
1593496800000,0.1081,0.1089,0.1075,0.1075,89889.28
1593493200000,0.108,0.11,0.108,0.1083,390761.2
1593489600000,0.1067,0.1086,0.1067,0.1079,304883.72
1593486000000,0.1068,0.107,0.1065,0.1066,49649.0
1593482400000,0.1068,0.1071,0.1062,0.1067,69901.74
1593478800000,0.1065,0.1071,0.1063,0.1068,45746.83
1593475200000,0.1068,0.1075,0.1063,0.1066,69675.7
1593471600000,0.1065,0.1069,0.1063,0.1069,28481.31
1593468000000,0.1069,0.1075,0.1063,0.1066,84568.43
1593464400000,0.107,0.1075,0.1064,0.1065,86744.62
1593460800000,0.1063,0.1074,0.1063,0.1074,45712.09
1593457200000,0.1068,0.1074,0.106,0.1063,27089.31
1593453600000,0.1071,0.1074,0.1063,0.1071,124396.37
1593450000000,0.1074,0.1076,0.1065,0.1071,60147.68
1593446400000,0.1072,0.108,0.1066,0.1073,91961.4
1593442800000,0.1072,0.1079,0.1062,0.1072,142127.48
1593439200000,0.1076,0.1085,0.1064,0.1074,229673.55
1593435600000,0.1084,0.1093,0.107,0.1075,69102.09
1593432000000,0.1091,0.1102,0.1082,0.1088,116623.74
