date,open,high,low,close,volume
1593993600000,67.28,68.69,67.03,68.34,11229.31099
1593907200000,67.62,67.76,65.66,67.24,27308.10185
1593820800000,66.38,68.26,66.24,67.63,32009.08418
1593734400000,66.58,67.12,65.85,66.46,39256.79118
1593648000000,68.32,68.85,65.4,66.62,42226.90345
1593561600000,68.16,69.02,67.29,68.31,34539.68082
1593475200000,69.02,69.22,67.45,68.11,29539.15052
1593388800000,67.71,69.3,66.76,68.93,43636.27624
1593302400000,66.93,68.67,66.07,67.7,25112.63101
1593216000000,70.66,71.18,65.14,66.92,43141.6368
1593129600000,71.08,71.57,69.71,70.68,21882.47201
1593043200000,72.39,72.43,70.04,71.11,26674.84802
1592956800000,74.06,75.3,70.76,72.42,60080.00637
1592870400000,72.32,76.42,71.52,74.01,68535.86342
1592784000000,70.14,72.81,70.02,72.33,27962.04173
1592697600000,71.02,71.37,69.96,70.14,16877.09746
1592611200000,70.08,71.2,69.18,71.01,23835.71053
1592524800000,71.44,71.44,69.87,70.1,23931.35415
1592438400000,72.43,72.65,70.68,71.46,22382.29368
1592352000000,72.66,73.51,70.83,72.42,24981.86909
1592265600000,71.86,73.18,71.4,72.63,35170.2387
1592179200000,72.55,72.62,68.5,71.77,48047.05676
1592092800000,74.19,74.36,71.94,72.56,25223.59019
1592006400000,73.27,74.39,72.56,74.18,22517.90796
1591920000000,72.24,74.87,71.07,73.27,42187.33381
1591833600000,78.23,78.71,71.76,72.24,69195.78222
1591747200000,77.45,78.35,77.02,78.21,30382.50707
1591660800000,77.79,78.03,76.59,77.42,23087.51963
1591574400000,78.0,78.35,77.0,77.77,23624.54078
1591488000000,78.31,78.77,75.82,77.99,31826.94331
1591401600000,77.84,79.22,77.06,78.3,28314.39715
1591315200000,78.52,79.82,77.72,77.81,44672.7812
1591228800000,78.23,79.15,76.64,78.6,58446.26512
1591142400000,78.18,78.67,76.63,78.2,59641.52931
1591056000000,80.08,82.28,76.01,78.26,108927.88649
1590969600000,76.32,80.4,75.59,80.06,92745.69787
1590883200000,79.01,80.88,75.55,76.33,77435.08359
1590796800000,74.17,79.68,73.52,79.01,103075.68133
1590710400000,75.08,75.6,73.31,74.16,47813.93516
