date,open,high,low,close,volume
1594022400000,68.54,68.54,68.3,68.43,757.0505
1594018800000,68.44,68.69,68.26,68.52,2120.41584
1594015200000,68.04,68.57,67.98,68.43,2435.637
1594011600000,67.59,68.04,67.55,68.04,2214.58916
1594008000000,67.13,67.6,67.11,67.56,616.40925
1594004400000,67.42,67.42,67.03,67.12,308.25663
1594000800000,67.49,67.72,67.33,67.42,1063.4965
1593997200000,67.11,67.48,67.11,67.48,555.58549
1593993600000,67.28,67.45,67.07,67.11,882.45705
1593990000000,67.22,67.49,67.09,67.24,1039.15018
1593986400000,66.64,67.46,66.64,67.19,2242.81303
1593982800000,66.34,66.73,65.66,66.63,2440.25323
1593979200000,66.54,66.68,66.3,66.36,830.30242
1593975600000,66.63,66.8,66.52,66.54,319.9515
1593972000000,66.54,66.7,66.43,66.63,711.18
1593968400000,66.52,66.66,66.51,66.53,217.95544
1593964800000,66.69,66.98,66.41,66.52,1297.36946
1593961200000,66.77,67.04,66.65,66.73,1763.99088
1593957600000,66.61,66.77,66.49,66.77,479.91071
1593954000000,66.89,66.89,66.58,66.64,790.10816
1593950400000,66.88,66.95,66.42,66.89,1165.30583
1593946800000,66.74,66.99,66.74,66.88,773.11789
1593943200000,66.54,66.86,66.31,66.73,1419.90177
1593939600000,67.06,67.1,66.26,66.55,1684.24343
1593936000000,67.0,67.12,66.88,67.09,459.01375
1593932400000,66.99,67.18,66.8,67.02,794.64511
1593928800000,66.98,67.21,66.76,66.98,1108.19614
1593925200000,67.5,67.54,66.66,66.96,2467.87439
1593921600000,67.41,67.5,67.23,67.5,728.81568
1593918000000,67.42,67.53,67.28,67.37,500.2935
1593914400000,67.59,67.62,67.19,67.41,1216.74161
1593910800000,67.57,67.71,67.39,67.58,1060.61455
1593907200000,67.62,67.76,67.48,67.58,1796.35319
1593903600000,67.51,67.65,67.23,67.63,1840.22538
1593900000000,67.37,67.57,67.35,67.5,439.99565
1593896400000,67.7,67.73,67.32,67.37,901.13208
1593892800000,67.72,67.84,67.59,67.68,825.24619
1593889200000,67.65,67.71,67.29,67.71,1015.43024
1593885600000,67.93,68.09,67.46,67.68,3031.4873
1593882000000,67.4,68.26,67.32,67.91,6445.45337
1593878400000,67.28,67.43,67.02,67.39,992.3474
1593874800000,67.29,67.37,66.9,67.25,3250.33627
1593871200000,67.37,67.47,67.27,67.29,851.93368
1593867600000,67.09,67.38,67.01,67.36,799.53195
1593864000000,66.95,67.18,66.74,67.08,1246.12826
