date,open,high,low,close,volume
1593993600000,0.0309,0.0317,0.0305,0.0316,1047988.77
1593907200000,0.0317,0.0317,0.0304,0.0307,2840834.57
1593820800000,0.031,0.0322,0.031,0.0315,1750351.3
1593734400000,0.0304,0.0316,0.0303,0.0311,2404990.27
1593648000000,0.0316,0.032,0.0293,0.0302,2666363.44
1593561600000,0.03,0.0328,0.0294,0.0316,3637167.13
1593475200000,0.0298,0.0318,0.0286,0.0301,4763408.64
1593388800000,0.0293,0.0296,0.0281,0.0294,1968508.12
1593302400000,0.0284,0.0303,0.0283,0.0293,3146970.38
1593216000000,0.0324,0.0325,0.027,0.0285,4308096.89
1593129600000,0.0329,0.0332,0.0307,0.0324,3836574.49
1593043200000,0.0334,0.034,0.0312,0.0329,8189051.48
1592956800000,0.0352,0.0358,0.0319,0.0334,7867900.33
1592870400000,0.0342,0.0364,0.0337,0.0353,4070147.71
1592784000000,0.0337,0.0352,0.0334,0.0342,6148244.81
1592697600000,0.0361,0.0365,0.0337,0.0337,4946838.68
1592611200000,0.0353,0.0365,0.0334,0.0361,9382548.97
1592524800000,0.0315,0.037,0.0305,0.0353,15491867.19
1592438400000,0.0301,0.0329,0.0293,0.0313,8746111.11
1592352000000,0.0303,0.0315,0.0295,0.0301,5377273.77
1592265600000,0.0291,0.031,0.0289,0.0304,3714685.46
1592179200000,0.0297,0.03,0.027,0.0291,5077818.51
1592092800000,0.031,0.0316,0.0294,0.0297,4231004.68
1592006400000,0.031,0.0316,0.0302,0.031,5119784.86
1591920000000,0.0286,0.0311,0.0285,0.0309,4220802.79
1591833600000,0.032,0.0326,0.0284,0.0287,5893635.42
1591747200000,0.0318,0.0336,0.0304,0.032,7369088.3
1591660800000,0.0336,0.0344,0.0314,0.0319,7990264.26
1591574400000,0.0305,0.0345,0.03,0.0334,14039618.53
1591488000000,0.0294,0.0307,0.0285,0.0303,4119557.15
1591401600000,0.0293,0.0298,0.0289,0.0294,1643908.65
1591315200000,0.0308,0.0318,0.0288,0.0294,6295437.02
1591228800000,0.0295,0.0315,0.0288,0.0308,6076898.81
1591142400000,0.0272,0.0301,0.027,0.0296,6649856.23
1591056000000,0.0279,0.0289,0.0251,0.0275,5571190.96
1590969600000,0.0266,0.0289,0.0266,0.0278,7604411.88
1590883200000,0.0281,0.0285,0.0263,0.0267,7954801.73
1590796800000,0.0288,0.0307,0.0272,0.0283,14216313.73
1590710400000,0.0267,0.0295,0.0265,0.0288,8958236.63
1590624000000,0.0268,0.0272,0.0257,0.0269,3291684.44
1590537600000,0.0279,0.0283,0.0256,0.027,10954975.56
1590451200000,0.0275,0.0312,0.0263,0.0279,16661866.03
1590364800000,0.028,0.0293,0.0261,0.0274,30048482.49
1590278400000,0.0221,0.032,0.0221,0.028,43388050.13
1590192000000,0.0222,0.0234,0.0215,0.0221,9716797.65
1590105600000,0.0208,0.0248,0.0203,0.0221,14755589.02
1590019200000,0.022,0.0226,0.0201,0.0209,3997411.92
1589932800000,0.0221,0.0229,0.0208,0.022,7047679.04
1589846400000,0.0223,0.0224,0.0211,0.0221,6016973.13
1589760000000,0.0207,0.0224,0.0205,0.022,5871995.42
1589673600000,0.0217,0.0221,0.0206,0.0208,5420200.41
1589587200000,0.0208,0.0225,0.0204,0.0217,9276871.53
1589500800000,0.0221,0.0246,0.0205,0.0206,19231824.19
1589414400000,0.0195,0.0223,0.0193,0.0221,8227293.14
1589328000000,0.0191,0.0199,0.0186,0.0195,6479219.3
1589241600000,0.0181,0.0193,0.0181,0.019,3696616.37
1589155200000,0.019,0.0192,0.0172,0.0183,4289908.87
1589068800000,0.0211,0.0211,0.0177,0.0189,4936187.29
1588982400000,0.0215,0.0221,0.021,0.0212,1900452.19
1588896000000,0.0209,0.022,0.0205,0.0215,3151418.89
1588809600000,0.0214,0.0224,0.0203,0.0209,5993982.19
1588723200000,0.0221,0.0225,0.0214,0.0214,3456821.4
1588636800000,0.0228,0.023,0.0213,0.0221,3288751.26
1588550400000,0.023,0.023,0.0216,0.0228,2946338.08
1588464000000,0.0236,0.024,0.0223,0.023,5616650.37
1588377600000,0.0222,0.0242,0.0222,0.0234,10162882.74
1588291200000,0.0209,0.0242,0.0209,0.0222,16344365.37
1588204800000,0.0221,0.0229,0.0206,0.0209,8042526.0
1588118400000,0.0225,0.0226,0.0212,0.0221,11802194.41
