date,open,high,low,close,volume
1594022400000,0.0315,0.0316,0.0315,0.0316,1823.97
1594018800000,0.0315,0.0316,0.0314,0.0315,6381.4
1594015200000,0.0313,0.0317,0.0312,0.0315,137450.88
1594011600000,0.031,0.0313,0.031,0.0313,43867.56
1594008000000,0.0309,0.0309,0.0309,0.0309,2265.2
1594004400000,0.0307,0.0311,0.0307,0.0307,581469.33
1594000800000,0.0309,0.0309,0.0306,0.0309,230377.73
1593997200000,0.0308,0.0308,0.0305,0.0308,28971.8
1593993600000,0.0309,0.031,0.0309,0.031,15380.9
1593990000000,0.0307,0.0307,0.0307,0.0307,0.0
1593986400000,0.0307,0.031,0.0307,0.0307,94248.38
1593982800000,0.0306,0.0308,0.0304,0.0307,26667.1
1593979200000,0.0308,0.0309,0.0307,0.0309,40339.01
1593975600000,0.031,0.0311,0.0306,0.0307,547597.75
1593972000000,0.0311,0.0311,0.0309,0.0311,10773.56
1593968400000,0.0315,0.0315,0.0309,0.0311,217566.96
1593964800000,0.0315,0.0315,0.0314,0.0314,4852.24
1593961200000,0.0312,0.0315,0.0312,0.0313,252881.85
1593957600000,0.031,0.0311,0.0307,0.0311,254491.26
1593954000000,0.0311,0.0311,0.0308,0.0308,48556.12
1593950400000,0.031,0.031,0.0307,0.0309,98061.28
1593946800000,0.031,0.031,0.0307,0.031,91168.65
1593943200000,0.0307,0.031,0.0307,0.031,48413.21
1593939600000,0.031,0.0312,0.0308,0.0308,205088.29
1593936000000,0.031,0.031,0.031,0.031,97434.03
1593932400000,0.031,0.0313,0.0309,0.031,54008.39
1593928800000,0.0312,0.0313,0.031,0.031,27760.24
1593925200000,0.0311,0.0315,0.0311,0.0312,307888.48
1593921600000,0.0313,0.0314,0.0311,0.0312,93710.9
1593918000000,0.0311,0.0311,0.031,0.0311,82189.99
1593914400000,0.0317,0.0317,0.0312,0.0312,204843.63
1593910800000,0.0317,0.0317,0.0316,0.0316,9904.25
1593907200000,0.0317,0.0317,0.0315,0.0315,22389.0
1593903600000,0.0313,0.0315,0.0313,0.0315,173477.42
1593900000000,0.0315,0.0315,0.0312,0.0314,17335.88
1593896400000,0.0315,0.0315,0.0315,0.0315,0.0
1593892800000,0.0312,0.0315,0.0312,0.0315,12276.82
1593889200000,0.0313,0.0315,0.0312,0.0313,48157.19
1593885600000,0.0315,0.0316,0.0313,0.0315,40290.92
1593882000000,0.0316,0.0317,0.0314,0.0315,80422.27
1593878400000,0.0318,0.0318,0.0314,0.0314,107213.67
1593874800000,0.0319,0.0319,0.0317,0.0318,33989.62
1593871200000,0.0315,0.0319,0.0314,0.0317,117046.2
1593867600000,0.0314,0.0316,0.0311,0.0313,223372.0
1593864000000,0.032,0.032,0.0315,0.0315,123361.55
1593860400000,0.032,0.032,0.0317,0.032,27497.93
1593856800000,0.0321,0.0321,0.0318,0.0318,22327.17
1593853200000,0.032,0.0321,0.032,0.0321,54602.33
1593849600000,0.0319,0.0321,0.0318,0.0321,61943.22
1593846000000,0.0321,0.0322,0.0318,0.032,29203.25
1593842400000,0.0318,0.0321,0.0318,0.032,110668.43
1593838800000,0.0313,0.032,0.0312,0.0318,222394.94
1593835200000,0.0314,0.0314,0.0314,0.0314,12275.25
1593831600000,0.0313,0.0314,0.0313,0.0314,2775.65
1593828000000,0.0314,0.0315,0.0311,0.0314,8579.85
1593824400000,0.0315,0.0316,0.0312,0.0312,61597.45
1593820800000,0.031,0.0315,0.031,0.0315,159542.29
1593817200000,0.0311,0.0311,0.0311,0.0311,11825.72
1593813600000,0.031,0.0316,0.0309,0.0311,111688.94
1593810000000,0.0312,0.0313,0.0312,0.0313,1712.91
1593806400000,0.0313,0.0313,0.0311,0.0311,18005.3
1593802800000,0.0311,0.0313,0.031,0.0313,27928.59
1593799200000,0.0311,0.0313,0.031,0.031,71518.63
1593795600000,0.0311,0.0314,0.0311,0.0313,185402.46
1593792000000,0.0311,0.0314,0.0311,0.0311,133520.92
1593788400000,0.0307,0.031,0.0307,0.031,96469.95
1593784800000,0.0313,0.0313,0.0307,0.0308,97713.94
1593781200000,0.0311,0.0314,0.0308,0.031,159060.8
1593777600000,0.0308,0.031,0.0308,0.031,28582.66
1593774000000,0.0305,0.0308,0.0305,0.0305,46731.43
1593770400000,0.0309,0.0309,0.0305,0.0305,68679.3
1593766800000,0.031,0.0312,0.0307,0.0307,144865.7
1593763200000,0.0308,0.0312,0.0308,0.0309,37938.11
1593759600000,0.0307,0.0308,0.0307,0.0308,65332.91
1593756000000,0.0313,0.0314,0.0309,0.0309,107522.41
1593752400000,0.031,0.0313,0.0309,0.0312,90354.37
1593748800000,0.0309,0.031,0.0309,0.031,122376.97
1593745200000,0.0306,0.031,0.0305,0.0307,178106.25
1593741600000,0.0308,0.031,0.0306,0.0309,94347.91
1593738000000,0.0305,0.031,0.0305,0.031,67417.31
1593734400000,0.0304,0.0307,0.0303,0.0305,437886.78
1593730800000,0.0304,0.0305,0.03,0.0302,540954.25
1593727200000,0.0303,0.0305,0.0301,0.0302,39539.96
1593723600000,0.0303,0.0304,0.03,0.0302,33330.66
1593720000000,0.0302,0.0302,0.0301,0.0302,30565.83
1593716400000,0.0302,0.0302,0.0302,0.0302,48112.53
1593712800000,0.03,0.0302,0.0299,0.0302,26093.97
1593709200000,0.0298,0.03,0.0296,0.03,25695.97
1593705600000,0.0301,0.0301,0.0293,0.0298,273289.81
1593702000000,0.0308,0.0308,0.0299,0.0304,470412.98
1593698400000,0.031,0.0311,0.0307,0.0308,308179.74
1593694800000,0.0314,0.0314,0.0308,0.0309,184942.38
1593691200000,0.031,0.0314,0.0309,0.0314,73365.74
1593687600000,0.031,0.0312,0.031,0.0311,34805.96
1593684000000,0.0311,0.0312,0.0311,0.0311,4565.74
1593680400000,0.0312,0.0313,0.031,0.0312,55476.96
1593676800000,0.0313,0.0313,0.031,0.0313,33195.14
1593673200000,0.0316,0.0316,0.031,0.0316,258302.41
1593669600000,0.0317,0.0317,0.0313,0.0316,25681.06
1593666000000,0.0314,0.0317,0.0314,0.0317,14196.54
1593662400000,0.0315,0.0319,0.0314,0.0315,128144.04
1593658800000,0.0316,0.0316,0.0315,0.0315,5979.77
1593655200000,0.0319,0.032,0.0317,0.0317,9779.44
1593651600000,0.0319,0.0319,0.0315,0.0317,12823.46
1593648000000,0.0316,0.0319,0.0316,0.0319,28929.1
1593644400000,0.0316,0.0316,0.0315,0.0316,19654.36
1593640800000,0.0317,0.0319,0.0314,0.0315,38362.64
1593637200000,0.0319,0.032,0.0316,0.0317,120299.35
1593633600000,0.0316,0.0322,0.0316,0.0321,193337.82
1593630000000,0.0319,0.0319,0.0315,0.0317,48219.36
1593626400000,0.0317,0.0319,0.0317,0.0317,14903.82
1593622800000,0.0319,0.0319,0.0316,0.0316,51697.82
1593619200000,0.032,0.0321,0.0316,0.0319,188166.09
1593615600000,0.0319,0.0324,0.0316,0.032,277822.26
1593612000000,0.0326,0.0328,0.0319,0.0322,355930.01
1593608400000,0.0319,0.0327,0.0317,0.0327,659355.29
1593604800000,0.0312,0.0319,0.0309,0.0316,414881.57
1593601200000,0.0311,0.0312,0.0308,0.0312,228359.5
1593597600000,0.0309,0.0311,0.0306,0.031,157696.51
1593594000000,0.0309,0.0311,0.0307,0.0311,39382.66
1593590400000,0.0306,0.031,0.0306,0.031,111290.63
