date,open,high,low,close,volume
1585645200000,29.51,30.35,29.51,30.21,1904.3451
1585641600000,30.1,30.12,29.32,29.51,2343.17467
1585638000000,29.81,30.4,29.81,30.09,1688.17649
1585634400000,30.3,30.73,29.81,29.81,1012.65884
1585630800000,30.55,30.76,30.05,30.23,1090.52943
1585627200000,30.0,30.76,29.93,30.55,970.97573
1585623600000,29.29,30.14,29.29,29.79,1095.68391
1585620000000,28.57,29.21,28.34,29.21,335.45767
1585616400000,29.1,29.1,28.55,28.55,587.31705
1585612800000,29.33,29.38,28.68,29.09,5710.3675
1585609200000,28.77,29.64,28.4,29.48,2871.41809
1585605600000,27.92,28.79,27.59,28.73,2454.37727
1585602000000,29.0,29.01,27.72,27.92,2895.27702
1585598400000,30.2,30.23,28.8,29.0,3490.0836
1585594800000,30.21,30.49,29.51,30.31,490.75152
1585591200000,30.24,30.62,29.9,30.18,3427.20471
1585587600000,29.95,30.64,29.53,30.24,1553.18403
1585584000000,31.19,31.41,29.85,29.95,1792.26692
1585580400000,30.96,31.27,29.8,31.19,2929.62774
1585576800000,31.07,31.52,30.82,31.04,1240.03378
1585573200000,30.55,31.07,30.15,31.07,1578.05612
1585569600000,29.95,30.7,29.71,30.55,3803.98224
1585566000000,31.37,31.48,29.3,30.07,2192.96806
1585562400000,31.95,31.99,31.0,31.49,1923.38494
1585558800000,31.31,31.99,31.3,31.91,765.59937
1585555200000,31.7,31.7,31.1,31.31,2506.85327
1585551600000,32.29,32.29,30.65,31.7,3855.27977
1585548000000,32.51,32.83,31.9,32.28,2261.79485
1585544400000,34.13,34.13,31.72,32.5,4787.70675
1585540800000,34.56,34.75,34.17,34.19,1862.1561
1585537200000,34.74,35.03,34.53,34.68,595.58231
1585533600000,35.25,35.25,34.41,34.7,4328.43428
1585530000000,35.51,35.75,35.09,35.28,961.66832
1585526400000,35.81,36.28,35.27,35.55,1256.03792
1585522800000,35.56,36.1,35.06,36.06,821.06661
1585519200000,35.95,36.14,35.04,35.3,1957.69938
1585515600000,35.16,36.2,35.0,35.81,1621.24076
1585512000000,36.32,36.5,34.52,35.17,5100.35913
1585508400000,34.66,36.64,34.28,36.0,8994.39846
1585504800000,33.93,34.78,33.88,34.66,1290.41874
1585501200000,34.13,34.45,33.88,33.93,3335.65353
1585497600000,33.21,34.25,32.83,34.03,6040.50962
1585494000000,33.0,33.21,32.98,32.99,794.58102
1585490400000,32.98,33.29,32.5,32.82,3806.20065
1585486800000,33.35,33.59,32.98,32.98,1051.68615
1585483200000,33.2,33.92,33.2,33.35,3034.71804
1585479600000,33.2,33.29,32.8,33.2,978.47447
1585476000000,34.2,34.2,32.37,33.09,2025.5409
1585472400000,33.39,34.15,33.32,34.15,1124.07316
1585468800000,32.78,34.13,32.75,33.21,2204.65374
1585465200000,33.0,33.44,32.69,32.78,1406.08636
