date,open,high,low,close,volume
1585645200000,3.96,3.99,3.85,3.85,25384.57819
1585641600000,3.89,3.98,3.88,3.96,42321.7505
1585638000000,3.92,3.92,3.84,3.88,11951.1625
1585634400000,3.87,3.92,3.81,3.91,13072.06108
1585630800000,3.85,3.93,3.8,3.89,13489.20358
1585627200000,3.91,3.93,3.8,3.85,25240.48078
1585623600000,4.0,4.0,3.88,3.93,26349.55496
1585620000000,4.11,4.12,4.01,4.01,10947.36759
1585616400000,4.05,4.12,4.05,4.12,9393.5633
1585612800000,4.01,4.1,3.99,4.05,19068.52411
1585609200000,4.09,4.13,3.97,3.99,30896.52533
1585605600000,4.17,4.22,4.05,4.09,43838.36547
1585602000000,4.05,4.21,4.05,4.17,41159.52301
1585598400000,3.94,4.11,3.94,4.05,43342.25835
1585594800000,3.95,4.02,3.93,3.93,14027.07499
1585591200000,3.96,3.97,3.91,3.95,18930.17891
1585587600000,3.99,4.03,3.92,3.96,21378.30637
1585584000000,3.88,4.0,3.84,3.98,41227.5378
1585580400000,3.88,4.0,3.85,3.87,47996.72074
1585576800000,3.87,3.91,3.82,3.87,27099.86561
1585573200000,3.88,3.94,3.86,3.87,27600.14591
1585569600000,3.93,3.95,3.85,3.89,50009.87361
1585566000000,3.79,3.98,3.78,3.92,67366.32295
1585562400000,3.78,3.84,3.76,3.78,67423.49054
1585558800000,3.83,3.84,3.74,3.78,51341.30406
1585555200000,3.79,3.85,3.78,3.83,57336.29575
1585551600000,3.71,3.86,3.71,3.77,127916.45875
1585548000000,3.74,3.78,3.68,3.71,86344.39001
1585544400000,3.58,3.8,3.58,3.74,92199.34543
1585540800000,3.55,3.59,3.55,3.59,14913.4205
1585537200000,3.52,3.56,3.5,3.54,12464.45918
1585533600000,3.49,3.59,3.48,3.53,50076.52621
1585530000000,3.46,3.5,3.44,3.49,20314.55745
1585526400000,3.42,3.48,3.4,3.45,26663.38468
1585522800000,3.48,3.52,3.42,3.42,43615.14472
1585519200000,3.44,3.51,3.36,3.47,58568.39506
1585515600000,3.51,3.52,3.38,3.45,29854.9531
1585512000000,3.41,3.53,3.35,3.51,69652.48909
1585508400000,3.6,3.64,3.34,3.41,150001.08986
1585504800000,3.69,3.69,3.59,3.59,24652.39853
1585501200000,3.67,3.69,3.61,3.69,46323.76767
1585497600000,3.76,3.81,3.63,3.67,75830.54564
1585494000000,3.81,3.81,3.76,3.77,18566.48915
1585490400000,3.78,3.84,3.76,3.8,32289.84639
1585486800000,3.74,3.81,3.71,3.79,33308.77931
1585483200000,3.77,3.79,3.67,3.76,29301.43957
1585479600000,3.8,3.83,3.76,3.77,30971.97426
1585476000000,3.66,3.86,3.66,3.8,61641.63936
1585472400000,3.77,3.77,3.65,3.66,29061.95101
1585468800000,3.81,3.82,3.68,3.77,39434.41824
1585465200000,3.8,3.83,3.76,3.81,13960.95722
1585461600000,3.78,3.82,3.77,3.8,19207.03398
1585458000000,3.86,3.87,3.78,3.78,41302.84202
1585454400000,3.84,3.87,3.81,3.86,24765.11511
1585450800000,3.83,3.85,3.79,3.85,22676.90989
1585447200000,3.87,3.89,3.82,3.83,36248.48291
1585443600000,3.89,3.9,3.79,3.87,25594.56328
1585440000000,3.9,3.95,3.86,3.89,35561.55857
1585436400000,3.95,3.96,3.86,3.9,84918.25348
1585432800000,3.92,4.02,3.9,3.91,40301.12092
1585429200000,3.93,4.0,3.81,3.92,58701.31031
1585425600000,3.6,4.1,3.6,3.91,226919.36867
1585422000000,3.56,3.65,3.56,3.6,88583.83418
1585418400000,3.33,3.68,3.32,3.56,178732.71227
1585414800000,3.72,3.74,3.32,3.35,230499.17577
1585411200000,3.7,3.76,3.68,3.72,77701.60678
1585407600000,3.72,3.76,3.7,3.7,106494.47628
1585404000000,3.75,3.79,3.66,3.72,173959.02506
1585400400000,3.74,3.77,3.62,3.73,70799.78302
1585396800000,3.7,3.77,3.68,3.74,29206.87117
1585393200000,3.8,3.86,3.66,3.71,79650.86175
1585389600000,3.78,3.82,3.73,3.8,58731.19682
1585386000000,3.85,3.87,3.72,3.78,45192.3607
1585382400000,3.69,3.87,3.68,3.83,93110.28734
1585378800000,3.7,3.72,3.68,3.69,27098.64646
1585375200000,3.7,3.71,3.61,3.69,24329.99031
1585371600000,3.7,3.74,3.65,3.69,47137.66077
1585368000000,3.65,3.74,3.52,3.7,102273.09632
1585364400000,3.8,3.83,3.52,3.65,143543.44173
1585360800000,3.81,3.85,3.75,3.8,43187.7421
1585357200000,3.89,3.89,3.77,3.81,54540.69107
1585353600000,3.91,3.93,3.64,3.89,218322.13221
1585350000000,4.58,4.61,3.65,3.91,198975.0685
1585346400000,4.63,4.63,4.54,4.59,30195.57918
1585342800000,4.6,4.66,4.56,4.62,36537.87792
1585339200000,4.59,4.6,4.45,4.59,59234.51663
1585335600000,4.61,4.66,4.55,4.57,37943.61866
1585332000000,4.59,4.63,4.56,4.61,22105.64693
1585328400000,4.59,4.62,4.53,4.59,25042.46248
1585324800000,4.59,4.63,4.49,4.59,43782.64962
1585321200000,4.57,4.65,4.55,4.59,36443.18346
1585317600000,4.51,4.59,4.49,4.57,65650.53766
1585314000000,4.6,4.66,4.46,4.54,104798.22566
1585310400000,4.62,4.68,4.56,4.6,42847.51342
1585306800000,4.66,4.73,4.62,4.63,26794.21395
1585303200000,4.68,4.72,4.55,4.66,58166.84282
1585299600000,4.67,4.72,4.64,4.69,18253.07919
1585296000000,4.8,4.81,4.65,4.67,59054.97003
1585292400000,4.64,4.83,4.64,4.83,114189.64272
1585288800000,4.65,4.73,4.62,4.64,50796.40663
1585285200000,4.75,4.76,4.57,4.65,104047.40504
1585281600000,4.75,4.99,4.73,4.75,120228.16452
1585278000000,4.74,4.76,4.67,4.75,39390.53882
1585274400000,4.71,4.74,4.66,4.74,37102.08591
1585270800000,4.75,4.8,4.63,4.69,43242.33251
1585267200000,4.7,4.92,4.7,4.73,144866.82175
1585263600000,4.53,4.73,4.52,4.7,135673.01412
1585260000000,4.48,4.53,4.4,4.51,55708.56472
1585256400000,4.48,4.62,4.47,4.48,85258.19049
1585252800000,4.38,4.48,4.32,4.48,63906.78363
1585249200000,4.46,4.48,4.32,4.38,47236.94505
1585245600000,4.45,4.49,4.41,4.46,24207.54421
1585242000000,4.51,4.57,4.43,4.45,31573.66351
1585238400000,4.5,4.56,4.41,4.51,47030.37157
1585234800000,4.46,4.51,4.39,4.5,43314.95383
1585231200000,4.51,4.53,4.4,4.45,53050.72565
1585227600000,4.57,4.65,4.35,4.51,131982.35884
1585224000000,4.52,4.59,4.46,4.58,63143.83332
1585220400000,4.55,4.7,4.47,4.52,89216.90356
1585216800000,4.6,4.65,4.5,4.55,36098.2666
1585213200000,4.54,4.65,4.53,4.59,26652.63429
1585209600000,4.51,4.57,4.47,4.54,48540.87328
1585206000000,4.51,4.55,4.42,4.5,49342.90168
1585202400000,4.51,4.56,4.42,4.51,78718.44795
1585198800000,4.58,4.64,4.48,4.5,28704.01965
1585195200000,4.69,4.77,4.57,4.59,47380.69075
1585191600000,4.63,4.7,4.6,4.69,32613.69959
1585188000000,4.61,4.65,4.55,4.63,31919.25036
1585184400000,4.68,4.7,4.54,4.6,43242.87426
1585180800000,4.52,4.79,4.52,4.66,90589.06268
1585177200000,4.53,4.54,4.42,4.51,25099.98277
1585173600000,4.35,4.53,4.35,4.52,49583.12439
1585170000000,4.38,4.4,4.27,4.35,42356.87698
1585166400000,4.41,4.45,4.36,4.38,25485.9184
1585162800000,4.46,4.5,4.4,4.41,17060.29153
1585159200000,4.44,4.5,4.38,4.46,35457.76442
1585155600000,4.53,4.53,4.44,4.44,23913.18418
1585152000000,4.46,4.57,4.39,4.53,60183.47192
1585148400000,4.49,4.55,4.43,4.48,42809.61727
1585144800000,4.37,4.49,4.26,4.48,97224.54763
1585141200000,4.4,4.67,4.36,4.36,138967.87944
1585137600000,4.3,4.4,4.27,4.4,69139.81106
1585134000000,4.49,4.53,4.08,4.29,202050.26667
1585130400000,4.83,4.87,4.41,4.47,229669.71377
1585126800000,4.82,4.97,4.78,4.82,135455.30983
1585123200000,4.66,4.83,4.57,4.83,42267.12018
1585119600000,4.67,4.69,4.55,4.65,29814.48228
1585116000000,4.69,4.72,4.6,4.66,20422.23906
1585112400000,4.53,4.71,4.52,4.68,55692.70403
1585108800000,4.43,4.53,4.37,4.52,36333.4926
1585105200000,4.58,4.58,4.36,4.43,56610.2549
1585101600000,4.63,4.68,4.46,4.57,58398.33358
1585098000000,4.76,4.81,4.61,4.63,31050.98752
1585094400000,4.81,4.81,4.62,4.75,61844.64388
1585090800000,4.86,4.87,4.76,4.81,43612.60465
1585087200000,4.78,4.9,4.74,4.85,34853.38919
1585083600000,4.83,4.85,4.67,4.78,34209.78013
1585080000000,4.81,4.9,4.77,4.83,62482.51576
1585076400000,4.75,4.87,4.68,4.81,46682.95942
1585072800000,4.71,4.76,4.57,4.74,51942.74046
1585069200000,4.66,4.76,4.63,4.7,40366.99963
1585065600000,4.61,4.77,4.48,4.67,95803.66838
1585062000000,4.63,4.69,4.4,4.61,119655.31271
1585058400000,4.7,4.8,4.6,4.63,91601.99835
1585054800000,4.69,4.83,4.65,4.69,89155.25484
1585051200000,4.85,4.85,4.55,4.7,108815.1627
1585047600000,4.81,4.9,4.7,4.84,56121.135
1585044000000,4.88,4.95,4.75,4.81,94911.75394
1585040400000,4.82,4.96,4.72,4.86,90146.55937
1585036800000,4.55,4.98,4.55,4.84,186358.13369
1585033200000,4.57,4.66,4.48,4.55,50449.18134
1585029600000,4.5,4.63,4.47,4.57,42012.32498
1585026000000,4.43,4.5,4.4,4.5,39444.59571
1585022400000,4.49,4.52,4.34,4.43,118414.27476
1585018800000,4.68,4.71,4.49,4.51,44143.05448
1585015200000,4.5,4.73,4.45,4.7,64116.00676
1585011600000,4.47,4.56,4.4,4.49,67089.81277
1585008000000,4.49,4.63,4.39,4.47,111885.85008
1585004400000,4.42,4.5,4.37,4.49,82135.91545
1585000800000,4.41,4.42,4.27,4.42,78550.69751
1584997200000,4.45,4.54,4.32,4.39,78784.89469
1584993600000,4.3,4.5,4.27,4.45,147113.9854
1584990000000,4.28,4.37,4.26,4.28,29860.27767
1584986400000,4.29,4.36,4.2,4.29,48867.80818
1584982800000,4.43,4.43,4.23,4.29,75162.32043
