date,open,high,low,close,volume
1593993600000,2.4073,2.5041,2.4002,2.4781,3021906.83
1593907200000,2.4595,2.471,2.3209,2.4072,7043578.91
1593820800000,2.4152,2.4975,2.4104,2.4599,6960525.36
1593734400000,2.358,2.4535,2.3495,2.4156,7833952.13
1593648000000,2.378,2.387,2.303,2.3576,6918758.29
1593561600000,2.368,2.4026,2.355,2.3773,5457636.81
1593475200000,2.38,2.389,2.342,2.368,3473008.49
1593388800000,2.3665,2.4179,2.325,2.38,6438745.88
1593302400000,2.3318,2.4019,2.3033,2.3668,4730178.81
1593216000000,2.481,2.4848,2.1945,2.3318,8648158.36
1593129600000,2.4798,2.5156,2.3902,2.481,6754320.83
1593043200000,2.5016,2.5339,2.4325,2.4799,4596650.78
1592956800000,2.5713,2.5976,2.4564,2.502,7256521.58
1592870400000,2.5853,2.5967,2.556,2.5714,4782427.35
1592784000000,2.5137,2.605,2.5103,2.5862,6506047.56
1592697600000,2.5362,2.5529,2.5066,2.514,3712205.79
1592611200000,2.5253,2.58,2.415,2.5362,5184300.27
1592524800000,2.536,2.5539,2.5015,2.5254,4672218.85
1592438400000,2.5685,2.5756,2.4956,2.5364,4359298.21
1592352000000,2.554,2.6067,2.5173,2.5678,6091826.14
1592265600000,2.5317,2.5647,2.5214,2.5539,4326837.91
1592179200000,2.568,2.5703,2.41,2.532,7697502.48
1592092800000,2.6055,2.6071,2.5237,2.5681,3725316.31
1592006400000,2.597,2.62,2.5521,2.6042,3760241.26
1591920000000,2.5146,2.6239,2.4876,2.597,6357355.39
1591833600000,2.7562,2.7737,2.4251,2.5146,11340411.32
1591747200000,2.7505,2.7899,2.7055,2.7568,5910175.94
1591660800000,2.788,2.8006,2.685,2.7505,6652406.87
1591574400000,2.8101,2.8174,2.7521,2.7878,5806942.68
1591488000000,2.7986,2.8288,2.7313,2.8098,6966955.95
1591401600000,2.8137,2.8461,2.7703,2.7982,6954722.69
1591315200000,2.7201,2.8703,2.7068,2.8143,9928226.04
1591228800000,2.6958,2.7483,2.6625,2.7203,6329555.25
1591142400000,2.6748,2.7098,2.6328,2.6958,6620031.17
1591056000000,2.8214,2.8939,2.575,2.6756,13945544.07
1590969600000,2.6722,2.83,2.6624,2.8214,9842934.56
1590883200000,2.7717,2.7742,2.6476,2.6731,8793367.4
1590796800000,2.6147,2.7806,2.5969,2.7715,8054685.59
1590710400000,2.6113,2.6692,2.5889,2.6144,5998494.71
1590624000000,2.5714,2.6194,2.5183,2.612,5577593.35
1590537600000,2.5033,2.577,2.4995,2.5715,5427168.83
1590451200000,2.5304,2.5364,2.4568,2.5034,4352859.12
1590364800000,2.4887,2.5479,2.4475,2.5296,5026473.13
1590278400000,2.5626,2.6118,2.4855,2.4879,8109723.79
1590192000000,2.5946,2.6222,2.5436,2.5631,6936985.45
1590105600000,2.4622,2.6466,2.4408,2.5948,9743621.95
1590019200000,2.5975,2.6166,2.4059,2.4621,8360653.16
1589932800000,2.653,2.6772,2.5055,2.597,10300961.15
1589846400000,2.6652,2.6683,2.5606,2.6543,7462912.25
1589760000000,2.62,2.7486,2.6073,2.6653,11147526.81
1589673600000,2.6362,2.672,2.5931,2.6205,6915989.58
1589587200000,2.5853,2.6837,2.57,2.6361,9973391.3
1589500800000,2.6228,2.6639,2.5342,2.5855,11749481.59
1589414400000,2.5245,2.6515,2.4682,2.6228,11035900.08
1589328000000,2.4409,2.5577,2.4226,2.5245,7231895.13
1589241600000,2.3969,2.4687,2.3938,2.441,7380068.29
1589155200000,2.4435,2.4941,2.267,2.3978,12927072.96
1589068800000,2.7516,2.7554,2.2779,2.4434,20142604.27
1588982400000,2.7521,2.8373,2.7306,2.7516,9218218.11
1588896000000,2.7573,2.8245,2.6988,2.7518,9488473.4
1588809600000,2.6522,2.7956,2.5911,2.7572,13462500.24
1588723200000,2.7698,2.8191,2.6203,2.6522,8130545.08
1588636800000,2.7692,2.8269,2.7129,2.7706,6468637.44
1588550400000,2.8384,2.8456,2.6268,2.7687,11585090.53
1588464000000,2.9397,3.01,2.7666,2.8387,10310737.04
1588377600000,2.8733,2.9485,2.8518,2.9396,6565534.1
1588291200000,2.8208,2.9296,2.8195,2.8731,8743612.12
1588204800000,3.0058,3.1187,2.7477,2.822,19748582.59
1588118400000,2.7609,3.089,2.7551,3.0059,21932316.85
1588032000000,2.743,2.7747,2.6874,2.7614,8622299.02
1587945600000,2.7375,2.8172,2.6801,2.743,12013467.24
1587859200000,2.7012,2.7827,2.6728,2.7375,8182933.2
1587772800000,2.7068,2.8088,2.64,2.7024,8874935.88
1587686400000,2.6809,2.7379,2.66,2.7068,8040719.79
1587600000000,2.6235,2.762,2.5765,2.6811,9406687.72
1587513600000,2.5211,2.6521,2.5056,2.6224,6242501.85
1587427200000,2.5065,2.5692,2.4778,2.5211,8396116.94
