date,open,high,low,close,volume
1594022400000,2.4758,2.4816,2.4755,2.4774,76792.0
1594018800000,2.4802,2.5041,2.4682,2.4755,698564.83
1594015200000,2.4384,2.4804,2.4377,2.4797,772097.1
1594011600000,2.4258,2.439,2.4226,2.4384,228158.05
1594008000000,2.4247,2.429,2.4227,2.4256,92465.2
1594004400000,2.4258,2.4285,2.4201,2.4247,155376.43
1594000800000,2.4279,2.4413,2.4232,2.4255,260013.0
1593997200000,2.4046,2.4359,2.4046,2.4277,499097.99
1593993600000,2.4073,2.4134,2.4002,2.4043,236395.77
1593990000000,2.4042,2.415,2.3972,2.4072,400510.78
1593986400000,2.3798,2.4145,2.3788,2.4041,620910.38
1593982800000,2.4109,2.4109,2.3209,2.3799,832291.62
1593979200000,2.4144,2.4175,2.4046,2.4109,303554.0
1593975600000,2.4138,2.4188,2.4113,2.4142,70384.49
1593972000000,2.4125,2.4184,2.4105,2.4138,152449.35
1593968400000,2.4083,2.4157,2.405,2.4125,103352.45
1593964800000,2.412,2.4205,2.4033,2.4083,190557.95
1593961200000,2.4191,2.4273,2.4082,2.412,228123.96
1593957600000,2.4129,2.4195,2.4077,2.4194,155673.27
1593954000000,2.4245,2.4247,2.4082,2.413,323591.25
1593950400000,2.4239,2.4275,2.395,2.4243,492303.68
1593946800000,2.4222,2.4323,2.4196,2.4239,179332.44
1593943200000,2.4132,2.4265,2.4033,2.4233,368124.91
1593939600000,2.4436,2.4457,2.4023,2.4132,579319.1
1593936000000,2.4385,2.4488,2.4366,2.4434,133185.85
1593932400000,2.4364,2.4434,2.4305,2.4387,116998.35
1593928800000,2.4389,2.4457,2.4348,2.4367,206112.81
1593925200000,2.4508,2.4534,2.4319,2.4402,274428.76
1593921600000,2.4463,2.4547,2.4427,2.4515,206213.29
1593918000000,2.4564,2.4596,2.4438,2.446,372367.89
1593914400000,2.4629,2.4635,2.4528,2.4559,147559.82
1593910800000,2.4584,2.4654,2.4565,2.4631,203360.24
1593907200000,2.4595,2.471,2.4575,2.4584,382872.27
1593903600000,2.4554,2.4604,2.4513,2.4599,110032.15
1593900000000,2.4528,2.4589,2.4497,2.4556,131606.48
1593896400000,2.4609,2.4616,2.4447,2.4526,179976.76
1593892800000,2.4637,2.4703,2.4589,2.4604,222141.89
1593889200000,2.4621,2.4654,2.4546,2.4635,143381.91
1593885600000,2.469,2.4756,2.4604,2.4617,301768.15
1593882000000,2.4508,2.4815,2.4477,2.469,548798.61
1593878400000,2.4446,2.452,2.441,2.4505,249573.18
1593874800000,2.4569,2.46,2.4266,2.4446,613816.84
1593871200000,2.4636,2.4696,2.4568,2.4568,137647.51
1593867600000,2.4618,2.4695,2.4593,2.4636,182341.45
1593864000000,2.4533,2.4658,2.4466,2.462,247310.16
1593860400000,2.454,2.4612,2.4503,2.4532,153547.75
1593856800000,2.4612,2.4627,2.4423,2.454,286022.83
1593853200000,2.471,2.4716,2.4602,2.461,139590.25
1593849600000,2.4625,2.4726,2.4612,2.471,167727.81
1593846000000,2.4638,2.4731,2.4602,2.4625,116357.4
1593842400000,2.4693,2.4696,2.457,2.4639,127406.88
1593838800000,2.4625,2.475,2.462,2.4698,164826.88
1593835200000,2.4758,2.4762,2.4597,2.4624,176541.24
1593831600000,2.4841,2.4877,2.4714,2.4762,313128.07
1593828000000,2.4394,2.4975,2.4349,2.4841,1480263.98
1593824400000,2.4294,2.4424,2.4238,2.4385,301317.13
1593820800000,2.4152,2.4369,2.4104,2.4294,465400.05
1593817200000,2.4188,2.4209,2.4012,2.4156,620939.57
1593813600000,2.4298,2.4318,2.4181,2.4189,113421.39
1593810000000,2.4331,2.4336,2.4261,2.4298,50196.54
1593806400000,2.4281,2.4345,2.4219,2.4331,59698.16
1593802800000,2.4229,2.4295,2.4185,2.4293,125664.46
1593799200000,2.4247,2.4351,2.4152,2.423,360369.03
1593795600000,2.4307,2.435,2.4233,2.4247,129818.21
1593792000000,2.4278,2.4462,2.4277,2.4307,321435.34
1593788400000,2.4277,2.4368,2.4235,2.4277,403107.49
1593784800000,2.4409,2.4434,2.4216,2.4277,617277.93
1593781200000,2.4221,2.4535,2.4213,2.4405,800536.71
1593777600000,2.4101,2.4225,2.4062,2.422,487690.85
1593774000000,2.4043,2.4109,2.4017,2.4099,205341.35
1593770400000,2.4004,2.4095,2.3979,2.4044,209299.51
1593766800000,2.4048,2.4181,2.3893,2.4005,456319.29
1593763200000,2.3775,2.4486,2.3772,2.4047,1074468.6
1593759600000,2.3628,2.3878,2.3606,2.377,454640.81
1593756000000,2.3627,2.3738,2.3609,2.3627,293628.03
1593752400000,2.355,2.3651,2.3515,2.3627,241945.14
1593748800000,2.3554,2.3568,2.3495,2.3548,195165.82
1593745200000,2.3548,2.359,2.3538,2.355,180340.99
1593741600000,2.3654,2.3662,2.3539,2.3549,99500.3
1593738000000,2.3633,2.3723,2.3597,2.3658,144332.97
1593734400000,2.358,2.364,2.351,2.3632,188813.64
1593730800000,2.3581,2.3646,2.3528,2.3576,288911.32
1593727200000,2.3624,2.3736,2.3524,2.3581,732435.19
1593723600000,2.3433,2.3828,2.3417,2.3622,406350.01
1593720000000,2.337,2.3467,2.3311,2.3429,97802.75
1593716400000,2.335,2.3488,2.3245,2.3364,247924.66
1593712800000,2.3354,2.3432,2.3182,2.3346,327567.11
1593709200000,2.3334,2.3392,2.3246,2.3356,186698.95
1593705600000,2.3256,2.3421,2.303,2.3333,816733.65
1593702000000,2.3705,2.3711,2.3077,2.3252,1445860.76
1593698400000,2.3806,2.3826,2.3697,2.3709,138145.07
1593694800000,2.3794,2.387,2.374,2.3805,218680.39
1593691200000,2.3706,2.3808,2.3668,2.3788,190947.99
1593687600000,2.3714,2.3714,2.3636,2.3706,142731.23
1593684000000,2.3716,2.3725,2.3666,2.3714,107321.65
1593680400000,2.3762,2.3787,2.3696,2.3717,124493.59
1593676800000,2.3757,2.3784,2.3671,2.3762,98496.63
1593673200000,2.3739,2.3779,2.3729,2.3756,110955.61
1593669600000,2.3696,2.3765,2.3638,2.3744,255092.57
1593666000000,2.3811,2.387,2.367,2.37,259179.94
1593662400000,2.3804,2.3845,2.3781,2.3812,132298.22
1593658800000,2.3771,2.3819,2.3756,2.3805,87064.74
1593655200000,2.3814,2.3849,2.3764,2.3772,135615.01
1593651600000,2.3713,2.3815,2.3703,2.3813,137890.8
1593648000000,2.378,2.384,2.3704,2.3721,229560.45
1593644400000,2.3813,2.3847,2.3747,2.3773,101080.58
1593640800000,2.3822,2.3846,2.3754,2.3813,144360.77
1593637200000,2.3805,2.39,2.3777,2.3823,121052.89
1593633600000,2.3724,2.3904,2.3701,2.3805,287050.84
1593630000000,2.3919,2.3929,2.3628,2.3736,318954.02
1593626400000,2.397,2.3981,2.3909,2.3921,133969.42
1593622800000,2.394,2.3998,2.3923,2.3971,118850.53
1593619200000,2.398,2.4022,2.3898,2.3938,304138.66
