date,open,high,low,close,volume
1593993600000,5.6498,5.8159,5.6457,5.7646,376669.57
1593907200000,5.6994,5.7179,5.512,5.6498,928926.17
1593820800000,5.6477,5.75,5.6323,5.6977,685080.04
1593734400000,5.6398,5.7311,5.5977,5.6483,886411.6
1593648000000,5.7104,5.7861,5.5371,5.6408,1340494.35
1593561600000,5.7278,5.7833,5.6176,5.7095,939549.23
1593475200000,5.8293,5.8521,5.6762,5.7284,599062.53
1593388800000,5.7511,5.8936,5.7262,5.8253,1466128.5
1593302400000,5.588,5.8355,5.5579,5.7511,800176.42
1593216000000,6.0445,6.0586,5.2912,5.589,2050691.22
1593129600000,6.1541,6.1703,6.0006,6.044,864324.74
1593043200000,6.2203,6.2545,6.0398,6.1534,619337.72
1592956800000,6.3716,6.5203,6.1305,6.2228,1270530.83
1592870400000,6.3743,6.4368,6.2857,6.3735,723522.84
1592784000000,6.2132,6.411,6.198,6.3745,856720.99
1592697600000,6.2632,6.2783,6.1754,6.2125,478546.53
1592611200000,6.3368,6.3674,6.1572,6.2619,1009125.01
1592524800000,6.2087,6.4213,6.1434,6.3406,1469088.19
1592438400000,6.2836,6.2921,6.0963,6.2085,699279.88
1592352000000,6.2538,6.3752,6.1405,6.2823,961451.45
1592265600000,6.2414,6.3066,6.1703,6.2527,740100.18
1592179200000,6.3165,6.3193,5.98,6.2414,1174833.24
1592092800000,6.4937,6.4958,6.2421,6.3165,546649.46
1592006400000,6.4047,6.51,6.3334,6.4923,605631.0
1591920000000,6.2605,6.4978,6.2094,6.4048,982601.11
1591833600000,6.8088,6.8329,6.0457,6.264,1539494.39
1591747200000,6.7811,6.8345,6.7018,6.8084,682301.33
1591660800000,6.9005,6.9316,6.709,6.7826,674949.52
1591574400000,6.8336,6.9334,6.7323,6.9004,810045.22
1591488000000,6.8615,6.8891,6.6166,6.8326,935207.74
1591401600000,6.8394,6.9125,6.78,6.862,737185.65
1591315200000,6.9128,6.9681,6.7774,6.8436,1128745.49
1591228800000,6.9425,7.0417,6.7743,6.9152,1520356.78
1591142400000,6.9783,7.0131,6.7876,6.9413,1247535.52
1591056000000,7.2016,7.3195,6.6346,6.9781,2544360.71
1590969600000,6.9388,7.2546,6.856,7.2045,2338204.77
1590883200000,7.4937,7.4957,6.6016,6.9388,2547679.94
1590796800000,7.2278,7.5803,7.1,7.4928,2126573.16
1590710400000,6.8616,7.3094,6.8592,7.2254,2920138.89
1590624000000,6.7756,6.883,6.6768,6.8609,1426801.78
1590537600000,6.7096,6.8358,6.6686,6.7757,1471372.26
1590451200000,6.8054,6.8337,6.5365,6.708,1614681.94
