date,open,high,low,close,volume
1594022400000,5.7667,5.7738,5.7631,5.7647,7889.19
1594018800000,5.7902,5.8159,5.7466,5.7644,67717.23
1594015200000,5.7088,5.7918,5.7088,5.788,107219.7
1594011600000,5.6851,5.7114,5.6672,5.7088,67241.87
1594008000000,5.6701,5.686,5.6664,5.6833,20344.5
1594004400000,5.6761,5.6795,5.6631,5.6687,9047.11
1594000800000,5.6803,5.7058,5.673,5.6751,25583.07
1593997200000,5.6486,5.689,5.6486,5.6802,42154.3
1593993600000,5.6498,5.6706,5.6457,5.6476,29206.45
1593990000000,5.6634,5.6749,5.6465,5.6498,57850.36
1593986400000,5.6035,5.6846,5.6034,5.6612,123203.9
1593982800000,5.598,5.6169,5.512,5.6024,68040.72
1593979200000,5.6119,5.6309,5.5858,5.5974,45915.6
1593975600000,5.6161,5.6238,5.6084,5.6127,9597.04
1593972000000,5.611,5.619,5.6041,5.6148,6409.81
1593968400000,5.6003,5.6165,5.5953,5.6104,20820.14
1593964800000,5.6138,5.6344,5.5829,5.5985,35986.69
1593961200000,5.6233,5.6543,5.6058,5.6134,41628.03
1593957600000,5.6058,5.6266,5.5975,5.6234,28834.64
1593954000000,5.6191,5.6268,5.5978,5.6059,35423.37
1593950400000,5.6129,5.6191,5.5748,5.6191,43285.34
1593946800000,5.6033,5.6255,5.6018,5.6134,11988.78
1593943200000,5.5886,5.6124,5.565,5.6053,46778.85
1593939600000,5.6373,5.6373,5.5663,5.5897,64812.68
1593936000000,5.6424,5.6495,5.6243,5.6373,22649.66
1593932400000,5.6363,5.656,5.6305,5.645,13642.77
1593928800000,5.6314,5.665,5.6226,5.6374,34974.73
1593925200000,5.6863,5.6875,5.6124,5.6301,77349.59
1593921600000,5.6885,5.6885,5.6691,5.6868,19211.04
1593918000000,5.6861,5.6931,5.6771,5.688,26697.95
1593914400000,5.6986,5.7031,5.6764,5.6863,20545.06
1593910800000,5.6918,5.7045,5.6824,5.7001,30180.06
1593907200000,5.6994,5.7179,5.6903,5.6912,43099.36
1593903600000,5.7015,5.7015,5.6766,5.6977,14165.72
1593900000000,5.6781,5.7064,5.6781,5.7004,21558.27
1593896400000,5.6873,5.6931,5.6651,5.6764,12404.72
1593892800000,5.7014,5.7147,5.683,5.6867,13990.91
1593889200000,5.7009,5.7108,5.6867,5.7006,16710.05
1593885600000,5.727,5.7362,5.6906,5.6993,35918.56
1593882000000,5.6633,5.75,5.6595,5.7251,122481.34
1593878400000,5.6561,5.67,5.6482,5.6633,18599.41
1593874800000,5.6708,5.677,5.6323,5.6568,50532.16
1593871200000,5.6863,5.6881,5.6693,5.6712,13624.08
1593867600000,5.6667,5.6908,5.6644,5.6864,13035.29
1593864000000,5.6583,5.6766,5.6444,5.6663,29583.02
1593860400000,5.6606,5.6771,5.6563,5.6593,20464.05
1593856800000,5.6741,5.68,5.6537,5.6615,21776.06
1593853200000,5.6818,5.6818,5.6726,5.6761,7075.63
1593849600000,5.6818,5.6886,5.6776,5.6811,11203.56
1593846000000,5.6795,5.6907,5.6784,5.6817,6486.46
1593842400000,5.692,5.6945,5.6683,5.6795,9102.63
1593838800000,5.6907,5.6991,5.6737,5.6916,31079.49
1593835200000,5.6975,5.7077,5.6891,5.6917,13060.68
1593831600000,5.6983,5.7065,5.6876,5.6977,13490.69
1593828000000,5.6586,5.7171,5.6546,5.6947,83122.93
1593824400000,5.6705,5.6718,5.6488,5.6593,47855.3
1593820800000,5.6477,5.6761,5.6365,5.6691,57759.03
1593817200000,5.6734,5.6734,5.623,5.6483,52465.17
1593813600000,5.6907,5.6907,5.6693,5.6723,16460.44
1593810000000,5.6817,5.6907,5.6792,5.6906,17172.01
1593806400000,5.6699,5.6838,5.6598,5.6793,21236.91
1593802800000,5.6669,5.6743,5.6581,5.6707,24372.72
1593799200000,5.6785,5.6944,5.6649,5.6649,32527.98
1593795600000,5.6829,5.6964,5.6766,5.6789,18380.34
1593792000000,5.6985,5.7311,5.682,5.6834,56345.48
1593788400000,5.6835,5.6997,5.6835,5.699,29062.46
1593784800000,5.7026,5.7069,5.68,5.6825,33864.79
1593781200000,5.6847,5.715,5.6819,5.7018,27253.95
1593777600000,5.689,5.7007,5.6749,5.6831,10733.68
1593774000000,5.6746,5.6906,5.6687,5.689,21152.34
1593770400000,5.6693,5.6905,5.6618,5.676,31727.86
1593766800000,5.6887,5.7125,5.647,5.6674,53785.44
1593763200000,5.679,5.7252,5.6776,5.687,82894.83
1593759600000,5.6505,5.6871,5.6416,5.679,40450.09
1593756000000,5.652,5.7056,5.6336,5.6489,121655.46
1593752400000,5.6278,5.6665,5.5977,5.6522,97720.0
1593748800000,5.6367,5.638,5.6104,5.6277,11741.87
1593745200000,5.6393,5.6399,5.6306,5.6343,8486.1
1593741600000,5.65,5.6533,5.632,5.6372,18575.46
1593738000000,5.6406,5.6633,5.6347,5.653,22019.67
1593734400000,5.6398,5.6447,5.6202,5.6408,36326.55
1593730800000,5.6481,5.6601,5.6201,5.6408,50549.57
1593727200000,5.6629,5.6779,5.6266,5.6492,117505.23
1593723600000,5.62,5.6972,5.6165,5.6605,40290.65
1593720000000,5.6006,5.6343,5.5888,5.6208,29522.21
1593716400000,5.6145,5.6478,5.582,5.6019,52574.87
1593712800000,5.6181,5.6304,5.566,5.6133,52028.38
1593709200000,5.607,5.6268,5.5822,5.6178,62814.19
1593705600000,5.6168,5.6386,5.5371,5.6085,165777.25
1593702000000,5.7325,5.7325,5.602,5.6161,270156.6
1593698400000,5.7527,5.7584,5.7304,5.7325,26865.35
1593694800000,5.7432,5.7747,5.7377,5.7523,35882.1
1593691200000,5.7185,5.7515,5.7033,5.7424,36732.73
1593687600000,5.7248,5.7248,5.7019,5.7185,13931.37
1593684000000,5.7341,5.7369,5.7052,5.7255,20296.19
1593680400000,5.7397,5.7505,5.7309,5.734,21226.06
1593676800000,5.7451,5.7454,5.713,5.7385,40485.16
1593673200000,5.7378,5.7555,5.7351,5.7441,18553.28
1593669600000,5.7365,5.7514,5.724,5.738,41298.9
1593666000000,5.7607,5.7802,5.7317,5.7376,45521.88
1593662400000,5.747,5.7861,5.7442,5.7615,67587.88
1593658800000,5.7369,5.7483,5.7335,5.7469,14387.6
1593655200000,5.7438,5.7618,5.7332,5.7359,33900.28
1593651600000,5.7165,5.7428,5.7146,5.7427,34110.33
1593648000000,5.7104,5.7402,5.703,5.7173,48496.29
1593644400000,5.7159,5.7231,5.7062,5.7095,22426.02
1593640800000,5.7124,5.7205,5.692,5.7157,22582.46
1593637200000,5.7164,5.7575,5.7016,5.7127,46942.16
1593633600000,5.7002,5.755,5.6988,5.7172,44490.99
1593630000000,5.7355,5.7535,5.6798,5.7003,55421.0
1593626400000,5.7512,5.7525,5.7342,5.7366,13628.95
1593622800000,5.7498,5.7597,5.741,5.7528,20060.04
1593619200000,5.7538,5.7833,5.736,5.7498,67610.12
1593615600000,5.7346,5.7554,5.7262,5.7542,35923.17
