date,open,high,low,close,volume
1585645200000,12.16,12.39,12.12,12.2,107532.03446
1585641600000,12.5,12.56,12.11,12.17,30142.43608
1585638000000,12.42,12.63,12.41,12.49,29897.61181
1585634400000,12.61,12.78,12.33,12.45,46196.0362
1585630800000,12.71,12.9,12.39,12.63,56008.51907
1585627200000,12.36,12.79,12.36,12.67,62207.89236
1585623600000,12.19,12.6,12.17,12.38,53254.1507
1585620000000,11.93,12.19,11.92,12.19,27410.65024
1585616400000,12.31,12.32,11.93,11.93,44622.94066
1585612800000,12.43,12.46,12.13,12.32,51548.03874
1585609200000,12.08,12.43,11.92,12.43,73377.54882
1585605600000,11.87,12.14,11.58,12.06,53626.41791
1585602000000,11.96,12.12,11.59,11.9,87109.83487
1585598400000,12.41,12.41,11.75,11.96,98359.46684
1585594800000,12.39,12.5,12.22,12.41,29493.49771
1585591200000,12.41,12.66,12.34,12.4,49725.89629
1585587600000,12.27,12.5,12.24,12.38,33438.54129
1585584000000,12.41,12.56,12.05,12.3,76974.39253
1585580400000,12.45,12.55,12.0,12.39,84437.15039
1585576800000,12.6,12.7,12.31,12.46,53577.4668
1585573200000,12.3,12.6,12.07,12.6,66726.45189
1585569600000,11.95,12.59,11.8,12.29,96417.35887
1585566000000,12.9,12.9,11.73,11.93,130570.89524
1585562400000,13.28,13.29,12.5,12.9,70302.44936
1585558800000,13.15,13.35,13.07,13.28,50890.95582
1585555200000,13.27,13.27,12.93,13.14,76441.22119
1585551600000,13.64,13.64,12.87,13.26,104190.79599
1585548000000,13.6,13.81,13.38,13.6,84888.30638
1585544400000,14.5,14.5,13.33,13.6,152272.9338
1585540800000,14.81,14.91,14.4,14.5,45097.24529
1585537200000,14.9,14.96,14.76,14.82,22273.1019
1585533600000,15.12,15.19,14.38,14.9,61550.84035
1585530000000,15.3,15.4,14.95,15.15,44036.83508
1585526400000,15.67,15.75,15.2,15.32,44671.45771
1585522800000,15.21,15.7,15.18,15.6,52931.93469
1585519200000,15.35,15.5,14.82,15.23,76258.45306
1585515600000,15.25,15.51,15.17,15.35,41339.47754
1585512000000,15.5,15.72,15.1,15.25,168686.33528
1585508400000,15.05,15.63,14.77,15.46,162205.79303
1585504800000,14.57,15.1,14.57,15.05,62683.3381
1585501200000,14.65,14.81,14.49,14.56,49593.48318
1585497600000,14.33,14.75,14.28,14.63,80802.93459
1585494000000,14.24,14.41,14.22,14.33,24501.55259
1585490400000,14.41,14.44,14.19,14.26,31873.02916
1585486800000,14.45,14.61,14.3,14.42,40847.97159
1585483200000,14.26,14.58,14.25,14.44,81078.52345
1585479600000,14.13,14.29,14.06,14.23,68871.67468
1585476000000,14.49,14.5,13.9,14.13,148186.17309
1585472400000,14.28,14.5,14.24,14.5,71279.98541
1585468800000,14.24,14.57,14.21,14.25,168711.77614
1585465200000,14.27,14.46,14.15,14.24,87472.14785
1585461600000,14.24,14.38,14.11,14.27,54028.20871
1585458000000,13.97,14.25,13.96,14.25,41318.07655
1585454400000,14.01,14.11,13.95,13.95,33341.13224
1585450800000,14.16,14.25,13.9,14.01,43775.76107
1585447200000,14.02,14.19,13.84,14.16,22652.24331
1585443600000,13.89,14.27,13.87,14.01,79903.90536
1585440000000,13.74,14.05,13.3,13.92,81462.31867
1585436400000,13.72,14.15,13.22,13.7,134854.31281
1585432800000,13.8,14.09,13.31,13.73,124219.01178
1585429200000,13.86,14.17,13.61,13.8,89177.42475
1585425600000,14.68,14.68,13.06,13.86,288939.43414
1585422000000,15.02,15.03,14.51,14.69,80022.91709
1585418400000,15.73,15.74,14.54,15.05,246368.40233
1585414800000,14.66,15.73,14.61,15.73,239432.03511
1585411200000,14.74,14.85,14.49,14.66,101560.49478
1585407600000,14.34,14.84,14.17,14.74,171893.86379
1585404000000,14.77,14.8,13.98,14.34,329738.1447
