date,open,high,low,close,volume
1585645200000,80.71,80.73,78.08,79.18,3837.289282
1585641600000,78.55,80.88,78.18,80.42,3961.848828
1585638000000,79.05,79.13,77.86,78.46,2534.857754
1585634400000,77.56,79.22,76.64,79.02,2294.35899
1585630800000,76.29,78.16,75.39,77.6,3264.080894
1585627200000,78.61,78.61,75.55,76.38,5139.329636
1585623600000,80.5,80.5,76.6,78.61,4106.330057
1585620000000,82.18,82.29,80.49,80.5,1829.318375
1585616400000,79.55,82.58,79.47,82.18,3086.053315
1585612800000,78.85,81.0,78.19,79.64,4156.116873
1585609200000,81.25,81.55,78.37,79.0,5397.517459
1585605600000,82.37,83.85,81.0,81.3,5875.967825
1585602000000,81.65,83.88,80.3,82.23,6942.860415
1585598400000,79.16,82.64,78.99,81.64,12250.934553
1585594800000,79.07,80.15,78.57,79.05,2747.06202
1585591200000,79.49,79.49,77.84,79.3,2864.469728
1585587600000,80.2,80.48,78.42,79.23,5179.767636
1585584000000,79.42,80.77,78.51,80.06,5331.583441
1585580400000,78.6,81.45,78.29,79.33,8813.479744
1585576800000,78.16,79.39,77.35,78.6,5491.825098
1585573200000,78.96,80.0,78.15,78.16,9012.033754
1585569600000,80.52,81.28,78.19,78.92,10870.347118
1585566000000,76.67,81.5,76.55,80.55,14301.728011
1585562400000,75.74,78.0,75.74,76.69,8236.66836
1585558800000,76.6,76.85,74.83,75.74,7691.555571
1585555200000,75.35,76.8,75.27,76.55,9208.75337
1585551600000,74.75,76.65,74.75,75.35,17750.136214
1585548000000,75.05,75.8,74.05,74.67,13264.119244
1585544400000,70.87,76.18,70.87,75.05,24436.724507
1585540800000,70.33,70.95,69.89,70.87,8968.598766
1585537200000,70.0,70.61,69.37,70.32,8667.09339
1585533600000,69.0,70.63,68.88,70.08,10593.935668
1585530000000,68.15,69.15,67.45,68.96,6947.162877
1585526400000,66.4,68.5,65.94,67.98,4694.578528
1585522800000,67.62,68.12,66.3,66.53,9390.107108
1585519200000,67.1,70.09,65.72,67.62,10247.895705
1585515600000,68.6,68.87,67.01,67.13,5708.067863
1585512000000,67.21,68.7,64.54,68.6,28609.357584
1585508400000,70.67,71.56,66.13,67.2,25937.683835
1585504800000,73.44,73.44,70.0,70.69,9054.08956
1585501200000,72.96,73.62,72.01,73.5,9986.52322
1585497600000,74.44,75.0,72.07,72.79,13149.225346
1585494000000,75.06,75.14,74.09,74.57,3111.930301
1585490400000,74.45,75.27,74.2,75.05,5222.089235
1585486800000,74.02,74.8,73.68,74.45,4389.467612
1585483200000,74.99,75.0,72.86,74.02,10385.529972
1585479600000,76.0,76.2,74.98,75.0,4297.383141
1585476000000,73.89,77.05,73.75,76.0,13569.46599
1585472400000,75.04,75.11,73.45,73.75,4117.9488
1585468800000,75.43,75.49,73.0,75.09,9051.755284
1585465200000,74.97,75.59,74.01,75.3,5985.175445
1585461600000,75.2,75.81,74.02,74.98,4046.675967
1585458000000,76.8,76.82,75.2,75.2,4058.022959
1585454400000,76.4,76.8,75.98,76.8,2253.920033
1585450800000,75.87,76.85,74.9,76.4,4946.635819
1585447200000,76.3,77.11,75.57,75.87,4125.615994
1585443600000,76.99,77.25,74.84,76.36,5304.194948
1585440000000,78.15,79.2,76.01,76.89,7306.409116
1585436400000,78.13,79.25,76.1,78.14,7016.524915
1585432800000,77.9,80.67,76.57,78.13,11223.495927
1585429200000,77.79,79.0,76.05,77.9,8998.625611
1585425600000,73.34,81.82,73.34,77.58,31083.508662
1585422000000,71.67,74.2,71.67,73.34,11988.120448
1585418400000,68.2,73.42,68.19,71.55,25515.886628
1585414800000,73.2,73.46,68.2,68.23,40506.812747
1585411200000,72.96,73.87,72.43,73.3,19456.218151
1585407600000,74.2,74.49,72.26,73.09,20199.716457
1585404000000,73.0,74.8,72.99,74.3,17294.955079
1585400400000,72.67,73.15,70.5,73.05,9533.422429
1585396800000,72.65,73.13,71.4,72.67,8288.069407
1585393200000,74.17,75.3,72.5,72.63,12251.08735
1585389600000,73.89,74.65,72.89,74.18,7335.809083
1585386000000,75.16,75.79,73.57,74.1,10092.143293
1585382400000,72.72,75.3,72.0,75.16,17955.950716
1585378800000,72.3,73.07,72.27,72.72,6231.036444
1585375200000,72.27,72.76,70.8,72.3,8278.658335
1585371600000,72.95,73.34,71.74,72.26,17194.483023
1585368000000,69.19,73.6,68.1,72.95,38672.897239
1585364400000,74.57,74.87,67.34,69.19,37148.43463
1585360800000,74.77,75.52,73.35,74.5,14887.637006
1585357200000,76.27,76.27,73.57,74.79,15688.578524
1585353600000,78.9,79.0,72.5,76.24,42473.294128
1585350000000,90.61,90.61,75.0,78.96,32293.325341
1585346400000,91.09,91.24,89.45,90.61,4821.116947
1585342800000,91.39,92.08,89.62,91.08,10868.981256
1585339200000,90.26,91.48,89.05,91.48,4089.184096
1585335600000,90.32,91.5,89.48,90.23,7177.22956
1585332000000,89.38,91.39,88.9,90.32,5165.776547
1585328400000,89.46,89.9,87.88,89.38,6094.855796
1585324800000,88.93,89.83,86.96,89.46,10103.394195
1585321200000,87.14,89.29,86.88,88.93,8953.729532
1585317600000,86.85,87.5,86.02,87.15,8070.090516
1585314000000,87.71,88.15,85.61,86.95,13746.916021
1585310400000,87.88,89.11,86.81,87.65,7444.618407
1585306800000,88.39,90.14,87.85,88.0,14876.454613
1585303200000,88.5,89.38,86.0,88.39,14432.639751
1585299600000,89.78,90.57,88.3,88.62,8818.827344
1585296000000,91.91,91.91,89.61,89.8,7452.254943
1585292400000,90.32,92.32,90.31,91.91,9109.454217
1585288800000,90.05,91.6,89.31,90.32,6976.137049
1585285200000,93.78,93.84,89.0,90.31,18894.74075
1585281600000,95.43,98.0,93.55,93.78,20245.981865
1585278000000,95.0,95.74,94.46,95.37,9315.16823
1585274400000,94.56,95.0,93.26,95.0,12213.743532
1585270800000,95.09,95.87,92.63,94.51,12360.888667
1585267200000,93.83,99.8,93.83,95.08,32793.180503
1585263600000,88.92,96.0,88.86,93.85,37173.720024
1585260000000,88.64,89.04,86.54,88.97,13000.774137
1585256400000,89.5,91.9,88.2,88.63,25557.81846
1585252800000,86.89,89.67,86.75,89.54,15222.407534
1585249200000,86.55,87.4,85.7,87.1,18073.061163
1585245600000,85.56,86.65,85.4,86.55,5912.977219
1585242000000,85.54,87.0,85.0,85.48,11925.827508
1585238400000,85.71,86.35,83.89,85.54,13011.043093
1585234800000,85.38,86.0,83.8,85.79,12099.064945
1585231200000,86.38,86.64,84.87,85.38,11399.375074
1585227600000,86.1,87.87,82.21,86.5,29850.357592
1585224000000,85.7,86.2,83.64,86.03,20676.810656
1585220400000,86.45,88.95,85.02,85.7,20051.249257
1585216800000,86.74,87.4,85.35,86.45,10077.248589
1585213200000,86.72,87.9,85.96,86.74,9334.936716
1585209600000,86.03,87.38,84.7,86.66,15359.688352
1585206000000,86.7,87.3,84.99,86.05,16274.457379
1585202400000,86.53,87.84,84.55,86.78,19626.143479
1585198800000,90.48,91.37,85.94,86.7,10728.991936
1585195200000,90.47,93.74,90.37,90.48,13295.132882
1585191600000,88.44,90.52,87.91,90.26,7655.961925
1585188000000,88.11,88.82,86.53,88.33,7806.26885
1585184400000,90.29,90.65,87.81,88.11,8357.454218
1585180800000,88.18,91.85,88.18,90.4,15676.915398
1585177200000,87.89,88.67,86.42,88.28,7604.052773
1585173600000,84.5,88.2,84.5,87.66,12997.036735
1585170000000,86.35,86.7,83.0,84.55,9153.165464
1585166400000,87.4,87.87,86.24,86.4,8058.519897
1585162800000,88.37,88.99,86.82,87.31,6665.948143
1585159200000,87.51,89.0,85.52,88.36,11144.334413
1585155600000,87.83,88.55,87.18,87.51,7871.838775
1585152000000,86.85,89.0,86.2,87.74,11731.199683
1585148400000,87.42,88.65,86.25,86.97,13772.272476
1585144800000,84.64,87.69,82.59,87.46,24590.901794
1585141200000,86.8,91.4,84.5,84.5,34085.267467
1585137600000,84.42,86.83,83.83,86.6,22008.332052
1585134000000,88.54,89.74,81.33,84.45,44709.042676
1585130400000,96.49,98.34,86.85,88.54,50057.425996
1585126800000,95.5,100.89,94.5,96.5,38449.244828
1585123200000,92.22,96.02,90.0,95.5,17418.324659
1585119600000,93.09,93.47,90.51,92.15,9932.354472
1585116000000,93.53,93.9,91.11,93.09,12128.585116
1585112400000,90.08,93.58,89.84,93.3,16774.365331
1585108800000,87.94,90.2,86.5,90.08,12623.965065
1585105200000,90.99,91.26,85.97,87.7,21452.290217
1585101600000,91.79,94.68,88.9,90.95,28265.376528
1585098000000,95.24,97.66,91.43,91.6,16457.528566
1585094400000,92.94,98.53,89.09,95.22,22419.303588
1585090800000,95.01,95.49,92.46,92.93,10013.557032
1585087200000,91.61,95.82,90.79,95.03,15697.255507
1585083600000,94.54,95.25,87.31,91.61,15555.360854
1585080000000,94.37,96.15,92.25,94.47,15613.155096
1585076400000,89.39,95.5,88.13,94.12,17563.151464
1585072800000,89.78,89.92,86.22,89.39,11487.917991
1585069200000,87.67,91.14,87.02,89.78,20109.599996
1585065600000,88.13,89.21,84.6,87.8,18577.766861
1585062000000,90.81,91.78,84.0,87.94,31529.591717
1585058400000,91.89,94.31,89.67,91.06,19807.304109
1585054800000,92.81,95.53,90.74,91.61,24892.382846
1585051200000,97.25,97.26,87.65,92.8,37009.243819
1585047600000,96.05,98.5,93.11,97.44,14685.675486
1585044000000,96.91,99.12,93.66,96.09,19426.493903
1585040400000,95.61,100.5,94.91,96.59,38791.878424
1585036800000,87.55,103.0,87.0,95.73,49988.965
1585033200000,87.09,90.13,85.85,87.55,19348.661632
1585029600000,83.75,88.14,83.32,87.09,9104.80558
1585026000000,82.57,85.28,81.81,84.0,8718.113107
1585022400000,83.48,85.18,80.07,82.67,15041.896541
1585018800000,88.02,88.47,83.48,83.48,9665.997979
1585015200000,85.17,88.37,84.3,88.25,11609.766393
1585011600000,85.25,88.31,84.0,85.13,12972.213548
1585008000000,88.12,90.0,83.19,85.21,25621.872094
1585004400000,83.27,88.3,82.69,88.3,29999.413016
1585000800000,81.66,83.3,79.73,83.26,14601.569784
1584997200000,81.16,84.3,79.83,81.58,23496.560434
1584993600000,78.25,82.39,78.05,81.06,25520.265358
1584990000000,77.86,79.77,77.1,78.25,12022.879357
1584986400000,78.23,80.0,76.59,77.86,16770.717377
1584982800000,82.2,82.4,77.58,78.23,16648.27958
1584979200000,76.89,82.4,76.57,82.01,32479.587715
1584975600000,77.81,79.0,72.4,76.89,22044.714512
1584972000000,80.35,80.9,76.5,77.83,35838.449495
1584968400000,82.7,90.4,75.0,80.35,85758.518774
1584964800000,66.38,85.41,66.11,82.58,90948.740928
1584961200000,67.0,68.82,65.17,66.38,18520.562521
1584957600000,64.8,67.25,64.6,67.17,14896.986083
1584954000000,64.4,66.08,62.63,64.82,19340.67059
1584950400000,67.7,69.25,63.92,64.49,19669.097276
1584946800000,70.0,70.44,67.4,67.7,11841.86476
1584943200000,68.39,70.36,68.32,70.0,8291.372364
1584939600000,69.56,70.2,67.75,68.5,9227.721561
1584936000000,70.14,71.85,68.43,69.55,10280.191388
1584932400000,68.17,71.4,67.49,70.11,13492.680739
1584928800000,66.72,68.34,65.0,68.17,13619.956303
