date,open,high,low,close,volume
1594022400000,232.82,233.19,232.45,233.02,9759.07981
1594018800000,232.58,234.15,232.08,232.8,70121.73382
1594015200000,228.89,233.26,228.64,232.57,108382.44321
1594011600000,227.89,228.92,227.78,228.88,21852.04058
1594008000000,227.88,228.23,227.67,227.88,12625.54007
1594004400000,227.97,228.16,227.39,227.86,11590.90984
1594000800000,228.05,228.8,227.8,227.97,20460.46389
1593997200000,226.99,228.09,226.99,228.05,15302.58667
1593993600000,227.54,228.12,226.93,226.98,13110.17961
1593990000000,227.45,228.24,226.96,227.56,17606.59312
1593986400000,226.2,228.04,226.18,227.44,36720.48771
1593982800000,224.95,227.0,223.22,226.17,33536.46459
1593979200000,225.18,225.45,224.86,224.94,6791.33807
1593975600000,225.41,225.84,225.11,225.18,7693.29146
1593972000000,225.15,225.6,224.85,225.42,5408.09724
1593968400000,225.04,225.59,224.9,225.16,8840.08672
1593964800000,224.96,225.71,224.75,225.02,9837.06919
1593961200000,225.33,226.26,224.8,225.0,15139.00717
1593957600000,224.82,225.39,224.56,225.32,8242.08141
1593954000000,225.58,225.58,224.56,224.82,8789.8948
1593950400000,225.14,225.58,224.25,225.58,14500.0984
1593946800000,225.15,225.75,225.05,225.14,7808.61834
1593943200000,224.48,225.5,223.48,225.17,27497.84334
1593939600000,226.86,226.95,223.05,224.47,30792.57949
1593936000000,226.67,227.11,226.45,226.85,9449.08196
1593932400000,226.69,227.04,226.33,226.67,9883.1508
1593928800000,226.75,227.19,226.42,226.73,15261.68026
1593925200000,228.22,228.34,226.42,226.74,21977.85123
1593921600000,228.23,228.37,227.76,228.24,9221.24656
1593918000000,227.95,228.32,227.39,228.24,11318.41481
1593914400000,228.88,229.13,227.55,227.91,14330.32545
1593910800000,229.02,229.26,228.72,228.9,8281.30079
1593907200000,229.24,229.85,228.99,229.03,16820.51715
1593903600000,228.85,229.29,228.45,229.17,7354.64601
1593900000000,228.75,229.1,228.35,228.86,5045.25916
1593896400000,228.96,229.25,228.36,228.72,7646.43643
1593892800000,228.99,229.5,228.76,228.96,10901.61168
1593889200000,228.72,229.12,228.04,228.98,11974.54753
1593885600000,229.95,230.54,227.93,228.72,28948.50826
1593882000000,225.92,230.71,225.68,229.93,61913.13285
1593878400000,225.85,226.09,225.42,225.92,11742.24617
1593874800000,225.85,226.1,225.11,225.86,14549.17674
1593871200000,226.33,226.55,225.76,225.84,9294.03738
1593867600000,226.19,226.52,226.0,226.33,7401.68941
1593864000000,225.63,226.36,225.27,226.2,10300.8696
1593860400000,225.65,226.15,225.4,225.63,7437.19707
1593856800000,226.09,226.16,225.4,225.7,9905.497
1593853200000,226.23,226.45,225.91,226.08,7103.47135
1593849600000,226.09,226.46,225.98,226.23,8991.75313
1593846000000,226.19,226.47,225.92,226.09,5679.94274
1593842400000,226.59,226.66,225.92,226.19,5372.40102
1593838800000,226.04,226.63,225.84,226.59,10557.75845
1593835200000,226.09,226.51,225.84,226.03,8448.32351
1593831600000,226.42,226.86,226.05,226.08,7633.86401
1593828000000,225.39,226.76,225.1,226.42,22619.94111
1593824400000,225.25,225.55,224.86,225.38,12306.36198
1593820800000,224.86,225.79,224.43,225.25,14597.79334
1593817200000,226.07,226.07,223.97,224.87,31424.28137
1593813600000,226.7,226.77,225.98,226.09,5983.87428
1593810000000,226.79,226.91,226.22,226.7,4715.5899
1593806400000,226.4,226.86,225.87,226.8,7206.24426
1593802800000,226.26,226.45,225.75,226.39,10903.80282
1593799200000,226.55,226.98,226.1,226.27,10332.24124
1593795600000,226.75,227.2,226.45,226.54,10135.32433
1593792000000,226.92,227.41,226.5,226.74,12094.82061
1593788400000,226.8,227.3,226.56,226.92,12235.84668
1593784800000,227.1,227.4,226.25,226.8,13993.21538
1593781200000,227.31,228.11,226.98,227.1,14503.87157
1593777600000,227.12,227.88,226.72,227.31,14553.81797
1593774000000,226.48,227.24,226.09,227.14,12526.55316
1593770400000,226.38,226.75,225.74,226.47,12233.60168
1593766800000,227.18,227.65,225.5,226.39,22684.31025
1593763200000,227.23,228.11,226.73,227.18,15190.3654
1593759600000,226.67,227.5,226.5,227.21,11489.05577
1593756000000,227.2,227.52,226.58,226.71,9355.24726
1593752400000,226.67,227.42,226.31,227.19,14616.70382
1593748800000,226.29,226.75,225.65,226.65,11465.61706
1593745200000,226.59,227.01,226.0,226.28,11598.02639
1593741600000,227.48,227.68,226.32,226.58,11120.54122
1593738000000,226.3,228.13,225.87,227.49,17216.30065
1593734400000,226.46,226.54,225.32,226.29,16999.24733
1593730800000,226.87,227.32,226.25,226.46,12398.92824
1593727200000,227.41,228.14,226.32,226.87,26916.07622
1593723600000,226.32,228.35,225.91,227.4,15475.9068
1593720000000,225.73,226.44,225.1,226.31,12447.47118
1593716400000,226.24,226.41,224.86,225.72,16462.75247
1593712800000,225.77,226.72,224.64,226.23,15662.1697
1593709200000,225.93,226.41,225.25,225.77,17385.65683
1593705600000,225.09,226.21,222.87,225.93,72529.79526
1593702000000,228.96,228.99,224.5,225.07,84869.55675
1593698400000,230.55,231.06,228.8,228.96,18257.21193
1593694800000,229.51,231.42,229.12,230.52,34302.14596
1593691200000,228.19,229.69,227.6,229.51,27063.75116
1593687600000,228.68,228.69,227.0,228.19,31022.9633
1593684000000,228.91,228.98,227.8,228.68,20134.74394
1593680400000,229.0,229.47,228.62,228.9,15631.48716
1593676800000,228.63,229.32,227.83,229.01,27256.64715
1593673200000,228.5,229.1,228.26,228.6,14479.00635
1593669600000,228.49,229.09,227.63,228.53,31994.44636
1593666000000,231.05,231.61,228.2,228.48,35566.64302
1593662400000,231.04,231.45,230.85,231.06,7676.8647
1593658800000,231.07,231.4,230.81,231.06,8838.24635
1593655200000,231.5,232.01,230.97,231.07,17839.42296
1593651600000,230.6,231.5,230.39,231.5,13260.53207
1593648000000,230.99,231.52,230.41,230.61,15013.48529
1593644400000,230.9,232.19,230.51,230.99,19885.43533
1593640800000,231.12,231.43,230.29,230.91,12380.97865
1593637200000,231.33,231.68,230.75,231.13,10641.67417
1593633600000,231.1,232.2,230.97,231.32,20364.48165
1593630000000,231.68,232.07,230.69,231.1,23835.95715
1593626400000,232.37,232.51,231.44,231.69,18316.82662
1593622800000,231.5,232.71,231.2,232.35,28958.92577
1593619200000,229.42,231.98,228.7,231.5,69171.38722
1593615600000,228.59,229.42,228.51,229.42,18875.46525
1593612000000,228.44,229.24,228.27,228.59,24379.06704
1593608400000,227.69,229.13,227.26,228.43,37350.29018
1593604800000,227.66,227.72,226.8,227.7,13582.79168
1593601200000,227.44,227.67,226.73,227.66,16250.04295
1593597600000,227.61,228.18,227.28,227.45,14189.78526
1593594000000,227.86,228.53,227.4,227.61,22413.61184
1593590400000,225.58,228.91,225.56,227.87,47198.36125
1593586800000,225.13,226.35,225.1,225.58,17505.09311
1593583200000,225.51,225.86,224.8,225.14,12513.51655
1593579600000,225.63,226.0,225.32,225.51,10596.09069
1593576000000,225.45,226.0,225.36,225.62,13444.58195
1593572400000,225.46,225.84,224.3,225.44,13304.537
1593568800000,224.98,226.0,224.61,225.44,20358.43408
