date,open,high,low,close,volume
1594022400000,2.913,2.913,2.909,2.911,1839.461
1594018800000,2.914,2.917,2.906,2.91,6810.951
1594015200000,2.878,2.913,2.878,2.913,26752.778
1594011600000,2.869,2.877,2.867,2.877,2661.022
1594008000000,2.872,2.872,2.872,2.872,25.653
1594004400000,2.871,2.871,2.863,2.867,5407.137
1594000800000,2.87,2.877,2.868,2.868,6792.792
1593997200000,2.858,2.87,2.858,2.87,6055.309
1593993600000,2.862,2.863,2.855,2.855,679.406
1593990000000,2.858,2.864,2.858,2.862,897.486
1593986400000,2.849,2.869,2.849,2.858,2032.571
1593982800000,2.834,2.851,2.808,2.844,5887.914
1593979200000,2.843,2.843,2.836,2.838,286.181
1593975600000,2.843,2.848,2.843,2.844,5314.598
1593972000000,2.845,2.845,2.845,2.845,312.236
1593968400000,2.845,2.845,2.845,2.845,12.486
1593964800000,2.847,2.852,2.841,2.845,1269.866
1593961200000,2.852,2.859,2.845,2.845,4074.445
1593957600000,2.842,2.852,2.842,2.849,2027.737
1593954000000,2.856,2.856,2.849,2.849,1043.91
1593950400000,2.848,2.849,2.843,2.849,539.653
1593946800000,2.852,2.853,2.852,2.853,3497.064
1593943200000,2.845,2.855,2.845,2.855,3602.774
1593939600000,2.868,2.868,2.843,2.853,1336.044
1593936000000,2.861,2.87,2.861,2.865,367.096
1593932400000,2.866,2.87,2.862,2.865,1561.546
1593928800000,2.871,2.875,2.866,2.866,1100.57
1593925200000,2.874,2.876,2.864,2.865,3208.936
1593921600000,2.88,2.88,2.88,2.88,97.837
1593918000000,2.882,2.882,2.878,2.881,2277.143
1593914400000,2.885,2.89,2.879,2.882,2270.903
1593910800000,2.891,2.891,2.891,2.891,6.915
1593907200000,2.885,2.892,2.884,2.892,359.678
1593903600000,2.881,2.885,2.88,2.88,87.083
1593900000000,2.883,2.883,2.881,2.881,16.11
1593896400000,2.887,2.887,2.883,2.883,227.026
1593892800000,2.888,2.89,2.888,2.89,261.127
