date,open,high,low,close,volume
1594022400000,0.5085,0.5115,0.5078,0.5094,844.19
1594018800000,0.5075,0.5084,0.5057,0.5082,3465.9
1594015200000,0.5036,0.5075,0.5023,0.5069,11607.69
1594011600000,0.503,0.5058,0.5012,0.5037,7315.15
1594008000000,0.5017,0.5034,0.5016,0.5034,3396.09
1594004400000,0.5049,0.5051,0.4999,0.5018,24282.86
1594000800000,0.5037,0.5097,0.5036,0.5049,7375.8
1593997200000,0.5004,0.5056,0.5003,0.5036,3043.52
1593993600000,0.5043,0.5052,0.4991,0.5003,2324.32
1593990000000,0.5017,0.5043,0.4998,0.5035,1460.98
1593986400000,0.4974,0.502,0.4967,0.5017,6880.18
1593982800000,0.4985,0.499,0.4877,0.499,16182.76
1593979200000,0.4955,0.4998,0.4952,0.4987,2568.1
1593975600000,0.4967,0.4983,0.4903,0.4958,4843.32
1593972000000,0.4971,0.4974,0.4961,0.4974,1435.67
1593968400000,0.4959,0.4977,0.4947,0.4971,1534.89
1593964800000,0.4949,0.4977,0.4929,0.4963,3069.44
1593961200000,0.4951,0.4991,0.4947,0.4952,4196.67
1593957600000,0.4898,0.4951,0.4847,0.4951,4642.08
1593954000000,0.4965,0.4965,0.4902,0.4904,4172.97
1593950400000,0.4971,0.4982,0.4956,0.4963,1399.83
1593946800000,0.4974,0.4979,0.4956,0.4974,2122.83
1593943200000,0.4976,0.5009,0.4887,0.4974,9563.28
1593939600000,0.5021,0.5024,0.4986,0.4986,3221.58
1593936000000,0.5018,0.5037,0.5006,0.5018,3836.81
1593932400000,0.5007,0.5044,0.5006,0.5044,951.11
1593928800000,0.5029,0.5046,0.4989,0.5009,15534.22
1593925200000,0.5051,0.5071,0.5016,0.5047,5895.91
1593921600000,0.5091,0.5093,0.5034,0.5052,6649.56
1593918000000,0.5044,0.5094,0.5036,0.509,7905.23
1593914400000,0.5032,0.5047,0.5009,0.5044,6479.73
1593910800000,0.5028,0.5052,0.5028,0.5032,3459.0
1593907200000,0.5034,0.5049,0.5,0.503,8802.86
1593903600000,0.5015,0.5039,0.5009,0.5034,2315.24
1593900000000,0.5019,0.5022,0.5015,0.5019,1370.02
1593896400000,0.5003,0.5038,0.4997,0.5022,3381.27
1593892800000,0.5048,0.5048,0.4976,0.5004,2433.93
1593889200000,0.5036,0.5049,0.5032,0.5044,2449.97
1593885600000,0.5036,0.5046,0.5016,0.5043,4523.15
1593882000000,0.4987,0.5046,0.4983,0.5039,2935.23
1593878400000,0.4977,0.5021,0.4947,0.4987,12736.8
1593874800000,0.501,0.5134,0.494,0.5011,28349.86
1593871200000,0.4947,0.501,0.4943,0.5004,10467.94
1593867600000,0.4939,0.496,0.4935,0.4948,7369.94
1593864000000,0.4936,0.4941,0.4935,0.4939,1060.8
1593860400000,0.4939,0.4941,0.4891,0.4937,1633.21
