date,open,high,low,close,volume
1594022400000,1.189,1.1946,1.1861,1.1861,5400.95
1594018800000,1.2021,1.2046,1.1793,1.188,21492.86
1594015200000,1.1783,1.2021,1.1783,1.195,32101.16
1594011600000,1.1619,1.185,1.161,1.1804,11596.89
1594008000000,1.1583,1.1618,1.1557,1.1595,1223.7
1594004400000,1.1621,1.1629,1.146,1.1583,5040.95
1594000800000,1.1784,1.188,1.1526,1.158,35871.14
1593997200000,1.1246,1.1895,1.1234,1.178,34061.49
1593993600000,1.1164,1.1345,1.1164,1.1246,22057.97
1593990000000,1.113,1.1192,1.1109,1.1192,5826.83
1593986400000,1.1049,1.113,1.1036,1.1122,2485.14
1593982800000,1.1089,1.1092,1.0951,1.1063,4189.98
1593979200000,1.1104,1.1107,1.1089,1.109,981.45
1593975600000,1.1066,1.1128,1.1049,1.1105,21613.34
1593972000000,1.1152,1.1152,1.1061,1.1068,2140.11
1593968400000,1.1101,1.1179,1.106,1.1179,1607.07
1593964800000,1.1069,1.1181,1.1068,1.1144,4179.51
1593961200000,1.1005,1.116,1.1005,1.1069,4221.82
1593957600000,1.091,1.0992,1.0876,1.0992,701.18
1593954000000,1.0868,1.1033,1.0866,1.0866,27023.96
1593950400000,1.0883,1.0917,1.0864,1.0866,1892.04
1593946800000,1.0966,1.1,1.0884,1.0895,10447.13
1593943200000,1.0877,1.0993,1.0755,1.0971,10003.25
1593939600000,1.0924,1.1008,1.0899,1.0899,1907.16
1593936000000,1.0891,1.0969,1.0866,1.0969,603.63
1593932400000,1.0936,1.0936,1.0872,1.0904,4256.95
1593928800000,1.0948,1.0997,1.0924,1.0936,2440.03
1593925200000,1.1022,1.1039,1.0933,1.0949,4916.64
1593921600000,1.1025,1.1035,1.1,1.1035,793.54
1593918000000,1.1021,1.1066,1.099,1.0998,1939.55
1593914400000,1.1066,1.1106,1.1004,1.1016,8766.9
1593910800000,1.1139,1.114,1.1115,1.114,31.31
1593907200000,1.1153,1.1167,1.1137,1.1144,263.28
1593903600000,1.1117,1.1161,1.11,1.1153,959.96
1593900000000,1.1134,1.1166,1.1076,1.1117,2849.38
1593896400000,1.1132,1.1134,1.1131,1.1134,62.2
1593892800000,1.1069,1.1102,1.1069,1.1069,470.67
1593889200000,1.1081,1.1131,1.1048,1.1069,5414.08
1593885600000,1.1017,1.11,1.1015,1.1093,2090.63
1593882000000,1.1005,1.1126,1.0997,1.1017,4267.61
1593878400000,1.1067,1.1077,1.0992,1.1019,2381.59
1593874800000,1.1033,1.1139,1.096,1.1065,11768.29
1593871200000,1.1017,1.1051,1.0951,1.1024,14195.73
1593867600000,1.0981,1.1018,1.0981,1.1018,21.79
