date,open,high,low,close,volume
1594022400000,0.2097,0.2103,0.2092,0.2099,1940.71
1594018800000,0.2113,0.2128,0.2084,0.2097,80364.61
1594015200000,0.2107,0.2126,0.2096,0.2113,65634.09
1594011600000,0.2089,0.211,0.2089,0.2103,42194.64
1594008000000,0.2081,0.21,0.2079,0.2088,40824.98
1594004400000,0.2072,0.2091,0.2062,0.2081,33813.04
1594000800000,0.2063,0.2078,0.2063,0.207,30407.09
1593997200000,0.2061,0.2068,0.206,0.2062,2201.2
1593993600000,0.2063,0.2066,0.2061,0.2063,16307.14
1593990000000,0.2071,0.2073,0.2065,0.2066,10216.01
1593986400000,0.2059,0.2075,0.2058,0.207,10656.04
1593982800000,0.2055,0.2064,0.2036,0.2059,48135.68
1593979200000,0.206,0.206,0.2053,0.2057,4985.93
1593975600000,0.2062,0.2065,0.2057,0.2057,8631.36
1593972000000,0.2062,0.2062,0.2054,0.2057,5407.51
1593968400000,0.2063,0.2064,0.2056,0.2056,9809.28
1593964800000,0.2056,0.2064,0.2055,0.2062,17172.01
1593961200000,0.2052,0.2065,0.2049,0.2059,32255.64
1593957600000,0.2056,0.2056,0.2039,0.2051,23768.63
1593954000000,0.2052,0.206,0.2046,0.205,44884.59
1593950400000,0.206,0.206,0.205,0.2052,24050.52
1593946800000,0.2045,0.2063,0.2039,0.2059,39321.02
1593943200000,0.208,0.208,0.2041,0.2043,187439.32
1593939600000,0.2087,0.2087,0.2073,0.208,46876.35
1593936000000,0.2081,0.2087,0.2078,0.2087,15670.33
1593932400000,0.2078,0.2086,0.2074,0.2081,12908.33
1593928800000,0.2085,0.2085,0.2074,0.2078,28643.73
1593925200000,0.2097,0.2101,0.2082,0.2084,70158.1
1593921600000,0.2089,0.2095,0.2084,0.2095,5869.11
1593918000000,0.2083,0.209,0.2079,0.209,24201.57
1593914400000,0.211,0.211,0.2073,0.2075,352643.89
1593910800000,0.2114,0.2115,0.2113,0.2113,5603.34
1593907200000,0.2104,0.2119,0.2095,0.2119,133472.92
1593903600000,0.2105,0.2105,0.2103,0.2104,4213.04
1593900000000,0.2095,0.2109,0.2092,0.2105,29691.42
1593896400000,0.2105,0.2111,0.2097,0.2103,27616.67
1593892800000,0.2116,0.2118,0.2101,0.2111,42694.25
1593889200000,0.2113,0.2118,0.2108,0.2117,14532.92
1593885600000,0.2128,0.213,0.2116,0.2121,14171.39
1593882000000,0.211,0.2121,0.2101,0.2121,30242.58
1593878400000,0.213,0.2143,0.21,0.2101,220803.99
1593874800000,0.215,0.2153,0.2129,0.2137,39210.76
1593871200000,0.2149,0.2166,0.2125,0.214,235201.83
1593867600000,0.215,0.2164,0.2139,0.2149,233634.02
1593864000000,0.2137,0.2151,0.2114,0.215,180000.85
1593860400000,0.208,0.2137,0.2079,0.2137,377444.58
1593856800000,0.2075,0.2081,0.2064,0.2081,28216.55
1593853200000,0.2073,0.2075,0.2066,0.2075,21981.59
1593849600000,0.2076,0.2077,0.2063,0.2073,33277.75
1593846000000,0.2075,0.2077,0.2075,0.2077,876.27
1593842400000,0.2073,0.2082,0.2071,0.2071,30148.08
1593838800000,0.2073,0.2076,0.207,0.2073,1296.45
1593835200000,0.2068,0.2077,0.2062,0.2073,49261.09
1593831600000,0.2074,0.2074,0.207,0.2074,41509.64
1593828000000,0.2078,0.2078,0.2074,0.2074,4897.15
1593824400000,0.2067,0.2075,0.2054,0.207,35493.97
1593820800000,0.2074,0.2076,0.2066,0.2076,4143.63
1593817200000,0.2066,0.2075,0.2065,0.2074,19426.51
1593813600000,0.2079,0.2079,0.2068,0.2068,10365.64
1593810000000,0.207,0.208,0.2063,0.2074,34804.8
1593806400000,0.2074,0.2076,0.2065,0.207,16297.63
1593802800000,0.2078,0.2082,0.2068,0.2068,8926.41
1593799200000,0.207,0.2079,0.207,0.2078,3652.81
1593795600000,0.2075,0.2082,0.207,0.207,23189.53
1593792000000,0.208,0.2085,0.2073,0.2073,36769.82
1593788400000,0.2083,0.2085,0.2075,0.2085,5010.56
1593784800000,0.2082,0.2087,0.2075,0.2084,16992.61
1593781200000,0.2077,0.2085,0.2067,0.2074,22002.42
1593777600000,0.208,0.208,0.206,0.2069,92892.9
1593774000000,0.2089,0.2089,0.208,0.208,15224.35
1593770400000,0.2097,0.2099,0.2088,0.2088,21502.0
1593766800000,0.2092,0.2097,0.2083,0.2097,9556.84
1593763200000,0.2083,0.2091,0.2078,0.2091,23341.79
1593759600000,0.209,0.2091,0.2077,0.2081,46074.1
1593756000000,0.2092,0.2093,0.208,0.208,4469.6
1593752400000,0.2085,0.2095,0.2083,0.2093,12137.48
1593748800000,0.2086,0.2093,0.2085,0.2091,8035.5
1593745200000,0.208,0.2086,0.2073,0.2086,37433.42
1593741600000,0.2082,0.2089,0.2081,0.2086,27324.02
1593738000000,0.2086,0.2086,0.2081,0.2082,2946.73
1593734400000,0.2077,0.2089,0.2077,0.2086,20446.44
1593730800000,0.209,0.209,0.208,0.2083,23837.75
1593727200000,0.2081,0.2091,0.208,0.2091,7120.31
1593723600000,0.2073,0.2088,0.207,0.2088,28157.51
1593720000000,0.2064,0.2074,0.2053,0.2074,64416.61
1593716400000,0.2069,0.2077,0.2061,0.2073,19754.51
1593712800000,0.2054,0.207,0.2053,0.207,32395.72
1593709200000,0.2047,0.2058,0.2038,0.2055,66819.11
1593705600000,0.2054,0.2054,0.202,0.2039,159920.24
1593702000000,0.209,0.209,0.2043,0.2054,188984.01
1593698400000,0.2091,0.2096,0.2085,0.209,30680.75
1593694800000,0.209,0.2098,0.2083,0.2089,24002.67
1593691200000,0.2095,0.2095,0.2079,0.2089,63177.63
1593687600000,0.2101,0.2102,0.2084,0.2084,55176.57
1593684000000,0.2096,0.2101,0.209,0.21,19117.33
1593680400000,0.2101,0.2106,0.2096,0.2096,41262.14
1593676800000,0.209,0.2106,0.2084,0.2101,25420.1
1593673200000,0.2108,0.2118,0.2088,0.209,115480.4
1593669600000,0.2133,0.2133,0.2087,0.2111,117568.17
1593666000000,0.2149,0.215,0.2132,0.2144,21082.18
1593662400000,0.2143,0.2148,0.2142,0.2142,5159.27
1593658800000,0.215,0.2151,0.214,0.2145,15564.26
1593655200000,0.2148,0.2152,0.213,0.214,52046.43
1593651600000,0.2151,0.2151,0.2139,0.214,3813.37
1593648000000,0.2153,0.2153,0.214,0.214,3697.75
1593644400000,0.2138,0.215,0.2133,0.214,21417.81
1593640800000,0.2142,0.2149,0.214,0.214,35960.44
1593637200000,0.2145,0.2145,0.2141,0.2142,17786.92
1593633600000,0.2148,0.2156,0.2141,0.2156,21558.85
