date,open,high,low,close,volume
1593993600000,0.346,0.3615,0.3451,0.3544,2160339.64
1593907200000,0.3356,0.3578,0.3316,0.3461,9077647.01
1593820800000,0.3387,0.3417,0.3228,0.3358,3777036.36
1593734400000,0.3184,0.3431,0.3152,0.3391,8578235.84
1593648000000,0.2992,0.3215,0.2972,0.3184,6866167.1
1593561600000,0.2899,0.3012,0.2881,0.2989,1881785.61
1593475200000,0.297,0.2995,0.2872,0.2899,2554210.19
1593388800000,0.287,0.3009,0.2836,0.297,3152487.93
1593302400000,0.282,0.2955,0.2782,0.2876,2012178.81
1593216000000,0.2996,0.3027,0.2761,0.2818,3390343.3
1593129600000,0.31,0.3119,0.297,0.2998,2253790.94
1593043200000,0.3172,0.3186,0.3009,0.3107,2458034.69
1592956800000,0.3229,0.3293,0.3095,0.3174,3643687.4
1592870400000,0.3262,0.3288,0.3219,0.3229,2193420.99
1592784000000,0.3177,0.3289,0.3172,0.3262,2860927.19
1592697600000,0.3195,0.3235,0.3176,0.318,1664343.64
1592611200000,0.3197,0.324,0.3137,0.3197,1788286.69
1592524800000,0.3255,0.3316,0.3174,0.3201,3249471.26
1592438400000,0.3233,0.3442,0.3221,0.3255,6319109.9
1592352000000,0.3156,0.3271,0.3115,0.324,4322907.24
1592265600000,0.3158,0.3252,0.3128,0.316,3806757.52
1592179200000,0.3223,0.3237,0.2912,0.3151,6719372.52
1592092800000,0.3387,0.3413,0.3205,0.3221,2604796.45
1592006400000,0.33,0.3448,0.3271,0.3387,3000981.28
1591920000000,0.3203,0.3353,0.3167,0.33,3643803.77
1591833600000,0.3623,0.3662,0.3111,0.3213,9039130.25
1591747200000,0.3337,0.3659,0.3331,0.3623,7773626.78
1591660800000,0.335,0.3362,0.328,0.3333,2325406.03
1591574400000,0.334,0.3352,0.3283,0.335,2137139.79
1591488000000,0.3375,0.3395,0.3229,0.334,2761232.54
1591401600000,0.3366,0.3441,0.3331,0.3368,3335235.93
1591315200000,0.3344,0.343,0.3323,0.3368,3088066.75
1591228800000,0.3391,0.3396,0.3295,0.3347,3945696.35
1591142400000,0.338,0.3415,0.3297,0.339,3322418.09
1591056000000,0.3422,0.3537,0.3221,0.338,8805897.2
1590969600000,0.3274,0.3465,0.3258,0.3423,4830289.72
1590883200000,0.3577,0.359,0.3234,0.3272,9309044.07
1590796800000,0.3492,0.3597,0.3466,0.3579,5490039.54
1590710400000,0.3533,0.368,0.3422,0.3492,7577637.73
1590624000000,0.3381,0.3682,0.3371,0.3527,11204767.74
1590537600000,0.3409,0.342,0.3221,0.3388,8171782.02
1590451200000,0.3325,0.3572,0.3276,0.3408,10048028.47
1590364800000,0.3032,0.3458,0.2968,0.3318,14568860.0
1590278400000,0.3198,0.345,0.2989,0.3033,13611145.84
1590192000000,0.3254,0.3297,0.3102,0.3191,7556133.82
1590105600000,0.309,0.3356,0.2975,0.3254,12303699.55
1590019200000,0.3411,0.3509,0.2874,0.3083,18577608.04
1589932800000,0.2966,0.3578,0.294,0.341,27563358.52
1589846400000,0.2866,0.2985,0.2842,0.2961,8910356.76
1589760000000,0.2775,0.29,0.2764,0.2866,4632424.45
1589673600000,0.2721,0.2811,0.2702,0.277,4140495.29
1589587200000,0.2691,0.2789,0.266,0.2725,4097159.94
1589500800000,0.2685,0.2781,0.2564,0.269,6015291.83
1589414400000,0.2711,0.2747,0.2629,0.2685,4318773.24
1589328000000,0.2635,0.2724,0.259,0.2712,4095357.97
1589241600000,0.2521,0.2675,0.2498,0.264,4391236.78
1589155200000,0.2643,0.2694,0.2314,0.2515,8096494.35
1589068800000,0.2954,0.2958,0.2444,0.2632,10253870.2
1588982400000,0.3012,0.3091,0.2882,0.2954,6079659.7
1588896000000,0.2794,0.3231,0.2793,0.3018,23653939.56
1588809600000,0.2612,0.285,0.2576,0.2801,5278104.02
1588723200000,0.2742,0.2763,0.2601,0.2613,3314396.44
1588636800000,0.2758,0.2817,0.2674,0.2742,3133117.91
1588550400000,0.2742,0.2783,0.2555,0.2756,6049026.45
1588464000000,0.2906,0.2911,0.2672,0.2738,5353777.58
1588377600000,0.2841,0.2912,0.281,0.2906,4669206.86
1588291200000,0.2782,0.2935,0.278,0.2841,5623946.52
1588204800000,0.2986,0.309,0.2727,0.2786,11400076.48
1588118400000,0.2838,0.3027,0.2822,0.299,11094750.98
1588032000000,0.2908,0.2913,0.274,0.2839,5613709.48
1587945600000,0.2993,0.301,0.2709,0.2907,7872246.46
1587859200000,0.2721,0.3112,0.2713,0.2989,13191422.98
1587772800000,0.265,0.2874,0.2615,0.2722,6907820.6
1587686400000,0.2486,0.2844,0.2486,0.265,13706322.83
1587600000000,0.2372,0.2583,0.2334,0.2497,8450707.89
1587513600000,0.2255,0.2379,0.223,0.2372,2844721.97
1587427200000,0.2214,0.2279,0.2191,0.2245,3079040.53
1587340800000,0.2374,0.245,0.2163,0.2222,7917738.29
1587254400000,0.2473,0.252,0.2329,0.2378,5493390.25
1587168000000,0.2319,0.2496,0.2317,0.2474,5000464.19
1587081600000,0.235,0.2365,0.2292,0.2321,3085421.48
1586995200000,0.22,0.2383,0.2131,0.2353,5809103.01
1586908800000,0.2284,0.2325,0.219,0.2205,3090823.11
1586822400000,0.2282,0.2359,0.2232,0.228,4123570.39
1586736000000,0.2318,0.2318,0.2168,0.2279,6094875.96
1586649600000,0.2304,0.243,0.2251,0.2323,6092664.33
1586563200000,0.2286,0.2379,0.2231,0.2299,5391947.93
1586476800000,0.2539,0.2627,0.2231,0.2288,12334559.58
1586390400000,0.2528,0.262,0.2452,0.2538,9742162.83
1586304000000,0.2485,0.2584,0.2451,0.253,8053151.79
1586217600000,0.2517,0.2675,0.2384,0.2479,13012670.3
1586131200000,0.231,0.2542,0.2305,0.2519,11465271.54
1586044800000,0.2393,0.2417,0.2301,0.231,3253176.04
1585958400000,0.2422,0.2448,0.2338,0.2392,6608887.25
1585872000000,0.2505,0.2549,0.2377,0.2419,9018743.44
1585785600000,0.2448,0.2681,0.2425,0.2505,17978863.31
1585699200000,0.2113,0.2694,0.2039,0.2447,35135450.36
1585612800000,0.2055,0.2198,0.2006,0.2118,7683360.01
1585526400000,0.1786,0.2195,0.1772,0.2055,9782587.32
1585440000000,0.191,0.1915,0.1783,0.1789,3389682.31
1585353600000,0.1938,0.1938,0.1838,0.1913,5062392.68
1585267200000,0.2092,0.214,0.19,0.1945,4821337.87
1585180800000,0.205,0.2111,0.2001,0.2092,4014510.01
1585094400000,0.2086,0.2183,0.1992,0.2055,6063747.55
1585008000000,0.2001,0.2114,0.1933,0.2089,8061557.92
1584921600000,0.1819,0.2051,0.1774,0.1991,6368369.01
1584835200000,0.2009,0.2114,0.1811,0.1837,5483221.89
1584748800000,0.2022,0.2142,0.1903,0.201,5508499.99
1584662400000,0.2085,0.2388,0.185,0.2021,14223475.08
1584576000000,0.1822,0.2163,0.1811,0.2085,13411282.37
1584489600000,0.1804,0.1861,0.1673,0.1822,5644501.48
1584403200000,0.1687,0.1875,0.164,0.1804,5886703.89
1584316800000,0.1885,0.197,0.1472,0.1682,13717453.45
1584230400000,0.182,0.2039,0.1792,0.1885,6632397.98
1584144000000,0.1913,0.2042,0.1772,0.1819,7876103.75
1584057600000,0.1642,0.2043,0.1215,0.1911,21557966.13
1583971200000,0.3027,0.303,0.1465,0.1653,22337799.35
1583884800000,0.3139,0.3187,0.2865,0.3014,8936276.12
1583798400000,0.3269,0.332,0.2978,0.3151,12402771.04
1583712000000,0.2904,0.3266,0.2851,0.3266,13838126.1
1583625600000,0.3509,0.3511,0.2862,0.2903,18728246.38
1583539200000,0.3813,0.3865,0.347,0.351,12203267.9
1583452800000,0.3954,0.396,0.366,0.3812,18811269.26
1583366400000,0.3258,0.4229,0.3258,0.3958,36313767.67
1583280000000,0.3398,0.3419,0.3139,0.3257,9682131.38
1583193600000,0.3168,0.3448,0.304,0.3399,14095787.5
1583107200000,0.2866,0.321,0.2846,0.3171,8735932.67
1583020800000,0.2924,0.3059,0.2827,0.2875,7291958.1
1582934400000,0.3054,0.3139,0.2927,0.2937,6859663.15
1582848000000,0.3099,0.3306,0.2834,0.306,13997334.28
1582761600000,0.3027,0.3319,0.2761,0.3099,17791692.22
1582675200000,0.3272,0.3341,0.2654,0.3027,22094658.82
1582588800000,0.365,0.365,0.3153,0.3266,20066170.58
1582502400000,0.4026,0.405,0.3525,0.365,13996187.64
1582416000000,0.4054,0.4122,0.3946,0.4033,9460398.65
1582329600000,0.4222,0.4235,0.3853,0.4067,11338015.31
1582243200000,0.3893,0.442,0.3828,0.4222,25903722.5
1582156800000,0.3652,0.416,0.3475,0.3896,28434828.95
1582070400000,0.3825,0.44,0.3605,0.3633,38771511.06
1581984000000,0.3475,0.395,0.3232,0.3826,15254449.89
1581897600000,0.3492,0.3658,0.309,0.3455,16061555.65
1581811200000,0.3595,0.3738,0.3189,0.35,16590383.66
1581724800000,0.4036,0.4189,0.3483,0.3595,16387672.85
1581638400000,0.3852,0.406,0.3783,0.4036,12422204.79
1581552000000,0.4232,0.4292,0.3751,0.3843,24135399.59
1581465600000,0.4161,0.4445,0.4085,0.423,23092645.44
1581379200000,0.4072,0.4268,0.3938,0.4161,17487922.34
