date,open,high,low,close,volume
1594022400000,0.3549,0.3557,0.3539,0.3554,31168.45
1594018800000,0.3542,0.3563,0.3524,0.3543,279124.91
1594015200000,0.3613,0.3615,0.3534,0.3542,491941.8
1594011600000,0.3536,0.3615,0.3536,0.3605,430779.84
1594008000000,0.3493,0.3547,0.3491,0.3543,173917.65
1594004400000,0.3502,0.3514,0.3478,0.3493,110560.43
1594000800000,0.3525,0.3541,0.3492,0.35,66544.18
1593997200000,0.3511,0.3555,0.3498,0.3519,158705.99
1593993600000,0.346,0.3548,0.3451,0.3503,393964.56
1593990000000,0.348,0.349,0.3461,0.3461,392825.57
1593986400000,0.3459,0.3509,0.3453,0.348,302749.91
1593982800000,0.3489,0.3513,0.34,0.3457,613460.93
1593979200000,0.3557,0.3557,0.349,0.3492,128508.74
1593975600000,0.3512,0.3566,0.3512,0.3557,168954.85
1593972000000,0.3491,0.3538,0.3457,0.3511,452468.01
1593968400000,0.3472,0.3527,0.3467,0.3484,218435.05
1593964800000,0.3523,0.3558,0.3452,0.3474,439519.48
1593961200000,0.3477,0.3542,0.3464,0.3522,393828.62
1593957600000,0.3445,0.3522,0.3428,0.3473,394089.31
1593954000000,0.3442,0.346,0.343,0.3447,334470.09
1593950400000,0.353,0.3544,0.3428,0.3442,530575.86
1593946800000,0.3532,0.3532,0.349,0.353,319655.35
1593943200000,0.347,0.3555,0.3451,0.3532,629098.24
1593939600000,0.3577,0.3578,0.3449,0.346,674820.03
1593936000000,0.3421,0.3577,0.3409,0.3577,738064.55
1593932400000,0.3397,0.3446,0.3363,0.342,474443.07
1593928800000,0.3478,0.3488,0.3386,0.3397,504885.34
1593925200000,0.3387,0.35,0.336,0.349,927875.11
1593921600000,0.3345,0.3386,0.3332,0.3386,136534.07
1593918000000,0.3338,0.3344,0.3316,0.3338,58323.23
1593914400000,0.3328,0.3343,0.3322,0.3338,73969.82
1593910800000,0.3359,0.3368,0.3324,0.3333,92946.14
1593907200000,0.3356,0.3362,0.335,0.3358,77145.64
1593903600000,0.3336,0.3358,0.3335,0.3358,65035.82
1593900000000,0.3322,0.3337,0.3311,0.3337,89886.62
1593896400000,0.3305,0.3331,0.3305,0.3313,69108.42
1593892800000,0.331,0.3314,0.3293,0.3302,80540.47
1593889200000,0.3324,0.3325,0.3305,0.3308,128846.61
1593885600000,0.3323,0.3331,0.3304,0.3318,117111.5
1593882000000,0.3305,0.3336,0.3281,0.3318,215520.16
1593878400000,0.3249,0.3307,0.3248,0.3306,221071.35
1593874800000,0.3271,0.3274,0.3228,0.3249,294314.46
1593871200000,0.3289,0.3291,0.3266,0.3271,113433.07
1593867600000,0.3294,0.3311,0.328,0.329,210986.65
1593864000000,0.3306,0.3317,0.3286,0.3294,157282.86
1593860400000,0.3311,0.3311,0.3265,0.3306,391118.35
1593856800000,0.3321,0.3323,0.3305,0.3315,88226.56
1593853200000,0.3322,0.3329,0.3302,0.3319,152147.2
1593849600000,0.3336,0.3336,0.3308,0.332,159377.6
1593846000000,0.3353,0.3362,0.33,0.3328,316980.33
1593842400000,0.3359,0.3385,0.3352,0.3352,153480.22
1593838800000,0.3334,0.3362,0.3333,0.3359,103342.12
1593835200000,0.3353,0.336,0.3327,0.3342,143504.88
1593831600000,0.3387,0.3389,0.3354,0.336,64657.09
1593828000000,0.338,0.3406,0.3371,0.3379,167320.5
1593824400000,0.3403,0.3404,0.3364,0.3373,150511.66
1593820800000,0.3387,0.3417,0.3365,0.3405,123231.86
1593817200000,0.3369,0.3397,0.3348,0.3391,96181.91
1593813600000,0.3429,0.3431,0.3351,0.3375,264835.03
1593810000000,0.3334,0.343,0.3334,0.343,351889.83
1593806400000,0.3348,0.3348,0.3321,0.333,206305.67
1593802800000,0.3363,0.3377,0.3335,0.3355,240018.14
1593799200000,0.337,0.3389,0.3359,0.3361,179225.04
1593795600000,0.3365,0.3381,0.3354,0.3364,128386.34
1593792000000,0.3355,0.3365,0.3327,0.3363,206548.21
1593788400000,0.3323,0.3404,0.3317,0.3355,341768.77
1593784800000,0.3323,0.3382,0.3306,0.3323,473134.34
1593781200000,0.332,0.3333,0.3307,0.3323,186151.86
1593777600000,0.3293,0.3387,0.3287,0.3312,535519.67
1593774000000,0.3254,0.34,0.3232,0.3283,307106.3
1593770400000,0.3268,0.3284,0.3225,0.3255,233778.03
1593766800000,0.3258,0.3314,0.3248,0.3268,336218.43
1593763200000,0.3311,0.3323,0.3244,0.3255,345491.34
1593759600000,0.3333,0.3345,0.3293,0.3311,447882.12
1593756000000,0.3301,0.3393,0.3295,0.3333,632977.31
1593752400000,0.3318,0.3319,0.3283,0.3295,174133.29
1593748800000,0.3345,0.3352,0.3301,0.3322,197816.96
1593745200000,0.337,0.337,0.3313,0.3344,469168.52
1593741600000,0.3414,0.343,0.3347,0.337,810382.9
1593738000000,0.3179,0.3417,0.3179,0.3412,1202064.78
1593734400000,0.3184,0.3184,0.3152,0.3179,211251.05
1593730800000,0.3195,0.3199,0.3172,0.3184,119560.22
1593727200000,0.3149,0.3215,0.3148,0.3198,445232.64
1593723600000,0.3089,0.3157,0.3084,0.3137,159926.36
1593720000000,0.312,0.313,0.3089,0.3096,141377.89
1593716400000,0.3123,0.3132,0.3101,0.312,181345.03
1593712800000,0.3126,0.3131,0.3085,0.3123,228208.55
1593709200000,0.3042,0.3136,0.3031,0.3129,423883.21
1593705600000,0.3061,0.3094,0.2972,0.3042,673403.9
1593702000000,0.3139,0.314,0.3052,0.3061,638896.19
1593698400000,0.3179,0.3187,0.3137,0.314,127748.21
1593694800000,0.3174,0.3193,0.3168,0.318,590834.24
1593691200000,0.3191,0.3205,0.3141,0.3174,278405.05
1593687600000,0.3171,0.3195,0.3102,0.3187,723312.63
1593684000000,0.306,0.3171,0.306,0.3171,542803.84
1593680400000,0.305,0.306,0.3042,0.306,80831.02
1593676800000,0.303,0.3059,0.303,0.3055,187177.83
1593673200000,0.3021,0.3037,0.3011,0.303,73320.75
1593669600000,0.3018,0.3035,0.3002,0.3021,172242.39
1593666000000,0.305,0.3062,0.3019,0.3027,298786.36
1593662400000,0.3023,0.305,0.3018,0.305,184061.71
1593658800000,0.3018,0.3025,0.3,0.3025,285097.01
1593655200000,0.301,0.302,0.3007,0.3018,109049.67
1593651600000,0.2987,0.3017,0.2987,0.3008,110184.93
1593648000000,0.2992,0.3013,0.2983,0.2988,90477.47
1593644400000,0.2987,0.3012,0.2981,0.2989,67843.54
1593640800000,0.2999,0.3002,0.2982,0.2985,30290.4
1593637200000,0.2985,0.3,0.2981,0.3,53444.2
1593633600000,0.2964,0.2996,0.2964,0.2986,79579.39
1593630000000,0.2985,0.2988,0.2964,0.2968,63909.47
1593626400000,0.2974,0.299,0.2967,0.2987,96351.29
1593622800000,0.297,0.2975,0.2967,0.2969,36969.49
1593619200000,0.2973,0.2978,0.2966,0.297,112351.27
1593615600000,0.296,0.2974,0.2954,0.2972,99274.06
1593612000000,0.2937,0.2965,0.2931,0.296,62886.47
1593608400000,0.2921,0.2955,0.292,0.2932,78173.22
1593604800000,0.2913,0.2925,0.2908,0.2919,48611.11
1593601200000,0.2918,0.2922,0.2891,0.2913,164643.8
1593597600000,0.2944,0.2947,0.2909,0.2918,68517.29
1593594000000,0.295,0.295,0.2935,0.2939,44470.73
1593590400000,0.2901,0.2962,0.2892,0.2955,242429.98
1593586800000,0.2906,0.2916,0.2901,0.2902,42409.11
1593583200000,0.2919,0.2923,0.2904,0.2906,35791.32
1593579600000,0.2914,0.2922,0.2908,0.2916,26818.11
1593576000000,0.2929,0.2937,0.291,0.2921,20663.32
1593572400000,0.292,0.2934,0.2908,0.2926,14288.82
1593568800000,0.2921,0.2927,0.2904,0.2927,48950.15
1593565200000,0.2889,0.2953,0.2888,0.2921,213125.86
1593561600000,0.2899,0.291,0.2881,0.289,129993.21
1593558000000,0.2887,0.2906,0.2886,0.2899,66393.11
1593554400000,0.2918,0.2932,0.2885,0.2888,209473.18
1593550800000,0.2923,0.2932,0.291,0.2917,40139.26
1593547200000,0.291,0.2931,0.291,0.2921,56228.04
1593543600000,0.2881,0.2918,0.2872,0.2912,171033.8
1593540000000,0.2894,0.2897,0.2878,0.289,85095.69
1593536400000,0.2903,0.2919,0.2881,0.2895,126982.8
1593532800000,0.2905,0.2913,0.2897,0.29,25757.07
1593529200000,0.2909,0.2919,0.2901,0.2907,110171.02
1593525600000,0.2908,0.2919,0.2885,0.2905,120805.09
1593522000000,0.2917,0.2922,0.29,0.2904,138451.06
1593518400000,0.2935,0.2963,0.2918,0.2927,257154.05
1593514800000,0.2938,0.2943,0.293,0.2936,24383.3
1593511200000,0.2935,0.295,0.2931,0.2941,39742.82
1593507600000,0.293,0.2943,0.2926,0.2935,29587.38
1593504000000,0.2936,0.2939,0.2924,0.2927,37730.71
1593500400000,0.2932,0.2937,0.2929,0.2936,39761.54
1593496800000,0.2943,0.2946,0.2926,0.294,300688.42
1593493200000,0.298,0.298,0.2935,0.2946,187426.28
1593489600000,0.2982,0.2994,0.298,0.298,50098.17
1593486000000,0.2992,0.2994,0.2984,0.2985,7764.49
1593482400000,0.2983,0.2992,0.2973,0.2988,57529.16
1593478800000,0.2988,0.2993,0.297,0.2984,282888.92
1593475200000,0.297,0.2995,0.2964,0.2985,88924.83
1593471600000,0.298,0.2984,0.2969,0.297,51987.19
1593468000000,0.3006,0.3009,0.2969,0.2984,118935.37
1593464400000,0.2989,0.3004,0.2985,0.2991,117519.62
1593460800000,0.2972,0.2999,0.2972,0.2985,249283.85
1593457200000,0.2876,0.2997,0.2868,0.2972,724661.98
1593453600000,0.289,0.2893,0.287,0.2876,53781.58
1593450000000,0.2878,0.289,0.2867,0.2887,119210.87
1593446400000,0.2882,0.2886,0.287,0.2878,23016.23
1593442800000,0.2869,0.2878,0.2852,0.2878,61051.83
1593439200000,0.2854,0.2903,0.2836,0.2877,223013.64
1593435600000,0.2884,0.2887,0.2849,0.2853,82178.51
1593432000000,0.2861,0.2891,0.2857,0.2887,156543.02
1593428400000,0.2871,0.2874,0.2857,0.2865,81433.53
1593424800000,0.2888,0.2893,0.2867,0.2876,106091.4
1593421200000,0.2881,0.2887,0.2876,0.2883,50945.6
1593417600000,0.2883,0.289,0.2869,0.288,42246.83
1593414000000,0.289,0.2892,0.2875,0.2884,30524.77
1593410400000,0.2912,0.2912,0.2877,0.2883,82284.84
1593406800000,0.29,0.2922,0.2892,0.2912,94719.33
1593403200000,0.2863,0.2917,0.2863,0.2902,308212.5
1593399600000,0.2867,0.2875,0.2857,0.2875,115024.51
1593396000000,0.2867,0.2868,0.286,0.2865,52769.58
1593392400000,0.2862,0.287,0.2862,0.2865,58457.82
1593388800000,0.287,0.2877,0.2854,0.2861,148593.53
1593385200000,0.2874,0.2876,0.2869,0.2876,12484.1
1593381600000,0.2882,0.2884,0.2864,0.2873,25743.01
1593378000000,0.2892,0.2898,0.2884,0.2892,52275.22
1593374400000,0.2887,0.2912,0.2882,0.2894,93335.85
1593370800000,0.2922,0.2923,0.2881,0.2888,49214.03
1593367200000,0.293,0.2932,0.2912,0.2915,103192.4
1593363600000,0.2954,0.2954,0.2923,0.2932,48913.44
1593360000000,0.2948,0.2955,0.2934,0.2954,87409.29
1593356400000,0.2938,0.2945,0.2932,0.294,70570.1
1593352800000,0.2877,0.2944,0.2876,0.2939,119182.4
1593349200000,0.2858,0.2879,0.2856,0.2871,120244.37
1593345600000,0.2885,0.2889,0.285,0.2858,108303.82
1593342000000,0.287,0.2899,0.287,0.2884,104027.13
1593338400000,0.2869,0.2881,0.2867,0.2869,46047.82
1593334800000,0.2837,0.2871,0.2837,0.2868,59522.58
1593331200000,0.2825,0.2839,0.2802,0.2834,177522.59
1593327600000,0.2823,0.294,0.2814,0.2826,302958.96
1593324000000,0.2788,0.2823,0.2782,0.2823,180376.7
1593320400000,0.2797,0.2798,0.2788,0.2788,17415.69
1593306000000,0.2804,0.2809,0.2786,0.2797,83779.02
1593302400000,0.282,0.282,0.2793,0.2802,149660.29
1593298800000,0.2816,0.2818,0.2804,0.2818,50258.14
1593295200000,0.2851,0.2857,0.2808,0.2814,128386.43
1593291600000,0.2815,0.285,0.2807,0.2849,138935.9
1593288000000,0.2822,0.2849,0.279,0.2814,327799.88
1593284400000,0.2915,0.292,0.2761,0.2834,839951.0
1593280800000,0.2909,0.2926,0.2908,0.2915,74048.85
1593277200000,0.296,0.2963,0.2909,0.2912,417836.34
1593273600000,0.3018,0.3023,0.2955,0.2959,242449.79
1593270000000,0.3018,0.3027,0.301,0.3018,102503.4
1593266400000,0.2993,0.3021,0.2991,0.3013,194706.87
1593262800000,0.2974,0.299,0.2974,0.299,25478.1
1593259200000,0.2994,0.2997,0.2971,0.2974,93672.18
1593255600000,0.2988,0.2993,0.2978,0.2993,92910.29
1593252000000,0.2989,0.2991,0.2985,0.2989,21819.01
1593248400000,0.2991,0.2995,0.2984,0.2985,64868.57
1593244800000,0.2993,0.2997,0.2991,0.2991,17815.48
1593241200000,0.2988,0.2996,0.2987,0.2993,36073.82
1593237600000,0.299,0.2991,0.2981,0.2989,37263.21
1593234000000,0.2983,0.2993,0.2982,0.299,41135.17
1593230400000,0.2995,0.2998,0.297,0.297,111895.63
1593226800000,0.299,0.2997,0.2971,0.2986,42934.12
1593223200000,0.2988,0.3016,0.2985,0.299,133273.62
1593219600000,0.2985,0.3002,0.2971,0.2987,105720.39
1593216000000,0.2996,0.3002,0.298,0.2991,48607.11
1593212400000,0.3005,0.3014,0.2992,0.2998,107151.16
1593208800000,0.3015,0.3016,0.3006,0.3015,43290.19
1593205200000,0.3008,0.3023,0.3005,0.3016,92081.63
1593201600000,0.3009,0.3014,0.3003,0.301,23792.14
1593198000000,0.3004,0.301,0.3004,0.3009,8790.42
1593194400000,0.2992,0.3006,0.2992,0.3001,40205.28
1593190800000,0.2985,0.3,0.2985,0.2997,51085.05
1593187200000,0.2987,0.2995,0.2978,0.2994,44022.9
1593183600000,0.2975,0.3029,0.2974,0.2989,194755.13
1593180000000,0.3028,0.3028,0.297,0.2984,215336.29
1593176400000,0.3049,0.3054,0.3017,0.3028,77023.72
1593172800000,0.3028,0.3055,0.3028,0.3048,59581.4
1593169200000,0.3033,0.3037,0.3015,0.3028,38480.72
1593165600000,0.303,0.3066,0.3029,0.3033,118933.96
1593162000000,0.2997,0.3033,0.2985,0.3029,225348.2
1593158400000,0.3018,0.3018,0.2989,0.2998,242785.2
1593154800000,0.3071,0.3071,0.3001,0.301,350531.83
1593151200000,0.3078,0.3084,0.307,0.3071,66719.03
1593147600000,0.3101,0.3107,0.3073,0.3083,59828.57
1593144000000,0.3101,0.3105,0.3095,0.3101,23855.78
1593140400000,0.3106,0.3106,0.309,0.3099,47201.26
1593136800000,0.3106,0.3107,0.31,0.3107,36645.86
1593133200000,0.3109,0.3119,0.3106,0.3106,19243.23
1593129600000,0.31,0.3111,0.3091,0.3105,67101.99
1593126000000,0.31,0.3115,0.31,0.3107,84281.71
1593122400000,0.3121,0.3132,0.3086,0.31,86706.68
1593118800000,0.3105,0.3135,0.3105,0.3121,106190.37
1593115200000,0.3112,0.312,0.3101,0.3105,41638.08
1593111600000,0.3108,0.3108,0.3097,0.3107,125892.49
1593108000000,0.3116,0.3116,0.311,0.3111,19872.18
1593104400000,0.3116,0.313,0.311,0.3115,79976.67
1593100800000,0.3101,0.3118,0.3091,0.3116,43650.76
1593097200000,0.31,0.3111,0.3086,0.3096,123212.47
1593093600000,0.3104,0.3121,0.31,0.3104,28284.55
1593090000000,0.3083,0.3136,0.308,0.3105,142346.83
1593086400000,0.3112,0.3112,0.3081,0.3089,174859.36
1593082800000,0.3104,0.3122,0.3104,0.3112,33609.95
1593079200000,0.3101,0.3116,0.3096,0.3102,116657.66
1593075600000,0.3131,0.3131,0.3097,0.3103,42797.69
1593072000000,0.3084,0.3132,0.3084,0.3129,46444.94
1593068400000,0.3091,0.3096,0.3077,0.3086,108742.11
1593064800000,0.3075,0.3103,0.3074,0.3091,117841.28
1593061200000,0.3084,0.3087,0.3061,0.3074,89876.87
1593057600000,0.3058,0.3104,0.3058,0.3092,188870.53
1593054000000,0.315,0.315,0.3009,0.3063,535318.34
1593050400000,0.3178,0.3184,0.315,0.315,48364.91
1593046800000,0.3165,0.3186,0.3162,0.3182,49148.07
1593043200000,0.3172,0.3173,0.316,0.3165,23450.19
1593039600000,0.3161,0.3179,0.3157,0.3174,150219.77
1593036000000,0.3153,0.3162,0.3153,0.3159,42001.92
1593032400000,0.3161,0.3162,0.3138,0.3151,116785.53
1593028800000,0.3151,0.3162,0.314,0.3154,35570.93
1593025200000,0.3161,0.3162,0.3146,0.3158,194551.68
1593021600000,0.314,0.3169,0.3139,0.3161,88614.13
1593018000000,0.3148,0.3173,0.314,0.314,126845.73
1593014400000,0.3108,0.3157,0.3106,0.315,225303.1
1593010800000,0.3141,0.3177,0.3095,0.3111,311214.11
1593007200000,0.3189,0.3189,0.3144,0.3144,176994.18
1593003600000,0.3177,0.3207,0.3174,0.3181,114220.63
1593000000000,0.3141,0.3208,0.3126,0.3178,237070.67
1592996400000,0.3135,0.3152,0.3127,0.3146,267433.05
1592992800000,0.3199,0.3206,0.313,0.314,454712.58
1592989200000,0.3205,0.3209,0.3189,0.3199,76621.72
1592985600000,0.3214,0.3219,0.3182,0.3205,270352.08
1592982000000,0.3271,0.3276,0.3209,0.3215,216879.96
1592978400000,0.3276,0.3282,0.3266,0.3271,43034.16
1592974800000,0.3286,0.3286,0.3268,0.327,101030.06
1592971200000,0.3255,0.3293,0.325,0.3286,192107.7
1592967600000,0.325,0.3254,0.3246,0.3251,26185.59
1592964000000,0.3247,0.3254,0.3242,0.3254,32548.09
1592960400000,0.3235,0.3247,0.3233,0.3246,39196.3
1592956800000,0.3229,0.3247,0.3225,0.3236,104193.73
1592953200000,0.3233,0.3233,0.3225,0.3229,68228.58
1592949600000,0.3237,0.3249,0.3227,0.3235,109449.2
1592946000000,0.3239,0.3243,0.3227,0.3243,42550.58
1592942400000,0.3251,0.3251,0.324,0.324,41963.01
1592938800000,0.3252,0.3276,0.3244,0.3248,108079.2
1592935200000,0.3256,0.3267,0.3248,0.3253,53087.12
1592931600000,0.3256,0.3288,0.325,0.3256,170948.37
1592928000000,0.3254,0.3258,0.3242,0.3253,65117.53
1592924400000,0.3237,0.3254,0.3235,0.3252,35943.68
1592920800000,0.3234,0.3243,0.323,0.3232,191058.04
1592917200000,0.3271,0.3272,0.3228,0.3234,173611.59
1592913600000,0.326,0.3271,0.3258,0.327,225059.5
1592910000000,0.3221,0.3266,0.3221,0.326,76975.1
1592906400000,0.325,0.325,0.3219,0.3224,68851.44
1592902800000,0.3233,0.326,0.3229,0.325,105954.61
1592899200000,0.3231,0.3234,0.3222,0.3233,80187.45
1592895600000,0.3234,0.3234,0.3226,0.3231,27893.95
1592892000000,0.3236,0.3239,0.3229,0.3232,19179.24
1592888400000,0.3233,0.3242,0.323,0.3236,39034.01
1592884800000,0.3246,0.3253,0.3237,0.3237,151348.81
1592881200000,0.3246,0.3251,0.3237,0.3246,79825.02
1592877600000,0.3239,0.3252,0.3232,0.3243,87881.69
