date,open,high,low,close,volume
1593993600000,0.2355,0.243,0.2346,0.2404,3220128.08
1593907200000,0.2404,0.2417,0.226,0.2353,7266167.09
1593820800000,0.2246,0.2419,0.2237,0.2403,7855877.97
1593734400000,0.2295,0.2329,0.2226,0.2255,5572734.3
1593648000000,0.2302,0.2402,0.218,0.2292,10357800.71
1593561600000,0.2261,0.2336,0.222,0.2305,9185785.08
1593475200000,0.2147,0.2277,0.2094,0.2266,7631153.61
1593388800000,0.2088,0.2163,0.2035,0.2148,4367950.57
1593302400000,0.2034,0.2129,0.2008,0.2088,3945803.06
1593216000000,0.2148,0.2175,0.1937,0.2031,4718214.86
1593129600000,0.2205,0.2212,0.211,0.215,3397613.16
1593043200000,0.2201,0.2227,0.208,0.2203,4230884.91
1592956800000,0.2288,0.2345,0.2145,0.2201,5573847.14
1592870400000,0.2318,0.233,0.2266,0.2287,3318756.08
1592784000000,0.2173,0.2339,0.2171,0.2323,4349659.44
1592697600000,0.2179,0.222,0.2165,0.2177,3171557.57
1592611200000,0.2189,0.2209,0.2114,0.2178,4253354.17
1592524800000,0.2237,0.2244,0.2171,0.2193,3336877.06
1592438400000,0.2248,0.2286,0.2212,0.2237,2694610.98
1592352000000,0.2194,0.2287,0.2181,0.2248,5205590.41
1592265600000,0.218,0.223,0.215,0.2193,3950318.8
1592179200000,0.2215,0.2226,0.2031,0.218,9176755.74
1592092800000,0.2292,0.2294,0.2194,0.2215,3594422.12
1592006400000,0.2249,0.23,0.2224,0.2287,4255619.64
1591920000000,0.2222,0.24,0.2184,0.2251,9668961.44
1591833600000,0.2509,0.2514,0.2157,0.2222,11663466.54
1591747200000,0.247,0.251,0.2402,0.2509,5154820.04
1591660800000,0.2416,0.2525,0.2332,0.2469,8438700.04
1591574400000,0.2412,0.2431,0.2371,0.2415,4069973.08
1591488000000,0.2435,0.2474,0.23,0.2412,6518938.19
1591401600000,0.2407,0.2496,0.2359,0.2435,7023251.18
1591315200000,0.2492,0.2563,0.239,0.2411,7374226.75
1591228800000,0.2515,0.2585,0.2386,0.2492,11053039.46
1591142400000,0.2338,0.2526,0.2306,0.2515,10892637.83
1591056000000,0.2361,0.2488,0.217,0.2338,15596982.98
1590969600000,0.2197,0.2383,0.2179,0.2364,11289698.4
1590883200000,0.2186,0.2412,0.2137,0.2197,26198623.49
1590796800000,0.2015,0.219,0.199,0.2188,11912673.38
1590710400000,0.2033,0.2047,0.1959,0.2012,4941486.1
1590624000000,0.1967,0.204,0.1937,0.2032,5547790.6
1590537600000,0.1943,0.1998,0.1926,0.1967,5982513.29
1590451200000,0.1978,0.1985,0.1885,0.1943,5899862.69
1590364800000,0.1897,0.1984,0.1885,0.1978,5688484.67
1590278400000,0.199,0.2027,0.1895,0.1895,7172959.4
1590192000000,0.2021,0.209,0.1982,0.1992,7023214.83
1590105600000,0.1883,0.2048,0.1852,0.202,9366705.85
1590019200000,0.1992,0.2014,0.1811,0.1882,9972967.43
1589932800000,0.2024,0.2052,0.1953,0.1992,7097653.94
1589846400000,0.2044,0.2044,0.199,0.2022,7742957.39
1589760000000,0.1996,0.2067,0.1982,0.2042,6530184.38
1589673600000,0.1971,0.2057,0.1963,0.1994,5768115.87
1589587200000,0.1979,0.2023,0.1949,0.1971,6070288.15
1589500800000,0.2095,0.212,0.1961,0.198,15467285.72
1589414400000,0.1925,0.2214,0.1877,0.2092,19629382.35
1589328000000,0.1859,0.196,0.1843,0.1923,8996631.24
1589241600000,0.1766,0.1885,0.1764,0.1859,9284480.84
1589155200000,0.184,0.1866,0.1667,0.1768,12656039.15
1589068800000,0.197,0.1973,0.166,0.1834,22579055.44
1588982400000,0.2021,0.215,0.1962,0.1976,26547796.2
1588896000000,0.1847,0.2054,0.1813,0.2027,15037113.2
1588809600000,0.1777,0.1897,0.1756,0.1848,9619091.8
1588723200000,0.1876,0.1897,0.1766,0.1776,6817861.2
1588636800000,0.183,0.1881,0.1796,0.1876,6884651.37
1588550400000,0.1827,0.1887,0.1724,0.183,7655093.25
1588464000000,0.1916,0.1949,0.1785,0.1827,8127641.94
1588377600000,0.1814,0.1923,0.1811,0.1915,8310921.61
1588291200000,0.1762,0.1879,0.1761,0.1816,4901015.75
1588204800000,0.186,0.192,0.172,0.1765,12018612.86
1588118400000,0.1734,0.1893,0.1734,0.1859,16863310.68
1588032000000,0.1738,0.1746,0.1682,0.1738,7988868.6
1587945600000,0.1766,0.1773,0.1611,0.174,9415255.06
1587859200000,0.17,0.1787,0.1698,0.1764,10608237.16
1587772800000,0.1679,0.1743,0.1653,0.17,9013571.67
1587686400000,0.1591,0.1681,0.1589,0.1677,12730324.94
1587600000000,0.1561,0.1647,0.1529,0.159,11013799.34
1587513600000,0.1518,0.1578,0.1505,0.156,5288945.3
1587427200000,0.148,0.1534,0.1475,0.1518,9366057.27
1587340800000,0.1557,0.16,0.1447,0.1482,18720598.56
1587254400000,0.1629,0.1632,0.1544,0.1558,7636982.18
1587168000000,0.1561,0.1649,0.1559,0.1627,6949836.64
1587081600000,0.1574,0.1593,0.1547,0.1561,3888897.25
1586995200000,0.148,0.1609,0.1417,0.1572,15153636.35
1586908800000,0.1581,0.1591,0.1466,0.1481,9008467.35
1586822400000,0.1592,0.1626,0.1551,0.158,4678273.68
1586736000000,0.161,0.1615,0.154,0.159,6609880.8
1586649600000,0.1599,0.1676,0.1561,0.1616,3710390.36
1586563200000,0.1611,0.1639,0.155,0.1603,3999761.21
1586476800000,0.1726,0.1726,0.1518,0.1611,6870100.69
1586390400000,0.1719,0.1735,0.1664,0.1725,4235677.66
1586304000000,0.1637,0.1727,0.1629,0.172,6332825.61
1586217600000,0.1663,0.176,0.1602,0.164,9289870.32
1586131200000,0.1484,0.167,0.1484,0.1661,7424054.22
1586044800000,0.1496,0.1506,0.1457,0.1486,2777692.17
1585958400000,0.1488,0.1526,0.1453,0.1499,4931267.85
1585872000000,0.1473,0.1543,0.1462,0.1492,6220429.36
1585785600000,0.1471,0.1547,0.1437,0.1476,6370196.59
1585699200000,0.1434,0.1473,0.137,0.1471,5419374.0
1585612800000,0.1414,0.146,0.14,0.1434,4642701.53
1585526400000,0.1316,0.1462,0.1314,0.1413,6620136.18
1585440000000,0.1392,0.1397,0.1304,0.1315,4541049.05
1585353600000,0.1359,0.1408,0.1308,0.1394,6669512.77
1585267200000,0.1453,0.1497,0.1354,0.1359,5541188.43
1585180800000,0.1411,0.1458,0.1385,0.1452,5018740.32
1585094400000,0.1441,0.1466,0.1363,0.1409,4604347.39
1585008000000,0.1432,0.1457,0.1373,0.1446,6725169.83
1584921600000,0.1259,0.144,0.1229,0.1432,8994742.21
1584835200000,0.1385,0.143,0.1251,0.126,8038569.5
1584748800000,0.1415,0.1588,0.13,0.1385,10409887.45
1584662400000,0.1485,0.168,0.1257,0.1419,21501340.31
1584576000000,0.1265,0.1588,0.123,0.1485,19860744.97
1584489600000,0.1208,0.13,0.1119,0.1264,9693043.41
1584403200000,0.1095,0.1254,0.1068,0.1206,15350349.51
1584316800000,0.1214,0.1217,0.09,0.1094,29959331.53
1584230400000,0.124,0.1329,0.1177,0.1215,13957458.88
1584144000000,0.1299,0.1311,0.1183,0.1244,14653610.43
1584057600000,0.1086,0.1416,0.0534,0.1299,40479459.8
1583971200000,0.1953,0.196,0.102,0.1086,35346145.56
1583884800000,0.1977,0.2016,0.1827,0.1952,11091229.34
1583798400000,0.1922,0.2001,0.1863,0.1978,10428685.42
1583712000000,0.1916,0.1991,0.178,0.1919,16895417.68
1583625600000,0.2227,0.2227,0.188,0.1916,14762642.29
1583539200000,0.2328,0.2372,0.217,0.2228,7424288.02
1583452800000,0.2274,0.2338,0.2242,0.2326,4698688.58
1583366400000,0.2225,0.2372,0.2225,0.2275,9805645.17
1583280000000,0.2235,0.2258,0.217,0.2222,4434722.92
1583193600000,0.2242,0.228,0.2183,0.2236,6352351.52
1583107200000,0.2099,0.2263,0.2085,0.2244,5646293.27
1583020800000,0.2126,0.2215,0.2059,0.2106,4946694.67
1582934400000,0.2152,0.2213,0.2113,0.2122,6370780.57
1582848000000,0.2154,0.2207,0.2031,0.2161,9045839.01
1582761600000,0.2152,0.23,0.2025,0.2151,16245639.55
1582675200000,0.2474,0.2497,0.2075,0.2151,18899453.31
1582588800000,0.262,0.263,0.2451,0.2476,7506064.28
1582502400000,0.2777,0.28,0.2525,0.2621,6873810.24
1582416000000,0.2704,0.2809,0.2698,0.2777,5842411.18
1582329600000,0.2677,0.2734,0.2593,0.2704,5058904.74
1582243200000,0.2647,0.275,0.2626,0.2681,6832288.62
1582156800000,0.2666,0.2714,0.2514,0.2656,8869986.24
1582070400000,0.2903,0.2949,0.2566,0.2672,11091407.26
1581984000000,0.2829,0.2925,0.266,0.2905,15273539.52
1581897600000,0.2772,0.2837,0.2568,0.2834,18202147.48
1581811200000,0.2883,0.2969,0.26,0.2774,20147749.58
1581724800000,0.3231,0.325,0.2771,0.2883,20625587.22
1581638400000,0.3223,0.3268,0.31,0.3232,22777718.94
1581552000000,0.3327,0.3475,0.31,0.3224,33267115.08
1581465600000,0.3321,0.3545,0.3288,0.3327,33139841.84
1581379200000,0.3175,0.3398,0.3079,0.3322,25131232.91
1581292800000,0.3224,0.332,0.3013,0.3178,15832155.09
1581206400000,0.3073,0.3238,0.307,0.3226,13159366.08
1581120000000,0.321,0.3219,0.3001,0.3073,12209460.11
1581033600000,0.3309,0.3329,0.3185,0.3209,11003482.24
1580947200000,0.3267,0.347,0.32,0.3309,16887497.84
1580860800000,0.3325,0.3415,0.3214,0.3267,15394984.72
1580774400000,0.3361,0.345,0.315,0.3319,19691749.63
1580688000000,0.3079,0.37,0.3065,0.3363,33771282.93
1580601600000,0.3059,0.32,0.2933,0.3083,10629266.09
1580515200000,0.2949,0.3062,0.2894,0.3059,5444130.47
1580428800000,0.294,0.297,0.2815,0.2942,7523080.54
1580342400000,0.304,0.3059,0.273,0.294,16892997.63
1580256000000,0.2862,0.3119,0.279,0.3041,20439548.03
1580169600000,0.2516,0.2918,0.247,0.2863,14906258.66
1580083200000,0.2455,0.2535,0.2422,0.2522,5603754.36
1579996800000,0.2328,0.2462,0.232,0.2457,3038202.32
1579910400000,0.2371,0.2375,0.2285,0.2344,2300014.24
1579824000000,0.2371,0.2405,0.2265,0.237,4340525.05
1579737600000,0.2494,0.2494,0.2258,0.2369,8931115.77
1579651200000,0.2507,0.2543,0.2442,0.249,3619282.75
1579564800000,0.252,0.2551,0.2397,0.2503,6608670.02
1579478400000,0.2461,0.258,0.236,0.2523,8613254.97
1579392000000,0.2456,0.2511,0.2255,0.2462,12162441.57
1579305600000,0.2383,0.2558,0.2302,0.2461,12245162.0
1579219200000,0.2291,0.2584,0.2201,0.2383,17384564.59
1579132800000,0.2337,0.2345,0.2178,0.2279,7695294.0
1579046400000,0.2098,0.2349,0.2073,0.2335,14770455.1
1578960000000,0.1886,0.2174,0.1886,0.2105,10670402.17
1578873600000,0.1914,0.1924,0.1863,0.1884,1894458.17
1578787200000,0.1917,0.1937,0.1886,0.1913,2090017.71
1578700800000,0.1901,0.1955,0.1851,0.1918,5435320.88
1578614400000,0.177,0.1904,0.1711,0.1902,6860062.67
1578528000000,0.1811,0.1826,0.175,0.177,3326219.25
1578441600000,0.1856,0.1909,0.178,0.1811,6765806.29
1578355200000,0.183,0.1972,0.1817,0.1857,10218379.46
1578268800000,0.1717,0.185,0.1713,0.1826,11338999.48
1578182400000,0.1733,0.1745,0.1675,0.1718,6918212.57
1578096000000,0.1662,0.1745,0.1642,0.1734,4841906.61
1578009600000,0.1579,0.1675,0.1546,0.1664,4428438.23
1577923200000,0.1607,0.1618,0.1567,0.1584,3055856.9
1577836800000,0.1596,0.1643,0.1585,0.1606,2817899.66
1577750400000,0.1597,0.1633,0.1575,0.1596,3415977.7
1577664000000,0.1677,0.1678,0.1569,0.1595,5550220.73
1577577600000,0.163,0.1711,0.1608,0.168,4398594.81
1577491200000,0.1621,0.1642,0.16,0.1633,3499211.73
1577404800000,0.1578,0.1625,0.156,0.1617,4481426.28
1577318400000,0.156,0.1655,0.1547,0.158,4503278.53
1577232000000,0.1556,0.1574,0.1509,0.1559,3334295.1
1577145600000,0.1615,0.1622,0.1539,0.1556,3657703.97
1577059200000,0.1661,0.1665,0.1588,0.1615,3266921.69
1576972800000,0.1614,0.1677,0.1579,0.1661,4597017.53
1576886400000,0.1637,0.1661,0.1591,0.1614,3875852.76
1576800000000,0.1632,0.164,0.1575,0.1636,4320324.21
1576713600000,0.158,0.1662,0.1516,0.163,10769584.32
1576627200000,0.1551,0.1615,0.1486,0.1583,37447239.98
1576540800000,0.1731,0.1755,0.1515,0.155,10631499.37
1576454400000,0.1874,0.1897,0.1718,0.1737,4553766.11
1576368000000,0.1887,0.1908,0.1863,0.1872,2493047.57
1576281600000,0.1935,0.194,0.1856,0.1893,1855349.35
1576195200000,0.1934,0.195,0.1892,0.1933,3313082.87
1576108800000,0.1993,0.2004,0.1925,0.194,1621520.51
1576022400000,0.1976,0.1999,0.1955,0.1989,1433369.15
1575936000000,0.2019,0.2038,0.1944,0.1973,3101462.07
1575849600000,0.2061,0.2119,0.2002,0.2019,2355638.94
1575763200000,0.2039,0.2069,0.2014,0.2064,1101020.11
1575676800000,0.2048,0.208,0.2031,0.2046,1023753.27
1575590400000,0.2041,0.2061,0.2,0.2048,1967008.98
1575504000000,0.1963,0.2056,0.1956,0.2036,3043781.41
1575417600000,0.2027,0.2099,0.1933,0.1966,3457906.59
1575331200000,0.2077,0.2097,0.1875,0.2033,3897974.76
1575244800000,0.2054,0.22,0.1966,0.2078,3841616.54
1575158400000,0.2096,0.2098,0.1969,0.2049,2267692.52
1575072000000,0.2176,0.2189,0.2042,0.2096,3461986.24
1574985600000,0.2098,0.219,0.2095,0.2176,2429925.71
1574899200000,0.212,0.2151,0.2075,0.2097,2060175.8
1574812800000,0.2118,0.2173,0.2,0.2116,3277812.0
1574726400000,0.2089,0.2129,0.2032,0.2118,1926316.84
1574640000000,0.2012,0.2199,0.189,0.2088,3876942.4
1574553600000,0.2153,0.2164,0.1991,0.2012,2500960.49
1574467200000,0.2085,0.2161,0.203,0.215,1907367.14
1574380800000,0.2271,0.2295,0.1821,0.2084,10410902.19
1574294400000,0.2408,0.242,0.2194,0.227,3576943.35
1574208000000,0.2457,0.2477,0.2389,0.2408,1654518.34
1574121600000,0.2492,0.2498,0.239,0.245,1968003.86
1574035200000,0.2566,0.261,0.2432,0.2497,2062420.57
1573948800000,0.2562,0.2603,0.2545,0.2566,764800.94
1573862400000,0.2585,0.2589,0.2543,0.2564,1294735.79
1573776000000,0.2637,0.2649,0.2501,0.2585,3282919.79
1573689600000,0.2577,0.2689,0.255,0.2636,5987799.25
1573603200000,0.2607,0.2619,0.257,0.2578,1305940.27
1573516800000,0.2574,0.2639,0.2565,0.2605,1980127.13
1573430400000,0.2668,0.268,0.2559,0.2577,2179337.08
1573344000000,0.2661,0.2692,0.2633,0.2669,1301895.07
1573257600000,0.2649,0.2668,0.262,0.2661,1111045.33
1573171200000,0.2703,0.2719,0.26,0.2649,2617031.51
1573084800000,0.2794,0.2825,0.265,0.2702,3405946.95
1572998400000,0.2749,0.2843,0.2743,0.2794,2158758.85
1572912000000,0.274,0.2773,0.2686,0.2746,2515662.37
1572825600000,0.2683,0.2743,0.2671,0.274,2115794.23
1572739200000,0.273,0.2748,0.2667,0.2684,1581309.15
1572652800000,0.2737,0.2769,0.2706,0.2724,1117256.77
1572566400000,0.2716,0.2762,0.266,0.2729,1789665.44
1572480000000,0.2821,0.2833,0.266,0.2719,3123781.32
1572393600000,0.2804,0.2926,0.2741,0.2816,3370504.13
1572307200000,0.2851,0.2901,0.276,0.2802,5159398.85
1572220800000,0.273,0.3,0.2682,0.2845,12461792.11
1572134400000,0.2691,0.2772,0.2584,0.2723,4783565.22
1572048000000,0.2719,0.2815,0.26,0.2687,6287332.52
1571961600000,0.2545,0.2736,0.2513,0.2716,4446989.74
1571875200000,0.2531,0.2561,0.251,0.2539,1430138.33
1571788800000,0.2695,0.2738,0.2425,0.2535,3872771.63
1571702400000,0.2686,0.2784,0.2667,0.2692,3106231.79
1571616000000,0.2707,0.2709,0.2636,0.2689,2017834.33
1571529600000,0.2679,0.2737,0.2658,0.27,1060362.11
1571443200000,0.2712,0.273,0.2659,0.2685,736491.92
1571356800000,0.2772,0.2785,0.2607,0.271,2362010.1
1571270400000,0.2719,0.2802,0.2684,0.2763,1557292.81
1571184000000,0.2796,0.2818,0.2652,0.2714,2454180.75
1571097600000,0.2844,0.2865,0.274,0.2796,1526377.02
1571011200000,0.2775,0.2849,0.2769,0.2844,1167403.55
1570924800000,0.2688,0.2869,0.2688,0.278,1654469.08
1570838400000,0.2689,0.274,0.2677,0.2688,529977.82
1570752000000,0.2762,0.2795,0.266,0.2695,1443567.21
1570665600000,0.2789,0.2803,0.2697,0.276,2086829.09
1570579200000,0.2757,0.2829,0.2683,0.2789,4539449.72
1570492800000,0.2822,0.287,0.2698,0.2752,2790001.86
1570406400000,0.2679,0.284,0.2647,0.2816,3072529.93
1570320000000,0.2766,0.2766,0.2634,0.2675,1717156.35
1570233600000,0.2689,0.2791,0.2666,0.2766,1526232.68
1570147200000,0.2703,0.2727,0.2643,0.2695,1389251.54
1570060800000,0.2817,0.2818,0.2657,0.2699,1389934.35
