date,open,high,low,close,volume
1594022400000,0.2406,0.2406,0.2396,0.24,106862.41
1594018800000,0.2405,0.2416,0.2399,0.2404,469230.68
1594015200000,0.2404,0.243,0.2395,0.2403,570483.58
1594011600000,0.2408,0.241,0.2381,0.2399,773275.32
1594008000000,0.2396,0.241,0.2395,0.241,433650.22
1594004400000,0.239,0.2397,0.2382,0.2396,135208.26
1594000800000,0.2377,0.2397,0.2373,0.2389,328616.82
1593997200000,0.2352,0.2385,0.2352,0.2372,213751.25
1593993600000,0.2355,0.237,0.2346,0.2357,181340.27
1593990000000,0.2353,0.2367,0.2334,0.2353,178900.28
1593986400000,0.2322,0.2373,0.2313,0.2354,534432.63
1593982800000,0.2315,0.2327,0.226,0.2323,799823.53
1593979200000,0.2339,0.2343,0.2312,0.2318,213208.06
1593975600000,0.2357,0.237,0.2339,0.2339,243789.65
1593972000000,0.2351,0.2366,0.2343,0.2356,151816.24
1593968400000,0.2331,0.2354,0.2331,0.2354,139937.78
1593964800000,0.2327,0.2347,0.232,0.233,208196.08
1593961200000,0.2318,0.2339,0.2317,0.2323,243190.23
1593957600000,0.2304,0.2319,0.23,0.2317,156922.51
1593954000000,0.2324,0.2324,0.2301,0.2306,222200.47
1593950400000,0.2323,0.2326,0.2297,0.2324,363652.25
1593946800000,0.2324,0.2331,0.2321,0.2323,125617.51
1593943200000,0.2324,0.2334,0.2305,0.2324,589725.5
1593939600000,0.2362,0.2366,0.2306,0.2332,755461.97
1593936000000,0.235,0.2365,0.2349,0.2362,171825.42
1593932400000,0.2352,0.2358,0.2345,0.235,117954.69
1593928800000,0.2368,0.2378,0.2347,0.2349,342639.53
1593925200000,0.2386,0.2396,0.2358,0.2368,215591.58
1593921600000,0.237,0.2393,0.2359,0.2386,165196.08
1593918000000,0.2367,0.2374,0.2362,0.2372,287207.04
1593914400000,0.2389,0.2393,0.235,0.2365,331647.76
1593910800000,0.2378,0.24,0.2377,0.2387,229509.15
1593907200000,0.2404,0.2417,0.2378,0.2378,477721.15
1593903600000,0.2379,0.2407,0.237,0.2403,151501.41
1593900000000,0.237,0.2387,0.2368,0.2379,333749.69
1593896400000,0.2394,0.2397,0.2362,0.237,332928.22
1593892800000,0.24,0.2417,0.2389,0.2391,417156.2
1593889200000,0.238,0.2403,0.2377,0.2401,306450.0
1593885600000,0.2407,0.2411,0.2373,0.2379,728226.46
1593882000000,0.2374,0.2419,0.2367,0.2399,1117346.86
1593878400000,0.2355,0.2378,0.2348,0.2369,661702.01
1593874800000,0.2332,0.2362,0.2321,0.2355,460679.98
1593871200000,0.2336,0.2357,0.233,0.2332,542052.46
1593867600000,0.2299,0.235,0.2291,0.2338,711994.75
1593864000000,0.2287,0.2298,0.2271,0.2294,278698.32
1593860400000,0.2284,0.2292,0.2281,0.2287,66286.81
1593856800000,0.2301,0.2301,0.2279,0.228,127955.66
1593853200000,0.2304,0.2307,0.2299,0.23,85298.5
1593849600000,0.2296,0.2308,0.2293,0.2304,231234.01
1593846000000,0.2291,0.2307,0.2291,0.2301,167094.05
1593842400000,0.2298,0.2298,0.2288,0.2292,32298.89
1593838800000,0.2295,0.2307,0.2287,0.2293,256941.94
1593835200000,0.2295,0.2297,0.2286,0.2296,43553.97
1593831600000,0.2307,0.2315,0.2286,0.2295,184127.01
1593828000000,0.227,0.2309,0.227,0.2304,258026.72
1593824400000,0.2268,0.2281,0.2261,0.2271,141289.77
1593820800000,0.2246,0.2277,0.2237,0.2265,219284.28
1593817200000,0.2261,0.2261,0.2226,0.2255,483007.76
1593813600000,0.2267,0.2271,0.2254,0.2263,146621.15
1593810000000,0.227,0.2273,0.2264,0.227,13344.16
1593806400000,0.2262,0.2275,0.2257,0.2275,92888.89
1593802800000,0.227,0.227,0.2252,0.2265,140798.75
1593799200000,0.2282,0.2282,0.2248,0.2272,258952.0
1593795600000,0.2287,0.2297,0.2278,0.2278,367271.12
1593792000000,0.2277,0.2292,0.2272,0.2284,438098.67
1593788400000,0.2272,0.228,0.2268,0.2279,39142.43
1593784800000,0.2284,0.2288,0.2255,0.227,180839.86
1593781200000,0.2282,0.2295,0.2271,0.2282,663670.53
1593777600000,0.2288,0.229,0.2271,0.2283,245424.3
1593774000000,0.2268,0.2288,0.2268,0.2286,277866.08
1593770400000,0.2289,0.2293,0.2267,0.2268,233006.69
1593766800000,0.2313,0.2321,0.2246,0.2294,641659.33
1593763200000,0.2309,0.2329,0.2308,0.2309,179626.19
1593759600000,0.231,0.2319,0.23,0.2311,158564.78
1593756000000,0.2308,0.2319,0.2301,0.2307,156892.67
1593752400000,0.2302,0.2312,0.2287,0.231,253840.86
1593748800000,0.2293,0.2301,0.2292,0.23,48660.69
1593745200000,0.23,0.2306,0.2294,0.2294,63892.86
1593741600000,0.2309,0.2315,0.23,0.2305,188373.52
1593738000000,0.2279,0.2313,0.2279,0.231,168763.85
1593734400000,0.2295,0.2297,0.2279,0.2279,131527.16
1593730800000,0.2288,0.2311,0.2281,0.2292,110244.76
1593727200000,0.2299,0.2324,0.2282,0.229,376274.39
1593723600000,0.2293,0.233,0.2288,0.2299,263466.73
1593720000000,0.2265,0.23,0.2253,0.2296,367928.48
1593716400000,0.226,0.2281,0.224,0.226,592954.74
1593712800000,0.2262,0.2275,0.222,0.2263,337069.99
1593709200000,0.2242,0.2265,0.223,0.2257,359143.77
1593705600000,0.2246,0.2258,0.218,0.2242,1119490.37
1593702000000,0.2315,0.2315,0.2239,0.2242,1361330.12
1593698400000,0.2346,0.2353,0.2316,0.2316,459945.94
1593694800000,0.2337,0.2365,0.2331,0.2348,326979.35
1593691200000,0.2311,0.2342,0.2311,0.2337,337415.72
1593687600000,0.2326,0.2331,0.23,0.2311,222141.33
1593684000000,0.2331,0.2335,0.2318,0.2331,214595.32
1593680400000,0.235,0.2366,0.2328,0.2337,404642.22
1593676800000,0.2349,0.2352,0.2318,0.2351,254708.82
1593673200000,0.234,0.2353,0.2338,0.2349,106809.68
1593669600000,0.2337,0.2353,0.2328,0.2346,429950.46
1593666000000,0.2379,0.2385,0.2334,0.2338,405932.38
1593662400000,0.2382,0.2402,0.237,0.238,439688.48
1593658800000,0.2345,0.2387,0.2344,0.2381,789406.67
1593655200000,0.2336,0.2348,0.2333,0.2345,343539.5
1593651600000,0.2301,0.2336,0.2301,0.2336,150302.68
