date,open,high,low,close,volume
1594022400000,1.248,1.248,1.2297,1.2369,39826.39
1594018800000,1.2356,1.248,1.2343,1.2479,26219.75
1594015200000,1.2345,1.2474,1.228,1.2356,58606.3
1594011600000,1.2301,1.2348,1.2275,1.2345,18442.7
1594008000000,1.2303,1.2341,1.22,1.2341,31835.14
1594004400000,1.2301,1.2361,1.228,1.2303,20457.88
1594000800000,1.2196,1.2329,1.2196,1.2325,45025.19
1593997200000,1.2195,1.2244,1.216,1.2183,7846.58
1593993600000,1.2234,1.2274,1.2133,1.2175,17405.79
1593990000000,1.2152,1.2255,1.2123,1.2201,21295.32
1593986400000,1.209,1.2195,1.1964,1.2154,41039.63
1593982800000,1.2133,1.2163,1.185,1.2091,108269.11
1593979200000,1.2183,1.2183,1.2109,1.2133,17312.14
1593975600000,1.2031,1.2196,1.201,1.2136,59218.35
1593972000000,1.2168,1.2198,1.2,1.2039,70818.02
1593968400000,1.2238,1.2261,1.2141,1.2166,96300.27
1593964800000,1.2278,1.2298,1.22,1.2217,119356.41
1593961200000,1.2322,1.2367,1.2239,1.2278,28373.26
1593957600000,1.2466,1.2466,1.2198,1.229,73987.55
1593954000000,1.2507,1.2698,1.24,1.2466,221743.45
1593950400000,1.2531,1.26,1.228,1.2511,143659.86
1593946800000,1.2276,1.2584,1.2276,1.2511,92757.39
1593943200000,1.218,1.2299,1.2113,1.2277,34193.89
1593939600000,1.2224,1.2285,1.2092,1.2181,40203.67
1593936000000,1.2218,1.2231,1.2162,1.2224,15284.03
1593932400000,1.2221,1.2301,1.2193,1.2231,22658.33
1593928800000,1.207,1.2274,1.2006,1.2238,37435.54
1593925200000,1.2385,1.2406,1.207,1.2104,77530.03
1593921600000,1.2406,1.2431,1.234,1.2357,24843.66
1593918000000,1.2322,1.246,1.2286,1.24,32786.48
1593914400000,1.2378,1.2388,1.2262,1.2316,12797.52
1593910800000,1.2379,1.2465,1.226,1.2378,52768.53
1593907200000,1.2484,1.249,1.2373,1.2405,34838.59
1593903600000,1.2345,1.2484,1.2302,1.2448,71099.57
1593900000000,1.2236,1.2378,1.2217,1.2343,41049.76
1593896400000,1.2249,1.2369,1.215,1.2235,33636.83
1593892800000,1.2139,1.2305,1.2117,1.2259,78696.08
1593889200000,1.2196,1.222,1.2125,1.2133,37961.99
1593885600000,1.2397,1.2456,1.2179,1.2232,76917.84
1593882000000,1.2089,1.2472,1.2042,1.2387,180258.29
1593878400000,1.2201,1.239,1.2035,1.208,112184.54
1593874800000,1.2109,1.225,1.1873,1.2183,212048.19
1593871200000,1.2326,1.2349,1.204,1.2106,55579.1
1593867600000,1.2279,1.2381,1.2255,1.2327,42421.31
1593864000000,1.2598,1.2691,1.2196,1.2238,138010.68
1593860400000,1.2546,1.2625,1.24,1.2625,46942.92
1593856800000,1.2595,1.2627,1.2447,1.2547,39197.4
1593853200000,1.2574,1.2768,1.2574,1.2615,50572.54
1593849600000,1.249,1.2617,1.2435,1.2576,52022.98
1593846000000,1.2742,1.2773,1.2402,1.2525,73127.5
1593842400000,1.261,1.2834,1.261,1.2763,73588.12
1593838800000,1.2637,1.2693,1.259,1.261,40251.0
1593835200000,1.2601,1.2691,1.252,1.2637,81814.74
1593831600000,1.2537,1.2689,1.2404,1.26,104402.58
1593828000000,1.2532,1.2799,1.2501,1.2552,80123.06
1593824400000,1.2692,1.2765,1.2339,1.2508,138812.42
1593820800000,1.2971,1.3034,1.2618,1.2718,146753.75
1593817200000,1.2852,1.3082,1.2834,1.297,233198.02
1593813600000,1.285,1.2887,1.2575,1.2857,116649.11
1593810000000,1.2517,1.29,1.2517,1.2884,165155.4
1593806400000,1.2531,1.2547,1.2105,1.2517,193234.42
1593802800000,1.2221,1.2537,1.2163,1.2531,92630.85
1593799200000,1.2254,1.23,1.2177,1.2238,94377.8
1593795600000,1.1851,1.2262,1.1851,1.2254,124318.34
1593792000000,1.1775,1.19,1.177,1.1851,117226.54
1593788400000,1.1833,1.1872,1.1674,1.1775,78012.06
1593784800000,1.188,1.195,1.1832,1.1833,42921.89
1593781200000,1.1964,1.1979,1.1859,1.1882,36381.97
