date,open,high,low,close,volume
1594022400000,1.636,1.641,1.628,1.63,51088.678
1594018800000,1.626,1.649,1.62,1.636,217795.873
1594015200000,1.596,1.638,1.592,1.624,257160.395
1594011600000,1.592,1.598,1.588,1.596,55670.748
1594008000000,1.607,1.611,1.587,1.592,82240.836
1594004400000,1.616,1.616,1.58,1.606,86495.821
1594000800000,1.617,1.634,1.603,1.613,126221.635
1593997200000,1.6,1.631,1.571,1.617,157104.366
1593993600000,1.607,1.611,1.587,1.6,179017.188
1593990000000,1.621,1.625,1.594,1.607,99548.075
1593986400000,1.592,1.633,1.588,1.621,164771.156
1593982800000,1.6,1.606,1.562,1.593,230993.364
1593979200000,1.628,1.631,1.597,1.6,67447.383
1593975600000,1.635,1.641,1.617,1.629,74299.482
1593972000000,1.633,1.652,1.607,1.631,145194.716
1593968400000,1.604,1.635,1.604,1.633,109174.626
1593964800000,1.589,1.615,1.585,1.601,104797.136
1593961200000,1.584,1.611,1.565,1.586,162225.33
1593957600000,1.576,1.611,1.557,1.584,370089.055
1593954000000,1.626,1.634,1.552,1.575,486802.679
1593950400000,1.643,1.644,1.609,1.626,148520.528
1593946800000,1.642,1.658,1.638,1.643,123804.858
1593943200000,1.602,1.645,1.6,1.642,267463.326
1593939600000,1.656,1.657,1.601,1.601,226155.717
1593936000000,1.689,1.692,1.65,1.654,343258.302
1593932400000,1.677,1.704,1.67,1.69,146629.935
1593928800000,1.679,1.706,1.673,1.674,361580.793
1593925200000,1.718,1.764,1.669,1.679,1021587.054
1593921600000,1.679,1.721,1.671,1.718,259458.366
1593918000000,1.677,1.684,1.664,1.679,82286.44
1593914400000,1.7,1.7,1.657,1.681,151986.222
1593910800000,1.699,1.704,1.673,1.7,92565.324
1593907200000,1.656,1.71,1.651,1.701,257891.492
1593903600000,1.659,1.671,1.641,1.655,97037.854
1593900000000,1.665,1.679,1.645,1.659,136347.964
1593896400000,1.68,1.699,1.641,1.666,170567.936
1593892800000,1.679,1.706,1.669,1.68,252882.6
1593889200000,1.681,1.685,1.642,1.678,304670.223
1593885600000,1.719,1.72,1.661,1.679,329714.94
1593882000000,1.681,1.721,1.677,1.719,530542.576
1593878400000,1.629,1.699,1.623,1.682,570072.467
1593874800000,1.615,1.651,1.61,1.63,372666.134
1593871200000,1.65,1.654,1.608,1.615,335762.045
1593867600000,1.626,1.664,1.624,1.65,461591.87
1593864000000,1.625,1.63,1.59,1.626,673225.951
1593860400000,1.654,1.662,1.607,1.624,692585.016
1593856800000,1.672,1.693,1.65,1.65,311916.882
1593853200000,1.649,1.691,1.649,1.67,217429.94
1593849600000,1.689,1.693,1.632,1.649,534615.605
1593846000000,1.732,1.747,1.666,1.688,717567.302
1593842400000,1.796,1.812,1.722,1.731,294057.501
1593838800000,1.747,1.806,1.741,1.793,291141.763
1593835200000,1.742,1.786,1.737,1.746,261543.934
1593831600000,1.711,1.79,1.71,1.744,427875.628
1593828000000,1.737,1.739,1.656,1.712,784963.953
1593824400000,1.757,1.801,1.726,1.737,344460.119
1593820800000,1.856,1.865,1.742,1.756,743589.797
1593817200000,1.924,1.927,1.75,1.858,948647.345
1593813600000,1.93,1.946,1.903,1.924,341484.004
1593810000000,1.931,1.946,1.877,1.931,397778.157
1593806400000,1.875,1.94,1.863,1.929,443735.454
1593802800000,1.896,1.905,1.849,1.875,380064.084
1593799200000,1.827,1.922,1.811,1.893,734421.623
1593795600000,1.791,1.833,1.779,1.83,332091.684
1593792000000,1.762,1.849,1.75,1.791,572407.103
1593788400000,1.791,1.812,1.717,1.763,420020.529
1593784800000,1.802,1.88,1.765,1.791,689129.067
1593781200000,1.792,1.816,1.71,1.803,1165764.685
1593777600000,1.832,1.985,1.75,1.794,2191000.564
