date,open,high,low,close,volume
1593993600000,4.7426,4.891,4.7362,4.8524,1511851.66
1593907200000,4.8198,4.8325,4.6118,4.7439,3650974.38
1593820800000,4.73,4.8539,4.7186,4.82,2884275.22
1593734400000,4.7998,4.8964,4.7031,4.7309,4622377.34
1593648000000,4.7068,4.9181,4.6025,4.7996,7638387.35
1593561600000,4.5625,4.73,4.5217,4.7067,4096719.3
1593475200000,4.6192,4.6622,4.5337,4.5626,3008041.61
1593388800000,4.5658,4.65,4.4232,4.6187,4789663.32
1593302400000,4.4051,4.62,4.3647,4.5668,4751931.74
1593216000000,4.683,4.6957,4.3,4.4058,6165533.05
1593129600000,4.8129,4.8587,4.6424,4.6813,5532469.51
1593043200000,4.7075,4.8407,4.5033,4.8134,7030842.15
1592956800000,4.8061,4.9411,4.4986,4.7075,10253258.21
1592870400000,4.484,4.9422,4.4254,4.8051,10884418.78
1592784000000,4.1819,4.4859,4.176,4.4841,4659609.05
1592697600000,4.1762,4.2058,4.1395,4.1812,1336859.5
1592611200000,4.0978,4.2072,4.0654,4.1765,2414698.62
1592524800000,4.1417,4.1839,4.0521,4.098,2424386.7
1592438400000,4.1663,4.2491,4.0957,4.1415,3348384.08
1592352000000,4.0502,4.2,3.957,4.1659,4301280.98
1592265600000,3.9254,4.0918,3.8935,4.0502,3623759.71
1592179200000,3.9395,3.9889,3.6551,3.9274,6850306.11
1592092800000,4.11,4.1134,3.9143,3.9371,1710213.36
1592006400000,4.0807,4.1346,4.0054,4.11,1604660.74
1591920000000,3.953,4.1874,3.8573,4.0819,4837530.74
1591833600000,4.4207,4.4503,3.91,3.9565,6610463.34
1591747200000,4.4374,4.4404,4.3426,4.4225,2236477.86
1591660800000,4.4753,4.5062,4.3605,4.435,2296314.26
1591574400000,4.3487,4.4759,4.325,4.473,2037163.21
1591488000000,4.3513,4.41,4.2068,4.3465,2146650.66
1591401600000,4.3569,4.3979,4.3034,4.3512,1377160.26
1591315200000,4.4263,4.486,4.3405,4.358,2316069.89
1591228800000,4.4881,4.5081,4.2864,4.4243,3231902.99
1591142400000,4.3987,4.53,4.2898,4.4892,4215824.76
1591056000000,4.3795,4.6185,4.1075,4.3976,8182461.05
1590969600000,4.1278,4.48,4.1175,4.3785,8703425.47
1590883200000,4.178,4.2838,4.041,4.131,6223457.99
1590796800000,3.982,4.18,3.943,4.1763,4734058.34
1590710400000,4.0462,4.13,3.9488,3.98,5243291.12
1590624000000,3.8542,4.0601,3.827,4.0461,4242354.59
1590537600000,3.8436,3.9143,3.8065,3.8526,3795380.76
1590451200000,3.8634,3.8816,3.7689,3.844,3774200.83
1590364800000,3.7878,3.9073,3.77,3.8614,4443996.51
1590278400000,3.9242,4.0262,3.7844,3.7917,6236647.02
1590192000000,4.062,4.1072,3.91,3.925,5867357.07
1590105600000,3.8307,4.1447,3.7932,4.0611,7194944.89
1590019200000,4.088,4.174,3.7292,3.8298,10446021.86
1589932800000,3.9466,4.1388,3.8955,4.0866,9821300.61
1589846400000,3.8895,3.9488,3.7734,3.947,3771880.28
1589760000000,3.7815,3.95,3.7786,3.8895,5744922.71
1589673600000,3.7621,3.8524,3.7526,3.7815,3636901.86
1589587200000,3.6626,3.79,3.6168,3.7614,4045380.2
1589500800000,3.8093,3.8337,3.6144,3.6615,5572562.89
1589414400000,3.7654,3.8583,3.6947,3.8096,7333655.81
1589328000000,3.6938,3.815,3.6366,3.7655,5989489.14
1589241600000,3.5838,3.7932,3.54,3.6943,7797486.43
1589155200000,3.7574,3.832,3.2865,3.5837,13273873.62
1589068800000,4.0149,4.0197,3.4602,3.7582,19818388.73
1588982400000,3.8001,4.2129,3.7601,4.015,15240721.63
1588896000000,3.758,3.859,3.6874,3.801,7383724.48
1588809600000,3.5874,3.85,3.5633,3.756,8481271.59
1588723200000,3.682,3.7654,3.57,3.5872,5299802.59
1588636800000,3.7496,3.814,3.654,3.6833,4730504.58
1588550400000,3.7098,3.8272,3.5033,3.7499,10973722.27
1588464000000,3.8186,3.86,3.6379,3.7092,5570724.79
1588377600000,3.7571,3.86,3.73,3.8182,4467234.01
1588291200000,3.7014,3.9162,3.7003,3.7571,8084328.36
1588204800000,3.8881,3.9741,3.62,3.7025,13545136.02
1588118400000,3.6422,3.9918,3.63,3.8879,15125283.54
1588032000000,3.6373,3.7354,3.5554,3.6413,7379317.23
1587945600000,3.7212,3.7385,3.4621,3.6383,11371929.86
1587859200000,3.7865,3.816,3.6432,3.721,8246658.13
1587772800000,3.7735,3.9062,3.742,3.7865,6095069.38
1587686400000,3.7551,3.8874,3.7364,3.7735,7951365.77
1587600000000,3.6787,3.9101,3.5968,3.7533,14233201.39
1587513600000,3.4593,3.6904,3.4327,3.6786,11953381.82
1587427200000,3.4317,3.5719,3.3903,3.4577,13887634.41
1587340800000,3.5885,3.792,3.372,3.4322,20566086.81
1587254400000,3.7814,3.8102,3.5131,3.5902,16350496.02
1587168000000,3.4525,3.83,3.447,3.7805,16406819.22
1587081600000,3.4831,3.525,3.3778,3.4523,12689070.26
1586995200000,3.1212,3.5555,2.9761,3.4851,24817961.65
1586908800000,3.2517,3.3061,3.1085,3.1212,15635873.11
1586822400000,3.3719,3.4437,3.21,3.252,17078827.01
1586736000000,3.4117,3.4602,3.2,3.3702,29488744.48
1586649600000,3.2912,3.6412,3.167,3.4189,32589266.79
1586563200000,3.2207,3.4364,3.0629,3.29,30487430.82
1586476800000,3.3099,3.3199,2.945,3.22,43621490.6
1586390400000,3.1695,3.4741,3.1224,3.3099,37011877.66
1586304000000,2.7295,3.2748,2.7124,3.1693,27092993.24
1586217600000,2.5556,2.908,2.555,2.7303,30449781.01
1586131200000,2.2638,2.5677,2.2621,2.5555,12222925.81
1586044800000,2.3155,2.3219,2.2437,2.2635,3228659.23
1585958400000,2.2995,2.3423,2.2545,2.3155,6143193.28
1585872000000,2.294,2.3837,2.2652,2.3013,8452189.45
1585785600000,2.2764,2.485,2.2566,2.2941,13266669.39
1585699200000,2.2657,2.2999,2.14,2.2753,13433598.33
1585612800000,2.1348,2.302,2.1102,2.2658,8612405.93
1585526400000,2.0083,2.2,2.0006,2.135,8453846.9
1585440000000,2.1356,2.152,2.007,2.0083,6879303.84
1585353600000,2.1372,2.1544,2.0372,2.1364,11038170.15
1585267200000,2.3125,2.3599,2.1055,2.1373,8151561.2
1585180800000,2.2569,2.3132,2.1884,2.3132,6818801.71
1585094400000,2.3109,2.35,2.1804,2.257,11321064.3
1585008000000,2.247,2.3709,2.195,2.3104,18400021.32
1584921600000,1.9889,2.3,1.9352,2.2468,23688851.36
1584835200000,2.2754,2.33,1.9334,1.9898,21634031.69
1584748800000,2.2631,2.375,2.105,2.2787,19488573.19
1584662400000,2.2409,2.6249,2.0143,2.26,39390658.87
1584576000000,1.9497,2.37,1.8841,2.2398,33408982.34
1584489600000,1.866,1.9543,1.762,1.9483,22313474.3
1584403200000,1.7832,2.069,1.73,1.8641,32839078.68
1584316800000,2.0868,2.0898,1.5571,1.7832,47175196.27
