date,open,high,low,close,volume
1594022400000,4.8674,4.8723,4.8496,4.8501,21754.72
1594018800000,4.8799,4.891,4.8384,4.8663,216113.34
1594015200000,4.834,4.8843,4.8323,4.8786,399415.44
1594011600000,4.8099,4.8348,4.8043,4.834,176139.35
1594008000000,4.7741,4.8136,4.7741,4.8089,124714.39
1594004400000,4.7922,4.7936,4.7592,4.7708,91421.5
1594000800000,4.7881,4.8013,4.7769,4.79,226039.02
1593997200000,4.7516,4.789,4.7516,4.7881,144952.02
1593993600000,4.7426,4.7644,4.7362,4.7513,106975.48
1593990000000,4.7511,4.7583,4.725,4.7439,110404.62
1593986400000,4.7242,4.7707,4.7036,4.7492,285169.73
1593982800000,4.6519,4.737,4.6118,4.7221,308119.96
1593979200000,4.6823,4.6853,4.6508,4.6553,67019.92
1593975600000,4.6776,4.7017,4.6773,4.683,101307.64
1593972000000,4.6521,4.68,4.6445,4.6769,63375.76
1593968400000,4.6448,4.6786,4.6424,4.6524,91552.9
1593964800000,4.6784,4.7038,4.6332,4.6431,175192.35
1593961200000,4.6764,4.7127,4.6694,4.6783,170002.12
1593957600000,4.6628,4.6783,4.65,4.6771,146767.51
1593954000000,4.6818,4.6819,4.6475,4.6627,251818.04
1593950400000,4.694,4.7016,4.6638,4.6819,134395.32
1593946800000,4.6785,4.7153,4.6785,4.6923,132063.64
1593943200000,4.7107,4.7149,4.6772,4.6804,270357.92
1593939600000,4.7442,4.7515,4.7,4.713,184880.61
1593936000000,4.7538,4.7547,4.7318,4.7466,63873.11
1593932400000,4.735,4.7611,4.7295,4.7567,97939.76
1593928800000,4.7403,4.7574,4.7239,4.7365,175634.46
1593925200000,4.7844,4.7877,4.7242,4.7435,220779.76
1593921600000,4.8046,4.8076,4.75,4.7849,192269.88
1593918000000,4.795,4.8123,4.7786,4.8065,88217.16
1593914400000,4.8183,4.8225,4.7842,4.7936,79958.32
1593910800000,4.8018,4.8202,4.7987,4.8184,98583.24
1593907200000,4.8198,4.8325,4.8001,4.8047,141290.65
1593903600000,4.8071,4.82,4.7808,4.82,69697.34
1593900000000,4.8057,4.8202,4.792,4.8067,57093.73
1593896400000,4.8237,4.8327,4.7981,4.8071,61088.53
1593892800000,4.8389,4.8473,4.8166,4.8238,94526.41
1593889200000,4.8196,4.8482,4.8071,4.8374,115285.35
1593885600000,4.8306,4.8448,4.7986,4.8207,209910.7
1593882000000,4.7658,4.8539,4.7606,4.8301,351076.81
1593878400000,4.7723,4.78,4.748,4.7633,103970.38
1593874800000,4.7729,4.7866,4.7561,4.774,181463.75
1593871200000,4.7962,4.8033,4.757,4.7715,91951.45
1593867600000,4.757,4.8099,4.7455,4.7936,193100.65
1593864000000,4.7452,4.7673,4.7304,4.7567,96454.98
1593860400000,4.7291,4.7568,4.7275,4.7463,126326.29
1593856800000,4.7469,4.7609,4.7225,4.7291,102354.28
1593853200000,4.7655,4.7655,4.7362,4.7469,89770.41
1593849600000,4.7718,4.7767,4.7481,4.7656,94933.97
1593846000000,4.7846,4.7999,4.7717,4.7726,62159.25
1593842400000,4.8,4.8054,4.7737,4.7815,69769.44
1593838800000,4.7654,4.8,4.7617,4.8,76147.75
1593835200000,4.7761,4.7944,4.7613,4.7654,91836.15
1593831600000,4.8142,4.8282,4.7758,4.7761,114446.54
1593828000000,4.7474,4.8258,4.739,4.8126,216070.85
1593824400000,4.757,4.7645,4.7404,4.7485,77449.37
1593820800000,4.73,4.7738,4.7186,4.7593,137390.84
1593817200000,4.7858,4.7891,4.7031,4.7309,326794.38
1593813600000,4.7811,4.803,4.7701,4.7864,86740.08
1593810000000,4.7919,4.8021,4.7701,4.7814,67089.78
1593806400000,4.8123,4.8123,4.7657,4.7938,168475.99
1593802800000,4.79,4.8166,4.7785,4.8143,131842.97
1593799200000,4.8032,4.8202,4.7815,4.7931,194782.5
1593795600000,4.8308,4.8458,4.7868,4.8031,262051.41
1593792000000,4.8488,4.8767,4.8211,4.8307,276824.55
1593788400000,4.8547,4.8734,4.8351,4.8488,255172.41
1593784800000,4.8777,4.8866,4.8426,4.8561,196252.28
1593781200000,4.8656,4.8964,4.8442,4.8773,247139.63
1593777600000,4.8698,4.8964,4.8475,4.865,254189.66
1593774000000,4.8411,4.8749,4.8201,4.869,193171.41
1593770400000,4.8419,4.86,4.8108,4.843,207722.38
1593766800000,4.8649,4.8874,4.8296,4.842,241730.8
1593763200000,4.8475,4.8912,4.8474,4.8639,298943.46
1593759600000,4.8222,4.8516,4.8113,4.8477,138404.7
1593756000000,4.8494,4.8562,4.8103,4.8204,129796.87
1593752400000,4.7919,4.8536,4.7815,4.8494,189176.14
