date,open,high,low,close,volume
1594022400000,1.1199,1.1257,1.1096,1.1257,6368.67
1594018800000,1.127,1.127,1.1185,1.1223,7694.94
1594015200000,1.108,1.1269,1.108,1.1269,8558.82
1594011600000,1.1091,1.1117,1.1048,1.1117,5458.97
1594008000000,1.106,1.1104,1.106,1.1062,1196.93
1594004400000,1.1078,1.1078,1.1047,1.1047,838.43
1594000800000,1.1147,1.1182,1.105,1.11,3209.9
1593997200000,1.1117,1.1171,1.1077,1.1171,1564.28
1593993600000,1.1062,1.1117,1.0945,1.1117,4115.36
1593990000000,1.1077,1.1115,1.1003,1.1071,3268.58
1593986400000,1.093,1.1077,1.0923,1.1077,4395.47
1593982800000,1.0857,1.0888,1.0767,1.0888,4957.08
1593979200000,1.0892,1.0934,1.0887,1.09,1331.51
1593975600000,1.0952,1.0971,1.0889,1.0955,2064.94
1593972000000,1.09,1.096,1.0872,1.0952,1159.38
1593968400000,1.0854,1.0924,1.0827,1.09,1958.56
1593964800000,1.0929,1.0987,1.0823,1.0854,5437.51
1593961200000,1.087,1.1032,1.0855,1.0929,19173.42
1593957600000,1.0999,1.0999,1.0824,1.0872,16829.46
1593954000000,1.1127,1.1127,1.0941,1.0986,7389.41
1593950400000,1.1119,1.1155,1.1045,1.1138,3452.05
1593946800000,1.1101,1.1167,1.1101,1.1119,2498.67
1593943200000,1.1173,1.1188,1.1102,1.1141,1466.24
1593939600000,1.1245,1.1252,1.1036,1.1142,3751.59
1593936000000,1.12,1.1246,1.1165,1.1245,192.39
1593932400000,1.1268,1.1268,1.12,1.1242,525.2
1593928800000,1.1217,1.13,1.1208,1.1288,728.2
1593925200000,1.1226,1.129,1.1215,1.1262,1627.2
1593921600000,1.1303,1.1303,1.1237,1.1294,1131.69
1593918000000,1.1332,1.1368,1.1253,1.133,3840.19
1593914400000,1.1335,1.1378,1.1332,1.1332,1399.33
1593910800000,1.1389,1.1389,1.1389,1.1389,0.0
1593907200000,1.1389,1.1389,1.1389,1.1389,388.42
1593903600000,1.136,1.1385,1.1334,1.1385,190.12
1593900000000,1.1338,1.1399,1.1338,1.1399,25.49
1593896400000,1.1406,1.1406,1.1338,1.1338,172.65
1593892800000,1.1457,1.1476,1.1353,1.1433,3955.86
1593889200000,1.1396,1.1457,1.1396,1.1457,497.04
1593885600000,1.1402,1.148,1.1399,1.1431,17956.87
1593882000000,1.1331,1.1401,1.1331,1.1391,2763.16
1593878400000,1.1304,1.1339,1.1253,1.1253,11585.31
