date,open,high,low,close,volume
1594022400000,42.34,42.47,42.34,42.38,2205.71812
1594018800000,42.47,42.64,42.22,42.35,13724.33987
1594015200000,41.87,42.48,41.85,42.46,35049.7393
1594011600000,41.73,41.88,41.64,41.88,6799.57298
1594008000000,41.73,41.84,41.72,41.72,6892.69397
1594004400000,41.75,41.8,41.65,41.72,4889.38029
1594000800000,41.79,41.93,41.71,41.74,10798.91774
1593997200000,41.57,41.83,41.57,41.8,9647.90339
1593993600000,41.58,41.66,41.5,41.57,9412.5518
1593990000000,41.62,41.73,41.51,41.58,10414.44977
1593986400000,41.29,41.77,41.27,41.61,17446.8896
1593982800000,41.35,41.35,40.75,41.29,19217.03079
1593979200000,41.33,41.44,41.28,41.33,5358.30172
1593975600000,41.41,41.48,41.31,41.32,4731.57359
1593972000000,41.36,41.43,41.33,41.41,3440.26242
1593968400000,41.35,41.42,41.29,41.35,3141.95402
1593964800000,41.38,41.51,41.25,41.34,6409.81149
1593961200000,41.45,41.65,41.34,41.38,9392.39429
1593957600000,41.32,41.45,41.25,41.45,7051.08942
1593954000000,41.5,41.51,41.33,41.33,11763.72743
1593950400000,41.49,41.56,41.28,41.5,13180.93428
1593946800000,41.35,41.6,41.32,41.48,9930.42968
1593943200000,41.26,41.42,41.06,41.35,12197.83654
1593939600000,41.53,41.59,41.15,41.27,20786.89948
1593936000000,41.49,41.6,41.44,41.56,5690.71921
1593932400000,41.42,41.54,41.39,41.5,7936.56057
1593928800000,41.43,41.6,41.38,41.44,10928.81242
1593925200000,41.77,41.78,41.36,41.45,18060.21861
1593921600000,41.85,41.88,41.67,41.76,6593.20985
1593918000000,41.84,41.92,41.75,41.85,7929.06316
1593914400000,41.99,42.04,41.78,41.84,6527.54188
1593910800000,41.97,42.08,41.92,42.0,5849.76023
1593907200000,42.11,42.2,41.97,41.98,11066.35813
1593903600000,42.03,42.13,41.92,42.11,3550.99682
1593900000000,41.91,42.19,41.91,42.04,12853.72956
1593896400000,41.89,41.94,41.75,41.88,7647.16462
1593892800000,41.96,42.05,41.82,41.88,6328.05
1593889200000,41.98,41.99,41.81,41.95,8223.84919
1593885600000,42.09,42.2,41.86,41.94,16987.72187
1593882000000,41.57,42.23,41.52,42.08,41394.20118
1593878400000,41.52,41.6,41.46,41.57,6639.66624
1593874800000,41.65,41.69,41.31,41.5,11287.74414
1593871200000,41.8,41.81,41.63,41.65,5991.3246
1593867600000,41.71,41.82,41.69,41.77,9089.83086
1593864000000,41.55,41.82,41.47,41.7,11451.41003
1593860400000,41.51,41.64,41.49,41.54,5137.06326
1593856800000,41.56,41.58,41.42,41.51,7683.48034
1593853200000,41.55,41.57,41.49,41.56,5254.26189
1593849600000,41.5,41.58,41.46,41.56,5006.8721
1593846000000,41.56,41.63,41.48,41.5,3613.32725
1593842400000,41.66,41.69,41.49,41.55,3252.23749
1593838800000,41.57,41.71,41.55,41.66,8174.7077
1593835200000,41.62,41.73,41.53,41.57,4813.94197
1593831600000,41.62,41.72,41.56,41.61,4189.23336
1593828000000,41.38,41.84,41.33,41.62,33009.94296
1593824400000,41.24,41.38,41.16,41.38,8605.38805
1593820800000,41.13,41.33,41.06,41.24,9112.18245
1593817200000,41.19,41.24,40.96,41.14,18193.69426
1593813600000,41.35,41.35,41.18,41.19,3882.54194
1593810000000,41.35,41.38,41.29,41.34,4531.05531
1593806400000,41.3,41.4,41.25,41.36,3062.27155
1593802800000,41.28,41.33,41.2,41.3,2773.29082
1593799200000,41.34,41.39,41.23,41.28,5159.33171
1593795600000,41.38,41.48,41.32,41.34,5459.0483
1593792000000,41.4,41.63,41.35,41.39,9203.22926
1593788400000,41.32,41.45,41.32,41.4,6138.12052
1593784800000,41.43,41.52,41.23,41.32,8281.73435
1593781200000,41.36,41.59,41.35,41.42,6997.09527
1593777600000,41.39,41.49,41.24,41.36,7975.63638
1593774000000,41.32,41.43,41.26,41.39,4481.01836
1593770400000,41.26,41.45,41.19,41.32,6542.11535
1593766800000,41.46,41.59,41.1,41.26,13252.55454
1593763200000,41.37,41.7,41.34,41.46,18786.47341
1593759600000,41.25,41.44,41.21,41.37,8006.05914
1593756000000,41.3,41.5,41.21,41.24,9747.10991
1593752400000,41.21,41.34,41.01,41.29,12215.9636
1593748800000,41.16,41.23,41.09,41.21,2756.31379
1593745200000,41.16,41.26,41.1,41.14,2806.78533
1593741600000,41.35,41.37,41.14,41.16,4515.65677
1593738000000,41.06,41.4,41.0,41.36,7513.34572
1593734400000,41.03,41.11,40.89,41.04,18014.33005
1593730800000,40.98,41.12,40.88,41.05,12100.31982
1593727200000,41.07,41.26,40.87,40.98,19593.83322
1593723600000,40.9,41.36,40.87,41.07,11450.87745
1593720000000,40.82,40.96,40.75,40.89,8187.96693
1593716400000,40.87,41.03,40.63,40.82,10761.18472
1593712800000,40.93,41.0,40.62,40.87,9492.16029
1593709200000,40.81,40.99,40.67,40.93,9269.66734
1593705600000,40.77,40.92,40.28,40.81,35991.83318
1593702000000,41.52,41.52,40.66,40.76,59672.52898
1593698400000,41.77,41.81,41.48,41.51,7369.48321
1593694800000,41.74,41.88,41.65,41.76,10697.09778
1593691200000,41.48,41.82,41.46,41.74,12158.39999
1593687600000,41.51,41.51,41.32,41.5,5688.92414
1593684000000,41.55,41.57,41.37,41.52,4847.96629
1593680400000,41.59,41.64,41.5,41.55,3796.21047
1593676800000,41.55,41.61,41.36,41.59,3737.67462
1593673200000,41.46,41.6,41.43,41.55,5784.90083
1593669600000,41.4,41.53,41.31,41.46,10038.55401
1593666000000,41.61,41.73,41.36,41.41,11760.03636
1593662400000,41.68,41.75,41.6,41.61,3993.36208
1593658800000,41.69,41.76,41.62,41.7,4125.67415
1593655200000,41.8,41.84,41.69,41.7,2923.59361
1593651600000,41.68,41.8,41.65,41.8,3367.89994
1593648000000,41.76,41.9,41.63,41.68,7709.90476
1593644400000,41.83,41.86,41.7,41.77,2551.62346
1593640800000,41.89,41.9,41.72,41.84,4048.15544
1593637200000,41.72,41.98,41.69,41.89,10274.96773
1593633600000,41.59,41.92,41.57,41.71,4946.19722
1593630000000,41.87,41.93,41.52,41.62,10311.78802
1593626400000,41.87,41.9,41.79,41.88,3993.14908
1593622800000,41.91,41.93,41.81,41.85,7876.26677
1593619200000,41.85,42.01,41.73,41.9,12848.5567
1593615600000,41.69,41.85,41.65,41.84,6176.31372
1593612000000,41.69,41.8,41.62,41.69,6644.01816
1593608400000,41.45,41.93,41.41,41.68,18587.08291
1593604800000,41.51,41.57,41.37,41.45,5476.0287
1593601200000,41.39,41.52,41.31,41.5,5054.69023
1593597600000,41.56,41.64,41.39,41.4,9555.77661
1593594000000,41.59,41.67,41.54,41.57,4639.99722
1593590400000,41.3,41.74,41.3,41.58,13310.16016
1593586800000,41.26,41.49,41.25,41.3,8965.65539
1593583200000,41.44,41.49,41.14,41.28,17174.04139
1593579600000,41.36,41.5,41.32,41.44,4442.86599
1593576000000,41.33,41.48,41.32,41.35,5013.42546
1593572400000,41.25,41.54,41.09,41.31,15544.66014
1593568800000,41.15,41.27,41.09,41.25,3907.54143
1593565200000,41.13,41.16,41.01,41.15,2450.32617
1593561600000,41.16,41.17,40.96,41.13,5966.04858
1593558000000,41.17,41.31,41.14,41.17,4603.5427
1593554400000,41.21,41.22,41.09,41.16,4339.19803
1593550800000,41.15,41.35,41.13,41.21,6535.81443
1593547200000,41.15,41.27,41.08,41.17,3781.95242
1593543600000,40.99,41.27,40.91,41.15,7527.57172
1593540000000,41.06,41.09,40.94,40.99,6669.36883
1593536400000,41.28,41.29,40.9,41.06,12869.09673
1593532800000,41.39,41.4,41.18,41.27,3974.76053
1593529200000,41.29,41.59,41.2,41.37,12088.80717
1593525600000,41.11,41.35,41.05,41.31,5564.93468
1593522000000,41.06,41.28,40.73,41.11,14660.37301
1593518400000,41.41,41.41,40.89,41.07,14733.26382
1593514800000,41.41,41.45,41.29,41.41,4038.99956
1593511200000,41.36,41.45,41.22,41.41,5891.59849
1593507600000,41.24,41.43,41.22,41.37,4907.40565
1593504000000,41.28,41.34,41.12,41.24,8673.67749
1593500400000,41.5,41.53,41.21,41.28,6656.7088
1593496800000,41.23,41.57,41.21,41.5,7541.09717
1593493200000,41.43,41.5,41.19,41.23,13001.49366
1593489600000,41.66,41.68,41.42,41.43,6429.46616
1593486000000,41.83,41.83,41.65,41.67,1851.14224
1593482400000,41.97,41.97,41.74,41.82,5160.0858
1593478800000,41.9,42.07,41.78,41.97,5095.6988
1593475200000,41.87,41.99,41.79,41.89,4116.30972
1593471600000,41.88,41.96,41.77,41.87,5501.65518
1593468000000,41.88,42.29,41.58,41.87,74945.95576
1593464400000,41.7,41.93,41.69,41.88,11239.15627
1593460800000,41.59,41.73,41.53,41.69,6789.48915
1593457200000,41.56,41.61,41.54,41.57,2904.34763
1593453600000,41.62,41.74,41.51,41.56,7658.82029
1593450000000,41.5,41.65,41.36,41.62,6177.50841
1593446400000,41.47,41.64,41.44,41.5,6432.48436
1593442800000,41.16,41.59,41.16,41.47,7147.42179
1593439200000,41.1,41.39,41.07,41.16,8370.62159
1593435600000,41.59,41.6,40.98,41.1,15167.49139
1593432000000,41.09,41.91,41.02,41.59,36634.03093
1593428400000,41.02,41.11,40.91,41.09,5724.97027
1593424800000,41.15,41.16,41.0,41.02,6013.89366
1593421200000,40.91,41.21,40.83,41.15,11314.03882
1593417600000,40.91,40.92,40.59,40.9,9685.57742
1593414000000,40.9,40.96,40.7,40.91,15651.02366
1593410400000,41.24,41.24,40.68,40.89,21502.09908
1593406800000,41.17,41.41,41.03,41.25,14885.79987
1593403200000,41.1,41.27,41.01,41.17,8682.36817
1593399600000,41.28,41.29,41.0,41.11,8871.29956
1593396000000,41.51,41.56,41.21,41.28,10656.65497
1593392400000,41.34,41.53,41.32,41.51,9357.95932
1593388800000,41.37,41.43,41.18,41.35,12031.50445
1593385200000,41.37,41.4,41.26,41.37,3235.34346
1593381600000,41.45,41.45,41.2,41.38,2838.238
