date,open,high,low,close,volume
1594022400000,4.182,4.193,4.18,4.193,214.946
1594018800000,4.222,4.222,4.18,4.181,1189.391
1594015200000,4.173,4.225,4.165,4.223,3817.582
1594011600000,4.199,4.199,4.165,4.165,464.307
1594008000000,4.166,4.202,4.166,4.2,1980.14
1594004400000,4.194,4.196,4.163,4.163,1154.913
1594000800000,4.177,4.198,4.174,4.198,1997.832
1593997200000,4.159,4.177,4.148,4.177,618.857
1593993600000,4.153,4.16,4.137,4.137,411.264
1593990000000,4.146,4.172,4.145,4.169,536.522
1593986400000,4.125,4.169,4.12,4.163,1646.498
1593982800000,4.122,4.142,4.089,4.132,4126.886
1593979200000,4.139,4.139,4.117,4.117,657.251
1593975600000,4.145,4.146,4.125,4.125,1006.863
1593972000000,4.137,4.146,4.125,4.137,1448.46
1593968400000,4.139,4.157,4.127,4.137,722.526
1593964800000,4.131,4.158,4.127,4.158,1018.592
1593961200000,4.147,4.162,4.135,4.14,775.026
1593957600000,4.151,4.156,4.125,4.147,2375.988
1593954000000,4.155,4.171,4.147,4.167,659.564
1593950400000,4.181,4.182,4.15,4.171,3490.997
1593946800000,4.171,4.184,4.155,4.17,1010.62
1593943200000,4.164,4.205,4.156,4.171,2881.379
1593939600000,4.191,4.221,4.16,4.178,3839.463
1593936000000,4.211,4.212,4.15,4.192,3944.301
1593932400000,4.215,4.216,4.19,4.209,3938.088
1593928800000,4.226,4.228,4.2,4.2,3227.046
1593925200000,4.249,4.249,4.211,4.211,1589.191
1593921600000,4.238,4.252,4.227,4.227,1657.715
1593918000000,4.251,4.268,4.233,4.258,1041.757
1593914400000,4.26,4.271,4.251,4.251,1175.737
1593910800000,4.261,4.275,4.251,4.251,554.813
1593907200000,4.284,4.286,4.26,4.261,3189.776
1593903600000,4.263,4.294,4.263,4.27,899.77
1593900000000,4.274,4.274,4.25,4.254,289.3
1593896400000,4.271,4.28,4.257,4.257,1452.01
1593892800000,4.265,4.281,4.263,4.28,3305.051
1593889200000,4.261,4.281,4.257,4.278,830.652
1593885600000,4.299,4.299,4.261,4.261,4265.317
1593882000000,4.256,4.3,4.241,4.299,1093.626
1593878400000,4.239,4.259,4.234,4.256,1003.234
1593874800000,4.256,4.273,4.234,4.259,2450.097
1593871200000,4.27,4.279,4.251,4.256,2528.328
1593867600000,4.241,4.274,4.241,4.27,1492.604
1593864000000,4.252,4.263,4.233,4.248,1216.596
1593860400000,4.279,4.294,4.247,4.262,1631.999
1593856800000,4.299,4.3,4.278,4.282,2221.154
1593853200000,4.301,4.311,4.281,4.3,550.844
1593849600000,4.308,4.327,4.3,4.3,917.391
1593846000000,4.323,4.343,4.306,4.326,1051.102
1593842400000,4.351,4.352,4.324,4.337,1133.819
1593838800000,4.367,4.367,4.3,4.351,4265.511
1593835200000,4.364,4.372,4.34,4.366,1525.623
1593831600000,4.415,4.431,4.366,4.377,1276.614
1593828000000,4.436,4.436,4.4,4.411,3823.064
1593824400000,4.44,4.455,4.421,4.435,5664.975
1593820800000,4.361,4.44,4.361,4.44,4124.085
1593817200000,4.36,4.385,4.35,4.384,4517.617
1593813600000,4.378,4.4,4.36,4.36,962.117
1593810000000,4.38,4.4,4.371,4.396,1696.231
1593806400000,4.357,4.389,4.353,4.389,2154.967
1593802800000,4.367,4.374,4.357,4.374,147.145
1593799200000,4.373,4.389,4.364,4.384,755.226
1593795600000,4.385,4.405,4.372,4.373,1180.983
1593792000000,4.414,4.428,4.386,4.392,2267.29
1593788400000,4.422,4.436,4.413,4.414,2629.596
1593784800000,4.462,4.482,4.398,4.407,7301.719
1593781200000,4.462,4.482,4.448,4.462,8481.736
1593777600000,4.43,4.462,4.423,4.462,1330.505
1593774000000,4.416,4.445,4.415,4.43,682.124
1593770400000,4.423,4.464,4.415,4.415,3167.006
1593766800000,4.435,4.463,4.423,4.44,1130.843
1593763200000,4.431,4.458,4.423,4.435,10355.858
1593759600000,4.344,4.43,4.344,4.423,8740.243
1593756000000,4.33,4.345,4.321,4.321,861.944
1593752400000,4.324,4.347,4.322,4.34,211.062
1593748800000,4.326,4.347,4.326,4.347,780.79
1593745200000,4.342,4.348,4.313,4.323,5014.209
1593741600000,4.364,4.364,4.309,4.313,1880.464
1593738000000,4.359,4.365,4.334,4.365,3594.803
1593734400000,4.35,4.359,4.33,4.337,1739.105
1593730800000,4.321,4.35,4.314,4.35,284.036
1593727200000,4.343,4.344,4.326,4.343,691.62
1593723600000,4.327,4.343,4.222,4.322,4583.798
1593720000000,4.322,4.335,4.3,4.314,2804.588
1593716400000,4.34,4.37,4.3,4.327,3749.473
1593712800000,4.339,4.358,4.333,4.356,2642.213
1593709200000,4.382,4.391,4.338,4.358,2239.392
1593705600000,4.369,4.635,4.15,4.368,23361.728
1593702000000,4.508,4.508,4.36,4.375,16483.162
1593698400000,4.489,4.525,4.468,4.493,9819.752
1593694800000,4.479,4.51,4.464,4.507,7020.649
1593691200000,4.45,4.479,4.435,4.474,850.629
1593687600000,4.451,4.467,4.434,4.46,1874.438
1593684000000,4.475,4.515,4.442,4.46,4514.103
1593680400000,4.441,4.475,4.437,4.472,2533.891
1593676800000,4.43,4.461,4.416,4.443,4115.945
1593673200000,4.343,4.437,4.337,4.42,3780.981
1593669600000,4.357,4.407,4.337,4.344,2605.953
1593666000000,4.391,4.42,4.358,4.358,3657.432
1593662400000,4.442,4.472,4.376,4.393,3523.549
1593658800000,4.411,4.447,4.411,4.424,2873.734
1593655200000,4.363,4.411,4.36,4.401,3858.914
