date,open,high,low,close,volume
1594022400000,0.00918,0.00918,0.00917,0.00917,7141.0
1594018800000,0.00918,0.00927,0.00913,0.00918,336056.1
1594015200000,0.00912,0.0092,0.00908,0.00913,1296539.6
1594011600000,0.00915,0.00917,0.0091,0.00912,150007.3
1594008000000,0.00923,0.00923,0.00908,0.00908,1382492.8
1594004400000,0.00928,0.0093,0.00921,0.00922,397657.4
1594000800000,0.00933,0.00936,0.00926,0.00927,245375.1
1593997200000,0.00922,0.00935,0.00918,0.00934,928275.9
1593993600000,0.00923,0.00931,0.00921,0.00921,401413.5
1593990000000,0.0092,0.00931,0.00918,0.00922,103618.3
1593986400000,0.00917,0.00922,0.00917,0.00919,58054.9
1593982800000,0.00927,0.00927,0.00906,0.00917,508786.9
1593979200000,0.00929,0.00938,0.00924,0.00928,184669.3
1593975600000,0.00927,0.00937,0.00926,0.00932,84451.7
1593972000000,0.00927,0.0093,0.00924,0.00925,224213.6
1593968400000,0.00929,0.00932,0.00924,0.00924,732370.3
1593964800000,0.00916,0.0094,0.00915,0.00929,560182.8
1593961200000,0.00909,0.00921,0.00906,0.00915,1193338.0
1593957600000,0.0091,0.00917,0.00902,0.00903,2191753.2
1593954000000,0.00912,0.00916,0.00905,0.0091,820180.6
1593950400000,0.00911,0.00918,0.00903,0.00913,749072.0
1593946800000,0.00922,0.00923,0.00889,0.00911,2051055.1
1593943200000,0.00921,0.00924,0.00913,0.00921,434410.3
1593939600000,0.00926,0.00926,0.00921,0.00921,1845392.0
1593936000000,0.00929,0.00933,0.00924,0.00926,456836.7
1593932400000,0.00942,0.00946,0.00921,0.00926,2543045.3
1593928800000,0.0092,0.00947,0.0092,0.00939,2009133.2
1593925200000,0.00928,0.00929,0.00915,0.0092,650003.6
1593921600000,0.00923,0.00929,0.0092,0.00924,254447.1
1593918000000,0.00924,0.00926,0.00917,0.00922,265017.4
1593914400000,0.00921,0.00932,0.00915,0.00924,953816.0
1593910800000,0.00912,0.00925,0.00912,0.00919,1315414.2
1593907200000,0.00911,0.00914,0.00909,0.00911,299557.8
1593903600000,0.00911,0.00913,0.00909,0.0091,67523.3
1593900000000,0.0091,0.00913,0.00906,0.00911,49488.6
1593896400000,0.00907,0.00909,0.00905,0.00909,52215.0
1593892800000,0.00906,0.00912,0.00905,0.00908,16090.8
1593889200000,0.00907,0.00912,0.00904,0.00904,101410.9
1593885600000,0.00911,0.00914,0.00903,0.00904,1150794.5
1593882000000,0.00899,0.00913,0.00899,0.00906,1153886.9
1593878400000,0.00896,0.009,0.00895,0.00898,150141.3
