date,open,high,low,close,volume
1594022400000,0.309,0.3094,0.3077,0.3093,1754.28
1594018800000,0.3088,0.31,0.3088,0.3096,5612.52
1594015200000,0.3075,0.3088,0.3056,0.3088,24112.65
1594011600000,0.306,0.3066,0.3057,0.3066,6277.23
1594008000000,0.307,0.3074,0.3058,0.306,20571.0
1594004400000,0.3064,0.3072,0.3064,0.307,30886.5
1594000800000,0.303,0.3064,0.3026,0.3053,51213.9
1593997200000,0.3046,0.305,0.3029,0.304,338.76
1593993600000,0.3046,0.3047,0.3046,0.3046,93.71
1593990000000,0.3055,0.3057,0.3032,0.3057,5439.17
1593986400000,0.3024,0.3057,0.3024,0.3055,12994.73
1593982800000,0.3036,0.3036,0.2987,0.3024,52593.23
1593979200000,0.3051,0.3055,0.3047,0.3054,4504.5
1593975600000,0.3095,0.3098,0.304,0.3051,15736.85
1593972000000,0.3052,0.3098,0.3034,0.3097,23675.68
1593968400000,0.3035,0.3049,0.3035,0.3049,2938.24
1593964800000,0.302,0.3033,0.301,0.302,16431.63
1593961200000,0.3022,0.3033,0.302,0.3022,6120.06
1593957600000,0.3021,0.303,0.3009,0.3009,983.36
1593954000000,0.3022,0.3034,0.3021,0.3033,1977.9
1593950400000,0.3033,0.3038,0.3021,0.3022,3448.7
1593946800000,0.3022,0.3033,0.3022,0.3033,9938.76
1593943200000,0.3027,0.3037,0.3011,0.3037,1829.4
1593939600000,0.3037,0.3056,0.3004,0.3029,22639.26
1593936000000,0.3044,0.3061,0.3036,0.3036,5847.76
1593932400000,0.3056,0.3069,0.3047,0.3047,2724.45
1593928800000,0.3055,0.3058,0.3047,0.3047,3245.17
1593925200000,0.3071,0.3071,0.3058,0.3058,733.62
1593921600000,0.307,0.3072,0.3057,0.3072,3951.22
1593918000000,0.3067,0.3069,0.3046,0.3063,7924.63
1593914400000,0.3075,0.3076,0.3046,0.3067,35247.42
1593910800000,0.3066,0.3075,0.3066,0.3075,12835.35
1593907200000,0.3072,0.308,0.305,0.3067,46471.32
1593903600000,0.3092,0.3093,0.304,0.3069,195729.15
1593900000000,0.309,0.311,0.3066,0.3094,71732.45
1593896400000,0.309,0.3101,0.309,0.3101,1021.94
1593892800000,0.3101,0.3101,0.3083,0.309,600.39
1593889200000,0.3079,0.3101,0.3079,0.3101,2318.51
1593885600000,0.3093,0.3109,0.3075,0.3098,17149.78
1593882000000,0.3077,0.3095,0.3056,0.3093,25809.32
1593878400000,0.3074,0.3078,0.307,0.3078,1903.6
1593874800000,0.3059,0.3076,0.3056,0.3076,871.52
1593871200000,0.3071,0.3079,0.3071,0.3079,6354.85
1593867600000,0.3066,0.3072,0.3054,0.3065,11138.99
1593864000000,0.3065,0.3066,0.3055,0.3065,4010.83
1593860400000,0.3058,0.3072,0.3053,0.3069,6362.17
1593856800000,0.3072,0.3072,0.3071,0.3072,5338.93
1593853200000,0.3066,0.3073,0.3059,0.3073,1772.33
1593849600000,0.3069,0.3075,0.3059,0.3066,6326.46
1593846000000,0.3075,0.3079,0.306,0.306,5308.96
1593842400000,0.3088,0.3088,0.3057,0.3066,9516.48
1593838800000,0.3094,0.31,0.3063,0.3087,20324.66
1593835200000,0.308,0.3094,0.3069,0.3085,9185.62
1593831600000,0.3091,0.3106,0.3083,0.3083,7665.46
1593828000000,0.3079,0.3091,0.3076,0.3091,9065.15
1593824400000,0.3076,0.3092,0.3061,0.3079,5772.1
1593820800000,0.3061,0.3079,0.3058,0.3079,492.13
1593817200000,0.3066,0.3066,0.3061,0.3064,924.87
1593813600000,0.3082,0.3082,0.3066,0.3066,5244.37
1593810000000,0.3081,0.3081,0.3081,0.3081,236.89
1593806400000,0.3068,0.3083,0.3067,0.3067,6415.96
1593802800000,0.3083,0.3083,0.3067,0.3067,11062.16
1593799200000,0.3067,0.3083,0.3067,0.3083,14108.59
1593795600000,0.3078,0.3078,0.3067,0.3067,2098.44
1593792000000,0.3056,0.3074,0.3056,0.3069,412.19
1593788400000,0.3072,0.3073,0.3044,0.307,8611.32
1593784800000,0.3073,0.3073,0.3073,0.3073,33.02
1593781200000,0.3082,0.309,0.3068,0.309,5307.51
1593777600000,0.308,0.3086,0.3073,0.3073,5800.82
1593774000000,0.3077,0.3083,0.3062,0.3081,4899.81
1593770400000,0.3065,0.3078,0.3058,0.3077,1004.42
1593766800000,0.3089,0.309,0.3045,0.3078,5497.24
