date,open,high,low,close,volume
1593993600000,0.9287,0.955,0.9287,0.9497,95951.53
1593907200000,0.9611,0.9677,0.914,0.9287,649820.67
1593820800000,0.927,0.9645,0.927,0.961,383341.22
1593734400000,0.9246,0.9416,0.9064,0.9292,462276.17
1593648000000,0.9664,0.9931,0.8924,0.9229,907784.96
1593561600000,0.9338,0.9723,0.9088,0.9665,483916.22
1593475200000,0.9658,0.9737,0.916,0.9365,852221.04
1593388800000,0.9716,0.9818,0.944,0.9628,473812.24
1593302400000,0.9596,0.9845,0.9372,0.9716,551152.7
1593216000000,1.0413,1.0447,0.89,0.9565,1402744.04
1593129600000,1.0783,1.0925,1.0031,1.0411,767489.42
1593043200000,1.055,1.1048,1.02,1.0791,856795.75
1592956800000,1.1121,1.145,1.045,1.0587,1125730.92
1592870400000,1.1425,1.1464,1.0947,1.1151,852687.87
1592784000000,1.0798,1.1782,1.0758,1.1426,1004978.51
1592697600000,1.1217,1.1387,1.0677,1.0772,456935.82
1592611200000,1.1439,1.165,1.086,1.1199,738082.26
1592524800000,1.1574,1.2017,1.1208,1.1512,1072633.58
1592438400000,1.2276,1.2899,1.1504,1.1575,1897832.12
1592352000000,1.1217,1.31,1.0901,1.225,4055914.64
1592265600000,1.1082,1.1366,1.0653,1.1217,1356980.42
1592179200000,1.046,1.153,0.9299,1.1073,3552622.31
1592092800000,1.133,1.1347,1.035,1.0471,633272.89
1592006400000,1.1086,1.1515,1.0642,1.1349,830226.94
1591920000000,1.05,1.1866,1.0249,1.1082,2215418.23
1591833600000,1.1813,1.2824,1.0253,1.05,3648036.35
1591747200000,1.1936,1.3229,1.1705,1.1782,3088629.36
1591660800000,1.0459,1.2041,1.0385,1.1966,2238012.98
1591574400000,1.0564,1.088,1.023,1.0459,827895.55
1591488000000,1.0082,1.1197,0.9978,1.0564,2728443.09
1591401600000,0.9581,1.0885,0.93,1.0106,2003191.23
1591315200000,0.8971,0.9932,0.8937,0.9572,1194500.09
1591228800000,0.889,0.91,0.8618,0.8971,664901.94
1591142400000,0.8854,0.8999,0.858,0.889,394940.2
1591056000000,0.915,0.9375,0.84,0.8845,1211559.62
1590969600000,0.8732,0.9356,0.8652,0.9149,1136512.32
1590883200000,0.8985,0.904,0.8609,0.8728,727940.93
1590796800000,0.8885,0.9071,0.8601,0.8984,1059376.39
1590710400000,0.9017,0.9134,0.8808,0.8922,667709.15
1590624000000,0.9114,0.9195,0.8615,0.9001,1171224.13
1590537600000,0.891,0.9214,0.8842,0.9106,863897.86
1590451200000,0.9399,0.9459,0.8848,0.8936,1089112.85
1590364800000,0.8815,0.9554,0.8671,0.9398,1268778.77
1590278400000,0.9515,0.9844,0.872,0.8815,1622844.53
1590192000000,0.9531,1.01,0.905,0.9478,1848808.2
1590105600000,0.8246,0.999,0.8137,0.9542,2905961.33
1590019200000,0.8928,0.9468,0.78,0.8212,2945653.24
1589932800000,0.9083,0.9672,0.85,0.894,2874863.27
1589846400000,0.8041,0.9819,0.7891,0.9086,4601205.15
1589760000000,0.733,0.8218,0.733,0.8041,1283249.48
1589673600000,0.7471,0.7679,0.7255,0.7316,679122.85
1589587200000,0.7204,0.7891,0.7164,0.7487,909273.66
1589500800000,0.6983,0.7534,0.6502,0.7204,1210676.76
1589414400000,0.6994,0.7373,0.6878,0.6965,1015969.76
1589328000000,0.6263,0.7386,0.6263,0.6973,1757290.25
1589241600000,0.5943,0.6427,0.5921,0.6263,329304.79
1589155200000,0.6057,0.6201,0.5625,0.5943,752658.89
1589068800000,0.6556,0.6593,0.5653,0.6057,861479.32
1588982400000,0.6987,0.7097,0.6545,0.6556,836298.83
1588896000000,0.6364,0.7199,0.6207,0.7019,1212304.81
1588809600000,0.6115,0.64,0.6001,0.6351,420011.74
1588723200000,0.628,0.644,0.6051,0.6118,258396.68
1588636800000,0.6365,0.6441,0.6101,0.6294,288599.41
1588550400000,0.6467,0.6494,0.6064,0.638,282067.09
1588464000000,0.6423,0.6665,0.6325,0.6467,569232.01
1588377600000,0.6283,0.644,0.6254,0.6393,227633.54
1588291200000,0.623,0.64,0.6163,0.6298,387098.28
1588204800000,0.6329,0.69,0.5957,0.6242,1228820.89
1588118400000,0.5979,0.6753,0.5941,0.6347,1651208.3
1588032000000,0.5928,0.5997,0.5815,0.5978,160408.29
1587945600000,0.6024,0.6047,0.5796,0.5925,289430.9
1587859200000,0.5849,0.6055,0.581,0.6025,278945.13
1587772800000,0.5857,0.6045,0.576,0.5863,412484.93
1587686400000,0.574,0.5944,0.5679,0.585,358653.76
1587600000000,0.5644,0.6159,0.5516,0.5735,493186.69
1587513600000,0.5379,0.5749,0.5354,0.5646,290587.14
1587427200000,0.5411,0.5699,0.5315,0.5379,235481.55
1587340800000,0.5762,0.5926,0.5217,0.5444,461109.31
1587254400000,0.5949,0.6021,0.5623,0.5791,251196.84
1587168000000,0.5617,0.6066,0.5604,0.5916,234528.44
1587081600000,0.5586,0.5718,0.5509,0.562,251256.47
1586995200000,0.525,0.5695,0.5031,0.5577,525056.55
1586908800000,0.5567,0.5588,0.5217,0.525,376087.72
1586822400000,0.5398,0.561,0.5351,0.5567,290747.53
1586736000000,0.5371,0.5521,0.517,0.541,590315.62
1586649600000,0.5425,0.5664,0.5284,0.536,523147.43
1586563200000,0.545,0.5672,0.5243,0.5405,309361.89
1586476800000,0.5859,0.5873,0.5249,0.5449,515381.69
1586390400000,0.5987,0.599,0.5717,0.5855,402388.33
1586304000000,0.598,0.6163,0.569,0.5987,532640.78
1586217600000,0.6183,0.63,0.5836,0.5981,849657.85
1586131200000,0.5934,0.6189,0.5867,0.6183,1089668.1
1586044800000,0.6421,0.6441,0.5735,0.5974,1361371.5
1585958400000,0.5456,0.6685,0.5398,0.6401,2035417.99
1585872000000,0.5363,0.5555,0.521,0.5459,411968.22
1585785600000,0.4927,0.546,0.4853,0.5363,927858.91
1585699200000,0.469,0.505,0.461,0.4927,744217.54
1585612800000,0.4616,0.4769,0.4559,0.4694,347269.65
1585526400000,0.4325,0.4724,0.4306,0.46,681628.39
1585440000000,0.4658,0.4674,0.43,0.4353,253754.79
1585353600000,0.47,0.4822,0.4468,0.4658,850247.15
1585267200000,0.5055,0.51,0.4606,0.4714,507238.83
1585180800000,0.5068,0.519,0.4814,0.5057,463998.49
1585094400000,0.497,0.5108,0.47,0.5107,1313625.97
1585008000000,0.5002,0.5299,0.4751,0.4958,1874393.12
1584921600000,0.4,0.5034,0.3936,0.5002,995467.03
1584835200000,0.4408,0.4634,0.4,0.4009,761954.26
1584748800000,0.4439,0.4702,0.4151,0.4418,958763.09
1584662400000,0.4778,0.5335,0.3944,0.4451,1958244.02
1584576000000,0.4018,0.509,0.3919,0.4761,1429818.65
1584489600000,0.3747,0.4132,0.3402,0.4016,929065.98
1584403200000,0.3562,0.3808,0.3493,0.3735,1158152.66
1584316800000,0.4063,0.4063,0.3147,0.3525,1026027.59
1584230400000,0.3884,0.4362,0.3822,0.4066,625662.72
1584144000000,0.4118,0.4309,0.3761,0.3862,551776.47
1584057600000,0.3626,0.4663,0.2562,0.4124,1234722.3
1583971200000,0.6806,0.6815,0.343,0.3625,1704831.94
1583884800000,0.6892,0.6947,0.64,0.6803,428914.76
1583798400000,0.6873,0.7141,0.6637,0.6858,340950.57
1583712000000,0.6729,0.721,0.6415,0.6856,482494.76
1583625600000,0.7911,0.7911,0.665,0.6729,803270.83
1583539200000,0.8245,0.8334,0.7709,0.7895,290053.4
1583452800000,0.8279,0.8409,0.81,0.8245,298992.88
1583366400000,0.773,0.837,0.773,0.8279,555517.6
1583280000000,0.773,0.7849,0.7561,0.7734,203292.81
1583193600000,0.7912,0.8019,0.7551,0.7772,420051.6
1583107200000,0.7154,0.8111,0.7143,0.7879,438112.93
1583020800000,0.7357,0.7563,0.7079,0.7206,485674.76
1582934400000,0.7627,0.7738,0.731,0.7362,200787.79
1582848000000,0.788,0.8059,0.7181,0.7582,618156.68
1582761600000,0.7873,0.8178,0.7385,0.788,447178.7
1582675200000,0.8288,0.8341,0.72,0.7873,734193.06
1582588800000,0.9075,0.9089,0.8205,0.8323,580633.74
1582502400000,0.9783,0.9819,0.8756,0.9074,448575.74
1582416000000,0.954,0.9912,0.943,0.9763,223539.03
1582329600000,0.9724,0.9928,0.9287,0.954,263046.67
1582243200000,0.9332,0.9985,0.931,0.9729,447360.04
1582156800000,0.9217,0.9511,0.88,0.9332,514579.35
1582070400000,1.0127,1.0288,0.9002,0.9277,380076.83
1581984000000,1.0052,1.0326,0.9566,1.012,590302.61
1581897600000,1.0679,1.0679,0.9035,0.9985,964118.67
1581811200000,1.1158,1.195,0.9424,1.07,1046288.3
1581724800000,1.1312,1.2187,1.035,1.1198,1116400.54
1581638400000,1.0834,1.1361,1.0575,1.1273,341775.86
1581552000000,1.1333,1.1696,1.0,1.08,804660.07
1581465600000,1.055,1.168,1.0511,1.1377,743829.48
1581379200000,0.9902,1.0995,0.96,1.055,1019662.61
1581292800000,0.967,1.0058,0.9197,0.9902,570281.29
1581206400000,0.9126,1.0027,0.9126,0.9693,654663.53
1581120000000,0.9399,0.9404,0.84,0.9126,421488.48
1581033600000,0.9767,1.0186,0.9306,0.9395,526138.38
1580947200000,0.925,0.9954,0.914,0.9749,426430.78
1580860800000,0.8749,0.9579,0.859,0.925,535607.8
1580774400000,0.8154,0.9,0.8052,0.8813,875750.73
1580688000000,0.8293,0.8496,0.7932,0.8131,307705.71
1580601600000,0.8006,0.8644,0.7935,0.8274,394248.86
1580515200000,0.7768,0.8107,0.7686,0.804,491057.59
1580428800000,0.7422,0.7859,0.7138,0.777,418304.95
1580342400000,0.7221,0.7519,0.7004,0.7404,426466.76
1580256000000,0.706,0.7286,0.69,0.7221,383296.17
1580169600000,0.6877,0.7082,0.6775,0.7049,448611.87
1580083200000,0.6899,0.7,0.68,0.6877,293995.9
1579996800000,0.6649,0.6906,0.6583,0.6899,99638.43
1579910400000,0.6613,0.6812,0.646,0.6666,113151.05
1579824000000,0.6763,0.6833,0.642,0.6655,217720.13
1579737600000,0.7016,0.7099,0.6571,0.6714,206062.67
1579651200000,0.6939,0.7124,0.6844,0.701,163144.69
1579564800000,0.6773,0.7187,0.669,0.6966,280095.75
1579478400000,0.6841,0.6887,0.6555,0.6773,177104.17
1579392000000,0.734,0.734,0.661,0.6798,504382.13
1579305600000,0.7387,0.7556,0.7025,0.7381,335879.22
1579219200000,0.6908,0.773,0.6839,0.7387,715195.59
1579132800000,0.6994,0.7058,0.6546,0.6908,360253.92
1579046400000,0.6644,0.744,0.6539,0.698,916546.04
1578960000000,0.6206,0.6771,0.6194,0.6643,650462.86
1578873600000,0.6329,0.633,0.6171,0.6196,160305.54
1578787200000,0.6296,0.6405,0.6219,0.6329,116029.05
1578700800000,0.6201,0.6577,0.6162,0.6294,432376.05
1578614400000,0.6141,0.6238,0.5934,0.6226,296192.96
1578528000000,0.626,0.6327,0.611,0.6177,370501.65
1578441600000,0.652,0.6888,0.6154,0.632,512149.57
1578355200000,0.6917,0.6944,0.6413,0.6516,581206.96
1578268800000,0.6583,0.7012,0.6583,0.6886,308539.6
1578182400000,0.6577,0.6776,0.6536,0.6604,121519.19
1578096000000,0.6629,0.6632,0.6458,0.656,55991.11
1578009600000,0.6241,0.6671,0.6214,0.6617,110818.55
1577923200000,0.6727,0.6757,0.6228,0.6268,118117.15
1577836800000,0.6508,0.68,0.6465,0.6728,111300.13
1577750400000,0.6767,0.6847,0.645,0.6536,163348.8
1577664000000,0.66,0.6869,0.6555,0.6788,214363.72
1577577600000,0.6501,0.6757,0.6443,0.66,92808.65
1577491200000,0.6418,0.6542,0.6372,0.6506,60962.58
1577404800000,0.653,0.6551,0.6381,0.6455,64132.51
1577318400000,0.6482,0.6681,0.6374,0.653,63984.88
