date,open,high,low,close,volume
1594022400000,0.9502,0.9532,0.9487,0.9497,5242.42
1594018800000,0.953,0.955,0.951,0.9512,12847.33
1594015200000,0.9421,0.953,0.9421,0.9518,29941.4
1594011600000,0.9369,0.9411,0.931,0.9401,12283.8
1594008000000,0.9337,0.9359,0.9311,0.934,6175.47
1594004400000,0.9363,0.937,0.93,0.9337,9420.52
1594000800000,0.9378,0.9407,0.9334,0.9363,9261.32
1593997200000,0.9365,0.9387,0.9333,0.9334,5771.49
1593993600000,0.9287,0.9374,0.9287,0.9365,5007.78
1593990000000,0.9347,0.9347,0.9287,0.9287,4026.05
1593986400000,0.9319,0.9424,0.9292,0.9333,26163.47
1593982800000,0.9325,0.9378,0.914,0.93,69294.34
1593979200000,0.9341,0.9369,0.9326,0.9354,2573.47
1593975600000,0.9356,0.9377,0.9334,0.9341,2938.04
1593972000000,0.9383,0.9388,0.9324,0.936,7400.87
1593968400000,0.9344,0.9402,0.929,0.9388,22323.49
1593964800000,0.9422,0.9422,0.9326,0.9344,26763.5
1593961200000,0.9495,0.952,0.9357,0.9422,54054.79
1593957600000,0.9361,0.95,0.9326,0.9467,41409.41
1593954000000,0.9462,0.9462,0.9351,0.9361,29759.04
1593950400000,0.9525,0.9535,0.94,0.9463,30698.84
1593946800000,0.9497,0.9557,0.9496,0.9525,19726.28
1593943200000,0.9408,0.9498,0.9339,0.9475,31504.66
1593939600000,0.9594,0.9594,0.9344,0.9408,42155.93
1593936000000,0.9461,0.9677,0.9448,0.9556,26567.1
1593932400000,0.9535,0.9546,0.9451,0.9461,14575.67
1593928800000,0.9422,0.9636,0.9396,0.9575,53322.23
1593925200000,0.9409,0.9569,0.9301,0.9422,52528.38
1593921600000,0.944,0.944,0.93,0.9398,25730.38
1593918000000,0.9479,0.9479,0.94,0.9416,10861.16
1593914400000,0.9512,0.9529,0.9444,0.9456,3953.64
1593910800000,0.9507,0.9571,0.9499,0.9516,16363.45
1593907200000,0.9611,0.9629,0.9453,0.9494,35126.48
1593903600000,0.9608,0.9636,0.9568,0.961,3446.44
1593900000000,0.9614,0.9626,0.9548,0.9596,13190.04
1593896400000,0.9599,0.9645,0.956,0.961,28838.72
1593892800000,0.9408,0.9645,0.9401,0.9599,42827.34
1593889200000,0.9418,0.9418,0.935,0.9408,12286.6
1593885600000,0.9452,0.9469,0.9379,0.9409,12954.88
1593882000000,0.9434,0.9514,0.9375,0.9421,19330.34
1593878400000,0.9381,0.945,0.9319,0.9434,19544.14
1593874800000,0.9346,0.9408,0.933,0.9379,15124.09
1593871200000,0.9423,0.9423,0.9343,0.9345,22015.94
1593867600000,0.9365,0.9424,0.9277,0.9424,24729.12
1593864000000,0.9316,0.9424,0.93,0.9374,22704.6
1593860400000,0.9338,0.9373,0.9301,0.9332,12873.89
1593856800000,0.9395,0.94,0.9339,0.934,14302.25
1593853200000,0.9466,0.9466,0.9389,0.94,27753.28
1593849600000,0.9394,0.9475,0.9394,0.9462,8658.76
1593846000000,0.9399,0.9408,0.9382,0.9391,6336.22
1593842400000,0.938,0.9489,0.9328,0.9399,25009.92
1593838800000,0.9373,0.9409,0.936,0.9381,6142.3
1593835200000,0.9427,0.9455,0.9378,0.9394,12628.36
1593831600000,0.9409,0.9427,0.9392,0.9427,8829.55
1593828000000,0.9364,0.9436,0.9348,0.9404,8791.71
1593824400000,0.9337,0.9435,0.9337,0.9364,10451.89
1593820800000,0.927,0.9338,0.927,0.9338,4570.84
1593817200000,0.9244,0.9308,0.92,0.9292,34447.74
1593813600000,0.9296,0.9296,0.9228,0.9228,22383.25
1593810000000,0.93,0.9331,0.9296,0.9324,1444.75
1593806400000,0.9317,0.9338,0.9267,0.9297,15583.7
1593802800000,0.9385,0.9397,0.9318,0.9318,24471.88
1593799200000,0.94,0.9412,0.9364,0.9364,15137.7
1593795600000,0.9379,0.9416,0.9376,0.9395,12110.87
1593792000000,0.9312,0.9413,0.9267,0.9379,40911.16
1593788400000,0.9256,0.9325,0.9233,0.9299,4683.3
1593784800000,0.9234,0.9306,0.9205,0.9228,30866.61
1593781200000,0.92,0.9278,0.9188,0.9248,44001.33
1593777600000,0.917,0.9195,0.9088,0.9195,38532.55
1593774000000,0.9131,0.9146,0.9106,0.9142,10920.94
1593770400000,0.9117,0.9143,0.9094,0.914,10101.63
1593766800000,0.9187,0.9235,0.9064,0.9129,23384.89
1593763200000,0.914,0.9245,0.9125,0.9169,12468.23
1593759600000,0.9181,0.9182,0.9136,0.9142,18274.05
1593756000000,0.9171,0.9238,0.9154,0.9212,12766.33
1593752400000,0.9218,0.9231,0.915,0.917,29583.95
1593748800000,0.9193,0.9235,0.9167,0.9171,10415.32
1593745200000,0.9214,0.9257,0.9212,0.9219,8782.01
1593741600000,0.9257,0.9297,0.9215,0.925,7061.79
1593738000000,0.9257,0.9277,0.919,0.924,14053.78
1593734400000,0.9246,0.9287,0.919,0.9224,19888.41
1593730800000,0.9262,0.9276,0.9222,0.9229,10343.82
1593727200000,0.9201,0.9284,0.9198,0.9274,18225.65
1593723600000,0.919,0.9256,0.9158,0.9194,29898.22
1593720000000,0.9211,0.9244,0.9167,0.919,22184.27
1593716400000,0.9278,0.9329,0.9211,0.9225,25497.65
1593712800000,0.9246,0.9303,0.9147,0.9277,27079.67
1593709200000,0.9133,0.9288,0.911,0.9246,25910.32
1593705600000,0.9176,0.9231,0.8924,0.9132,141915.7
1593702000000,0.9482,0.9482,0.91,0.9176,169142.83
1593698400000,0.9534,0.9563,0.9477,0.9482,34693.6
1593694800000,0.96,0.96,0.9453,0.955,38228.94
1593691200000,0.9471,0.9633,0.9471,0.9612,26661.24
1593687600000,0.9495,0.9495,0.94,0.9452,31595.79
1593684000000,0.954,0.9543,0.9431,0.9492,20722.7
1593680400000,0.9581,0.9599,0.954,0.9554,20745.48
1593676800000,0.957,0.9599,0.9552,0.9599,9187.99
1593673200000,0.9585,0.9629,0.9569,0.9607,26778.27
1593669600000,0.966,0.9678,0.9514,0.9581,26266.06
1593666000000,0.9691,0.9736,0.9662,0.9683,6922.84
1593662400000,0.9695,0.9708,0.966,0.97,9958.15
1593658800000,0.9773,0.9807,0.9676,0.9699,31959.86
1593655200000,0.9862,0.9931,0.9731,0.9791,85664.87
1593651600000,0.9716,0.9895,0.9703,0.9895,54237.81
1593648000000,0.9664,0.9744,0.9664,0.9715,13963.23
1593644400000,0.9674,0.9723,0.9629,0.9665,36478.85
1593640800000,0.9584,0.9677,0.9581,0.9677,38427.8
1593637200000,0.9558,0.9602,0.9558,0.9583,16290.82
1593633600000,0.9533,0.9579,0.9526,0.9558,8515.35
1593630000000,0.9608,0.9636,0.9509,0.9509,13641.12
1593626400000,0.9683,0.9689,0.9578,0.9609,22443.17
1593622800000,0.9658,0.9698,0.965,0.9696,7016.5
1593619200000,0.9671,0.971,0.9608,0.9674,24383.83
1593615600000,0.9533,0.9679,0.9515,0.9676,47761.32
1593612000000,0.9488,0.9574,0.946,0.9566,15347.21
1593608400000,0.9454,0.9527,0.9396,0.9509,27325.09
1593604800000,0.9376,0.9483,0.9331,0.9483,20724.33
1593601200000,0.9347,0.9377,0.9281,0.9377,11867.2
1593597600000,0.9352,0.9385,0.9324,0.9356,5759.24
1593594000000,0.9322,0.9372,0.9322,0.934,15224.19
1593590400000,0.9227,0.9343,0.9227,0.9318,7197.6
1593586800000,0.9188,0.9247,0.9153,0.9219,6223.5
1593583200000,0.9233,0.9233,0.9088,0.9156,59524.88
1593579600000,0.9227,0.9232,0.9201,0.9227,4775.44
1593576000000,0.9273,0.9274,0.9227,0.9238,4217.91
1593572400000,0.9249,0.9286,0.9225,0.9286,12169.29
1593568800000,0.9245,0.9285,0.9229,0.9234,14462.23
1593565200000,0.9221,0.9257,0.921,0.9257,23418.56
1593561600000,0.9338,0.9338,0.9177,0.9221,40720.79
1593558000000,0.9358,0.9367,0.934,0.9365,3128.42
1593554400000,0.9333,0.9377,0.9333,0.9357,6350.16
1593550800000,0.9387,0.9394,0.9329,0.9347,7156.45
1593547200000,0.942,0.947,0.9409,0.9409,7524.56
1593543600000,0.9378,0.9464,0.9373,0.946,29072.39
1593540000000,0.9321,0.944,0.9307,0.9384,15302.25
1593536400000,0.9402,0.9402,0.93,0.9321,22716.9
1593532800000,0.9479,0.9479,0.94,0.94,14323.05
1593529200000,0.9378,0.9484,0.9357,0.9479,36920.81
1593525600000,0.9317,0.9439,0.9293,0.9371,21226.42
1593522000000,0.9387,0.9387,0.9265,0.9317,21339.97
1593518400000,0.9349,0.94,0.9344,0.9373,20521.03
1593514800000,0.9317,0.9363,0.9307,0.9346,13623.3
1593511200000,0.9342,0.9354,0.9301,0.9342,14886.91
1593507600000,0.9281,0.9362,0.9257,0.933,33622.52
1593504000000,0.9414,0.9426,0.9231,0.9271,48311.69
1593500400000,0.9407,0.9444,0.937,0.9428,52230.03
1593496800000,0.9357,0.9439,0.916,0.9406,263232.26
1593493200000,0.9457,0.9471,0.9278,0.937,62967.43
1593489600000,0.9496,0.9562,0.9439,0.9497,38923.21
1593486000000,0.9607,0.9608,0.9481,0.9521,39928.5
1593482400000,0.9634,0.9651,0.9586,0.9608,23190.24
1593478800000,0.96,0.9681,0.96,0.9674,6819.96
1593475200000,0.9658,0.9737,0.9565,0.9629,48902.58
1593471600000,0.9717,0.9718,0.9626,0.9628,40760.9
1593468000000,0.9752,0.9774,0.9647,0.9722,43245.52
1593464400000,0.9613,0.9739,0.9613,0.9735,25675.69
1593460800000,0.9644,0.966,0.9574,0.9625,28888.53
1593457200000,0.9687,0.9695,0.9557,0.9604,40476.29
1593453600000,0.9758,0.9758,0.969,0.9696,876.75
1593450000000,0.954,0.9754,0.9533,0.9754,17004.83
1593446400000,0.9524,0.9659,0.9524,0.9561,48277.95
1593442800000,0.945,0.9531,0.945,0.9512,19234.91
1593439200000,0.9447,0.9502,0.944,0.944,23337.92
1593435600000,0.9632,0.9641,0.9441,0.9467,35746.33
1593432000000,0.9573,0.9691,0.9535,0.9632,16985.33
1593428400000,0.9635,0.9635,0.9532,0.9564,5335.28
1593424800000,0.9651,0.9651,0.9606,0.9614,3531.99
1593421200000,0.9588,0.9668,0.9588,0.9668,10031.72
1593417600000,0.9593,0.9593,0.9509,0.959,10198.95
1593414000000,0.9564,0.9658,0.9537,0.9571,14693.76
1593410400000,0.9695,0.9753,0.9533,0.9595,33874.24
1593406800000,0.9703,0.9786,0.9684,0.9697,5973.6
1593403200000,0.9683,0.9703,0.9682,0.9703,997.04
1593399600000,0.9722,0.9731,0.9675,0.9682,14757.47
1593396000000,0.9784,0.9795,0.9725,0.9741,6686.44
1593392400000,0.9786,0.9818,0.9755,0.9755,16868.95
1593388800000,0.9716,0.9799,0.9707,0.9789,10351.85
1593385200000,0.9746,0.9814,0.9667,0.9716,8557.56
1593381600000,0.9717,0.9764,0.9665,0.9737,13721.2
1593378000000,0.9699,0.9817,0.9647,0.9712,23932.05
1593374400000,0.9583,0.9842,0.9513,0.9702,50918.13
1593370800000,0.9788,0.98,0.9585,0.961,35614.41
1593367200000,0.9824,0.9845,0.9772,0.9788,7584.81
1593363600000,0.9809,0.9842,0.976,0.9814,17216.76
1593360000000,0.9762,0.9833,0.9762,0.9821,17634.82
1593356400000,0.9659,0.982,0.965,0.9787,34630.11
1593352800000,0.9444,0.9697,0.9444,0.9658,76467.73
1593349200000,0.9468,0.95,0.9417,0.943,18479.13
1593345600000,0.955,0.9567,0.9372,0.9466,46405.33
1593342000000,0.9558,0.9579,0.9534,0.955,8796.75
1593338400000,0.9497,0.957,0.9488,0.9555,36941.26
1593334800000,0.9499,0.9519,0.9444,0.9492,45803.47
1593331200000,0.951,0.962,0.9433,0.9502,29396.79
1593327600000,0.9508,0.9522,0.9471,0.9522,9945.34
1593324000000,0.9398,0.9508,0.9395,0.9508,18375.29
1593320400000,0.9513,0.9513,0.9382,0.9395,21234.11
1593306000000,0.9549,0.9594,0.95,0.9513,13128.14
1593302400000,0.9596,0.9604,0.9501,0.9547,16369.51
1593298800000,0.9495,0.9688,0.9353,0.9565,62208.51
1593295200000,0.9563,0.9611,0.9401,0.9484,39131.65
1593291600000,0.9362,0.9604,0.9329,0.955,34051.26
1593288000000,0.9173,0.9546,0.9137,0.9328,177636.63
1593284400000,0.9574,0.9592,0.89,0.9172,190132.31
1593280800000,0.9605,0.9605,0.9527,0.9534,37798.84
1593277200000,0.9629,0.9773,0.9568,0.9605,56547.87
1593273600000,0.9924,0.9945,0.955,0.9653,212769.72
1593270000000,1.0021,1.0021,0.99,0.9925,15035.18
1593266400000,0.9975,1.0045,0.9929,1.002,40865.72
1593262800000,0.9985,1.0009,0.9959,0.9988,10805.48
1593259200000,1.0,1.002,0.996,0.9989,33662.63
1593255600000,0.9978,1.0042,0.9941,0.9998,95686.26
1593252000000,1.0011,1.0034,0.9902,0.9965,79442.78
1593248400000,1.0207,1.0209,0.9867,1.0,137479.11
1593244800000,1.025,1.0305,1.019,1.0223,12967.71
1593241200000,1.032,1.0325,1.024,1.025,2720.09
1593237600000,1.0269,1.032,1.0269,1.0319,4429.02
1593234000000,1.0256,1.03,1.0255,1.0269,16670.86
1593230400000,1.0345,1.0359,1.021,1.0282,11303.08
1593226800000,1.036,1.0446,1.0354,1.0364,2274.86
1593223200000,1.0409,1.0413,1.0353,1.038,2393.58
1593219600000,1.0425,1.0425,1.0268,1.0409,19368.05
1593216000000,1.0413,1.0447,1.019,1.0425,107362.84
1593212400000,1.0299,1.0448,1.0243,1.0411,38696.77
1593208800000,1.0333,1.0363,1.0266,1.0299,6159.97
1593205200000,1.032,1.0345,1.0301,1.0345,4518.64
1593201600000,1.031,1.032,1.0251,1.0301,9009.37
1593198000000,1.0344,1.0345,1.0243,1.0264,9138.08
1593194400000,1.0424,1.0477,1.0296,1.0345,23647.19
1593190800000,1.0162,1.0497,1.0162,1.0443,79217.43
1593187200000,1.0262,1.0262,1.0149,1.0162,17655.08
1593183600000,1.017,1.0503,1.017,1.0276,83257.7
1593180000000,1.036,1.0413,1.0031,1.0176,166343.78
1593176400000,1.0553,1.0553,1.0365,1.0365,38341.13
1593172800000,1.0588,1.0661,1.0551,1.0553,23796.16
1593169200000,1.0715,1.0724,1.0544,1.0588,46858.97
1593165600000,1.0608,1.0714,1.0608,1.0689,27332.13
1593162000000,1.0451,1.0609,1.035,1.0609,21913.22
1593158400000,1.045,1.0515,1.0394,1.046,19341.24
1593154800000,1.0593,1.0593,1.0394,1.045,56675.51
1593151200000,1.061,1.0617,1.0557,1.0593,3487.33
1593147600000,1.0707,1.0749,1.0583,1.0622,26109.38
1593144000000,1.0698,1.0707,1.0648,1.0707,18196.8
1593140400000,1.0746,1.075,1.0677,1.0707,8195.34
1593136800000,1.085,1.085,1.0723,1.077,6160.74
1593133200000,1.0829,1.0925,1.0798,1.0858,14666.02
1593129600000,1.0783,1.0809,1.0669,1.0798,18771.44
1593126000000,1.0855,1.0859,1.0783,1.0791,15155.41
1593122400000,1.095,1.1048,1.0799,1.0856,67516.0
1593118800000,1.073,1.0967,1.0718,1.095,65455.38
1593115200000,1.0654,1.0736,1.0624,1.073,54861.67
1593111600000,1.0582,1.0709,1.055,1.0646,19389.74
1593108000000,1.0714,1.0714,1.0549,1.0582,22218.51
1593104400000,1.0665,1.0701,1.0639,1.07,9212.44
1593100800000,1.0515,1.0712,1.045,1.0663,60398.24
1593097200000,1.0503,1.0542,1.048,1.0493,13176.73
1593093600000,1.0379,1.0511,1.0379,1.0507,20344.16
1593090000000,1.0415,1.048,1.0352,1.0354,12074.76
1593086400000,1.0515,1.0537,1.037,1.0408,18061.85
1593082800000,1.0556,1.0579,1.0513,1.0524,4583.58
1593079200000,1.0574,1.0639,1.0516,1.0529,20155.46
1593075600000,1.0567,1.0651,1.0537,1.0611,30150.43
1593072000000,1.0349,1.0598,1.0349,1.0567,36872.83
1593068400000,1.0501,1.0501,1.0324,1.0349,60115.67
1593064800000,1.0463,1.0522,1.0447,1.0501,36919.13
1593061200000,1.0461,1.0476,1.0374,1.0468,33563.84
1593057600000,1.0433,1.0488,1.0402,1.0444,36192.07
1593054000000,1.0757,1.0766,1.02,1.04,136397.94
1593050400000,1.0659,1.08,1.0659,1.0775,39486.92
1593046800000,1.064,1.0674,1.0629,1.0659,6626.89
