date,open,high,low,close,volume
1593993600000,10.068,10.287,10.058,10.205,222456.469
1593907200000,9.964,10.142,9.614,10.07,385945.662
1593820800000,9.772,10.004,9.753,9.973,237696.203
1593734400000,9.924,10.025,9.732,9.78,212150.978
1593648000000,10.15,10.297,9.66,9.922,399810.85
1593561600000,10.034,10.26,9.907,10.138,283396.911
1593475200000,10.221,10.262,9.982,10.034,183471.055
1593388800000,10.05,10.293,9.914,10.213,289510.149
1593302400000,9.703,10.221,9.58,10.045,293127.456
1593216000000,10.192,10.31,9.309,9.703,356137.486
1593129600000,10.334,10.39,9.978,10.196,391454.32
1593043200000,10.47,10.527,9.903,10.335,397649.024
1592956800000,10.941,11.207,10.259,10.491,673476.168
1592870400000,10.795,11.3,10.616,10.941,574854.45
1592784000000,10.296,10.862,10.25,10.8,462273.529
1592697600000,10.266,10.62,10.18,10.298,359397.308
1592611200000,10.265,10.364,10.036,10.264,257832.851
1592524800000,10.404,10.453,10.134,10.268,265460.755
1592438400000,10.588,10.633,10.234,10.413,265533.413
1592352000000,10.586,10.89,10.277,10.588,380844.134
1592265600000,10.43,10.668,10.363,10.56,315546.21
1592179200000,10.611,10.641,9.718,10.43,732171.957
1592092800000,11.078,11.089,10.446,10.615,275271.027
1592006400000,10.921,11.122,10.744,11.08,306550.782
1591920000000,10.681,11.219,10.51,10.917,443221.163
1591833600000,11.936,11.996,10.374,10.679,983798.204
1591747200000,12.038,12.28,11.75,11.935,441173.611
1591660800000,11.64,12.186,11.443,12.026,438707.152
1591574400000,11.773,11.82,11.501,11.656,203374.443
1591488000000,11.799,11.982,11.27,11.776,376839.567
1591401600000,11.802,11.925,11.485,11.813,336430.9
1591315200000,12.167,12.251,11.795,11.803,302340.372
1591228800000,12.393,12.477,11.739,12.164,698462.436
1591142400000,12.103,12.528,11.671,12.393,730048.044
1591056000000,12.406,13.2,11.255,12.135,2017869.823
1590969600000,10.944,12.715,10.871,12.413,1975864.767
1590883200000,11.034,11.85,10.504,10.945,1344438.365
1590796800000,10.234,11.15,10.14,11.03,799316.806
1590710400000,10.421,10.487,10.053,10.242,334535.744
1590624000000,10.02,10.439,9.908,10.429,465146.579
1590537600000,9.934,10.24,9.858,10.009,387313.905
1590451200000,9.912,10.155,9.577,9.935,565348.156
1590364800000,9.631,9.967,9.546,9.923,372364.985
1590278400000,10.194,10.322,9.613,9.631,508818.391
1590192000000,10.38,10.499,10.104,10.203,452774.503
1590105600000,9.538,10.644,9.382,10.388,956846.136
1590019200000,10.135,10.203,9.201,9.537,433911.106
1589932800000,10.314,10.413,9.951,10.14,327109.437
1589846400000,10.246,10.333,9.94,10.328,374564.919
1589760000000,10.149,10.54,10.149,10.245,515636.612
1589673600000,10.005,10.433,9.967,10.156,458253.977
1589587200000,10.026,10.173,9.875,10.008,314474.531
1589500800000,10.19,10.254,9.8,10.033,391920.192
1589414400000,10.285,10.562,9.91,10.186,623168.739
1589328000000,10.001,10.477,9.812,10.285,543025.438
1589241600000,9.602,10.199,9.567,10.001,566131.999
1589155200000,9.708,10.216,9.256,9.629,955644.814
1589068800000,10.984,11.06,9.362,9.725,1800078.22
1588982400000,11.294,11.65,10.72,10.994,1513657.85
1588896000000,9.891,11.828,9.785,11.301,1453862.315
1588809600000,9.15,9.94,9.001,9.891,920851.299
1588723200000,9.111,9.488,8.99,9.148,637971.447
1588636800000,9.0,9.185,8.845,9.101,307640.716
1588550400000,9.078,9.134,8.61,9.005,446498.175
1588464000000,9.233,9.319,8.697,9.069,457269.971
1588377600000,9.01,9.265,8.928,9.225,300686.565
1588291200000,8.896,9.398,8.883,9.011,486684.584
1588204800000,9.204,9.641,8.617,8.897,919550.858
1588118400000,8.459,9.38,8.459,9.207,928595.897
1588032000000,8.427,8.6,8.252,8.457,320153.247
1587945600000,8.631,8.676,8.145,8.426,380481.38
1587859200000,8.431,8.687,8.295,8.631,509487.02
1587772800000,8.074,8.615,7.914,8.428,724063.739
1587686400000,7.847,8.298,7.827,8.07,692939.476
1587600000000,7.536,8.02,7.404,7.854,674723.314
1587513600000,7.227,7.631,7.201,7.534,420138.458
1587427200000,7.207,7.35,7.136,7.227,258030.007
1587340800000,7.608,7.817,7.118,7.205,586309.215
1587254400000,7.879,7.91,7.45,7.614,449485.134
1587168000000,7.459,7.939,7.456,7.877,383653.22
1587081600000,7.617,7.664,7.428,7.468,276405.07
1586995200000,6.988,7.706,6.813,7.616,766669.279
1586908800000,7.252,7.376,6.965,6.993,319211.361
1586822400000,7.285,7.431,7.142,7.257,327038.201
1586736000000,7.361,7.361,7.007,7.281,365451.7
1586649600000,7.297,7.732,7.177,7.356,367512.298
1586563200000,7.302,7.536,7.139,7.306,282561.586
1586476800000,8.025,8.025,7.1,7.299,640460.972
1586390400000,8.001,8.151,7.792,8.019,448120.617
1586304000000,7.72,8.03,7.651,7.995,475242.689
1586217600000,7.818,8.16,7.458,7.721,898272.852
1586131200000,7.018,7.846,7.007,7.823,721498.396
1586044800000,7.198,7.243,6.89,7.017,271886.832
1585958400000,7.018,7.29,6.866,7.188,391297.512
1585872000000,6.978,7.236,6.86,7.02,415225.98
1585785600000,6.824,7.35,6.768,6.976,883506.775
1585699200000,6.774,6.84,6.401,6.812,584161.48
1585612800000,6.58,6.95,6.514,6.772,496543.315
1585526400000,6.192,6.754,6.171,6.568,405132.857
1585440000000,6.623,6.679,6.13,6.179,410248.693
1585353600000,6.502,6.707,6.225,6.628,592612.671
1585267200000,7.03,7.163,6.421,6.503,366841.818
1585180800000,6.936,7.05,6.72,7.03,347307.661
1585094400000,6.89,7.094,6.609,6.93,654530.313
1585008000000,6.678,6.978,6.525,6.897,884719.436
1584921600000,5.942,6.693,5.832,6.683,945219.246
1584835200000,6.226,6.468,5.862,5.947,802111.592
1584748800000,6.278,6.441,5.862,6.236,932710.154
1584662400000,6.462,7.2,5.701,6.273,1871897.66
1584576000000,5.718,6.82,5.671,6.472,1340815.003
1584489600000,5.631,5.742,5.34,5.726,640712.051
1584403200000,5.399,5.895,5.319,5.626,647732.849
1584316800000,5.979,5.979,4.904,5.394,1244540.967
1584230400000,5.753,6.4,5.674,5.979,698520.267
1584144000000,6.23,6.269,5.651,5.752,592554.218
1584057600000,5.687,6.773,3.89,6.216,2717799.359
1583971200000,9.436,9.585,5.43,5.706,2939317.592
1583884800000,9.858,9.998,8.77,9.43,902242.977
1583798400000,9.901,10.19,9.582,9.87,730960.309
1583712000000,10.053,10.345,9.389,9.902,1065184.461
1583625600000,11.592,11.592,9.884,10.05,824820.018
