date,open,high,low,close,volume
1594022400000,10.216,10.232,10.202,10.21,4576.482
1594018800000,10.231,10.278,10.169,10.216,26310.568
1594015200000,10.255,10.287,10.165,10.234,35202.932
1594011600000,10.172,10.258,10.142,10.248,21427.723
1594008000000,10.128,10.178,10.107,10.17,11017.127
1594004400000,10.165,10.174,10.071,10.131,14655.383
1594000800000,10.215,10.247,10.123,10.163,18881.325
1593997200000,10.067,10.215,10.058,10.215,31403.203
1593993600000,10.068,10.186,10.06,10.061,58408.542
1593990000000,9.868,10.142,9.842,10.07,77808.351
1593986400000,9.761,9.924,9.761,9.869,22506.662
1593982800000,9.762,9.807,9.614,9.757,24724.306
1593979200000,9.801,9.825,9.752,9.77,5355.332
1593975600000,9.794,9.849,9.786,9.803,6557.851
1593972000000,9.77,9.81,9.763,9.794,4359.507
1593968400000,9.751,9.784,9.742,9.773,2944.67
1593964800000,9.771,9.837,9.713,9.749,16853.208
1593961200000,9.748,9.838,9.74,9.766,15720.853
1593957600000,9.723,9.75,9.69,9.748,8052.709
1593954000000,9.742,9.761,9.689,9.726,9927.287
1593950400000,9.755,9.777,9.685,9.746,20717.44
1593946800000,9.729,9.766,9.72,9.753,8660.226
1593943200000,9.734,9.766,9.687,9.724,18815.363
1593939600000,9.812,9.831,9.672,9.742,29769.944
1593936000000,9.826,9.847,9.808,9.815,22021.53
1593932400000,9.822,9.872,9.802,9.828,16994.739
1593928800000,9.872,9.908,9.82,9.837,14191.554
1593925200000,9.941,9.952,9.85,9.876,18220.485
1593921600000,9.901,9.946,9.859,9.942,11801.979
1593918000000,9.894,9.932,9.878,9.894,5490.504
1593914400000,9.969,9.999,9.875,9.893,9337.864
1593910800000,9.963,9.983,9.921,9.975,10607.398
1593907200000,9.964,9.991,9.952,9.957,4505.9
1593903600000,9.945,9.978,9.909,9.973,6793.119
1593900000000,9.907,9.966,9.9,9.948,14267.23
1593896400000,9.929,9.935,9.896,9.905,5058.044
1593892800000,9.967,9.977,9.92,9.927,5775.367
1593889200000,9.945,9.965,9.891,9.954,18191.678
1593885600000,9.968,9.985,9.912,9.95,18372.4
1593882000000,9.873,10.004,9.861,9.96,42612.088
1593878400000,9.846,9.876,9.83,9.873,5661.928
1593874800000,9.862,9.869,9.78,9.846,10919.471
1593871200000,9.897,9.898,9.858,9.861,6519.158
1593867600000,9.835,9.9,9.816,9.892,14233.8
1593864000000,9.858,9.879,9.822,9.837,7946.16
1593860400000,9.835,9.865,9.821,9.861,4799.272
1593856800000,9.846,9.854,9.811,9.832,5390.989
1593853200000,9.872,9.883,9.841,9.844,4755.433
1593849600000,9.877,9.894,9.868,9.87,2181.572
1593846000000,9.87,9.923,9.861,9.873,10396.255
1593842400000,9.898,9.898,9.832,9.871,7874.761
1593838800000,9.871,9.905,9.861,9.901,4035.983
1593835200000,9.902,9.902,9.841,9.871,6302.831
1593831600000,9.95,9.96,9.892,9.893,4640.565
1593828000000,9.872,9.96,9.871,9.945,17671.37
1593824400000,9.845,9.893,9.839,9.879,4768.64
1593820800000,9.772,9.891,9.753,9.856,8528.089
1593817200000,9.851,9.851,9.732,9.78,23495.554
1593813600000,9.871,9.872,9.812,9.851,7380.968
1593810000000,9.869,9.881,9.85,9.864,3809.601
1593806400000,9.875,9.882,9.846,9.875,6228.069
1593802800000,9.92,9.92,9.832,9.867,11541.552
1593799200000,9.913,9.941,9.865,9.929,11782.478
1593795600000,9.926,9.936,9.905,9.913,7873.877
1593792000000,9.951,9.985,9.91,9.926,5032.374
1593788400000,9.924,9.95,9.92,9.931,4636.905
1593784800000,9.939,9.969,9.9,9.924,11773.169
1593781200000,9.963,9.999,9.946,9.949,8552.098
1593777600000,9.955,9.968,9.924,9.949,4947.881
1593774000000,9.902,9.969,9.874,9.945,10814.711
1593770400000,9.916,9.96,9.867,9.902,15978.158
1593766800000,9.956,9.999,9.867,9.925,9217.813
1593763200000,9.941,10.0,9.941,9.955,11938.442
1593759600000,9.926,9.969,9.91,9.945,7740.899
1593756000000,9.965,9.986,9.913,9.913,6398.975
1593752400000,9.958,9.974,9.905,9.964,8790.418
1593748800000,9.946,9.967,9.898,9.955,2158.718
1593745200000,9.952,9.975,9.933,9.934,1768.501
1593741600000,10.0,10.025,9.95,9.952,4090.688
1593738000000,9.924,10.013,9.909,9.99,6199.813
1593734400000,9.924,9.952,9.856,9.91,19999.316
1593730800000,9.939,9.986,9.906,9.922,5969.077
1593727200000,9.992,10.02,9.89,9.941,19158.274
1593723600000,9.941,10.052,9.916,9.983,10795.669
1593720000000,9.92,9.965,9.862,9.928,5500.383
1593716400000,9.898,9.945,9.801,9.918,21036.712
1593712800000,9.898,9.979,9.792,9.898,35539.771
1593709200000,9.805,9.94,9.764,9.904,21296.83
1593705600000,9.822,9.893,9.66,9.813,61820.415
1593702000000,10.065,10.065,9.8,9.803,77719.732
1593698400000,10.133,10.145,10.057,10.064,5366.387
1593694800000,10.109,10.165,10.079,10.129,17043.148
1593691200000,10.032,10.165,10.023,10.117,13175.308
1593687600000,10.066,10.066,9.989,10.045,10478.07
1593684000000,10.08,10.084,10.026,10.066,6784.424
1593680400000,10.093,10.126,10.062,10.078,4477.23
1593676800000,10.077,10.126,10.041,10.098,6381.361
1593673200000,10.084,10.117,10.072,10.082,7071.558
1593669600000,10.074,10.125,10.033,10.098,13444.312
1593666000000,10.186,10.243,10.075,10.088,14693.896
1593662400000,10.272,10.272,10.165,10.194,5812.582
1593658800000,10.257,10.281,10.23,10.268,9119.991
1593655200000,10.245,10.297,10.238,10.257,15381.688
1593651600000,10.157,10.255,10.146,10.246,4198.399
1593648000000,10.15,10.219,10.118,10.156,7545.633
1593644400000,10.154,10.169,10.132,10.138,2710.309
1593640800000,10.177,10.188,10.104,10.166,10302.506
1593637200000,10.147,10.205,10.128,10.177,11262.258
1593633600000,10.122,10.196,10.112,10.148,7189.132
1593630000000,10.174,10.176,10.072,10.119,16153.567
1593626400000,10.194,10.203,10.16,10.176,8055.229
1593622800000,10.22,10.229,10.18,10.202,5800.541
1593619200000,10.255,10.26,10.191,10.22,15243.715
1593615600000,10.101,10.255,10.099,10.255,23796.122
1593612000000,10.103,10.19,10.052,10.1,70963.607
1593608400000,10.038,10.156,10.016,10.103,16468.524
1593604800000,10.063,10.068,9.995,10.044,8790.541
1593601200000,10.039,10.065,10.028,10.057,1583.6
1593597600000,10.048,10.08,10.041,10.052,5934.31
1593594000000,10.039,10.06,10.022,10.046,6823.034
1593590400000,9.955,10.069,9.907,10.036,22811.542
1593586800000,9.992,10.021,9.95,9.957,7421.007
1593583200000,10.021,10.03,9.945,10.0,7958.753
1593579600000,10.019,10.036,10.002,10.02,3022.303
1593576000000,10.037,10.078,10.022,10.022,5513.057
1593572400000,10.013,10.057,9.961,10.025,4058.019
1593568800000,9.987,10.031,9.982,10.012,3641.663
1593565200000,9.978,9.995,9.943,9.987,1968.19
1593561600000,10.034,10.034,9.927,9.965,15925.382
1593558000000,10.029,10.067,10.029,10.034,2087.491
1593554400000,10.073,10.073,10.022,10.022,1665.446
1593550800000,10.056,10.086,10.056,10.063,3433.626
1593547200000,10.039,10.079,10.033,10.055,3569.849
1593543600000,10.036,10.092,9.982,10.051,18940.591
1593540000000,10.052,10.069,10.024,10.036,5164.07
1593536400000,10.136,10.136,10.024,10.058,7579.542
1593532800000,10.141,10.162,10.113,10.135,4073.483
1593529200000,10.154,10.174,10.102,10.147,10773.278
1593525600000,10.107,10.156,10.1,10.151,10702.337
1593522000000,10.101,10.145,10.02,10.108,28177.22
1593518400000,10.16,10.16,10.082,10.108,11668.937
1593514800000,10.156,10.184,10.145,10.16,4754.456
1593511200000,10.177,10.192,10.15,10.181,6464.775
