date,open,high,low,close,volume
1594022400000,0.0214,0.02149,0.0214,0.02149,46051.5
1594018800000,0.02138,0.02148,0.02126,0.0214,206276.2
1594015200000,0.02126,0.02139,0.02126,0.02128,140199.0
1594011600000,0.02117,0.0213,0.02116,0.02126,161247.8
1594008000000,0.02109,0.0212,0.02109,0.02117,56933.2
1594004400000,0.02113,0.02122,0.02105,0.0212,271519.8
1594000800000,0.02112,0.02121,0.02107,0.02113,58432.0
1593997200000,0.02115,0.02127,0.02105,0.02114,52145.4
1593993600000,0.02104,0.02115,0.02104,0.02109,21204.8
1593990000000,0.02077,0.02119,0.02074,0.02111,315168.1
1593986400000,0.02077,0.02085,0.02067,0.02079,134500.6
1593982800000,0.02079,0.02079,0.02044,0.02077,501696.0
1593979200000,0.02067,0.02087,0.02067,0.0208,98492.3
1593975600000,0.02071,0.02082,0.02067,0.02068,69142.8
1593972000000,0.0207,0.0207,0.0207,0.0207,24680.3
1593968400000,0.02068,0.02068,0.02068,0.02068,7358.0
1593964800000,0.02087,0.0209,0.02067,0.02068,175150.9
1593961200000,0.02076,0.02091,0.02068,0.02088,336119.8
1593957600000,0.02067,0.02071,0.02062,0.02067,502466.0
1593954000000,0.0207,0.02076,0.0206,0.0207,213205.0
1593950400000,0.0207,0.02073,0.02047,0.0206,452423.5
1593946800000,0.02095,0.02097,0.02069,0.02078,456351.6
1593943200000,0.0211,0.02116,0.02084,0.02085,816583.0
1593939600000,0.02137,0.02143,0.0211,0.0212,299487.1
1593936000000,0.02142,0.02151,0.02132,0.02139,80370.8
1593932400000,0.02147,0.02147,0.02112,0.02128,336199.8
1593928800000,0.0214,0.02151,0.02131,0.02148,110822.7
1593925200000,0.0216,0.02166,0.0214,0.0214,85059.9
1593921600000,0.02163,0.02173,0.02163,0.02173,34682.7
1593918000000,0.02181,0.02184,0.02159,0.02161,273410.0
1593914400000,0.02169,0.02169,0.02167,0.02167,35643.5
1593910800000,0.02193,0.02196,0.02163,0.02178,218566.5
1593907200000,0.02215,0.02216,0.02172,0.02195,312580.7
1593903600000,0.02198,0.02214,0.02191,0.02202,183141.2
1593900000000,0.02186,0.022,0.02185,0.02194,308954.0
1593896400000,0.02191,0.02198,0.02186,0.02186,48635.5
1593892800000,0.02208,0.02224,0.02185,0.02191,515974.7
1593889200000,0.02159,0.0221,0.0215,0.02207,254666.8
1593885600000,0.02171,0.02171,0.02151,0.02159,252134.2
1593882000000,0.0214,0.02163,0.02138,0.02161,1037478.0
1593878400000,0.02152,0.02168,0.0214,0.02144,604102.3
1593874800000,0.02142,0.02151,0.02132,0.02138,83289.4
1593871200000,0.02141,0.0215,0.0214,0.0215,183471.0
1593867600000,0.02141,0.02145,0.02131,0.02136,110782.3
1593864000000,0.02147,0.02149,0.02136,0.02136,104831.9
1593860400000,0.02149,0.02154,0.02136,0.0215,436357.4
1593856800000,0.0218,0.0219,0.0213,0.02151,1630857.6
