date,open,high,low,close,volume
1593993600000,0.6252,0.72,0.6141,0.6881,1639987.51
1593907200000,0.564,0.6322,0.562,0.6252,3022785.95
1593820800000,0.5684,0.5751,0.5534,0.5628,641696.65
1593734400000,0.5252,0.5826,0.518,0.5697,1397725.7
1593648000000,0.5513,0.5596,0.5,0.5251,1388286.68
1593561600000,0.5182,0.5539,0.4971,0.5513,1720568.39
1593475200000,0.5099,0.5323,0.5086,0.5207,916842.24
1593388800000,0.5269,0.5347,0.4954,0.5127,1227458.31
1593302400000,0.4634,0.5427,0.4561,0.5267,2584662.63
1593216000000,0.492,0.5058,0.4511,0.4634,1400749.03
1593129600000,0.5043,0.521,0.4766,0.492,1087965.77
1593043200000,0.5044,0.508,0.465,0.5027,1662190.22
1592956800000,0.5335,0.5799,0.4805,0.5046,3078288.46
1592870400000,0.4625,0.5552,0.4609,0.5335,3400821.4
1592784000000,0.4125,0.4625,0.4104,0.4625,1200977.99
1592697600000,0.4042,0.4377,0.4042,0.4125,982869.53
1592611200000,0.41,0.4275,0.3942,0.4064,751023.11
1592524800000,0.392,0.418,0.376,0.4077,663161.43
1592438400000,0.4071,0.4117,0.3775,0.392,968387.87
1592352000000,0.3702,0.4328,0.3668,0.4071,2270193.95
1592265600000,0.3564,0.3716,0.351,0.3695,509860.87
1592179200000,0.351,0.3619,0.3131,0.3564,1391063.2
1592092800000,0.3529,0.3749,0.346,0.3534,834291.07
1592006400000,0.3485,0.3589,0.3431,0.353,790894.55
1591920000000,0.3332,0.3528,0.3106,0.3484,1162460.34
1591833600000,0.3421,0.3629,0.31,0.3362,1646502.77
1591747200000,0.347,0.3494,0.3386,0.3443,906792.2
1591660800000,0.3516,0.3561,0.3419,0.3471,647741.74
1591574400000,0.3354,0.3762,0.3316,0.3516,1461836.85
1591488000000,0.3289,0.3418,0.3108,0.3375,577535.65
1591401600000,0.3238,0.3484,0.3183,0.3298,545745.21
1591315200000,0.3316,0.3422,0.3206,0.3238,399412.4
1591228800000,0.3249,0.35,0.323,0.3313,1147132.03
1591142400000,0.3099,0.3264,0.3031,0.3249,562736.11
1591056000000,0.3205,0.3337,0.2874,0.3099,1029160.69
1590969600000,0.3139,0.3253,0.3098,0.321,724840.92
1590883200000,0.3252,0.3391,0.31,0.3116,1132455.44
1590796800000,0.3217,0.35,0.3144,0.3238,1868014.59
1590710400000,0.2795,0.373,0.2782,0.3226,5435864.45
1590624000000,0.27,0.2978,0.2625,0.2797,1368827.57
1590537600000,0.2572,0.2942,0.2556,0.268,1738231.89
1590451200000,0.2417,0.2587,0.2386,0.2572,1007232.78
1590364800000,0.225,0.2418,0.2237,0.2395,519389.97
1590278400000,0.2344,0.2445,0.2258,0.2259,344113.06
1590192000000,0.2426,0.2459,0.2292,0.2342,576076.26
1590105600000,0.2197,0.254,0.2197,0.2426,1094115.44
1590019200000,0.224,0.2329,0.2126,0.2197,390972.05
1589932800000,0.2257,0.2357,0.2207,0.224,678646.04
1589846400000,0.2244,0.2288,0.221,0.2242,331026.32
1589760000000,0.2242,0.2284,0.22,0.2245,232498.58
1589673600000,0.2183,0.2287,0.2157,0.2245,258856.01
1589587200000,0.2141,0.2223,0.2126,0.2183,222240.65
1589500800000,0.2182,0.2183,0.2113,0.2141,270944.28
1589414400000,0.2166,0.2223,0.213,0.2166,240395.68
1589328000000,0.2039,0.2219,0.2039,0.215,523501.97
1589241600000,0.1887,0.2103,0.188,0.2048,334261.37
1589155200000,0.2003,0.2008,0.1804,0.1901,266684.52
1589068800000,0.2237,0.225,0.19,0.1979,583711.82
1588982400000,0.2298,0.2319,0.221,0.2226,374054.09
1588896000000,0.2182,0.2326,0.2155,0.2298,512491.77
1588809600000,0.218,0.2249,0.2126,0.2185,276038.53
1588723200000,0.2178,0.2249,0.215,0.218,284380.13
1588636800000,0.2159,0.2363,0.2139,0.2191,506752.39
1588550400000,0.2185,0.2206,0.205,0.2159,518070.05
1588464000000,0.2275,0.2391,0.215,0.2186,549816.55
1588377600000,0.2261,0.2354,0.2237,0.2276,645447.08
1588291200000,0.2194,0.2293,0.2183,0.2268,742139.17
1588204800000,0.2194,0.2621,0.2071,0.2199,2457347.45
