date,open,high,low,close,volume
1594022400000,0.6765,0.6855,0.6721,0.684,69975.75
1594018800000,0.6612,0.72,0.6589,0.6793,684079.44
1594015200000,0.6653,0.6657,0.6551,0.6612,124095.74
1594011600000,0.6506,0.6673,0.6506,0.6668,70547.85
1594008000000,0.6534,0.6772,0.65,0.6505,217797.29
1594004400000,0.6436,0.6553,0.6388,0.6517,66121.3
1594000800000,0.6515,0.66,0.6362,0.6436,147253.46
1593997200000,0.6227,0.6515,0.6212,0.6503,174574.01
1593993600000,0.6252,0.6292,0.6141,0.6209,72421.32
1593990000000,0.6098,0.6272,0.6094,0.6252,74743.02
1593986400000,0.6124,0.6139,0.6052,0.6071,20389.71
1593982800000,0.6177,0.6244,0.5983,0.6125,209056.05
1593979200000,0.61,0.6249,0.61,0.6159,76175.12
1593975600000,0.609,0.6143,0.6089,0.6123,38295.58
1593972000000,0.6242,0.625,0.604,0.6082,82566.67
1593968400000,0.624,0.625,0.6189,0.6242,58993.78
1593964800000,0.6124,0.6268,0.6124,0.624,76094.9
1593961200000,0.6076,0.6195,0.6054,0.6136,84745.78
1593957600000,0.5898,0.6194,0.5873,0.6075,137932.84
1593954000000,0.6056,0.6113,0.5875,0.5906,117143.59
1593950400000,0.6264,0.6322,0.6026,0.6069,171857.09
1593946800000,0.6112,0.6264,0.6025,0.6261,103409.28
1593943200000,0.6131,0.6154,0.5981,0.6092,301551.21
1593939600000,0.5979,0.63,0.5977,0.613,669588.73
1593936000000,0.592,0.601,0.5834,0.5979,84353.15
1593932400000,0.6016,0.6068,0.5866,0.5926,128141.68
1593928800000,0.5948,0.6108,0.5778,0.6057,225740.2
1593925200000,0.5865,0.6059,0.5836,0.5904,224735.4
1593921600000,0.5719,0.5869,0.5719,0.5869,73923.97
1593918000000,0.5706,0.5725,0.5681,0.5718,16943.14
1593914400000,0.5664,0.5706,0.5663,0.5677,10498.27
1593910800000,0.5642,0.5664,0.562,0.5644,14191.43
1593907200000,0.564,0.5645,0.562,0.5644,21715.36
1593903600000,0.562,0.5645,0.562,0.5628,5707.82
1593900000000,0.5612,0.5648,0.561,0.5645,1518.36
1593896400000,0.5652,0.5663,0.5601,0.5612,7843.41
1593892800000,0.562,0.5666,0.562,0.5655,4038.71
1593889200000,0.5638,0.5645,0.5579,0.5645,6542.94
1593885600000,0.5658,0.567,0.5607,0.5607,23776.81
1593882000000,0.555,0.5676,0.555,0.5635,54262.47
1593878400000,0.5573,0.5594,0.5534,0.5554,49174.15
1593874800000,0.5607,0.5628,0.5574,0.5574,10983.93
1593871200000,0.5576,0.5666,0.5576,0.5603,46315.51
1593867600000,0.5571,0.5576,0.5534,0.5576,14999.2
1593864000000,0.5595,0.5595,0.5549,0.5549,47874.22
1593860400000,0.5608,0.5636,0.5574,0.5575,32661.74
1593856800000,0.5635,0.5647,0.5602,0.5605,20520.83
1593853200000,0.5596,0.5641,0.5581,0.5635,15753.9
1593849600000,0.5625,0.5663,0.5596,0.5596,23025.74
1593846000000,0.5595,0.5751,0.5583,0.562,92446.98
1593842400000,0.5638,0.5638,0.558,0.5598,15153.46
1593838800000,0.5563,0.5646,0.556,0.563,19656.56
1593835200000,0.5584,0.5598,0.5552,0.5574,11803.19
1593831600000,0.5628,0.5668,0.5557,0.5565,50843.05
1593828000000,0.5648,0.569,0.561,0.563,17123.99
1593824400000,0.5705,0.5705,0.5587,0.5665,39327.95
1593820800000,0.5684,0.5715,0.5641,0.5681,30341.73
1593817200000,0.5653,0.5698,0.564,0.5697,16231.28
1593813600000,0.572,0.5749,0.5639,0.569,23505.17
