date,open,high,low,close,volume
1594022400000,0.2719,0.2721,0.2696,0.2697,43394.97
1594018800000,0.27,0.2724,0.2693,0.2715,189369.6
1594015200000,0.2662,0.271,0.2661,0.27,191343.43
1594011600000,0.261,0.2665,0.261,0.266,163322.64
1594008000000,0.2629,0.2629,0.26,0.261,138008.76
1594004400000,0.2638,0.2673,0.2619,0.2629,156784.91
1594000800000,0.265,0.2654,0.2635,0.2645,39567.94
1593997200000,0.2672,0.2674,0.2633,0.265,165725.43
1593993600000,0.2628,0.2689,0.2617,0.2673,170954.71
1593990000000,0.2645,0.2656,0.2626,0.2633,82807.4
1593986400000,0.2601,0.2655,0.2596,0.2643,104288.07
1593982800000,0.2619,0.2623,0.2586,0.2605,319457.35
1593979200000,0.2624,0.2649,0.2606,0.2619,117289.35
1593975600000,0.2623,0.2651,0.2623,0.2629,51079.76
1593972000000,0.2614,0.2641,0.2613,0.2627,43172.82
1593968400000,0.2647,0.2659,0.2614,0.2614,54398.07
1593964800000,0.2623,0.2665,0.2622,0.2645,180567.98
1593961200000,0.261,0.2661,0.2606,0.2622,134752.07
1593957600000,0.2598,0.2617,0.2579,0.2606,89782.82
1593954000000,0.2603,0.2626,0.2586,0.26,171521.26
1593950400000,0.263,0.2634,0.2573,0.2604,290884.2
1593946800000,0.262,0.2641,0.262,0.263,57464.06
1593943200000,0.2671,0.2671,0.261,0.2619,386487.2
1593939600000,0.2689,0.2694,0.2671,0.2671,73655.45
1593936000000,0.2713,0.2725,0.2687,0.2694,178690.92
1593932400000,0.2721,0.2747,0.2695,0.2718,274794.85
1593928800000,0.273,0.2749,0.2705,0.2721,236604.1
1593925200000,0.2763,0.2831,0.273,0.273,453538.92
1593921600000,0.2758,0.2779,0.2745,0.2763,89678.62
1593918000000,0.2743,0.276,0.2725,0.2754,202351.59
1593914400000,0.2776,0.2785,0.2736,0.275,128223.01
1593910800000,0.2783,0.2823,0.2763,0.2775,115273.47
1593907200000,0.2845,0.2854,0.278,0.2784,307612.02
1593903600000,0.2836,0.2863,0.2822,0.2845,169434.14
1593900000000,0.2796,0.2901,0.2773,0.2842,501536.45
1593896400000,0.2747,0.2863,0.273,0.2796,535181.19
1593892800000,0.2764,0.2775,0.2728,0.2742,138797.71
1593889200000,0.271,0.29,0.2705,0.2766,1142505.04
1593885600000,0.269,0.2744,0.269,0.2714,257859.95
1593882000000,0.2702,0.2716,0.2679,0.2688,103331.34
1593878400000,0.2696,0.2717,0.2682,0.2702,118559.12
1593874800000,0.2738,0.2747,0.2682,0.2707,223131.73
1593871200000,0.2726,0.275,0.27,0.2742,168227.55
1593867600000,0.2739,0.2768,0.2669,0.2727,444363.31
1593864000000,0.2799,0.2807,0.2727,0.2741,482347.05
1593860400000,0.27,0.288,0.2666,0.2797,1812960.38
1593856800000,0.2714,0.2728,0.2699,0.2704,288202.08
1593853200000,0.2712,0.272,0.266,0.2715,595825.53
1593849600000,0.2663,0.275,0.265,0.2711,954106.31
1593846000000,0.2567,0.275,0.2545,0.2666,1052090.45
1593842400000,0.2557,0.2582,0.2548,0.2572,87701.57
1593838800000,0.2539,0.2558,0.2539,0.2553,61072.99
1593835200000,0.2524,0.2561,0.2522,0.2543,137706.31
1593831600000,0.2554,0.2561,0.2517,0.2525,150458.47
1593828000000,0.2562,0.2571,0.254,0.255,153679.59
1593824400000,0.2544,0.257,0.2534,0.2561,83290.88
1593820800000,0.2533,0.2555,0.2527,0.2544,82844.96
1593817200000,0.2594,0.2601,0.2526,0.2535,175627.47
1593813600000,0.2587,0.2602,0.2587,0.2594,36274.29
1593810000000,0.2585,0.2612,0.2585,0.2587,50182.41
1593806400000,0.2609,0.2619,0.2585,0.2586,77694.31
1593802800000,0.2631,0.266,0.26,0.2609,211292.74
1593799200000,0.2595,0.2685,0.2595,0.2631,325613.12
1593795600000,0.2566,0.2602,0.2551,0.2602,82149.62
1593792000000,0.2588,0.259,0.2562,0.2566,145011.29
1593788400000,0.2585,0.2637,0.258,0.2586,296327.62
1593784800000,0.2597,0.2601,0.258,0.2584,293243.65
1593781200000,0.254,0.2603,0.254,0.2597,346335.52
1593777600000,0.2499,0.256,0.2494,0.254,240946.02
1593774000000,0.2486,0.2519,0.2474,0.2498,149188.92
1593770400000,0.249,0.2498,0.2466,0.2487,212446.2
1593766800000,0.2502,0.2512,0.2489,0.2493,140552.97
1593763200000,0.2498,0.251,0.2494,0.2503,46304.49
1593759600000,0.2514,0.2522,0.2493,0.2495,169021.99
1593756000000,0.2522,0.2532,0.2511,0.2514,51610.82
1593752400000,0.2511,0.2534,0.2504,0.2522,29496.6
1593748800000,0.2507,0.252,0.2504,0.2511,86868.38
1593745200000,0.2504,0.2529,0.2504,0.2508,58202.85
1593741600000,0.2514,0.2517,0.2502,0.2505,55989.9
1593738000000,0.251,0.2525,0.249,0.2508,143164.5
1593734400000,0.2517,0.2517,0.25,0.2509,175284.2
1593730800000,0.2526,0.2533,0.2514,0.2517,37464.01
1593727200000,0.2518,0.254,0.2514,0.2526,107132.2
1593723600000,0.2497,0.2521,0.2489,0.252,184519.55
1593720000000,0.2494,0.2499,0.2483,0.2497,69050.22
1593716400000,0.2512,0.2513,0.2483,0.2499,132187.87
1593712800000,0.2515,0.2534,0.2504,0.2512,111224.6
1593709200000,0.2503,0.2525,0.248,0.2515,205293.71
1593705600000,0.2535,0.2544,0.2443,0.2503,427503.55
1593702000000,0.2629,0.2629,0.2498,0.2531,564152.72
1593698400000,0.2671,0.269,0.2627,0.2632,175051.47
1593694800000,0.2627,0.2673,0.2626,0.2668,169788.9
1593691200000,0.2665,0.2668,0.2626,0.2629,155308.67
1593687600000,0.2648,0.2691,0.2638,0.2669,339910.15
1593684000000,0.2609,0.2652,0.2605,0.2645,209703.72
1593680400000,0.2583,0.2615,0.257,0.2615,122366.63
1593676800000,0.2572,0.2584,0.2568,0.2581,157850.4
1593673200000,0.2574,0.2586,0.2565,0.2579,147209.97
1593669600000,0.2604,0.2605,0.2551,0.2572,335683.6
1593666000000,0.2618,0.2619,0.26,0.2605,111546.11
1593662400000,0.2631,0.2638,0.26,0.2618,168181.44
1593658800000,0.2622,0.2636,0.2616,0.2631,82814.47
1593655200000,0.265,0.2654,0.2615,0.2622,238084.68
1593651600000,0.2645,0.267,0.2634,0.2649,50780.1
1593648000000,0.2649,0.2657,0.263,0.2644,176693.82
1593644400000,0.2662,0.2699,0.263,0.2645,198820.64
1593640800000,0.265,0.2664,0.2648,0.2656,47490.66
1593637200000,0.268,0.2682,0.265,0.265,140839.6
1593633600000,0.2682,0.2699,0.2678,0.2681,70100.15
1593630000000,0.27,0.2715,0.2677,0.2682,88143.13
1593626400000,0.2667,0.2709,0.2658,0.2701,227620.24
1593622800000,0.2685,0.2696,0.2656,0.2667,227898.56
1593619200000,0.2707,0.2709,0.2675,0.2685,314527.94
1593615600000,0.2734,0.2739,0.2687,0.2707,185690.54
1593612000000,0.2737,0.2742,0.2712,0.2734,211613.43
1593608400000,0.2712,0.2745,0.2703,0.2738,290797.83
1593604800000,0.2693,0.272,0.2693,0.2712,141818.43
1593601200000,0.2687,0.2696,0.2678,0.2693,95993.15
1593597600000,0.2681,0.2692,0.2671,0.2692,95289.29
1593594000000,0.2687,0.2702,0.2665,0.2679,112708.57
1593590400000,0.2668,0.2715,0.266,0.2695,303015.8
1593586800000,0.266,0.2674,0.2642,0.2672,166582.82
1593583200000,0.2703,0.2706,0.2652,0.2665,259252.04
1593579600000,0.2703,0.2709,0.2691,0.2703,58918.75
1593576000000,0.2701,0.2714,0.2695,0.27,63134.87
1593572400000,0.2722,0.273,0.2689,0.2701,115289.97
1593568800000,0.2714,0.2729,0.2714,0.2722,70377.53
1593565200000,0.2698,0.273,0.269,0.2716,316316.41
1593561600000,0.2655,0.27,0.2623,0.2699,379062.12
1593558000000,0.2664,0.2678,0.2602,0.2651,773818.4
1593554400000,0.2701,0.271,0.2663,0.2667,151237.39
1593550800000,0.2689,0.2714,0.266,0.2695,460373.84
1593547200000,0.2755,0.277,0.2685,0.2689,715089.43
1593543600000,0.2776,0.2777,0.274,0.276,136362.7
1593540000000,0.2752,0.2812,0.2745,0.2777,302381.8
1593536400000,0.2821,0.2825,0.2745,0.275,430293.17
1593532800000,0.2798,0.283,0.2791,0.2821,206093.89
1593529200000,0.2816,0.2836,0.2791,0.2799,126597.17
1593525600000,0.2803,0.2839,0.2796,0.2821,162760.94
1593522000000,0.2849,0.288,0.279,0.2805,394195.62
1593518400000,0.2849,0.2872,0.2826,0.285,204619.57
1593514800000,0.2884,0.2898,0.2817,0.2848,312484.3
1593511200000,0.2754,0.2911,0.2754,0.2889,714036.5
1593507600000,0.2744,0.2772,0.2732,0.2753,280070.02
1593504000000,0.2785,0.2797,0.2743,0.2744,372391.25
1593500400000,0.2804,0.2821,0.2782,0.2785,238464.05
1593496800000,0.2865,0.2872,0.279,0.281,552575.17
1593493200000,0.2873,0.2873,0.2852,0.2862,170127.28
1593489600000,0.2897,0.292,0.2851,0.2872,202580.21
1593486000000,0.2854,0.2917,0.2846,0.2897,260433.87
1593482400000,0.2933,0.2936,0.2844,0.2853,508438.26
1593478800000,0.2889,0.2966,0.2885,0.2932,525770.48
1593475200000,0.2847,0.2887,0.2847,0.2887,224060.54
1593471600000,0.288,0.2894,0.2845,0.2853,338009.74
1593468000000,0.2885,0.2886,0.2861,0.2886,238216.09
1593464400000,0.2875,0.2888,0.284,0.2888,319670.43
1593460800000,0.2969,0.2989,0.285,0.2876,1265488.28
1593457200000,0.285,0.298,0.285,0.2969,1171525.54
1593453600000,0.284,0.288,0.2814,0.2853,663349.22
1593450000000,0.2771,0.2842,0.276,0.284,400638.04
1593446400000,0.273,0.2785,0.2718,0.2766,146149.13
1593442800000,0.2766,0.2783,0.2724,0.2733,222878.78
1593439200000,0.2723,0.2794,0.2689,0.2766,798361.66
1593435600000,0.2814,0.2826,0.2714,0.2727,538291.25
1593432000000,0.2761,0.2841,0.2732,0.2814,711632.52
1593428400000,0.2789,0.2791,0.272,0.2765,758986.91
1593424800000,0.2917,0.3,0.2789,0.2789,2366395.06
1593421200000,0.2666,0.2928,0.2655,0.2918,2474990.05
1593417600000,0.2583,0.2666,0.2576,0.2666,412113.07
1593414000000,0.2543,0.2584,0.2531,0.2583,145998.97
1593410400000,0.2538,0.2549,0.2531,0.2543,64242.39
1593406800000,0.2536,0.2552,0.2531,0.2536,59528.72
1593403200000,0.2532,0.2542,0.2525,0.2532,56186.91
1593399600000,0.2539,0.2569,0.253,0.2532,160167.24
1593396000000,0.2541,0.257,0.2531,0.2539,109113.23
1593392400000,0.2564,0.2565,0.2521,0.2542,272115.76
1593388800000,0.2576,0.2589,0.2562,0.2564,122315.07
1593385200000,0.2538,0.2591,0.2537,0.2578,157828.67
1593381600000,0.2537,0.2552,0.2519,0.2537,150707.16
1593378000000,0.2541,0.2543,0.2513,0.2536,100795.45
1593374400000,0.2555,0.257,0.2498,0.2543,382653.03
1593370800000,0.26,0.2605,0.2537,0.255,217502.05
1593367200000,0.2579,0.261,0.2576,0.2607,158044.51
1593363600000,0.2634,0.2638,0.2572,0.2583,200543.97
1593360000000,0.2658,0.2678,0.2629,0.2636,326644.65
1593356400000,0.2576,0.2658,0.257,0.2658,318053.01
1593352800000,0.2547,0.2589,0.2532,0.2576,191827.61
1593349200000,0.2586,0.2588,0.2543,0.2545,197254.28
1593345600000,0.2568,0.2609,0.2563,0.2583,342057.44
1593342000000,0.2552,0.2596,0.2547,0.2568,361178.68
1593338400000,0.2531,0.2654,0.2527,0.2552,849644.74
1593334800000,0.2483,0.2546,0.2482,0.2532,357430.84
1593331200000,0.2466,0.2493,0.2457,0.2489,131260.96
1593327600000,0.2468,0.2472,0.245,0.2466,166328.72
1593324000000,0.2387,0.2478,0.2387,0.2469,272124.59
1593320400000,0.2399,0.242,0.2374,0.2389,100947.16
1593306000000,0.2397,0.2419,0.2365,0.24,205453.89
1593302400000,0.2424,0.2424,0.2395,0.2396,150450.22
1593298800000,0.2382,0.2449,0.2357,0.2421,277627.53
1593295200000,0.2453,0.2469,0.2361,0.2379,667052.62
1593291600000,0.244,0.2468,0.2423,0.2455,259794.15
1593288000000,0.2423,0.2473,0.2418,0.2439,213399.7
1593284400000,0.2546,0.2559,0.2424,0.243,439962.95
1593280800000,0.2515,0.2565,0.2504,0.2551,263492.17
1593277200000,0.2529,0.2544,0.2512,0.2515,334598.49
1593273600000,0.2625,0.2625,0.251,0.2529,476759.4
1593270000000,0.2655,0.2658,0.261,0.2625,246008.53
1593266400000,0.265,0.2669,0.2649,0.2655,71623.0
