date,open,high,low,close,volume
1593993600000,1.4951,1.5582,1.4933,1.5281,589195.87
1593907200000,1.5166,1.5217,1.4534,1.4951,1463230.04
1593820800000,1.4436,1.56,1.4341,1.5166,2802392.32
1593734400000,1.4161,1.4521,1.3896,1.4433,1274648.11
1593648000000,1.4637,1.4797,1.3949,1.4186,1632474.99
1593561600000,1.4654,1.4923,1.4514,1.4642,865470.8
1593475200000,1.4714,1.4938,1.4481,1.4677,649519.87
1593388800000,1.4254,1.5004,1.3729,1.4689,1188191.85
1593302400000,1.3904,1.4634,1.3461,1.4253,1178141.93
1593216000000,1.4607,1.4619,1.2961,1.3905,1533941.44
1593129600000,1.4714,1.4779,1.446,1.4592,519882.99
1593043200000,1.5148,1.516,1.4461,1.4719,764358.3
1592956800000,1.5659,1.5917,1.4787,1.5154,892555.28
1592870400000,1.6246,1.6807,1.5625,1.5664,1122150.84
1592784000000,1.4525,1.64,1.4505,1.6246,2728442.83
1592697600000,1.4685,1.483,1.4501,1.4512,396026.88
1592611200000,1.4606,1.4981,1.436,1.4702,708846.54
1592524800000,1.4746,1.4872,1.4391,1.4603,599519.15
1592438400000,1.511,1.523,1.4501,1.4787,564169.23
1592352000000,1.5265,1.5336,1.4825,1.5136,609426.26
1592265600000,1.5057,1.55,1.487,1.5271,720592.15
1592179200000,1.5632,1.5723,1.404,1.5037,1305229.74
1592092800000,1.6203,1.6203,1.5229,1.564,887691.18
1592006400000,1.5527,1.6793,1.547,1.6187,1289276.42
1591920000000,1.5044,1.5847,1.4943,1.553,584655.95
1591833600000,1.649,1.6562,1.4849,1.5076,1181253.34
1591747200000,1.6487,1.7007,1.6203,1.6499,854368.33
1591660800000,1.678,1.699,1.625,1.648,1010801.96
1591574400000,1.6938,1.7078,1.6681,1.678,547047.55
1591488000000,1.7098,1.7405,1.6553,1.6961,807701.19
1591401600000,1.6423,1.7649,1.6166,1.7079,1412395.63
1591315200000,1.6941,1.6965,1.6413,1.6428,678873.15
1591228800000,1.7102,1.7223,1.6613,1.6906,720605.63
1591142400000,1.7373,1.7787,1.6947,1.712,1482286.28
1591056000000,1.7175,1.7889,1.5804,1.7361,3016831.93
1590969600000,1.5075,1.7899,1.481,1.7181,8944613.2
1590883200000,1.5791,1.5794,1.4631,1.5081,2449314.56
1590796800000,1.6041,1.6094,1.5325,1.5768,2040393.21
1590710400000,1.6064,1.6667,1.5836,1.6029,1916656.17
1590624000000,1.6422,1.664,1.583,1.6064,2108469.23
1590537600000,1.6532,1.7267,1.6168,1.6448,2864257.37
1590451200000,1.7232,1.777,1.57,1.6523,3582616.49
1590364800000,1.5373,1.8679,1.5254,1.7232,8697805.46
1590278400000,1.8705,1.9259,1.5256,1.5367,9184919.12
1590192000000,1.8003,2.095,1.798,1.8737,10913757.36
1590105600000,1.5427,2.2268,1.4787,1.8003,33168978.19
1590019200000,1.1673,1.5984,1.1418,1.5427,18676313.75
1589932800000,1.1795,1.21,1.12,1.1679,4843475.85
1589846400000,1.0191,1.1955,0.957,1.1794,7547231.72
1589760000000,0.9761,1.0593,0.935,1.0218,2966472.05
1589673600000,0.9323,1.017,0.9143,0.9721,2568076.48
1589587200000,0.9564,0.9585,0.9157,0.9323,1615139.66
1589500800000,0.943,1.0791,0.9311,0.9551,7511859.84
1589414400000,0.7635,1.0041,0.7507,0.9453,7807425.95
1589328000000,0.7172,0.782,0.7101,0.7635,382215.45
1589241600000,0.6628,0.7489,0.6623,0.7172,498263.66
1589155200000,0.675,0.685,0.6259,0.6665,728091.23
1589068800000,0.7402,0.7419,0.6301,0.675,934645.76
1588982400000,0.7614,0.7769,0.7336,0.7409,565618.75
1588896000000,0.7095,0.8255,0.7001,0.7625,1217709.05
1588809600000,0.6805,0.7146,0.675,0.7076,307873.58
1588723200000,0.7099,0.7219,0.68,0.682,329959.46
1588636800000,0.7181,0.7299,0.6933,0.7099,248907.0
1588550400000,0.7266,0.7291,0.6685,0.7177,428584.17
1588464000000,0.7511,0.7617,0.721,0.7266,341859.23
1588377600000,0.7537,0.7562,0.7316,0.7511,392429.85
1588291200000,0.7392,0.7749,0.7369,0.7536,516200.01
1588204800000,0.7681,0.8167,0.7169,0.7392,2516039.18
1588118400000,0.6695,0.7958,0.661,0.7687,1939226.66
1588032000000,0.6578,0.6703,0.6389,0.6682,266030.33
1587945600000,0.6632,0.6876,0.6409,0.6585,475015.49
1587859200000,0.6301,0.6625,0.6301,0.6604,363070.16
1587772800000,0.617,0.634,0.5881,0.6316,373763.35
1587686400000,0.5967,0.6195,0.5914,0.6169,264142.72
1587600000000,0.5782,0.625,0.5746,0.5956,430313.03
1587513600000,0.5621,0.589,0.555,0.5777,551203.44
1587427200000,0.5418,0.6163,0.5339,0.5621,1122629.36
1587340800000,0.5776,0.5907,0.5261,0.5423,441925.51
1587254400000,0.5975,0.5993,0.5706,0.5799,227674.24
1587168000000,0.5715,0.5991,0.566,0.5959,306210.47
1587081600000,0.5643,0.58,0.557,0.5685,270424.79
1586995200000,0.5246,0.5726,0.5035,0.5643,622387.48
1586908800000,0.5522,0.5617,0.5028,0.5256,277464.42
1586822400000,0.5548,0.567,0.547,0.5523,233170.34
1586736000000,0.5656,0.5656,0.5383,0.5548,226494.17
1586649600000,0.5639,0.5904,0.5515,0.5646,230557.55
1586563200000,0.5554,0.5731,0.5515,0.5631,211822.6
1586476800000,0.6069,0.6098,0.5341,0.5556,578060.12
1586390400000,0.6255,0.6266,0.5984,0.608,477370.78
1586304000000,0.5996,0.634,0.5913,0.6238,289833.29
1586217600000,0.598,0.636,0.5888,0.6005,717457.89
1586131200000,0.5405,0.6,0.5399,0.599,507675.56
1586044800000,0.5513,0.5596,0.535,0.5416,185912.83
1585958400000,0.5442,0.5595,0.5378,0.5513,269180.06
1585872000000,0.5527,0.5797,0.538,0.5439,501145.82
1585785600000,0.5354,0.5633,0.5248,0.5527,769002.8
1585699200000,0.5161,0.5375,0.4982,0.5337,227726.96
1585612800000,0.5079,0.5183,0.5051,0.516,157725.22
1585526400000,0.4678,0.5268,0.4666,0.5082,353762.78
1585440000000,0.5051,0.5077,0.4626,0.4682,205591.58
1585353600000,0.503,0.513,0.475,0.5051,371009.65
1585267200000,0.5211,0.5279,0.4993,0.5032,285091.93
1585180800000,0.5123,0.5228,0.5035,0.5208,190326.97
1585094400000,0.5283,0.5339,0.4923,0.5096,315059.71
1585008000000,0.5065,0.5338,0.4931,0.531,574796.9
1584921600000,0.4761,0.5309,0.4679,0.5057,726906.36
1584835200000,0.5252,0.5451,0.4743,0.477,356136.26
1584748800000,0.5324,0.5447,0.4935,0.5231,318288.49
1584662400000,0.5428,0.5996,0.475,0.53,833826.23
1584576000000,0.4673,0.5592,0.4643,0.5429,644173.76
1584489600000,0.4652,0.4843,0.4249,0.4644,485135.36
1584403200000,0.4383,0.4835,0.4311,0.4697,397008.8
1584316800000,0.4904,0.4999,0.3961,0.4349,628611.11
1584230400000,0.4684,0.5262,0.4637,0.4939,514262.26
1584144000000,0.5014,0.5166,0.4638,0.4684,555712.4
1584057600000,0.4121,0.5453,0.3031,0.5034,1456638.51
1583971200000,0.754,0.7569,0.3882,0.4069,1457769.59
1583884800000,0.7898,0.8021,0.7184,0.7522,491055.13
1583798400000,0.788,0.8065,0.7709,0.7904,396399.09
1583712000000,0.7687,0.8142,0.7331,0.7883,840590.97
1583625600000,0.9058,0.9058,0.755,0.7655,954840.81
1583539200000,0.9365,0.9702,0.9023,0.9058,313843.06
1583452800000,0.9272,0.9483,0.9203,0.9392,149764.54
1583366400000,0.898,0.9475,0.898,0.9253,225360.09
1583280000000,0.8862,0.9083,0.8788,0.8969,227592.13
1583193600000,0.8949,0.9,0.8641,0.8864,191733.32
1583107200000,0.841,0.907,0.8294,0.8949,263957.57
1583020800000,0.8262,0.8624,0.804,0.841,461545.16
1582934400000,0.8562,0.8777,0.8225,0.8225,245111.8
1582848000000,0.8984,0.9134,0.8228,0.855,590926.16
1582761600000,0.856,0.9524,0.8016,0.8951,532377.69
1582675200000,0.9823,1.0054,0.8258,0.856,550088.17
1582588800000,1.0671,1.0677,0.9745,0.9893,361344.37
1582502400000,1.1341,1.1404,1.0434,1.0671,251756.18
1582416000000,1.1068,1.1683,1.0996,1.1389,243975.9
1582329600000,1.094,1.11,1.0554,1.1046,140101.21
1582243200000,1.079,1.1219,1.0678,1.0929,177949.67
1582156800000,1.0981,1.1348,1.0239,1.081,504421.32
1582070400000,1.2,1.2194,1.0868,1.0986,276805.99
1581984000000,1.1712,1.2208,1.1051,1.1974,331843.33
1581897600000,1.1773,1.1901,1.0545,1.1726,857497.84
1581811200000,1.2868,1.3421,1.078,1.182,881266.39
1581724800000,1.3715,1.46,1.2351,1.2868,670845.81
1581638400000,1.2793,1.3877,1.2527,1.371,425365.95
1581552000000,1.247,1.3113,1.2042,1.2846,874754.77
1581465600000,1.1979,1.5,1.1731,1.2495,1064328.8
1581379200000,1.1227,1.2,0.9974,1.1979,626627.86
1581292800000,1.1372,1.152,1.0661,1.1236,461123.48
1581206400000,1.1557,1.172,1.0922,1.1323,377304.92
1581120000000,1.1322,1.172,0.989,1.1608,449850.98
1581033600000,1.1215,1.1818,1.1167,1.1322,453752.03
1580947200000,1.0358,1.1559,1.0308,1.1183,752745.14
1580860800000,0.9776,1.0444,0.9773,1.0358,331130.78
1580774400000,0.972,1.0,0.9355,0.9776,399692.03
1580688000000,0.968,0.9935,0.9351,0.9721,303037.37
1580601600000,0.9133,1.05,0.9133,0.968,867716.6
1580515200000,0.906,0.9179,0.8948,0.9168,202960.69
1580428800000,0.888,0.9245,0.8704,0.901,365054.77
1580342400000,0.8405,0.8984,0.8253,0.888,458458.29
1580256000000,0.8197,0.8518,0.8155,0.8402,357279.91
1580169600000,0.8085,0.8299,0.7969,0.8205,205674.23
1580083200000,0.7931,0.8317,0.7931,0.8074,295579.64
1579996800000,0.7622,0.8055,0.7552,0.7905,166976.99
1579910400000,0.7735,0.7735,0.7496,0.7607,84102.35
1579824000000,0.762,0.7892,0.7258,0.7754,265600.73
1579737600000,0.8165,0.8173,0.7543,0.7638,229989.38
1579651200000,0.8387,0.8484,0.8068,0.8165,323387.95
1579564800000,0.7791,0.8385,0.775,0.838,304858.82
1579478400000,0.7998,0.8007,0.7512,0.7829,252498.67
1579392000000,0.8392,0.858,0.7582,0.7998,657504.59
1579305600000,0.885,0.8975,0.808,0.8392,643818.62
1579219200000,0.7749,0.896,0.759,0.885,823099.54
1579132800000,0.7973,0.7998,0.7427,0.7749,337996.62
1579046400000,0.7321,0.8241,0.7265,0.7959,915880.84
1578960000000,0.67,0.7476,0.6696,0.735,654940.44
1578873600000,0.6942,0.6968,0.6574,0.6669,111578.28
1578787200000,0.67,0.6943,0.665,0.6943,120126.79
1578700800000,0.6559,0.6891,0.6514,0.6701,185337.7
1578614400000,0.6405,0.6667,0.6297,0.6559,197034.72
1578528000000,0.657,0.657,0.6308,0.6373,104866.96
1578441600000,0.6755,0.6926,0.6383,0.6603,254464.67
1578355200000,0.6857,0.6976,0.6645,0.6706,254152.38
1578268800000,0.6349,0.6864,0.6325,0.6864,238420.06
1578182400000,0.6282,0.65,0.6278,0.6367,98775.38
1578096000000,0.627,0.65,0.6169,0.6246,83724.16
1578009600000,0.5932,0.6267,0.5837,0.6248,143389.21
1577923200000,0.6219,0.6252,0.5851,0.595,188603.7
1577836800000,0.6048,0.6226,0.604,0.6214,46950.59
1577750400000,0.6133,0.6263,0.6039,0.6058,115089.49
1577664000000,0.635,0.64,0.6151,0.6151,118509.45
1577577600000,0.6236,0.6506,0.6133,0.6373,265742.52
