date,open,high,low,close,volume
1594022400000,1.5349,1.5367,1.5264,1.5281,11715.89
1594018800000,1.541,1.5444,1.5193,1.5365,119507.98
1594015200000,1.5487,1.5582,1.531,1.5392,120316.29
1594011600000,1.5369,1.55,1.5369,1.5482,42001.44
1594008000000,1.5158,1.5411,1.5143,1.5376,39656.98
1594004400000,1.5257,1.5268,1.515,1.5187,18545.39
1594000800000,1.5349,1.545,1.5223,1.5235,48796.69
1593997200000,1.5017,1.5374,1.5017,1.5346,64531.94
1593993600000,1.4951,1.5203,1.4933,1.5017,124123.27
1593990000000,1.486,1.499,1.4835,1.4951,21978.44
1593986400000,1.4821,1.4942,1.4818,1.4847,38961.55
1593982800000,1.47,1.4847,1.4534,1.4817,109156.32
1593979200000,1.4723,1.4752,1.47,1.47,21951.38
1593975600000,1.4774,1.4785,1.4713,1.4726,30592.71
1593972000000,1.473,1.4787,1.473,1.4765,26178.6
1593968400000,1.4741,1.4774,1.47,1.4728,36390.86
1593964800000,1.4779,1.4899,1.4682,1.4726,64389.01
1593961200000,1.4824,1.491,1.4778,1.4779,64346.52
1593957600000,1.473,1.4819,1.47,1.4819,47028.77
1593954000000,1.4803,1.4827,1.473,1.473,48321.08
1593950400000,1.4769,1.4933,1.4657,1.4817,88067.94
1593946800000,1.4765,1.4963,1.4762,1.4769,94568.34
1593943200000,1.4699,1.4792,1.469,1.4762,43055.4
1593939600000,1.4905,1.494,1.4618,1.4717,106302.35
1593936000000,1.4813,1.4931,1.4772,1.4911,59598.44
1593932400000,1.4796,1.4863,1.4776,1.4813,50507.15
1593928800000,1.4944,1.499,1.4763,1.4804,129339.14
1593925200000,1.5027,1.5217,1.492,1.4955,144843.34
1593921600000,1.4996,1.5026,1.492,1.5026,40796.9
1593918000000,1.5025,1.5042,1.4931,1.5005,51658.98
1593914400000,1.5174,1.5174,1.5012,1.5014,43762.22
1593910800000,1.5132,1.5187,1.5087,1.5182,40870.3
1593907200000,1.5166,1.5188,1.511,1.5132,60564.3
1593903600000,1.5134,1.5179,1.505,1.5166,56096.97
