date,open,high,low,close,volume
1594022400000,0.2134,0.2176,0.2134,0.2175,107570.59
1594018800000,0.2134,0.2146,0.2111,0.214,306384.11
1594015200000,0.2137,0.2198,0.213,0.2137,606412.54
1594011600000,0.2108,0.2139,0.2098,0.2134,406750.6
1594008000000,0.2071,0.211,0.2071,0.2105,167749.09
1594004400000,0.2064,0.211,0.2047,0.2076,277760.08
1594000800000,0.2068,0.2068,0.2035,0.2065,119883.26
1593997200000,0.2076,0.208,0.2057,0.2068,53962.51
1593993600000,0.2073,0.2083,0.2069,0.2078,66926.29
1593990000000,0.2098,0.2105,0.2068,0.2069,229362.82
1593986400000,0.2089,0.211,0.2089,0.2105,109159.55
1593982800000,0.2069,0.2098,0.2016,0.2086,387820.66
1593979200000,0.2073,0.2083,0.2054,0.2076,147470.63
1593975600000,0.2041,0.2087,0.2041,0.2073,137618.8
1593972000000,0.205,0.2056,0.204,0.2041,120123.67
1593968400000,0.2051,0.2062,0.2048,0.2048,119365.64
1593964800000,0.2055,0.2076,0.2048,0.2048,100248.19
1593961200000,0.2073,0.2073,0.2045,0.205,315926.93
1593957600000,0.2055,0.2079,0.203,0.2069,634154.36
1593954000000,0.214,0.2147,0.2045,0.2057,623881.03
1593950400000,0.2065,0.2146,0.2061,0.2141,845013.38
1593946800000,0.2073,0.2085,0.2061,0.2072,105276.48
1593943200000,0.2055,0.2084,0.2047,0.2076,149389.9
1593939600000,0.2094,0.21,0.2051,0.206,222070.15
1593936000000,0.2061,0.2094,0.2052,0.2091,199163.39
1593932400000,0.2038,0.2066,0.2038,0.2061,237388.58
1593928800000,0.2058,0.2071,0.2032,0.204,530331.47
1593925200000,0.2094,0.2103,0.2051,0.2053,607919.58
1593921600000,0.2139,0.2161,0.208,0.2093,562218.5
1593918000000,0.2145,0.2184,0.2139,0.2145,156315.59
1593914400000,0.2166,0.2173,0.2139,0.2148,172811.74
1593910800000,0.2127,0.225,0.2123,0.2173,1075348.07
1593907200000,0.2116,0.2132,0.209,0.2128,431663.08
1593903600000,0.2141,0.2142,0.2074,0.2113,389018.79
1593900000000,0.2093,0.2152,0.2092,0.2137,465518.65
1593896400000,0.2155,0.2156,0.2074,0.2093,937185.6
1593892800000,0.2189,0.219,0.2151,0.2155,164150.2
1593889200000,0.2186,0.219,0.2163,0.2189,179611.35
1593885600000,0.2222,0.223,0.2167,0.2187,437779.03
1593882000000,0.2268,0.2268,0.2211,0.2222,542612.96
1593878400000,0.22,0.228,0.2193,0.2265,419673.26
1593874800000,0.2233,0.2253,0.2171,0.22,663844.51
1593871200000,0.2252,0.2318,0.2222,0.2233,1015934.08
1593867600000,0.2193,0.2253,0.2189,0.2252,945778.49
1593864000000,0.2291,0.2295,0.2181,0.2186,1006821.49
1593860400000,0.2333,0.234,0.224,0.2294,1124243.65
1593856800000,0.2399,0.2409,0.2281,0.2335,2019823.78
1593853200000,0.2253,0.242,0.2248,0.2398,2517253.67
1593849600000,0.22,0.2311,0.2176,0.225,1420867.51
1593846000000,0.2283,0.2329,0.2198,0.2207,2244629.97
1593842400000,0.2145,0.2327,0.2131,0.2284,3606586.36
1593838800000,0.1985,0.2145,0.1969,0.2144,1970703.76
1593835200000,0.198,0.2002,0.1962,0.1984,395903.29
1593831600000,0.1953,0.1979,0.1942,0.1979,102104.28
1593828000000,0.1944,0.1956,0.1941,0.1951,141176.25
1593824400000,0.1972,0.1979,0.1933,0.1944,189229.72
1593820800000,0.1955,0.1984,0.1954,0.1979,151014.26
1593817200000,0.1986,0.1992,0.1945,0.1962,273504.0
1593813600000,0.1951,0.1994,0.1945,0.199,304081.68
1593810000000,0.1958,0.1963,0.1938,0.1946,206090.99
1593806400000,0.1954,0.1962,0.1941,0.1962,245950.27
1593802800000,0.1987,0.199,0.1955,0.1959,165597.4
1593799200000,0.1969,0.1999,0.1967,0.1985,192584.23
1593795600000,0.1946,0.1975,0.1945,0.1972,124141.26
1593792000000,0.1949,0.1961,0.1944,0.1946,169609.14
1593788400000,0.1951,0.1959,0.1936,0.1949,429560.24
1593784800000,0.1969,0.1987,0.1939,0.1947,515583.73
1593781200000,0.2021,0.2025,0.1968,0.1971,540505.0
1593777600000,0.1993,0.203,0.1965,0.2021,482158.08
1593774000000,0.1969,0.2004,0.196,0.1989,422584.88
1593770400000,0.1995,0.1995,0.1952,0.1974,846424.8
1593766800000,0.2006,0.2016,0.1982,0.1995,404582.93
1593763200000,0.2027,0.205,0.1986,0.2001,744904.15
1593759600000,0.2068,0.2076,0.202,0.203,233152.02
1593756000000,0.2075,0.2075,0.2058,0.206,124666.71
1593752400000,0.2074,0.2074,0.2056,0.2073,101649.33
1593748800000,0.2133,0.2142,0.2039,0.2074,471242.0
1593745200000,0.2113,0.2147,0.2099,0.2136,213308.18
1593741600000,0.21,0.213,0.2096,0.2113,182458.24
1593738000000,0.2079,0.215,0.2072,0.2097,478113.01
1593734400000,0.2068,0.2085,0.2048,0.2084,233113.04
1593730800000,0.2091,0.2091,0.2048,0.2068,317141.65
1593727200000,0.206,0.2093,0.206,0.209,151788.0
1593723600000,0.208,0.208,0.205,0.206,157289.45
1593720000000,0.2058,0.2082,0.2054,0.2082,139249.62
1593716400000,0.2077,0.2093,0.205,0.2063,159769.38
1593712800000,0.2068,0.209,0.2033,0.2077,604378.54
1593709200000,0.2052,0.2074,0.2007,0.2061,447732.24
1593705600000,0.2061,0.2078,0.1996,0.2051,1192837.55
1593702000000,0.2189,0.2194,0.2052,0.2059,2225282.02
1593698400000,0.223,0.225,0.2184,0.2192,481198.07
1593694800000,0.2162,0.2237,0.216,0.2234,595806.12
1593691200000,0.2186,0.2191,0.216,0.2167,392285.58
1593687600000,0.2188,0.2198,0.2158,0.2186,194819.77
1593684000000,0.2204,0.221,0.218,0.2189,337628.31
1593680400000,0.2192,0.222,0.2153,0.2207,523643.95
1593676800000,0.2209,0.2213,0.2173,0.2197,352692.33
1593673200000,0.2192,0.2237,0.2191,0.2208,469334.72
1593669600000,0.2203,0.2204,0.2153,0.22,562476.07
1593666000000,0.2263,0.2274,0.22,0.2207,664294.85
1593662400000,0.2245,0.2274,0.2235,0.2267,192623.81
1593658800000,0.2261,0.229,0.2228,0.224,552355.6
1593655200000,0.2323,0.234,0.2257,0.2265,351820.72
1593651600000,0.2351,0.2351,0.23,0.2319,440476.74
1593648000000,0.2398,0.2406,0.2337,0.2349,509615.97
1593644400000,0.2384,0.242,0.2379,0.2398,322304.71
1593640800000,0.2371,0.24,0.2368,0.2384,325696.1
1593637200000,0.237,0.2399,0.235,0.2365,160103.53
1593633600000,0.2373,0.2381,0.235,0.237,160437.89
1593630000000,0.2391,0.2404,0.236,0.2367,284301.56
1593626400000,0.2329,0.24,0.2316,0.2392,619402.47
1593622800000,0.231,0.2354,0.2293,0.2329,427224.96
1593619200000,0.2378,0.2378,0.2285,0.231,1553671.4
1593615600000,0.2403,0.2418,0.2358,0.2383,350317.11
1593612000000,0.2376,0.2417,0.2334,0.2404,522780.33
1593608400000,0.2427,0.2434,0.2334,0.2376,1014796.66
1593604800000,0.245,0.245,0.2378,0.2427,582462.35
1593601200000,0.2481,0.2488,0.2403,0.245,829900.89
1593597600000,0.2455,0.25,0.2406,0.2484,1198136.33
1593594000000,0.2369,0.2462,0.2355,0.2452,1126695.11
1593590400000,0.2351,0.2395,0.2329,0.2369,596683.88
1593586800000,0.2345,0.238,0.2336,0.2352,434393.44
1593583200000,0.2311,0.2346,0.2305,0.2346,618846.85
1593579600000,0.2318,0.2329,0.2251,0.2312,804435.9
1593576000000,0.2358,0.238,0.2317,0.2317,587347.16
1593572400000,0.2312,0.2364,0.2289,0.236,1053464.13
1593568800000,0.2405,0.2426,0.2293,0.2312,1055334.18
1593565200000,0.2388,0.2413,0.2369,0.2405,712528.96
1593561600000,0.242,0.2457,0.2324,0.2387,1853024.65
1593558000000,0.2542,0.2568,0.2404,0.242,1553457.58
1593554400000,0.2596,0.2599,0.2519,0.2531,341900.1
1593550800000,0.2614,0.2614,0.2499,0.2597,1170938.76
1593547200000,0.2673,0.2677,0.259,0.2606,191309.08
1593543600000,0.2661,0.2679,0.2585,0.2677,610091.69
1593540000000,0.27,0.2727,0.2665,0.2665,237859.3
1593536400000,0.2638,0.2734,0.2634,0.2698,978231.45
1593532800000,0.2594,0.2646,0.258,0.2633,393588.51
1593529200000,0.2569,0.2615,0.2565,0.259,650578.32
1593525600000,0.2553,0.2583,0.2547,0.2574,388254.7
1593522000000,0.26,0.2607,0.2485,0.2553,1969981.83
1593518400000,0.2594,0.2629,0.2584,0.26,478239.77
1593514800000,0.2632,0.2632,0.2582,0.2599,489144.61
1593511200000,0.2609,0.264,0.2596,0.2632,410334.99
1593507600000,0.2603,0.2616,0.2551,0.2609,868258.2
1593504000000,0.2661,0.2676,0.2585,0.2598,857198.02
1593500400000,0.2623,0.2662,0.2614,0.2661,651744.03
1593496800000,0.2736,0.2737,0.2589,0.2623,1304506.18
1593493200000,0.2759,0.2763,0.2705,0.2736,468544.77
1593489600000,0.2689,0.2774,0.2685,0.2759,658469.93
1593486000000,0.2715,0.2787,0.2678,0.2686,773973.77
1593482400000,0.2867,0.2906,0.2687,0.272,1155503.81
1593478800000,0.2916,0.294,0.284,0.2857,712252.07
1593475200000,0.2896,0.2985,0.2867,0.2922,885811.25
1593471600000,0.2868,0.2928,0.2861,0.2896,445850.81
1593468000000,0.2876,0.2894,0.283,0.2878,628735.15
1593464400000,0.2879,0.289,0.2777,0.2876,787668.26
1593460800000,0.277,0.289,0.276,0.2875,957224.65
1593457200000,0.2787,0.2816,0.2755,0.277,414103.9
1593453600000,0.2805,0.2815,0.2744,0.277,625876.67
1593450000000,0.2769,0.282,0.2767,0.2805,498532.93
1593446400000,0.2713,0.278,0.2712,0.2769,649508.87
1593442800000,0.2759,0.2799,0.27,0.2717,735882.06
1593439200000,0.2674,0.284,0.2671,0.276,1896990.75
1593435600000,0.2751,0.2752,0.2658,0.2674,1150149.32
1593432000000,0.2855,0.2867,0.2714,0.2752,1825284.99
1593428400000,0.2887,0.2939,0.2822,0.2849,1241322.02
1593424800000,0.2893,0.298,0.2803,0.2895,3322001.65
1593421200000,0.2734,0.2945,0.2731,0.2893,4034114.18
1593417600000,0.274,0.277,0.2668,0.274,1179018.32
1593414000000,0.2644,0.2778,0.2612,0.2736,1228902.8
1593410400000,0.2612,0.2693,0.2599,0.265,542552.22
1593406800000,0.2596,0.2664,0.2591,0.2617,1002926.56
1593403200000,0.2582,0.2626,0.2558,0.2596,907994.38
1593399600000,0.2722,0.2795,0.2582,0.2591,1106918.77
1593396000000,0.2646,0.28,0.2629,0.2734,2544815.72
1593392400000,0.2565,0.268,0.2528,0.2641,1624037.99
1593388800000,0.2578,0.2605,0.2521,0.2568,626289.03
1593385200000,0.253,0.261,0.2513,0.2577,320677.39
1593381600000,0.2531,0.2584,0.2485,0.2532,618983.96
1593378000000,0.252,0.2647,0.2491,0.253,2438287.71
1593374400000,0.2487,0.2522,0.2476,0.252,480082.96
1593370800000,0.2548,0.2574,0.2485,0.2485,770625.79
1593367200000,0.2519,0.255,0.2468,0.2549,668882.74
1593363600000,0.2549,0.2571,0.2486,0.2522,1221033.71
1593360000000,0.2481,0.2581,0.243,0.2551,1623505.1
1593356400000,0.2445,0.2496,0.2404,0.2476,1516902.46
1593352800000,0.2515,0.2578,0.242,0.2445,2069460.52
1593349200000,0.255,0.2644,0.2471,0.2509,4183237.39
1593345600000,0.234,0.2758,0.234,0.2554,7315384.1
1593342000000,0.227,0.235,0.2267,0.2335,753986.51
1593338400000,0.225,0.235,0.2246,0.227,570283.0
1593334800000,0.2236,0.2263,0.2223,0.2263,242281.22
1593331200000,0.22,0.2263,0.22,0.2243,458376.95
1593327600000,0.2224,0.2224,0.2163,0.2198,348215.31
1593324000000,0.2145,0.2269,0.2118,0.2212,874628.91
1593320400000,0.2236,0.2236,0.2117,0.2144,693750.96
1593306000000,0.232,0.2325,0.2235,0.2249,273329.26
1593302400000,0.2319,0.2357,0.225,0.232,617023.08
1593298800000,0.2355,0.2362,0.2301,0.2322,282525.18
1593295200000,0.2305,0.24,0.2295,0.2348,1059620.63
1593291600000,0.2179,0.2409,0.2173,0.2308,1725963.11
1593288000000,0.2152,0.219,0.213,0.2179,830072.89
1593284400000,0.2288,0.2296,0.2088,0.2152,1012046.82
1593280800000,0.2291,0.2319,0.224,0.228,384605.51
1593277200000,0.2346,0.2409,0.2263,0.2277,628432.77
1593273600000,0.2346,0.2413,0.232,0.2346,1349354.39
1593270000000,0.2367,0.2368,0.2316,0.235,330096.9
1593266400000,0.2309,0.237,0.2295,0.236,285035.61
1593262800000,0.2313,0.235,0.2297,0.2303,447510.26
1593259200000,0.2323,0.24,0.2295,0.2313,546876.0
1593255600000,0.2334,0.234,0.2278,0.2333,397843.13
1593252000000,0.2343,0.2354,0.2298,0.2334,478785.07
1593248400000,0.2376,0.2376,0.233,0.2343,1327676.78
1593244800000,0.2479,0.2499,0.2351,0.2376,1562751.74
1593241200000,0.2302,0.252,0.2295,0.2483,3053646.41
1593237600000,0.2259,0.234,0.2227,0.2301,1447397.95
1593234000000,0.2247,0.228,0.2215,0.2269,523428.93
1593230400000,0.228,0.2303,0.221,0.2246,834437.98
1593226800000,0.2246,0.2465,0.2246,0.228,1198385.15
1593223200000,0.2394,0.241,0.223,0.2243,2353456.77
1593219600000,0.26,0.2603,0.239,0.2394,1563158.83
1593216000000,0.2575,0.2677,0.2526,0.2602,2020251.7
1593212400000,0.26,0.2607,0.2542,0.2574,880943.4
1593208800000,0.2634,0.2664,0.255,0.2601,1067088.67
1593205200000,0.2718,0.2722,0.2564,0.2634,1386145.27
1593201600000,0.2749,0.2754,0.2666,0.2719,939678.97
1593198000000,0.2688,0.2827,0.2685,0.2745,1860749.28
1593194400000,0.2607,0.2724,0.259,0.268,847555.59
1593190800000,0.2572,0.2659,0.255,0.2603,1237295.1
1593187200000,0.2575,0.2589,0.2507,0.2573,1182965.74
1593183600000,0.2599,0.2691,0.2574,0.2576,1447093.63
1593180000000,0.2669,0.2669,0.248,0.2597,3086744.54
1593176400000,0.2666,0.2701,0.2592,0.267,1918941.35
1593172800000,0.2722,0.2735,0.2585,0.2665,2172928.46
1593169200000,0.2773,0.2846,0.27,0.2726,2614207.17
1593165600000,0.2635,0.2885,0.2627,0.277,6430577.58
1593162000000,0.2488,0.2701,0.246,0.2641,5358128.81
1593158400000,0.2382,0.2515,0.2353,0.2481,1484568.7
1593154800000,0.2548,0.255,0.2302,0.2382,2372796.1
1593151200000,0.2522,0.255,0.233,0.2549,3122865.18
1593147600000,0.234,0.2563,0.234,0.2528,3061953.35
1593144000000,0.2299,0.2352,0.226,0.234,498015.09
1593140400000,0.235,0.2353,0.222,0.23,1313049.19
1593136800000,0.236,0.2394,0.2282,0.2347,1330465.99
1593133200000,0.2288,0.2489,0.222,0.2355,3064173.59
1593129600000,0.2028,0.229,0.2028,0.2288,2821540.56
1593126000000,0.2007,0.2071,0.2005,0.2028,338330.08
1593122400000,0.2014,0.2018,0.1978,0.2018,206142.94
1593118800000,0.2033,0.2033,0.1997,0.2006,385108.44
1593115200000,0.1992,0.204,0.1992,0.2025,702670.4
1593111600000,0.1986,0.204,0.1968,0.1992,846666.54
1593108000000,0.2087,0.2098,0.1963,0.1987,1056666.86
1593104400000,0.2134,0.2195,0.2076,0.2084,1221725.59
1593100800000,0.2051,0.222,0.2031,0.2139,2677465.08
1593097200000,0.1961,0.2286,0.196,0.2054,5812832.78
1593093600000,0.184,0.1973,0.1839,0.1961,711833.35
1593090000000,0.1796,0.189,0.1773,0.1848,629002.17
1593086400000,0.187,0.1885,0.178,0.1797,544983.32
1593082800000,0.1812,0.1875,0.1811,0.1868,333396.38
1593079200000,0.1785,0.189,0.1781,0.1816,1003639.12
1593075600000,0.1773,0.1789,0.1757,0.1785,177586.34
1593072000000,0.1755,0.179,0.1738,0.1774,227999.83
1593068400000,0.1715,0.1772,0.1714,0.1749,185895.09
1593064800000,0.17,0.1735,0.1684,0.1728,374313.3
1593061200000,0.1726,0.1749,0.1687,0.17,703089.61
1593057600000,0.1698,0.1768,0.1698,0.1733,290730.06
1593054000000,0.179,0.179,0.165,0.1706,533050.77
1593050400000,0.1781,0.18,0.1755,0.1788,224792.49
1593046800000,0.1785,0.1815,0.1758,0.1792,351366.43
1593043200000,0.172,0.182,0.1708,0.1779,743062.93
1593039600000,0.173,0.1737,0.1714,0.172,90965.71
1593036000000,0.1697,0.1728,0.1693,0.1711,64587.17
1593032400000,0.1718,0.1748,0.1689,0.1697,307365.65
1593028800000,0.1656,0.1739,0.1649,0.171,368267.16
1593025200000,0.1649,0.1662,0.1635,0.1648,150209.38
1593021600000,0.1653,0.1654,0.1647,0.165,38069.34
1593018000000,0.1651,0.1673,0.1645,0.1653,72665.63
1593014400000,0.1632,0.1669,0.1621,0.1651,229309.8
1593010800000,0.1663,0.168,0.16,0.1621,457768.17
1593007200000,0.1709,0.1709,0.1652,0.1663,291814.21
1593003600000,0.1698,0.1724,0.1693,0.171,158399.51
1593000000000,0.169,0.1756,0.169,0.17,713834.18
1592996400000,0.1689,0.1711,0.1685,0.1689,161282.88
1592992800000,0.1713,0.1727,0.1681,0.1689,208925.35
1592989200000,0.1727,0.175,0.1711,0.1713,285594.32
