date,open,high,low,close,volume
1593993600000,0.6148,0.6215,0.6017,0.6141,4404955.92
1593907200000,0.5717,0.617,0.556,0.6147,21925638.52
1593820800000,0.5542,0.5872,0.5533,0.5722,10920010.82
1593734400000,0.5604,0.5722,0.551,0.555,8886195.09
1593648000000,0.5822,0.59,0.5358,0.5596,13810025.72
1593561600000,0.5742,0.5902,0.5593,0.5828,11542412.55
1593475200000,0.5994,0.6028,0.5715,0.5743,8762942.0
1593388800000,0.595,0.6063,0.5768,0.599,13412038.02
1593302400000,0.5967,0.6096,0.568,0.5945,11857919.12
1593216000000,0.6418,0.6426,0.5688,0.5965,16922800.34
1593129600000,0.6305,0.6536,0.6093,0.6423,26303606.69
1593043200000,0.6076,0.6414,0.5764,0.6303,18558340.55
1592956800000,0.6285,0.6567,0.5965,0.6077,15040081.77
1592870400000,0.6455,0.6715,0.626,0.6284,19216148.75
1592784000000,0.585,0.6554,0.5828,0.6455,26959047.23
1592697600000,0.5663,0.5967,0.5655,0.5849,8999090.07
1592611200000,0.5678,0.5724,0.5491,0.5662,5033773.1
1592524800000,0.5786,0.5802,0.5582,0.5674,6953506.99
1592438400000,0.5665,0.5948,0.5611,0.5785,10735349.21
1592352000000,0.5626,0.5776,0.5523,0.5666,11319718.57
1592265600000,0.5395,0.5635,0.5347,0.562,26019666.85
1592179200000,0.549,0.5493,0.502,0.5395,17452826.64
1592092800000,0.574,0.575,0.5427,0.5489,6992627.45
1592006400000,0.5563,0.5796,0.55,0.574,7160665.36
1591920000000,0.537,0.5672,0.5313,0.5566,7061037.34
1591833600000,0.6053,0.6075,0.5277,0.5372,18018845.28
1591747200000,0.5982,0.6148,0.5905,0.6052,21918839.51
1591660800000,0.5742,0.6084,0.5628,0.5982,13702153.62
1591574400000,0.5732,0.5793,0.5656,0.5744,5357787.61
1591488000000,0.5772,0.5847,0.55,0.5729,6084421.84
1591401600000,0.5702,0.5838,0.559,0.5775,6201557.42
1591315200000,0.5984,0.6023,0.569,0.5704,8370210.48
1591228800000,0.6035,0.6134,0.5789,0.5985,10140732.8
1591142400000,0.5985,0.611,0.584,0.6034,9426544.42
1591056000000,0.5989,0.6346,0.5485,0.5985,20104668.5
1590969600000,0.5483,0.6151,0.5448,0.599,27746138.56
1590883200000,0.5639,0.5881,0.5392,0.5483,19816815.29
1590796800000,0.5155,0.571,0.5094,0.5639,22802228.04
1590710400000,0.5211,0.5305,0.5082,0.5157,9193878.9
1590624000000,0.5045,0.5272,0.4971,0.5211,11330211.84
1590537600000,0.5081,0.5147,0.4968,0.5049,13989874.94
1590451200000,0.4919,0.5298,0.4745,0.5082,25381638.02
1590364800000,0.4663,0.4936,0.4621,0.4917,12366218.85
1590278400000,0.5001,0.5113,0.4655,0.466,11165925.51
1590192000000,0.5164,0.5225,0.4981,0.5001,9855592.1
1590105600000,0.4633,0.534,0.4553,0.5165,22158696.75
1590019200000,0.492,0.4984,0.4496,0.463,12359635.12
1589932800000,0.4848,0.5078,0.4726,0.4917,12765230.1
1589846400000,0.4826,0.4852,0.4679,0.4844,5551620.92
1589760000000,0.47,0.4923,0.4682,0.4823,7090366.32
1589673600000,0.4682,0.4842,0.4666,0.47,5799922.29
1589587200000,0.4665,0.4752,0.4626,0.4686,6808818.32
1589500800000,0.4772,0.4875,0.4622,0.4662,9977358.18
1589414400000,0.4667,0.4814,0.4578,0.4772,8943196.02
1589328000000,0.4636,0.4753,0.4573,0.4665,6189734.3
1589241600000,0.4501,0.4668,0.4478,0.4638,7645812.05
1589155200000,0.4637,0.4727,0.4224,0.4504,12880046.25
1589068800000,0.4911,0.4918,0.401,0.4637,22298945.1
1588982400000,0.5159,0.5348,0.4909,0.4912,10804036.82
1588896000000,0.4799,0.5287,0.4706,0.5155,11128629.84
1588809600000,0.4586,0.4885,0.4543,0.4798,8088752.71
1588723200000,0.4754,0.4903,0.4571,0.4589,7485727.29
1588636800000,0.4803,0.4895,0.4688,0.4754,8356712.43
1588550400000,0.4879,0.4903,0.4481,0.4804,10440757.94
1588464000000,0.5066,0.5149,0.477,0.4873,8270965.71
1588377600000,0.5011,0.5088,0.4902,0.5066,6088155.92
1588291200000,0.4882,0.5155,0.4877,0.501,8726378.7
1588204800000,0.517,0.5367,0.4716,0.4886,16143905.44
1588118400000,0.4875,0.5266,0.4818,0.517,16014794.12
1588032000000,0.4731,0.4957,0.4574,0.4874,10495350.61
1587945600000,0.4935,0.498,0.4508,0.4734,11337323.13
1587859200000,0.4604,0.4983,0.4589,0.4932,14302709.56
1587772800000,0.451,0.4839,0.4433,0.4609,9122380.7
1587686400000,0.4255,0.4641,0.4244,0.4506,11371721.14
1587600000000,0.4137,0.4378,0.4094,0.4257,7615994.14
1587513600000,0.3959,0.4191,0.3926,0.4136,4613921.92
1587427200000,0.397,0.4056,0.3924,0.3961,5405351.69
1587340800000,0.4092,0.4245,0.3936,0.3977,11548228.38
1587254400000,0.4218,0.4248,0.4043,0.4095,4222632.29
1587168000000,0.4051,0.4295,0.4046,0.4218,5249025.0
1587081600000,0.4113,0.4139,0.4025,0.4053,4317867.96
1586995200000,0.3803,0.4203,0.3679,0.4113,10549329.44
1586908800000,0.3878,0.3988,0.379,0.3802,4559029.97
1586822400000,0.3868,0.3956,0.3807,0.3876,6377123.82
1586736000000,0.4016,0.4017,0.3795,0.3869,10052981.3
1586649600000,0.404,0.4218,0.3958,0.4017,5211102.63
1586563200000,0.4014,0.414,0.3928,0.4043,5345053.86
1586476800000,0.448,0.4485,0.3891,0.4011,11081997.34
1586390400000,0.4518,0.469,0.433,0.4485,7959813.3
1586304000000,0.4219,0.46,0.4148,0.4515,8844792.58
1586217600000,0.4355,0.4442,0.4058,0.4219,11558495.1
1586131200000,0.3818,0.4359,0.3818,0.435,9688860.43
1586044800000,0.3927,0.3963,0.3785,0.3817,4216411.23
1585958400000,0.3815,0.3996,0.3754,0.3926,7344931.98
1585872000000,0.3784,0.389,0.374,0.3817,6157790.35
1585785600000,0.3728,0.4,0.3699,0.3785,6754069.01
1585699200000,0.3703,0.3759,0.3556,0.3722,3891338.34
1585612800000,0.3661,0.3762,0.3619,0.3702,3077274.59
1585526400000,0.3466,0.3749,0.3464,0.3661,4366994.25
1585440000000,0.362,0.3638,0.345,0.347,2929402.63
1585353600000,0.3637,0.371,0.3446,0.3615,5418923.22
1585267200000,0.3856,0.3907,0.3603,0.364,4257882.66
1585180800000,0.3731,0.3871,0.3638,0.3853,4212322.46
1585094400000,0.3875,0.3875,0.3621,0.3726,5982315.96
1585008000000,0.3737,0.3953,0.3654,0.3875,8367645.0
1584921600000,0.3449,0.3804,0.3385,0.3733,7858594.89
1584835200000,0.3735,0.4,0.3427,0.3454,8342732.93
1584748800000,0.3788,0.3878,0.3514,0.3735,9550407.85
1584662400000,0.378,0.4278,0.3417,0.3788,15483935.94
1584576000000,0.3332,0.397,0.3304,0.378,12501710.74
1584489600000,0.327,0.3341,0.3099,0.3326,7922542.75
1584403200000,0.3089,0.3378,0.3053,0.3267,10184730.77
1584316800000,0.347,0.3519,0.2767,0.3085,20934867.08
1584230400000,0.33,0.3728,0.3251,0.3471,13540278.73
1584144000000,0.3449,0.3541,0.3197,0.3298,13327776.22
1584057600000,0.3041,0.3768,0.2107,0.3443,30337554.85
1583971200000,0.5786,0.5804,0.2896,0.3062,28998868.814
1583884800000,0.5915,0.5963,0.5377,0.5776,10062807.9
1583798400000,0.5873,0.6055,0.5711,0.5904,8211154.39
1583712000000,0.6061,0.6212,0.5408,0.5881,14048175.24
1583625600000,0.7183,0.7183,0.601,0.6056,9245651.3
1583539200000,0.7424,0.766,0.7149,0.7186,6619950.16
1583452800000,0.7304,0.7433,0.7198,0.742,4237572.94
1583366400000,0.7171,0.7457,0.717,0.731,6624996.31
1583280000000,0.7037,0.7216,0.6994,0.7166,4296559.17
1583193600000,0.7244,0.7253,0.6933,0.7033,6444969.96
1583107200000,0.6823,0.7368,0.6791,0.724,6903500.35
1583020800000,0.6664,0.7093,0.6653,0.6823,6851293.94
1582934400000,0.6918,0.7096,0.6658,0.6661,5437248.07
1582848000000,0.7042,0.7221,0.6541,0.6915,10351304.15
1582761600000,0.6848,0.7269,0.6472,0.7033,11476971.99
1582675200000,0.7781,0.786,0.6583,0.6852,11770056.47
1582588800000,0.8595,0.862,0.7658,0.7769,5478588.5
1582502400000,0.893,0.8963,0.8272,0.8589,6755345.3
1582416000000,0.8449,0.8972,0.8446,0.8925,4877936.81
1582329600000,0.853,0.8608,0.82,0.8464,4286408.54
1582243200000,0.8298,0.8744,0.8206,0.8525,5523498.29
1582156800000,0.8485,0.8648,0.7922,0.8298,10507050.2
1582070400000,0.924,0.935,0.8264,0.85,7137715.13
1581984000000,0.8817,0.9426,0.8335,0.9213,9425083.01
1581897600000,0.9005,0.9115,0.805,0.8817,15010775.92
1581811200000,0.9592,1.0057,0.8145,0.9013,18608198.99
1581724800000,1.0726,1.0975,0.9352,0.9609,13383119.07
1581638400000,1.0254,1.0734,0.9955,1.0727,7493026.46
1581552000000,1.0356,1.0737,0.9776,1.0251,13993120.97
1581465600000,0.9767,1.06,0.9749,1.035,16688307.3
1581379200000,0.9579,0.9832,0.9125,0.9767,11368341.27
1581292800000,0.9184,0.9737,0.8636,0.9581,18704356.12
1581206400000,0.8458,0.9283,0.8457,0.9188,8990705.04
1581120000000,0.8695,0.8705,0.8124,0.8457,5232435.59
1581033600000,0.8619,0.8855,0.8497,0.8695,5907399.54
1580947200000,0.8475,0.8725,0.8286,0.862,6573192.0
1580860800000,0.8196,0.8475,0.8099,0.8475,5615491.55
1580774400000,0.781,0.8265,0.7486,0.8206,4828878.68
1580688000000,0.7856,0.809,0.7634,0.7809,4042134.16
1580601600000,0.7623,0.81,0.7446,0.7852,6980324.85
1580515200000,0.7704,0.7789,0.744,0.7621,4138921.0
1580428800000,0.7354,0.7826,0.7194,0.7705,8485963.39
1580342400000,0.7295,0.7419,0.7082,0.7344,5264886.09
1580256000000,0.6971,0.753,0.694,0.7297,8323187.33
1580169600000,0.6845,0.7,0.6748,0.6959,4863091.27
1580083200000,0.6482,0.6876,0.6353,0.6852,5454517.51
1579996800000,0.6307,0.657,0.6266,0.647,2283113.26
1579910400000,0.6249,0.6375,0.6122,0.6313,1792216.6
1579824000000,0.6388,0.6405,0.6095,0.6255,4149490.22
1579737600000,0.6694,0.6718,0.6196,0.6386,3456840.15
1579651200000,0.6634,0.682,0.6553,0.6688,2564655.39
1579564800000,0.6536,0.6662,0.6384,0.6628,3144021.05
1579478400000,0.6545,0.6696,0.6278,0.6535,2942035.34
1579392000000,0.6867,0.7189,0.6355,0.6542,6416026.42
1579305600000,0.7133,0.7341,0.6793,0.6881,6940337.7
1579219200000,0.712,0.73,0.6762,0.7136,7885890.27
1579132800000,0.6988,0.7198,0.647,0.7127,7049984.72
1579046400000,0.6757,0.748,0.6611,0.6991,12394182.0
1578960000000,0.6059,0.6821,0.6059,0.6759,10410382.25
1578873600000,0.6165,0.6182,0.5828,0.6061,3991168.99
1578787200000,0.5834,0.6299,0.5781,0.6165,5344259.21
1578700800000,0.567,0.613,0.56,0.583,5553296.68
1578614400000,0.5387,0.5698,0.5295,0.5665,4294614.22
1578528000000,0.5532,0.5532,0.5311,0.5387,2280367.82
1578441600000,0.5636,0.5893,0.5386,0.5538,4685570.29
1578355200000,0.5833,0.593,0.5496,0.5636,5550311.45
1578268800000,0.5486,0.5875,0.5475,0.5831,5587043.88
1578182400000,0.5317,0.5729,0.5304,0.5483,4746345.04
1578096000000,0.5282,0.5323,0.5184,0.5316,1876901.1
1578009600000,0.5038,0.5325,0.4946,0.5278,3111408.42
1577923200000,0.5267,0.5276,0.4969,0.5037,2059422.89
1577836800000,0.5191,0.5413,0.517,0.5275,1377985.36
1577750400000,0.5257,0.5303,0.5169,0.5185,1503320.72
1577664000000,0.5446,0.5446,0.523,0.5262,2616125.54
1577577600000,0.5315,0.5532,0.5255,0.5447,3735733.77
1577491200000,0.5196,0.5393,0.5182,0.531,2912446.35
1577404800000,0.5147,0.5275,0.5059,0.5197,2746565.92
1577318400000,0.5122,0.533,0.505,0.5149,3828436.38
1577232000000,0.5222,0.5226,0.5043,0.5122,2486859.6
1577145600000,0.5226,0.5393,0.5171,0.5223,3555604.93
1577059200000,0.5573,0.564,0.5161,0.5223,5936789.39
1576972800000,0.5382,0.5574,0.5336,0.557,3599760.07
1576886400000,0.5491,0.5516,0.5336,0.5389,2272804.6
1576800000000,0.5412,0.559,0.5283,0.5487,2676243.53
1576713600000,0.556,0.5638,0.5302,0.5407,3426303.89
1576627200000,0.5218,0.571,0.5029,0.556,4628458.91
1576540800000,0.558,0.5633,0.5063,0.5203,3603371.97
1576454400000,0.5949,0.597,0.5567,0.558,1810686.9
1576368000000,0.5864,0.6055,0.579,0.5945,2041102.75
1576281600000,0.6128,0.6133,0.5804,0.5868,1807734.5
1576195200000,0.5921,0.6286,0.5916,0.6122,3232871.86
1576108800000,0.5915,0.5953,0.5777,0.5926,2165777.49
1576022400000,0.5892,0.6067,0.5825,0.5915,1613898.25
1575936000000,0.6115,0.6156,0.5782,0.5898,3116104.82
1575849600000,0.641,0.6539,0.606,0.6119,4849402.8
1575763200000,0.6172,0.6494,0.6042,0.6402,3898127.95
1575676800000,0.6166,0.6307,0.6125,0.6172,2315717.61
1575590400000,0.6107,0.6189,0.5991,0.616,2603091.86
1575504000000,0.5934,0.6172,0.5886,0.6105,2976738.26
1575417600000,0.6173,0.6354,0.5813,0.5936,5804962.29
1575331200000,0.6173,0.6304,0.61,0.6171,2474189.48
1575244800000,0.6365,0.6367,0.6049,0.6172,3381459.7
1575158400000,0.6365,0.6491,0.603,0.6359,6485339.5
1575072000000,0.6793,0.6835,0.6326,0.6368,4944512.66
1574985600000,0.6345,0.6964,0.6304,0.6793,6786064.93
1574899200000,0.6404,0.6643,0.6266,0.6346,4746636.58
1574812800000,0.6269,0.6589,0.5788,0.6404,6461699.44
1574726400000,0.6006,0.6344,0.5957,0.627,5981132.03
1574640000000,0.5624,0.6461,0.526,0.6003,14667450.7
1574553600000,0.6297,0.6333,0.5541,0.5629,6744837.57
1574467200000,0.6045,0.6365,0.5814,0.6297,5415818.92
1574380800000,0.6681,0.679,0.5532,0.6046,11681816.31
1574294400000,0.7194,0.7233,0.638,0.6682,5614228.07
1574208000000,0.7276,0.7594,0.7001,0.7195,6455862.36
1574121600000,0.7568,0.7574,0.7117,0.7276,6772942.23
1574035200000,0.8195,0.8208,0.7277,0.7568,4768273.43
1573948800000,0.8346,0.8409,0.8041,0.8197,2624143.42
1573862400000,0.8306,0.8415,0.8156,0.8347,2660936.01
1573776000000,0.8866,0.8973,0.79,0.8308,7208159.75
1573689600000,0.9315,0.9399,0.8596,0.8868,6942302.72
1573603200000,0.9174,0.9487,0.885,0.9313,6795499.97
1573516800000,0.8463,0.92,0.836,0.9166,8718380.76
1573430400000,0.8517,0.8568,0.803,0.8464,4055290.4
1573344000000,0.8261,0.8633,0.8217,0.8518,3599936.11
1573257600000,0.8231,0.8382,0.8162,0.8263,2768875.72
1573171200000,0.8931,0.8953,0.8127,0.8232,5106712.92
1573084800000,0.894,0.8972,0.854,0.8931,6342419.15
1572998400000,0.9002,0.9175,0.8821,0.8931,4393017.91
1572912000000,0.9085,0.9145,0.8813,0.901,5340638.95
1572825600000,0.8963,0.9305,0.8845,0.9085,5962390.91
1572739200000,0.9251,0.929,0.8688,0.8964,6841298.17
1572652800000,0.8687,0.939,0.8516,0.9255,13265914.07
1572566400000,0.8552,0.88,0.83,0.8682,5094576.86
1572480000000,0.8906,0.8955,0.8105,0.8551,14855631.23
1572393600000,0.8556,0.9295,0.82,0.8911,22902178.7
1572307200000,0.8783,0.9223,0.8148,0.8556,17306113.94
1572220800000,0.981,1.1512,0.8412,0.8795,53994570.47
1572134400000,0.6612,1.188,0.6611,0.9796,51879970.82
1572048000000,0.6194,0.7008,0.6143,0.6613,12548563.95
1571961600000,0.546,0.6235,0.5406,0.6196,5990504.17
1571875200000,0.5484,0.5541,0.5336,0.5461,1996648.88
1571788800000,0.5806,0.5823,0.5198,0.5489,3214330.51
1571702400000,0.5914,0.6041,0.5774,0.5809,2350206.03
1571616000000,0.5853,0.5972,0.5756,0.5914,2468372.02
1571529600000,0.5837,0.5902,0.5629,0.5854,3144213.41
1571443200000,0.5865,0.592,0.578,0.5838,2193504.1
1571356800000,0.6016,0.6079,0.5736,0.586,3568923.85
1571270400000,0.6048,0.6115,0.5886,0.6014,4226391.76
1571184000000,0.6355,0.6466,0.5901,0.6051,4239627.26
1571097600000,0.6406,0.65,0.6272,0.6355,4076226.33
1571011200000,0.6365,0.6459,0.6251,0.6407,4329654.13
1570924800000,0.6315,0.6534,0.628,0.6366,3526809.79
1570838400000,0.6444,0.6567,0.6219,0.6322,4327294.33
1570752000000,0.6455,0.6645,0.6219,0.6445,6350836.12
1570665600000,0.6559,0.6624,0.6185,0.6455,4140063.51
1570579200000,0.6368,0.674,0.6269,0.656,5706946.14
1570492800000,0.6375,0.6531,0.6201,0.6368,5680378.33
1570406400000,0.6044,0.6499,0.5945,0.6381,4316342.55
1570320000000,0.6246,0.63,0.5907,0.6046,3288484.5
1570233600000,0.612,0.6262,0.608,0.6239,4270640.13
1570147200000,0.605,0.623,0.5926,0.6121,1764816.12
