date,open,high,low,close,volume
1594022400000,0.6133,0.6162,0.6131,0.6144,158056.9
1594018800000,0.617,0.619,0.6122,0.6134,404671.06
1594015200000,0.6181,0.6193,0.6121,0.6168,928642.39
1594011600000,0.6065,0.6215,0.6065,0.6181,757484.28
1594008000000,0.6056,0.607,0.6017,0.606,345215.18
1594004400000,0.6075,0.608,0.6019,0.605,388142.97
1594000800000,0.6099,0.6134,0.6073,0.6073,307572.87
1593997200000,0.6045,0.6116,0.6041,0.6098,507304.56
1593993600000,0.6148,0.6161,0.6038,0.6038,595750.9
1593990000000,0.6107,0.617,0.6044,0.6147,967211.72
1593986400000,0.6011,0.6128,0.5986,0.6107,926696.66
1593982800000,0.5977,0.606,0.5869,0.6003,1311249.81
1593979200000,0.6074,0.6089,0.5961,0.5977,856079.91
1593975600000,0.6063,0.6095,0.602,0.6074,948738.06
1593972000000,0.5947,0.6086,0.5943,0.6065,1127632.62
1593968400000,0.5965,0.5983,0.5928,0.5942,562725.57
1593964800000,0.5923,0.6009,0.5892,0.5966,1454492.79
1593961200000,0.5855,0.5982,0.5852,0.5923,2424495.29
1593957600000,0.5747,0.586,0.5713,0.5854,1064011.95
1593954000000,0.5854,0.5856,0.573,0.5754,1134329.42
1593950400000,0.56,0.5863,0.56,0.5852,3914136.7
1593946800000,0.5618,0.5649,0.5595,0.5601,312985.14
1593943200000,0.5593,0.564,0.556,0.5618,474449.05
1593939600000,0.5639,0.5654,0.5576,0.5596,374265.05
1593936000000,0.5654,0.5669,0.5618,0.5644,376205.32
1593932400000,0.5641,0.5686,0.5615,0.5659,447850.56
1593928800000,0.5689,0.5717,0.562,0.5642,632424.3
1593925200000,0.5687,0.58,0.5651,0.5687,1443107.97
1593921600000,0.5677,0.5697,0.5654,0.5689,219756.89
1593918000000,0.5662,0.5704,0.5655,0.5676,283009.15
1593914400000,0.5697,0.5707,0.5648,0.5666,255073.27
1593910800000,0.5707,0.5719,0.5687,0.5699,184775.89
1593907200000,0.5717,0.5727,0.5681,0.5708,229935.43
1593903600000,0.5711,0.5725,0.5679,0.5722,308993.29
1593900000000,0.5696,0.5726,0.5644,0.5711,489311.5
1593896400000,0.5722,0.573,0.568,0.569,171812.41
1593892800000,0.5748,0.5759,0.5681,0.5726,467065.68
1593889200000,0.5765,0.5769,0.5712,0.5747,221188.09
1593885600000,0.5787,0.5807,0.5738,0.5765,429429.95
1593882000000,0.5775,0.5872,0.5746,0.5783,1404363.15
1593878400000,0.5677,0.5782,0.5655,0.5775,984575.61
1593874800000,0.5674,0.5685,0.5623,0.5676,440408.6
1593871200000,0.5704,0.5712,0.565,0.5674,418990.62
1593867600000,0.5654,0.5709,0.5626,0.5704,433321.16
1593864000000,0.5637,0.5683,0.5608,0.5657,336488.26
1593860400000,0.5618,0.5653,0.5612,0.5638,175942.68
1593856800000,0.5652,0.5656,0.5608,0.5615,329461.05
1593853200000,0.5639,0.5684,0.5625,0.5654,329134.19
1593849600000,0.5609,0.5644,0.5594,0.5637,298301.29
1593846000000,0.5616,0.5684,0.5597,0.561,702256.46
1593842400000,0.5594,0.5618,0.5587,0.5614,421433.85
1593838800000,0.5587,0.5606,0.5576,0.5591,187922.74
1593835200000,0.5616,0.5624,0.5584,0.5587,246445.14
1593831600000,0.5625,0.5634,0.5588,0.5616,337903.86
1593828000000,0.5592,0.5669,0.5586,0.5627,773268.24
1593824400000,0.559,0.5611,0.5566,0.5596,382544.46
1593820800000,0.5542,0.5595,0.5533,0.5585,629448.54
1593817200000,0.56,0.5601,0.551,0.555,690407.17
1593813600000,0.5621,0.5635,0.5597,0.5598,118996.61
1593810000000,0.5609,0.5627,0.5602,0.5627,88543.14
1593806400000,0.5606,0.5624,0.5584,0.5613,258956.04
1593802800000,0.5613,0.5621,0.5586,0.5614,152633.0
1593799200000,0.5627,0.5644,0.5592,0.5614,262574.59
1593795600000,0.5621,0.5661,0.5612,0.5628,256804.28
1593792000000,0.5631,0.568,0.5603,0.5624,449826.24
1593788400000,0.5662,0.568,0.5628,0.5628,355305.78
1593784800000,0.567,0.5688,0.5635,0.5658,317057.5
1593781200000,0.5707,0.5718,0.5663,0.5671,386261.37
1593777600000,0.5707,0.5722,0.5671,0.5705,218980.21
1593774000000,0.5634,0.5706,0.5617,0.5705,419492.48
1593770400000,0.5635,0.5685,0.5606,0.5638,530411.11
1593766800000,0.5684,0.57,0.5581,0.5638,601066.84
1593763200000,0.5618,0.57,0.5612,0.5684,792657.29
1593759600000,0.5588,0.564,0.5573,0.5618,465431.07
1593756000000,0.5598,0.5639,0.558,0.5587,518619.84
1593752400000,0.5592,0.5614,0.5551,0.5604,542301.37
1593748800000,0.5587,0.5599,0.556,0.5586,218808.63
1593745200000,0.5574,0.559,0.5556,0.5586,132616.26
1593741600000,0.5597,0.5618,0.5561,0.5571,257856.67
1593738000000,0.5586,0.5629,0.556,0.5598,477862.47
1593734400000,0.5604,0.5608,0.5566,0.5587,372725.13
1593730800000,0.5599,0.5635,0.5571,0.5596,416199.27
1593727200000,0.5657,0.5667,0.5571,0.56,958861.94
1593723600000,0.5566,0.5722,0.5559,0.5661,1030781.4
1593720000000,0.5547,0.5589,0.5506,0.5564,238542.52
1593716400000,0.5572,0.5599,0.5506,0.5547,465443.06
1593712800000,0.5545,0.5594,0.5483,0.5575,516285.11
1593709200000,0.5521,0.5585,0.5479,0.5545,977568.84
1593705600000,0.555,0.5634,0.5358,0.5526,2120641.03
1593702000000,0.5774,0.5774,0.5544,0.5555,1620967.3
1593698400000,0.5834,0.5849,0.5765,0.5774,315361.83
1593694800000,0.5813,0.5844,0.5797,0.5829,428205.08
1593691200000,0.575,0.5842,0.5743,0.581,380468.5
1593687600000,0.578,0.578,0.5692,0.5757,301835.93
1593684000000,0.578,0.5781,0.5739,0.578,240448.21
1593680400000,0.5795,0.5811,0.5771,0.5777,147001.68
1593676800000,0.5803,0.5803,0.5737,0.5795,288701.11
1593673200000,0.5776,0.5831,0.5763,0.5808,221978.55
1593669600000,0.5742,0.5834,0.5723,0.5776,1102582.95
1593666000000,0.5805,0.5845,0.5732,0.5743,450621.91
1593662400000,0.5854,0.5864,0.5783,0.5805,364506.44
1593658800000,0.5829,0.5855,0.5822,0.5854,187845.63
1593655200000,0.5869,0.5885,0.5828,0.5832,254788.44
1593651600000,0.5833,0.5878,0.582,0.5873,367079.35
1593648000000,0.5822,0.59,0.5811,0.5832,413309.64
1593644400000,0.5837,0.5852,0.5799,0.5828,255159.13
1593640800000,0.5823,0.5868,0.5782,0.5835,499370.16
1593637200000,0.5798,0.5861,0.5774,0.5817,268998.11
1593633600000,0.5765,0.5827,0.5755,0.5796,322243.2
1593630000000,0.5846,0.5856,0.575,0.5769,431165.77
1593626400000,0.5836,0.5856,0.5835,0.5848,222304.8
1593622800000,0.5835,0.5856,0.581,0.5836,391567.39
1593619200000,0.5867,0.5902,0.5797,0.5831,1328636.29
1593615600000,0.5758,0.5866,0.5758,0.5866,338851.36
1593612000000,0.5787,0.5808,0.5754,0.5758,515640.79
1593608400000,0.5719,0.5823,0.5706,0.5785,593114.02
1593604800000,0.5697,0.5723,0.5673,0.5719,266865.64
1593601200000,0.569,0.5697,0.5662,0.5697,205893.47
1593597600000,0.5707,0.5718,0.569,0.5691,135507.72
1593594000000,0.5707,0.5714,0.5686,0.5706,206426.14
1593590400000,0.5617,0.5729,0.5617,0.5706,425555.34
1593586800000,0.5628,0.5667,0.5612,0.562,204792.93
