date,open,high,low,close,volume
1593993600000,0.9996,1.0004,0.9996,1.0001,2242889.54
1593907200000,0.9999,1.0003,0.9993,0.9998,3240431.95
1593820800000,1.0001,1.0003,0.9992,0.9999,2552577.12
1593734400000,1.0,1.0029,0.9993,0.9999,3434203.32
1593648000000,0.9997,1.0009,0.9994,1.0,4211354.25
1593561600000,1.0003,1.0008,0.9993,0.9997,4248107.08
1593475200000,1.0004,1.001,1.0,1.0003,4859055.05
1593388800000,1.0007,1.0015,1.0001,1.0004,4847148.0
1593302400000,1.001,1.0015,1.0003,1.0007,2973185.54
1593216000000,1.001,1.0018,1.0006,1.001,3544121.53
1593129600000,1.0009,1.0022,1.0004,1.001,3298164.6
1593043200000,1.0013,1.0027,1.0004,1.0008,3386299.77
1592956800000,1.0003,1.0022,1.0001,1.0012,6284700.13
1592870400000,1.0001,1.0008,0.9997,1.0004,3506269.91
1592784000000,1.0013,1.0015,0.9995,0.9999,4827475.95
1592697600000,1.0006,1.0016,1.0001,1.0014,3093802.65
1592611200000,1.0014,1.0016,1.0004,1.0006,2298639.38
1592524800000,1.0013,1.0019,1.0006,1.0014,3598460.23
1592438400000,1.0009,1.0016,1.0006,1.0011,4336669.5
1592352000000,1.0001,1.0018,1.0,1.0009,4390931.9
1592265600000,0.9997,1.0007,0.9994,1.0001,3062212.86
1592179200000,1.0008,1.002,0.9995,0.9997,4314492.03
1592092800000,1.0,1.0011,0.9998,1.001,1776541.77
1592006400000,1.0005,1.0007,0.9998,0.9998,2074710.93
1591920000000,1.0013,1.0017,1.0001,1.0003,2407224.41
1591833600000,0.9994,1.003,0.9992,1.0013,4491614.45
1591747200000,0.9995,1.0003,0.999,0.9995,3686211.99
1591660800000,0.9993,1.0008,0.9991,0.9995,2513824.43
1591574400000,0.9996,1.0005,0.9991,0.9993,3047186.88
1591488000000,1.0001,1.0009,0.9978,0.9996,5022230.82
1591401600000,1.0005,1.0013,1.0,1.0001,2558595.79
1591315200000,0.9997,1.001,0.9996,1.0005,4364746.28
1591228800000,1.0001,1.001,0.9993,0.9997,4711035.55
1591142400000,1.0001,1.0008,0.9995,0.9999,4406586.83
1591056000000,0.9992,1.0012,0.9983,1.0001,11687169.36
1590969600000,1.0007,1.001,0.9937,0.9992,7519594.23
1590883200000,1.0,1.001,0.9996,1.0007,3839267.97
1590796800000,1.0005,1.0008,0.9993,1.0,4768691.37
1590710400000,0.9998,1.0011,0.9997,1.0006,3936031.26
1590624000000,1.0001,1.0007,0.9994,0.9997,5341121.59
1590537600000,1.0002,1.0008,0.9996,1.0001,4724607.2
1590451200000,1.0003,1.0012,1.0,1.0002,4673156.9
1590364800000,1.0005,1.0008,0.9996,1.0003,3520163.69
1590278400000,0.9998,1.0011,0.9994,1.0005,3741541.3
1590192000000,1.0001,1.0003,0.999,0.9998,3884177.98
1590105600000,1.0009,1.0016,0.9996,0.9999,5180533.46
1590019200000,1.0004,1.0023,1.0004,1.001,6304774.02
1589932800000,0.9997,1.0015,0.9992,1.0005,5403418.41
1589846400000,1.0005,1.0014,0.9996,0.9998,4952974.04
1589760000000,1.0003,1.0016,0.9996,1.0005,5932153.68
1589673600000,1.0001,1.0007,0.9994,1.0003,4196388.45
1589587200000,1.0007,1.0012,0.9999,1.0002,4435851.53
1589500800000,0.9997,1.0016,0.9995,1.0009,6146727.11
1589414400000,0.9989,1.0004,0.9989,0.9997,5486965.07
1589328000000,0.9994,0.9998,0.9984,0.9989,3562705.55
1589241600000,0.9995,1.0,0.9989,0.9993,3198696.43
1589155200000,0.9996,1.0005,0.9985,0.9997,7704221.23
1589068800000,1.0,1.0035,0.9987,0.9995,9560046.32
1588982400000,0.9995,1.0,0.999,1.0,6966888.38
1588896000000,0.9987,0.9996,0.9975,0.9996,5063524.63
1588809600000,0.999,1.0,0.9977,0.9987,6322312.25
1588723200000,0.9993,0.9995,0.9977,0.9991,5857933.03
1588636800000,0.9987,0.9999,0.9981,0.9993,5055968.44
1588550400000,0.999,0.9997,0.9981,0.9987,5376434.51
1588464000000,0.999,1.0,0.9987,0.9992,3306331.38
1588377600000,0.9995,0.9998,0.9985,0.999,3035836.41
1588291200000,0.9992,1.0004,0.9983,0.9995,4859928.65
1588204800000,0.999,1.0146,0.9975,0.9992,9271321.43
1588118400000,0.9983,0.9995,0.9973,0.999,8637640.7
1588032000000,0.9982,0.9996,0.998,0.9983,5863295.32
1587945600000,0.9986,0.9994,0.9981,0.9982,5388571.53
1587859200000,0.9991,1.0,0.9984,0.9986,3974682.93
1587772800000,0.9992,0.9997,0.9986,0.9991,2838467.58
1587686400000,0.9991,1.0006,0.9983,0.999,6136825.96
1587600000000,0.9987,0.9994,0.9977,0.9992,8432907.66
1587513600000,0.9985,0.9992,0.9979,0.9987,5050037.63
1587427200000,0.9985,0.9996,0.998,0.9987,5318264.79
1587340800000,0.9985,0.9998,0.9978,0.9985,7620187.69
1587254400000,0.9988,0.9995,0.9982,0.9986,3016314.22
1587168000000,0.999,0.9995,0.998,0.9986,4573806.06
1587081600000,0.9987,0.9995,0.9981,0.999,3326308.02
1586995200000,0.9997,1.0,0.9976,0.9986,6102897.31
1586908800000,0.9992,1.0002,0.9982,0.9997,5855944.03
1586822400000,0.9977,0.9994,0.9974,0.9992,4452438.63
1586736000000,0.9986,0.9996,0.9972,0.9976,6281814.49
1586649600000,0.9988,0.9992,0.9961,0.9987,4327908.89
1586563200000,0.9987,0.999,0.9955,0.9988,2755461.17
1586476800000,0.9988,0.9999,0.9978,0.9986,5522911.72
1586390400000,0.9992,1.0,0.9981,0.9989,4245349.67
1586304000000,0.9999,1.0002,0.9984,0.9992,4559374.15
1586217600000,0.9987,1.0032,0.9978,1.0001,6106625.87
1586131200000,0.9988,1.0001,0.9977,0.9987,4793638.09
1586044800000,0.9981,0.9999,0.9974,0.9988,4287149.33
1585958400000,0.9991,0.9996,0.9971,0.998,3016826.7
1585872000000,0.9994,1.0004,0.9981,0.9991,5889363.21
1585785600000,0.9969,0.9998,0.995,0.9994,5194036.78
1585699200000,0.9976,0.9994,0.9964,0.9969,3508758.63
